Code,Constituency,Latitude,Longitude,Postcodes,Active Postcodes,MP,Party
W07000081,Aberafan Maesteg,51.5989,-3.74079,2753,2217,Stephen Kinnock,Labour
S14000060,Aberdeen North,57.170101,-2.1438,6499,2980,Kirsty Blackman,Scottish National Party
S14000061,Aberdeen South,57.132801,-2.12467,8034,3380,Stephen Flynn,Scottish National Party
S14000062,Aberdeenshire North and Moray East,57.597198,-2.33483,9537,3856,Seamus Logan,Scottish National Party
S14000063,Airdrie and Shotts,55.8452,-3.92677,2620,2253,Kenneth Stevenson,Labour
E14001063,Aldershot,51.2822,-0.76781,4250,2752,Alex Baker,Labour
E14001064,Aldridge-Brownhills,52.607101,-1.92718,2354,1917,Wendy Morton,Conservative
S14000064,Alloa and Grangemouth,56.0779,-3.7805,2805,2341,Brian Leishman,Labour
E14001065,Altrincham and Sale West,53.394001,-2.34208,4563,2913,Mr Connor Rand,Labour
W07000082,Alyn and Deeside,53.193298,-3.05751,3307,2769,Mark Tami,Labour
E14001066,Amber Valley,53.0481,-1.38889,3253,1993,Linsey Farnsworth,Labour
S14000065,Angus and Perthshire Glens,56.6385,-3.12277,4729,4087,Dave Doogan,Scottish National Party
S14000066,Arbroath and Broughty Ferry,56.519001,-2.77013,3479,2948,Stephen Gethins,Scottish National Party
S14000067,Argyll Bute and South Lochaber,56.0769,-5.21812,4481,3596,Brendan O'Hara,Scottish National Party
E14001067,Arundel and South Downs,50.937901,-0.546666,5203,3702,Andrew Griffith,Conservative
E14001068,Ashfield,53.111301,-1.26349,2407,2054,Lee Anderson,Reform UK
E14001069,Ashford,51.141602,0.915093,4407,2769,Sojan Joseph,Labour
E14001070,Ashton-under-Lyne,53.4856,-2.11303,3938,2615,Angela Rayner,Labour
E14001071,Aylesbury,51.822601,-0.790751,4346,2815,Laura Kyrke-Smith,Labour
S14000107,Ayr Carrick and Cumnock,55.406898,-4.58137,3785,3050,Elaine Stewart,Labour
E14001072,Banbury,52.019299,-1.3784,5723,3399,Sean Woodcock,Labour
W07000083,Bangor Aberconwy,53.2271,-3.86968,4481,3667,Claire Hughes,Labour
E14001073,Barking,51.538502,0.106956,2632,1825,Nesil Caliskan,Labour
E14001074,Barnsley North,53.57,-1.46417,3788,2888,Dan Jarvis,Labour
E14001075,Barnsley South,53.527302,-1.40983,3242,2848,Stephanie Peacock,Labour
E14001076,Barrow and Furness,54.158901,-3.19886,4071,3397,Michelle Scrogham,Labour
E14001077,Basildon and Billericay,51.5923,0.445036,3799,2444,Mr Richard Holden,Conservative
E14001078,Basingstoke,51.2635,-1.10154,3833,2382,Luke Murphy,Labour
E14001079,Bassetlaw,53.338902,-1.048,4120,3285,Jo White,Labour
E14001080,Bath,51.3825,-2.36199,4570,2962,Wera Hobhouse,Liberal Democrat
S14000068,Bathgate and Linlithgow,55.927399,-3.63111,2957,2437,Kirsteen Sullivan,Labour
E14001081,Battersea,51.468498,-0.154082,4645,2415,Marsha De Cordova,Labour
E14001082,Beaconsfield,51.5658,-0.650289,4538,3117,Joy Morrissey,Conservative
E14001083,Beckenham and Penge,51.402802,-0.034453,3888,2337,Liam Conlon,Labour
E14001084,Bedford,52.1357,-0.4668,4347,2607,Mohammad Yasin,Labour
N05000001,Belfast East,54.5914,-5.86018,3225,2268,Gavin Robinson,Democratic Unionist Party
N05000002,Belfast North,54.634499,-5.94057,3233,2265,John Finucane,Sinn Féin
N05000003,Belfast South and Mid Down,54.568802,-5.92585,4684,2737,Claire Hanna,Social Democratic & Labour Party
N05000004,Belfast West,54.583401,-5.98394,2373,1922,Paul Maskey,Sinn Féin
E14001085,Bermondsey and Old Southwark,51.4972,-0.076019,5834,3314,Neil Coyle,Labour
S14000108,Berwickshire Roxburgh and Selkirk,55.594002,-2.61229,4507,3887,John Lamont,Conservative
E14001086,Bethnal Green and Stepney,51.5224,-0.059222,5152,2499,Rushanara Ali,Labour
E14001087,Beverley and Holderness,53.803902,-0.295555,3330,2720,Graham Stuart,Conservative
E14001088,Bexhill and Battle,50.8951,0.455658,4224,3059,Dr Kieran Mullan,Conservative
E14001089,Bexleyheath and Crayford,51.464901,0.15598,2824,1857,Daniel Francis,Labour
E14001090,Bicester and Woodstock,51.868999,-1.24443,6595,3194,Calum Miller,Liberal Democrat
E14001091,Birkenhead,53.3815,-3.03639,7079,2849,Alison McGovern,Labour
E14001092,Birmingham Edgbaston,52.4594,-1.96401,3183,2201,Preet Kaur Gill,Labour
E14001093,Birmingham Erdington,52.528301,-1.84743,3508,2267,Paulette Hamilton,Labour
E14001094,Birmingham Hall Green and Moseley,52.443501,-1.86639,2753,1836,Tahir Ali,Labour
E14001095,Birmingham Hodge Hill and Solihull North,52.491402,-1.79116,2381,1891,Liam Byrne,Labour
E14001096,Birmingham Ladywood,52.482899,-1.89646,8899,4017,Shabana Mahmood,Labour
E14001097,Birmingham Northfield,52.407398,-1.97095,2862,2187,Laurence Turner,Labour
E14001098,Birmingham Perry Barr,52.515701,-1.91511,2626,1823,Ayoub Khan,Independent
E14001099,Birmingham Selly Oak,52.424999,-1.9099,3013,1868,Al Carns,Labour
E14001100,Birmingham Yardley,52.458401,-1.81823,2363,1719,Jess Phillips,Labour
E14001101,Bishop Auckland,54.652901,-1.81425,4659,3830,Sam Rushworth,Labour
E14001102,Blackburn,53.745899,-2.48536,3523,2210,Mr Adnan Hussain,Independent
E14001103,Blackley and Middleton South,53.519901,-2.20882,4571,2627,Graham Stringer,Labour
E14001104,Blackpool North and Fleetwood,53.8815,-3.02609,2965,2364,Mrs Lorraine Beavers,Labour
E14001105,Blackpool South,53.810101,-3.03859,4233,2801,Chris Webb,Labour
W07000084,Blaenau Gwent and Rhymney,51.754601,-3.20864,5576,2572,Nick Smith,Labour
E14001106,Blaydon and Consett,54.910999,-1.78094,3701,2925,Liz Twist,Labour
E14001107,Blyth and Ashington,55.148102,-1.54995,3561,2878,Ian Lavery,Labour
E14001108,Bognor Regis and Littlehampton,50.800098,-0.609076,4314,3161,Alison Griffiths,Conservative
E14001109,Bolsover,53.197701,-1.30236,3179,2644,Natalie Fleet,Labour
E14001110,Bolton North East,53.59,-2.41849,4159,2821,Kirith Entwistle,Labour
E14001111,Bolton South and Walkden,53.544498,-2.41306,4261,2701,Yasmin Qureshi,Labour
E14001112,Bolton West,53.576199,-2.51057,3274,2610,Mr Phil Brickell,Labour
E14001113,Bootle,53.468201,-2.99637,3692,2485,Peter Dowd,Labour
E14001114,Boston and Skegness,53.046501,0.094066,4668,3794,Richard Tice,Reform UK
E14001115,Bournemouth East,50.734299,-1.84435,3886,2402,Tom Hayes,Labour
E14001116,Bournemouth West,50.738098,-1.89598,4173,2509,Jessica Toale,Labour
