Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
AB1 0AA,No,57.101474,-2.242851,385386,801193,NJ853011,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,46,,,Portlethen,8.3,,Scottish Water,,Aberdeen City,Lower Deeside,
AB1 0AB,No,57.102554,-2.246308,385177,801314,NJ851013,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,61,,,Portlethen,8.6,,Scottish Water,,Aberdeen City,Lower Deeside,
AB1 0AD,No,57.100556,-2.248342,385053,801092,NJ850010,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,45,,,Portlethen,8.5,Peterculter,Scottish Water,,Aberdeen City,Lower Deeside,
AB1 0AF,No,57.096656,-2.258102,384460,800660,NJ844006,12/1/1990 12:00:00 AM,7/1/1992 12:00:00 AM,46,,,Portlethen,8.9,Peterculter,Scottish Water,,Aberdeen City,Lower Deeside,
AB1 0AG,No,57.097085,-2.267513,383890,800710,NJ838007,12/1/1990 12:00:00 AM,7/1/1992 12:00:00 AM,58,,,Portlethen,9.4,Peterculter,Scottish Water,,Aberdeen City,Lower Deeside,
AB1 0AJ,No,57.099011,-2.252854,384779,800921,NJ847009,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,46,,,Portlethen,8.7,Peterculter,Scottish Water,,Aberdeen City,Lower Deeside,
AB1 0AL,No,57.101765,-2.254688,384669,801228,NJ846012,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,71,,,Portlethen,8.9,Peterculter,Scottish Water,,Aberdeen City,Lower Deeside,
AB1 0AN,No,57.097553,-2.245483,385225,800757,NJ852007,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,29,,,Portlethen,8.2,,Scottish Water,,Aberdeen City,Lower Deeside,
AB1 0AP,No,57.098244,-2.245768,385208,800834,NJ852008,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,30,,,Portlethen,8.3,,Scottish Water,,Aberdeen City,Lower Deeside,
AB1 0AQ,No,57.098554,-2.252504,384800,800870,NJ847008,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,41,,,Portlethen,8.7,Peterculter,Scottish Water,,Aberdeen City,Lower Deeside,
AB1 0DJ,No,57.102794,-2.243454,385350,801340,NJ853013,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,60,,,Portlethen,8.4,Milltimber,Scottish Water,,Aberdeen City,Lower Deeside,
AB1 0DL,No,57.101474,-2.242851,385386,801193,NJ853011,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,46,,,Portlethen,8.3,,Scottish Water,,Aberdeen City,Lower Deeside,
AB1 0DN,No,57.101893,-2.239883,385566,801239,NJ855012,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,44,,,Portlethen,8.2,Milltimber,Scottish Water,,Aberdeen City,Lower Deeside,
AB1 0DP,No,57.101383,-2.238955,385622,801182,NJ856011,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,36,,,Portlethen,8.1,Milltimber,Scottish Water,,Aberdeen City,Lower Deeside,
AB1 0DQ,No,57.103205,-2.239743,385575,801385,NJ855013,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,57,,,Portlethen,8.3,Milltimber,Scottish Water,,Aberdeen City,Lower Deeside,
AB1 0DR,No,57.104578,-2.235641,385824,801537,NJ858015,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,59,,,Portlethen,8.1,Milltimber,Scottish Water,,Aberdeen City,Lower Deeside,
AB1 0DS,No,57.105424,-2.234953,385866,801631,NJ858016,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,65,,,Portlethen,8.2,Milltimber,Scottish Water,,Aberdeen City,Lower Deeside,
AB1 0DT,No,57.105516,-2.233683,385943,801641,NJ859016,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,65,,,Portlethen,8.1,Milltimber,Scottish Water,,Aberdeen City,Lower Deeside,
AB1 0DU,No,57.106628,-2.234746,385879,801765,NJ858017,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,75,,,Portlethen,8.2,Milltimber,Scottish Water,,Aberdeen City,Lower Deeside,
AB1 0DX,No,57.106391,-2.231955,386048,801738,NJ860017,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,69,,,Portlethen,8.1,Milltimber,Scottish Water,,Aberdeen City,Lower Deeside,
AB1 0DY,No,57.101378,-2.241530,385466,801182,NJ854011,2/1/1994 12:00:00 AM,6/1/1996 12:00:00 AM,43,,,Portlethen,8.2,Milltimber,Scottish Water,,Aberdeen City,Lower Deeside,
AB1 0EA,No,57.106104,-2.231689,386064,801706,NJ860017,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,66,,,Portlethen,8.1,Milltimber,Scottish Water,,Aberdeen City,Lower Deeside,
AB1 0EB,No,57.107170,-2.233000,385985,801825,NJ859018,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,75,,,Portlethen,8.2,Milltimber,Scottish Water,,Aberdeen City,Lower Deeside,
AB1 0ED,No,57.106884,-2.232618,386008,801793,NJ860017,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,74,,,Portlethen,8.2,Milltimber,Scottish Water,,Aberdeen City,Lower Deeside,
AB1 0EE,No,57.107661,-2.230246,386152,801879,NJ861018,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,72,,,Portlethen,8.1,Milltimber,Scottish Water,,Aberdeen City,Lower Deeside,
AB1 0EF,No,57.109090,-2.239203,385610,802040,NJ856020,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,87,,,Portlethen,8.6,Milltimber,Scottish Water,,Aberdeen City,Lower Deeside,
AB1 0EH,No,57.107009,-2.237621,385705,801808,NJ857018,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,80,,,Portlethen,8.4,Milltimber,Scottish Water,,Aberdeen City,Lower Deeside,
AB1 0EJ,No,57.108252,-2.240617,385524,801947,NJ855019,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,83,,,Portlethen,8.6,Milltimber,Scottish Water,,Aberdeen City,Lower Deeside,
AB1 0EL,No,57.110383,-2.244395,385296,802185,NJ852021,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,98,,,Portlethen,9.0,Milltimber,Scottish Water,,Aberdeen City,Lower Deeside,
AB1 0EN,No,57.104777,-2.240001,385560,801560,NJ855015,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,68,,,Portlethen,8.4,Milltimber,Scottish Water,,Aberdeen City,Lower Deeside,
AB1 0EP,No,57.104539,-2.246883,385143,801535,NJ851015,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,76,,,Portlethen,8.7,Milltimber,Scottish Water,,Aberdeen City,Lower Deeside,
AB1 0EQ,No,57.108521,-2.258647,384432,801981,NJ844019,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,106,,,Portlethen,9.5,,Scottish Water,,Aberdeen City,Lower Deeside,
AB1 0ER,No,57.115956,-2.255892,384602,802808,NJ846028,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,130,,,Portlethen,9.9,,Scottish Water,,Aberdeen City,Lower Deeside,
AB1 0ES,No,57.123893,-2.274709,383466,803696,NJ834036,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,100,,,Dyce,10.4,,Scottish Water,,Aberdeen City,Lower Deeside,
AB1 0ET,No,57.114640,-2.249460,384991,802660,NJ849026,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,113,,,Portlethen,9.5,,Scottish Water,,Aberdeen City,Lower Deeside,
AB1 0EU,No,57.103941,-2.240226,385546,801467,NJ855014,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,62,,,Portlethen,8.3,Milltimber,Scottish Water,,Aberdeen City,Lower Deeside,
AB1 0EW,No,57.106769,-2.236200,385791,801781,NJ857017,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,78,,,Portlethen,8.3,Milltimber,Scottish Water,,Aberdeen City,Lower Deeside,
AB1 0EX,No,57.121687,-2.242538,385413,803443,NJ854034,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,99,,,Aberdeen,9.0,,Scottish Water,,Aberdeen City,Lower Deeside,
AB1 0HA,No,57.102686,-2.238485,385651,801327,NJ856013,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,52,,,Portlethen,8.2,Milltimber,Scottish Water,,Aberdeen City,Lower Deeside,
AB1 0HB,No,57.102773,-2.235597,385826,801336,NJ858013,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,45,,,Portlethen,8.0,Milltimber,Scottish Water,,Aberdeen City,Lower Deeside,
AB1 0HD,No,57.103737,-2.233705,385941,801443,NJ859014,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,52,,,Portlethen,8.0,Milltimber,Scottish Water,,Aberdeen City,Lower Deeside,
AB1 0HJ,No,57.104806,-2.233992,385924,801562,NJ859015,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,59,,,Portlethen,8.1,Milltimber,Scottish Water,,Aberdeen City,Lower Deeside,
AB1 0HL,No,57.106397,-2.228538,386255,801738,NJ862017,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,60,,,Portlethen,7.9,Milltimber,Scottish Water,,Aberdeen City,Lower Deeside,
AB1 0HN,No,57.107544,-2.225293,386452,801865,NJ864018,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,62,,,Portlethen,7.9,Milltimber,Scottish Water,,Aberdeen City,Lower Deeside,
AB1 0HP,No,57.108138,-2.229688,386186,801932,NJ861019,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,71,,,Portlethen,8.1,Milltimber,Scottish Water,,Aberdeen City,Lower Deeside,
AB1 0HQ,No,57.109997,-2.224961,386473,802138,NJ864021,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,71,,,Portlethen,8.0,Milltimber,Scottish Water,,Aberdeen City,Lower Deeside,
AB1 0HR,No,57.108137,-2.225082,386465,801931,NJ864019,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,66,,,Portlethen,7.9,Milltimber,Scottish Water,,Aberdeen City,Lower Deeside,
AB1 0HS,No,57.112643,-2.222104,386647,802432,NJ866024,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,78,,,Portlethen,8.1,Milltimber,Scottish Water,,Aberdeen City,Lower Deeside,
AB1 0HT,No,57.106971,-2.219214,386820,801800,NJ868018,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,56,,,Portlethen,7.5,Milltimber,Scottish Water,,Aberdeen City,Lower Deeside,
AB1 0HU,No,57.107637,-2.233317,385966,801877,NJ859018,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,76,,,Portlethen,8.2,Milltimber,Scottish Water,,Aberdeen City,Lower Deeside,
AB1 0HX,No,57.112532,-2.218603,386859,802419,NJ868024,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,65,,,Portlethen,7.9,Milltimber,Scottish Water,,Aberdeen City,Lower Deeside,
AB1 0JA,No,57.108715,-2.228123,386281,801996,NJ862019,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,72,,,Portlethen,8.1,Milltimber,Scottish Water,,Aberdeen City,Lower Deeside,
AB1 0JB,No,57.108654,-2.232398,386022,801990,NJ860019,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,75,,,Portlethen,8.3,Milltimber,Scottish Water,,Aberdeen City,Lower Deeside,
AB1 0JD,No,57.109677,-2.232553,386013,802104,NJ860021,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,77,,,Portlethen,8.4,Milltimber,Scottish Water,,Aberdeen City,Lower Deeside,
AB1 0JE,No,57.108879,-2.236890,385750,802016,NJ857020,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,82,,,Portlethen,8.5,Milltimber,Scottish Water,,Aberdeen City,Lower Deeside,
AB1 0JG,No,57.110828,-2.237084,385739,802233,NJ857022,6/1/1990 12:00:00 AM,6/1/1996 12:00:00 AM,96,,,Portlethen,8.6,Milltimber,Scottish Water,,Aberdeen City,Lower Deeside,
AB1 0JH,No,57.110883,-2.231636,386069,802238,NJ860022,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,80,,,Portlethen,8.4,Milltimber,Scottish Water,,Aberdeen City,Lower Deeside,
AB1 0JJ,No,57.110407,-2.231600,386071,802185,NJ860021,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,78,,,Portlethen,8.4,Milltimber,Scottish Water,,Aberdeen City,Lower Deeside,
