Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
B43 7AN,Yes,52.562350,-1.943620,403919,296059,SP039960,1/1/1980 12:00:00 AM,,148,4,1,Tame Bridge Parkway,2.4,Walsall,South Staffordshire Water,Severn Trent,Walsall,Paddock,
B43 7AW,Yes,52.557619,-1.898771,406960,295536,SP069955,10/1/2012 12:00:00 AM,,168,,,Hamstead (Birmingham),3.6,Pheasey,South Staffordshire Water,Severn Trent,Walsall,Pheasey Park Farm,
B43 7AZ,No,52.557405,-1.912209,406049,295511,SP060955,12/1/1995 12:00:00 AM,12/1/1997 12:00:00 AM,155,,,Hamstead (Birmingham),3.1,Pheasey,,,Walsall,Pheasey Park Farm,
B43 7BA,Yes,52.560527,-1.930538,404806,295857,SP048958,1/1/1980 12:00:00 AM,,155,45,16,Tame Bridge Parkway,3.2,,South Staffordshire Water,Severn Trent,Walsall,Pheasey Park Farm,
B43 7BB,Yes,52.560012,-1.929943,404846,295800,SP048957,1/1/1980 12:00:00 AM,,157,7,2,Hamstead (Birmingham),3.2,,South Staffordshire Water,Severn Trent,Walsall,Pheasey Park Farm,
B43 7BF,Yes,52.554622,-1.918512,405622,295201,SP056952,9/1/2008 12:00:00 AM,,154,42,22,Hamstead (Birmingham),2.7,Pheasey,South Staffordshire Water,Severn Trent,Walsall,Pheasey Park Farm,
B43 7BH,Yes,52.554253,-1.917156,405714,295160,SP057951,8/1/2008 12:00:00 AM,,156,33,13,Hamstead (Birmingham),2.7,Pheasey,South Staffordshire Water,Severn Trent,Walsall,Pheasey Park Farm,
B43 7BJ,Yes,52.554667,-1.917362,405700,295206,SP056952,5/1/2008 12:00:00 AM,,156,31,13,Hamstead (Birmingham),2.7,Pheasey,South Staffordshire Water,Severn Trent,Walsall,Pheasey Park Farm,
B43 7BL,Yes,52.555944,-1.917861,405666,295348,SP056953,3/1/2013 12:00:00 AM,,162,,,Hamstead (Birmingham),2.9,Pheasey,South Staffordshire Water,Severn Trent,Walsall,Pheasey Park Farm,
B43 7BN,Yes,52.556991,-1.911310,406110,295465,SP061954,1/1/1980 12:00:00 AM,,152,68,31,Hamstead (Birmingham),3.1,Pheasey,South Staffordshire Water,Severn Trent,Walsall,Pheasey Park Farm,
B43 7BP,Yes,52.553259,-1.909975,406201,295050,SP062950,1/1/1980 12:00:00 AM,,139,14,5,Hamstead (Birmingham),2.8,Pheasey,South Staffordshire Water,Severn Trent,Walsall,Pheasey Park Farm,
B43 7BQ,Yes,52.556201,-1.917456,405693,295377,SP056953,1/1/2009 12:00:00 AM,,164,66,42,Hamstead (Birmingham),2.9,Pheasey,South Staffordshire Water,Severn Trent,Walsall,Pheasey Park Farm,
B43 7BS,Yes,52.553789,-1.909502,406233,295109,SP062951,1/1/1980 12:00:00 AM,,141,8,4,Hamstead (Birmingham),2.8,Pheasey,South Staffordshire Water,Severn Trent,Walsall,Pheasey Park Farm,
B43 7BT,Yes,52.554958,-1.910119,406191,295239,SP061952,1/1/1980 12:00:00 AM,,144,51,24,Hamstead (Birmingham),2.9,Pheasey,South Staffordshire Water,Severn Trent,Walsall,Pheasey Park Farm,
B43 7BU,Yes,52.555812,-1.909395,406240,295334,SP062953,1/1/1980 12:00:00 AM,,150,52,19,Hamstead (Birmingham),3.1,Pheasey,South Staffordshire Water,Severn Trent,Walsall,Pheasey Park Farm,
B43 7BW,Yes,52.554977,-1.910975,406133,295241,SP061952,1/1/1980 12:00:00 AM,,145,45,18,Hamstead (Birmingham),2.9,Pheasey,South Staffordshire Water,Severn Trent,Walsall,Pheasey Park Farm,
B43 7BX,Yes,52.556972,-1.910425,406170,295463,SP061954,1/1/1980 12:00:00 AM,,151,94,36,Hamstead (Birmingham),3.1,Pheasey,South Staffordshire Water,Severn Trent,Walsall,Pheasey Park Farm,
B43 7BY,Yes,52.558879,-1.911719,406082,295675,SP060956,1/1/1980 12:00:00 AM,,156,18,6,Hamstead (Birmingham),3.3,Pheasey,South Staffordshire Water,Severn Trent,Walsall,Pheasey Park Farm,
B43 7BZ,Yes,52.554201,-1.919649,405545,295154,SP055951,12/1/2011 12:00:00 AM,,150,,,Hamstead (Birmingham),2.6,Pheasey,South Staffordshire Water,Severn Trent,Walsall,Pheasey Park Farm,
B43 7DA,Yes,52.559651,-1.911083,406125,295761,SP061957,1/1/1980 12:00:00 AM,,157,118,40,Hamstead (Birmingham),3.4,Pheasey,South Staffordshire Water,Severn Trent,Walsall,Pheasey Park Farm,
B43 7DB,Yes,52.561154,-1.912659,406018,295928,SP060959,1/1/1980 12:00:00 AM,,168,3,3,Hamstead (Birmingham),3.5,Pheasey,South Staffordshire Water,Severn Trent,Walsall,Pheasey Park Farm,
B43 7DD,Yes,52.561117,-1.911051,406127,295924,SP061959,1/1/1980 12:00:00 AM,,163,54,22,Hamstead (Birmingham),3.6,Pheasey,South Staffordshire Water,Severn Trent,Walsall,Pheasey Park Farm,
B43 7DE,Yes,52.561385,-1.909280,406247,295954,SP062959,1/1/1980 12:00:00 AM,,163,30,10,Hamstead (Birmingham),3.6,Pheasey,South Staffordshire Water,Severn Trent,Walsall,Pheasey Park Farm,
B43 7DF,Yes,52.561105,-1.907260,406384,295923,SP063959,1/1/1980 12:00:00 AM,,166,63,27,Hamstead (Birmingham),3.6,Pheasey,South Staffordshire Water,Severn Trent,Walsall,Pheasey Park Farm,
B43 7DG,Yes,52.560752,-1.903986,406606,295884,SP066958,1/1/1980 12:00:00 AM,,182,64,28,Hamstead (Birmingham),3.7,Pheasey,South Staffordshire Water,Severn Trent,Walsall,Pheasey Park Farm,
B43 7DH,Yes,52.560754,-1.906656,406425,295884,SP064958,1/1/1980 12:00:00 AM,,166,56,20,Hamstead (Birmingham),3.6,Pheasey,South Staffordshire Water,Severn Trent,Walsall,Pheasey Park Farm,
B43 7DJ,Yes,52.560063,-1.908678,406288,295807,SP062958,1/1/1980 12:00:00 AM,,159,113,47,Hamstead (Birmingham),3.5,Pheasey,South Staffordshire Water,Severn Trent,Walsall,Pheasey Park Farm,
