Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
M23 9HB,Yes,53.401745,-2.311507,379386,389481,SJ793894,1/1/1980 12:00:00 AM,,31,67,22,Navigation Road,2.2,Wythenshawe,United Utilities,,Trafford,Timperley North,
M23 9HD,Yes,53.404193,-2.313767,379237,389754,SJ792897,1/1/1980 12:00:00 AM,,31,69,24,Navigation Road,2.2,Wythenshawe,United Utilities,,Trafford,Timperley North,
M23 9HH,Yes,53.405552,-2.316409,379062,389906,SJ790899,1/1/1980 12:00:00 AM,,30,26,13,Navigation Road,2.1,Wythenshawe,United Utilities,,Trafford,Timperley North,
M23 9NQ,No,53.399019,-2.308946,379555,389177,SJ795891,1/1/1980 12:00:00 AM,10/1/2000 12:00:00 AM,35,,,Navigation Road,2.3,Wythenshawe,,,Trafford,Timperley North,
M23 9PA,Yes,53.405006,-2.315472,379124,389845,SJ791898,2/1/1990 12:00:00 AM,,30,27,14,Navigation Road,2.1,Wythenshawe,United Utilities,,Trafford,Timperley North,
M23 9PB,Yes,53.405276,-2.315595,379116,389875,SJ791898,2/1/1990 12:00:00 AM,,30,16,11,Navigation Road,2.1,Wythenshawe,United Utilities,,Trafford,Timperley North,
M23 9PY,Yes,53.405185,-2.316075,379084,389865,SJ790898,2/1/1990 12:00:00 AM,,30,13,6,Navigation Road,2.1,Wythenshawe,United Utilities,,Trafford,Timperley North,
M23 9PZ,Yes,53.404735,-2.315937,379093,389815,SJ790898,2/1/1990 12:00:00 AM,,29,21,18,Navigation Road,2.1,Wythenshawe,United Utilities,,Trafford,Timperley North,
M23 9QT,Yes,53.405779,-2.315508,379122,389931,SJ791899,3/1/2005 12:00:00 AM,,30,16,13,Navigation Road,2.2,Wythenshawe,United Utilities,,Trafford,Timperley North,
M23 9QU,Yes,53.405538,-2.314980,379157,389904,SJ791899,2/1/2005 12:00:00 AM,,30,13,9,Navigation Road,2.2,Wythenshawe,United Utilities,,Trafford,Timperley North,
M33 1AF,No,53.429756,-2.320532,378800,392600,SJ787925,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,28,,,Humphrey Park,2.5,Sale,,,Trafford,Ashton upon Mersey,
M33 1BX,No,53.427934,-2.329548,378200,392400,SJ781923,2/1/1984 12:00:00 AM,12/1/1991 12:00:00 AM,25,,,Humphrey Park,2.7,Sale,,,Trafford,Ashton upon Mersey,
M33 1ET,No,53.428849,-2.323535,378600,392500,SJ786924,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,27,,,Humphrey Park,2.6,Sale,,,Trafford,Ashton upon Mersey,
M33 1EU,No,53.426788,-2.324753,378518,392271,SJ785922,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,28,,,Humphrey Park,2.8,Sale,United Utilities,,Trafford,Ashton upon Mersey,
M33 1EY,No,53.427615,-2.324760,378518,392363,SJ785923,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,28,,,Humphrey Park,2.7,Sale,,,Trafford,Ashton upon Mersey,
M33 1EZ,No,53.427335,-2.325299,378482,392332,SJ784923,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,28,,,Humphrey Park,2.8,Sale,,,Trafford,Ashton upon Mersey,
M33 1FT,No,53.426672,-2.324376,378543,392258,SJ785922,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,28,,,Humphrey Park,2.8,Sale,,,Trafford,Ashton upon Mersey,
M33 1FU,No,53.427239,-2.323914,378574,392321,SJ785923,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,28,,,Humphrey Park,2.8,Sale,,,Trafford,Ashton upon Mersey,
M33 1FX,No,53.428849,-2.323535,378600,392500,SJ786924,9/1/1991 12:00:00 AM,5/1/1994 12:00:00 AM,27,,,Humphrey Park,2.6,Sale,,,Trafford,Ashton upon Mersey,
