Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
CH1 4QL,Yes,53.193793,-2.929753,337980,366705,SJ379667,8/1/1993 12:00:00 AM,,6,,,Bache,3.0,Chester,Dee Valley Water,,Flintshire,Queensferry and Sealand,
CH1 6BA,Yes,53.208489,-2.968581,335408,368374,SJ354683,12/1/1995 12:00:00 AM,,6,,,Hawarden Bridge,4.4,,Dee Valley Water,,Flintshire,Queensferry and Sealand,
CH1 6BB,Yes,53.199203,-2.968297,335413,367341,SJ354673,1/1/1980 12:00:00 AM,,6,21,9,Hawarden,4.5,,Dee Valley Water,,Flintshire,Queensferry and Sealand,
CH1 6BL,Yes,53.214762,-2.964335,335701,369068,SJ357690,1/1/1980 12:00:00 AM,,6,18,8,Hawarden Bridge,4.6,,United Utilities,,Flintshire,Queensferry and Sealand,
CH1 6BP,Yes,53.197105,-2.963280,335745,367103,SJ357671,1/1/1980 12:00:00 AM,,5,16,6,Hawarden,4.8,,Dee Valley Water,,Flintshire,Queensferry and Sealand,
CH1 6BQ,Yes,53.202719,-2.976236,334888,367739,SJ348677,7/1/1995 12:00:00 AM,,6,33,13,Hawarden Bridge,4.1,,Dee Valley Water,,Flintshire,Queensferry and Sealand,
CH1 6BR,Yes,53.211525,-2.968874,335393,368712,SJ353687,3/1/1983 12:00:00 AM,,5,21,7,Hawarden Bridge,4.3,,Dee Valley Water,,Flintshire,Queensferry and Sealand,
CH1 6BS,Yes,53.202223,-2.948513,336739,367659,SJ367676,1/1/1980 12:00:00 AM,,6,48,20,Bache,3.9,,Dee Valley Water,,Flintshire,Queensferry and Sealand,
CH1 6BT,No,53.205315,-2.958718,336062,368012,SJ360680,1/1/1980 12:00:00 AM,2/1/2014 12:00:00 AM,4,,,Bache,4.5,,,,Flintshire,Queensferry and Sealand,
CH1 6BX,Yes,53.195862,-2.958297,336076,366960,SJ360669,8/1/1993 12:00:00 AM,,6,6,2,Bache,4.7,,Dee Valley Water,,Flintshire,Queensferry and Sealand,
CH1 6BY,Yes,53.209375,-2.970218,335300,368474,SJ353684,10/1/1985 12:00:00 AM,,5,28,12,Hawarden Bridge,4.3,,Dee Valley Water,,Flintshire,Queensferry and Sealand,
CH1 6BZ,Yes,53.205772,-2.973266,335091,368076,SJ350680,1/1/1980 12:00:00 AM,,6,9,3,Hawarden Bridge,4.2,,Dee Valley Water,,Flintshire,Queensferry and Sealand,
CH1 6DD,Yes,53.199857,-2.967488,335468,367413,SJ354674,6/1/1998 12:00:00 AM,,5,,,Hawarden,4.6,,Dee Valley Water,,Flintshire,Queensferry and Sealand,
CH1 6EB,Yes,53.205322,-2.958733,336061,368013,SJ360680,1/1/1980 12:00:00 AM,,5,,,Bache,4.5,,United Utilities,,Flintshire,Queensferry and Sealand,
CH1 6HA,No,53.215780,-2.966334,335569,369183,SJ355691,10/1/2005 12:00:00 AM,9/1/2007 12:00:00 AM,6,,,Hawarden Bridge,4.4,,,,Flintshire,Queensferry and Sealand,
CH1 6HB,Yes,53.215491,-2.966478,335559,369151,SJ355691,7/1/2004 12:00:00 AM,,7,77,25,Hawarden Bridge,4.4,,United Utilities,,Flintshire,Queensferry and Sealand,
CH1 6HH,Yes,53.215140,-2.965392,335631,369111,SJ356691,1/1/2008 12:00:00 AM,,7,8,3,Hawarden Bridge,4.5,,United Utilities,,Flintshire,Queensferry and Sealand,
CH1 6QB,Yes,53.186356,-2.944991,336951,365891,SJ369658,1/1/1980 12:00:00 AM,,6,12,5,Bache,4.3,,United Utilities,,Flintshire,Queensferry and Sealand,
CH1 6QE,Yes,53.188672,-2.930913,337895,366136,SJ378661,1/1/1980 12:00:00 AM,,6,7,3,Bache,3.4,,Dee Valley Water,,Flintshire,Queensferry and Sealand,
CH1 6QF,Yes,53.192735,-2.937438,337465,366594,SJ374665,1/1/1980 12:00:00 AM,,5,23,10,Bache,3.5,,Dee Valley Water,,Flintshire,Queensferry and Sealand,
CH1 6QG,Yes,53.190111,-2.939969,337292,366304,SJ372663,1/1/1980 12:00:00 AM,,5,8,4,Bache,3.8,,Dee Valley Water,,Flintshire,Queensferry and Sealand,
CH1 6QQ,Yes,53.186317,-2.944257,337000,365886,SJ369658,1/1/1980 12:00:00 AM,,5,5,2,Bache,4.3,,Dee Valley Water,,Flintshire,Queensferry and Sealand,
CH4 0AA,Yes,53.149273,-3.048395,329981,361862,SJ299618,8/1/2016 12:00:00 AM,,28,,,Penyffordd,0.8,Penyffordd,Dee Valley Water,Dwr Cymru Welsh Water,Flintshire,Pen-y-ffordd,
CH4 0AB,Yes,53.154416,-3.026792,331434,362413,SJ314624,3/1/2012 12:00:00 AM,,108,,,Buckley,2.2,,,,Flintshire,Pen-y-ffordd,
CH4 0AD,Yes,53.164722,-2.994579,333604,363529,SJ336635,7/1/2011 12:00:00 AM,,28,,,Hawarden,3.4,Broughton (Flintshire),,,Flintshire,Broughton North East,
CH4 0AE,Yes,53.177899,-2.938251,337389,364944,SJ373649,1/1/1980 12:00:00 AM,,7,79,40,Chester,4.4,Chester,Dee Valley Water,,Flintshire,Saltney Ferry,
CH4 0AF,Yes,53.178027,-2.937969,337408,364958,SJ374649,1/1/1980 12:00:00 AM,,6,42,20,Chester,4.4,Chester,Dee Valley Water,Dwr Cymru Welsh Water,Flintshire,Saltney Ferry,
CH4 0AG,Yes,53.176410,-2.941271,337185,364781,SJ371647,1/1/1980 12:00:00 AM,,6,40,14,Chester,4.7,Chester,Dee Valley Water,,Flintshire,Saltney Ferry,
CH4 0AH,Yes,53.178339,-2.937213,337459,364992,SJ374649,1/1/1980 12:00:00 AM,,6,58,28,Chester,4.3,Chester,Dee Valley Water,,Flintshire,Saltney Ferry,
CH4 0AJ,Yes,53.149324,-3.047664,330030,361867,SJ300618,9/1/2016 12:00:00 AM,,103,,,Penyffordd,0.8,Penyffordd,Dee Valley Water,,Flintshire,Pen-y-ffordd,
CH4 0AL,Yes,53.177944,-2.943863,337014,364954,SJ370649,1/1/1980 12:00:00 AM,,6,55,21,Chester,4.8,Chester,Dee Valley Water,,Flintshire,Saltney Ferry,
CH4 0AN,Yes,53.148281,-3.050031,329870,361753,SJ298617,11/1/2013 12:00:00 AM,,105,,,Penyffordd,0.7,Penyffordd,Dee Valley Water,Dwr Cymru Welsh Water,Flintshire,Pen-y-ffordd,
CH4 0AP,Yes,53.176793,-2.938003,337404,364821,SJ374648,1/1/1980 12:00:00 AM,,7,5,4,Chester,4.5,Chester,Dee Valley Water,,Flintshire,Saltney Ferry,
CH4 0AQ,Yes,53.176040,-2.943686,337023,364742,SJ370647,1/1/1980 12:00:00 AM,,5,26,10,Chester,4.8,Chester,Dee Valley Water,,Flintshire,Saltney Ferry,
CH4 0AR,Yes,53.176792,-2.938138,337395,364821,SJ373648,1/1/1980 12:00:00 AM,,7,4,1,Chester,4.5,Chester,Dee Valley Water,,Flintshire,Saltney Ferry,
CH4 0AS,Yes,53.177205,-2.941871,337146,364870,SJ371648,1/1/1980 12:00:00 AM,,6,70,31,Chester,4.7,Chester,Dee Valley Water,,Flintshire,Saltney Ferry,
CH4 0AT,Yes,53.178658,-2.942337,337117,365032,SJ371650,1/1/1980 12:00:00 AM,,6,72,35,Chester,4.6,Chester,Dee Valley Water,,Flintshire,Saltney Ferry,
CH4 0AU,Yes,53.148490,-3.049722,329891,361776,SJ298617,6/1/2014 12:00:00 AM,,105,,,Penyffordd,0.7,Penyffordd,Dee Valley Water,Dwr Cymru Welsh Water,Flintshire,Pen-y-ffordd,
CH4 0AW,Yes,53.146792,-3.049412,329909,361587,SJ299615,6/1/2014 12:00:00 AM,,105,,,Penyffordd,0.5,Penyffordd,Dee Valley Water,,Flintshire,Pen-y-ffordd,
CH4 0AX,Yes,53.176484,-2.942904,337076,364791,SJ370647,1/1/1980 12:00:00 AM,,6,21,8,Chester,4.8,Chester,Dee Valley Water,,Flintshire,Saltney Ferry,
CH4 0AY,Yes,53.177477,-2.942730,337089,364901,SJ370649,1/1/1980 12:00:00 AM,,6,43,21,Chester,4.7,Chester,Dee Valley Water,,Flintshire,Saltney Ferry,
CH4 0AZ,Yes,53.178702,-2.943595,337033,365038,SJ370650,1/1/1980 12:00:00 AM,,6,90,37,Chester,4.7,Chester,Dee Valley Water,,Flintshire,Saltney Ferry,
CH4 0BA,No,53.182828,-2.962690,335763,365514,SJ357655,1/1/1991 12:00:00 AM,6/1/2017 12:00:00 AM,4,,,Hawarden,4.6,Broughton (Flintshire),Dee Valley Water,,Flintshire,Broughton North East,
CH4 0BB,Yes,53.186859,-2.974304,334993,365973,SJ349659,12/1/2001 12:00:00 AM,,5,,,Hawarden,3.9,Broughton (Flintshire),Dee Valley Water,,Flintshire,Broughton North East,
CH4 0BD,No,53.180219,-2.946097,336868,365209,SJ368652,9/1/2007 12:00:00 AM,2/1/2009 12:00:00 AM,6,,,Chester,4.8,Chester,,,Flintshire,Saltney Ferry,
CH4 0BE,Yes,53.178561,-2.944370,336981,365023,SJ369650,1/1/1980 12:00:00 AM,,6,52,22,Chester,4.8,Chester,United Utilities,,Flintshire,Saltney Ferry,
CH4 0BF,No,53.176547,-2.945538,336900,364800,SJ368648,12/1/1995 12:00:00 AM,6/1/1999 12:00:00 AM,5,,,Chester,4.9,Chester,,,Flintshire,Saltney Ferry,
CH4 0BG,Yes,53.177000,-2.943887,337011,364849,SJ370648,1/1/1980 12:00:00 AM,,6,91,38,Chester,4.8,Chester,Dee Valley Water,,Flintshire,Saltney Ferry,
CH4 0BH,Yes,53.182348,-2.947386,336785,365447,SJ367654,1/1/1980 12:00:00 AM,,6,81,28,Bache,4.7,Chester,Dee Valley Water,,Flintshire,Saltney Ferry,
CH4 0BJ,Yes,53.181675,-2.946923,336815,365372,SJ368653,1/1/1980 12:00:00 AM,,6,47,26,Bache,4.8,Chester,Dee Valley Water,,Flintshire,Saltney Ferry,
CH4 0BL,Yes,53.181069,-2.948884,336683,365306,SJ366653,1/1/1980 12:00:00 AM,,6,124,44,Bache,4.9,Chester,Dee Valley Water,,Flintshire,Saltney Ferry,
CH4 0BN,Yes,53.177772,-2.945250,336921,364936,SJ369649,1/1/1980 12:00:00 AM,,6,57,29,Chester,4.9,Chester,Dee Valley Water,Dwr Cymru Welsh Water,Flintshire,Saltney Ferry,
CH4 0BP,Yes,53.180843,-2.946784,336823,365279,SJ368652,1/1/1980 12:00:00 AM,,6,12,6,Bache,4.8,Chester,Dee Valley Water,,Flintshire,Saltney Ferry,
CH4 0BQ,Yes,53.176043,-2.945303,336915,364744,SJ369647,1/1/1980 12:00:00 AM,,6,6,3,Chester,4.9,Chester,Dee Valley Water,,Flintshire,Saltney Ferry,
CH4 0BR,Yes,53.181223,-2.948738,336693,365323,SJ366653,1/1/1980 12:00:00 AM,,6,123,46,Bache,4.9,Chester,Dee Valley Water,Dwr Cymru Welsh Water,Flintshire,Saltney Ferry,
