Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
DE2 5BA,No,52.984186,-1.450422,436994,343124,SK369431,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,74,,,Duffield,2.4,,,,Amber Valley,"Kilburn, Denby, Holbrook & Horsley",Horsley
DE2 5BB,No,52.988870,-1.450527,436983,343645,SK369436,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,73,,,Duffield,2.4,,,,Amber Valley,"Kilburn, Denby, Holbrook & Horsley",Horsley
DE2 5BD,No,52.986966,-1.445114,437348,343436,SK373434,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,77,,,Duffield,2.7,,,,Amber Valley,"Kilburn, Denby, Holbrook & Horsley",Horsley
DE2 5BE,No,52.992440,-1.456724,436564,344039,SK365440,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,83,,,Duffield,2.0,,,,Amber Valley,"Kilburn, Denby, Holbrook & Horsley",Horsley
DE2 5BH,No,52.989322,-1.445262,437336,343698,SK373436,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,77,,,Duffield,2.7,,,,Amber Valley,"Kilburn, Denby, Holbrook & Horsley",Horsley
DE2 5BJ,No,52.985350,-1.428526,438463,343265,SK384432,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,113,,,Duffield,3.9,,,,Amber Valley,"Kilburn, Denby, Holbrook & Horsley",Horsley
DE2 5BL,No,52.994338,-1.433935,438092,344262,SK380442,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,89,,,Duffield,3.5,Horsley (Amber Valley),,,Amber Valley,"Kilburn, Denby, Holbrook & Horsley",Horsley
DE2 5BN,No,52.996532,-1.431984,438221,344507,SK382445,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,102,,,Duffield,3.7,Horsley (Amber Valley),,,Amber Valley,"Kilburn, Denby, Holbrook & Horsley",Horsley
DE2 5BP,No,52.995860,-1.436269,437934,344430,SK379444,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,101,,,Duffield,3.4,Horsley (Amber Valley),,,Amber Valley,"Kilburn, Denby, Holbrook & Horsley",Horsley
DE2 5BQ,No,52.996316,-1.435756,437968,344481,SK379444,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,103,,,Duffield,3.5,Horsley (Amber Valley),,,Amber Valley,"Kilburn, Denby, Holbrook & Horsley",Horsley
DE2 5BR,No,52.996671,-1.440445,437653,344518,SK376445,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,99,,,Duffield,3.2,Horsley (Amber Valley),,,Amber Valley,"Kilburn, Denby, Holbrook & Horsley",Horsley
DE2 5BS,No,52.996674,-1.437286,437865,344520,SK378445,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,104,,,Duffield,3.4,Horsley (Amber Valley),,,Amber Valley,"Kilburn, Denby, Holbrook & Horsley",Horsley
DE2 5BT,No,52.995716,-1.438267,437800,344413,SK378444,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,102,,,Duffield,3.3,Horsley (Amber Valley),,,Amber Valley,"Kilburn, Denby, Holbrook & Horsley",Horsley
DE21 5BA,Yes,52.984390,-1.449839,437033,343147,SK370431,8/1/1992 12:00:00 AM,,73,42,18,Duffield,2.5,,Severn Trent,,Amber Valley,"Kilburn, Denby, Holbrook & Horsley",Horsley
DE21 5BB,Yes,52.988500,-1.450323,436997,343604,SK369436,8/1/1992 12:00:00 AM,,73,72,15,Duffield,2.4,,Severn Trent,,Amber Valley,"Kilburn, Denby, Holbrook & Horsley",Horsley
DE21 5BD,Yes,52.984195,-1.444524,437390,343128,SK373431,8/1/1992 12:00:00 AM,,86,11,4,Duffield,2.8,,Severn Trent,,Amber Valley,"Kilburn, Denby, Holbrook & Horsley",Horsley
DE21 5BE,Yes,52.988894,-1.459658,436370,343643,SK363436,8/1/1992 12:00:00 AM,,115,67,25,Duffield,1.8,,Severn Trent,,Amber Valley,"Kilburn, Denby, Holbrook & Horsley",Horsley
DE21 5BF,Yes,52.996710,-1.441145,437606,344522,SK376445,2/1/2004 12:00:00 AM,,98,,,Duffield,3.1,Horsley (Amber Valley),,,Amber Valley,"Kilburn, Denby, Holbrook & Horsley",Horsley
DE21 5BG,No,52.991702,-1.450699,436969,343960,SK369439,11/1/2010 12:00:00 AM,2/1/2015 12:00:00 AM,67,,,Duffield,2.4,,,,Amber Valley,"Kilburn, Denby, Holbrook & Horsley",Horsley
DE21 5BH,Yes,52.989303,-1.445173,437342,343696,SK373436,8/1/1992 12:00:00 AM,,77,79,32,Duffield,2.7,,Severn Trent,,Amber Valley,"Kilburn, Denby, Holbrook & Horsley",Horsley
DE21 5BJ,Yes,52.985369,-1.428508,438464,343267,SK384432,8/1/1992 12:00:00 AM,,113,6,2,Duffield,3.9,,Severn Trent,,Amber Valley,"Kilburn, Denby, Holbrook & Horsley",Horsley
DE21 5BL,Yes,52.993351,-1.434127,438080,344152,SK380441,8/1/1992 12:00:00 AM,,81,26,12,Duffield,3.5,Horsley (Amber Valley),Severn Trent,,Amber Valley,"Kilburn, Denby, Holbrook & Horsley",Horsley
DE21 5BN,Yes,52.996810,-1.431709,438239,344538,SK382445,8/1/1992 12:00:00 AM,,103,50,18,Duffield,3.7,Horsley (Amber Valley),Severn Trent,,Amber Valley,"Kilburn, Denby, Holbrook & Horsley",Horsley
DE21 5BP,Yes,52.995851,-1.436043,437949,344429,SK379444,8/1/1992 12:00:00 AM,,101,52,21,Duffield,3.4,Horsley (Amber Valley),Severn Trent,,Amber Valley,"Kilburn, Denby, Holbrook & Horsley",Horsley
DE21 5BQ,Yes,52.996307,-1.435772,437967,344480,SK379444,8/1/1992 12:00:00 AM,,103,43,21,Duffield,3.5,Horsley (Amber Valley),Severn Trent,,Amber Valley,"Kilburn, Denby, Holbrook & Horsley",Horsley
DE21 5BR,Yes,52.996626,-1.440565,437645,344513,SK376445,8/1/1992 12:00:00 AM,,99,59,28,Duffield,3.2,Horsley (Amber Valley),Severn Trent,,Amber Valley,"Kilburn, Denby, Holbrook & Horsley",Horsley
DE21 5BS,Yes,52.996656,-1.437302,437864,344518,SK378445,8/1/1992 12:00:00 AM,,104,78,38,Duffield,3.4,Horsley (Amber Valley),Severn Trent,,Amber Valley,"Kilburn, Denby, Holbrook & Horsley",Horsley
DE21 5BT,Yes,52.995572,-1.438043,437815,344397,SK378443,8/1/1992 12:00:00 AM,,102,14,5,Duffield,3.3,Horsley (Amber Valley),Severn Trent,,Amber Valley,"Kilburn, Denby, Holbrook & Horsley",Horsley
DE5 0HW,No,53.022935,-1.449707,437009,347435,SK370474,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,133,,,Belper,2.2,Belper,,,Amber Valley,"Kilburn, Denby, Holbrook & Horsley",Horsley
DE5 0JL,No,53.007876,-1.435725,437960,345767,SK379457,4/1/1987 12:00:00 AM,12/1/1992 12:00:00 AM,101,,,Belper,3.6,Kilburn and Horsley Woodhouse,,,Amber Valley,"Kilburn, Denby, Holbrook & Horsley",Horsley
DE5 0JN,No,53.006316,-1.434747,438027,345594,SK380455,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,107,,,Belper,3.7,Kilburn and Horsley Woodhouse,,,Amber Valley,"Kilburn, Denby, Holbrook & Horsley",Horsley
DE5 0JP,No,53.005240,-1.433330,438123,345475,SK381454,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,109,,,Belper,3.9,Kilburn and Horsley Woodhouse,,,Amber Valley,"Kilburn, Denby, Holbrook & Horsley",Horsley
DE5 0JR,No,53.005207,-1.432049,438209,345472,SK382454,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,113,,,Belper,4.0,Kilburn and Horsley Woodhouse,,,Amber Valley,"Kilburn, Denby, Holbrook & Horsley",Horsley
DE5 0JS,No,53.006080,-1.432410,438184,345569,SK381455,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,114,,,Belper,3.9,Kilburn and Horsley Woodhouse,,,Amber Valley,"Kilburn, Denby, Holbrook & Horsley",Horsley
DE5 0JT,No,53.005733,-1.431327,438257,345531,SK382455,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,117,,,Belper,4.0,Kilburn and Horsley Woodhouse,,,Amber Valley,"Kilburn, Denby, Holbrook & Horsley",Horsley
DE5 0JU,No,53.004979,-1.431441,438250,345447,SK382454,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,113,,,Belper,4.0,Kilburn and Horsley Woodhouse,,,Amber Valley,"Kilburn, Denby, Holbrook & Horsley",Horsley
DE5 0JW,No,53.005595,-1.434339,438055,345514,SK380455,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,106,,,Belper,3.8,Kilburn and Horsley Woodhouse,,,Amber Valley,"Kilburn, Denby, Holbrook & Horsley",Horsley
DE5 0JX,No,53.005731,-1.430776,438294,345531,SK382455,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,118,,,Belper,4.0,Kilburn and Horsley Woodhouse,,,Amber Valley,"Kilburn, Denby, Holbrook & Horsley",Horsley
DE5 0JY,No,53.005760,-1.429404,438386,345535,SK383455,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,120,,,Belper,4.1,Kilburn and Horsley Woodhouse,,,Amber Valley,"Kilburn, Denby, Holbrook & Horsley",Horsley
DE5 0JZ,No,53.004817,-1.429625,438372,345430,SK383454,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,120,,,Belper,4.1,Kilburn and Horsley Woodhouse,,,Amber Valley,"Kilburn, Denby, Holbrook & Horsley",Horsley
DE5 0LA,No,53.009238,-1.434843,438018,345919,SK380459,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,98,,,Belper,3.6,Kilburn and Horsley Woodhouse,,,Amber Valley,"Kilburn, Denby, Holbrook & Horsley",Horsley
DE5 0LG,No,53.014455,-1.433552,438100,346500,SK381465,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,77,,,Belper,3.4,Denby Bottles,,,Amber Valley,"Kilburn, Denby, Holbrook & Horsley",Horsley
DE5 0LH,No,53.015872,-1.436754,437884,346656,SK378466,7/1/1990 12:00:00 AM,12/1/1992 12:00:00 AM,81,,,Belper,3.2,Denby Bottles,,,Amber Valley,"Kilburn, Denby, Holbrook & Horsley",Horsley
DE5 0LJ,No,53.015059,-1.437688,437822,346565,SK378465,7/1/1990 12:00:00 AM,12/1/1992 12:00:00 AM,77,,,Belper,3.1,Denby Bottles,,,Amber Valley,"Kilburn, Denby, Holbrook & Horsley",Horsley
DE5 0LL,No,53.014272,-1.438682,437756,346477,SK377464,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,76,,,Belper,3.1,Denby Bottles,,,Amber Valley,"Kilburn, Denby, Holbrook & Horsley",Horsley
DE5 0LN,No,53.013660,-1.440390,437642,346408,SK376464,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,76,,,Belper,3.0,Denby Bottles,,,Amber Valley,"Kilburn, Denby, Holbrook & Horsley",Horsley
DE5 0LP,No,53.015031,-1.443249,437449,346559,SK374465,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,86,,,Belper,2.8,Denby Bottles,,,Amber Valley,"Kilburn, Denby, Holbrook & Horsley",Horsley
DE5 0LQ,No,53.013037,-1.437998,437803,346340,SK378463,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,75,,,Belper,3.2,Denby Bottles,,,Amber Valley,"Kilburn, Denby, Holbrook & Horsley",Horsley
DE5 0LR,No,53.017383,-1.448361,437104,346818,SK371468,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,104,,,Belper,2.4,Belper,,,Amber Valley,"Kilburn, Denby, Holbrook & Horsley",Horsley
DE5 0LS,No,53.011187,-1.453672,436753,346126,SK367461,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,134,,,Belper,2.4,,,,Amber Valley,"Kilburn, Denby, Holbrook & Horsley",Horsley
DE5 0LT,No,53.008244,-1.435735,437959,345808,SK379458,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,102,,,Belper,3.6,Kilburn and Horsley Woodhouse,,,Amber Valley,"Kilburn, Denby, Holbrook & Horsley",Horsley
DE5 0LU,No,53.006891,-1.438525,437773,345656,SK377456,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,94,,,Belper,3.5,Kilburn and Horsley Woodhouse,,,Amber Valley,"Kilburn, Denby, Holbrook & Horsley",Horsley
DE5 0LW,No,53.015125,-1.440266,437649,346571,SK376465,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,79,,,Belper,3.0,Denby Bottles,,,Amber Valley,"Kilburn, Denby, Holbrook & Horsley",Horsley
DE5 0LX,No,53.008132,-1.436571,437903,345795,SK379457,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,101,,,Belper,3.5,Kilburn and Horsley Woodhouse,,,Amber Valley,"Kilburn, Denby, Holbrook & Horsley",Horsley
DE5 0LY,No,53.006537,-1.437680,437830,345617,SK378456,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,96,,,Belper,3.6,Kilburn and Horsley Woodhouse,,,Amber Valley,"Kilburn, Denby, Holbrook & Horsley",Horsley
DE5 0NA,No,53.005315,-1.436027,437942,345482,SK379454,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,101,,,Belper,3.7,Kilburn and Horsley Woodhouse,,,Amber Valley,"Kilburn, Denby, Holbrook & Horsley",Horsley
DE5 0ND,No,53.006137,-1.436806,437889,345573,SK378455,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,98,,,Belper,3.6,Kilburn and Horsley Woodhouse,,,Amber Valley,"Kilburn, Denby, Holbrook & Horsley",Horsley
DE5 0NE,No,53.004583,-1.439017,437742,345399,SK377453,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,85,,,Belper,3.6,Kilburn and Horsley Woodhouse,,,Amber Valley,"Kilburn, Denby, Holbrook & Horsley",Horsley
DE5 0NF,No,53.001712,-1.440052,437675,345079,SK376450,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,74,,,Duffield,3.4,Kilburn and Horsley Woodhouse,,,Amber Valley,"Kilburn, Denby, Holbrook & Horsley",Horsley
