Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
DE55 4PB,Yes,53.070432,-1.334777,444669,352784,SK446527,1/1/1980 12:00:00 AM,,113,106,53,Alfreton,4.1,,Severn Trent,,Ashfield,Jacksdale & Westwood,Selston
NG15 0AA,Yes,53.076799,-1.233621,451439,353560,SK514535,1/1/1980 12:00:00 AM,,146,95,41,Newstead,1.1,Newstead,Severn Trent,,Ashfield,Annesley & Kirkby Woodhouse,Kirkby South
NG15 0AB,Yes,53.078851,-1.233869,451420,353788,SK514537,1/1/1980 12:00:00 AM,,143,82,41,Newstead,1.3,Newstead,Severn Trent,,Ashfield,Annesley & Kirkby Woodhouse,Kirkby South
NG15 0AD,Yes,53.084516,-1.234154,451394,354418,SK513544,3/1/1982 12:00:00 AM,,148,2,1,Newstead,1.8,,Severn Trent,,Ashfield,Kingsway,Kirkby North
NG15 0AE,Yes,53.079921,-1.235343,451320,353906,SK513539,1/1/1980 12:00:00 AM,,143,32,12,Newstead,1.4,Newstead,Severn Trent,,Ashfield,Annesley & Kirkby Woodhouse,Kirkby South
NG15 0AF,Yes,53.080333,-1.235186,451330,353952,SK513539,2/1/1990 12:00:00 AM,,143,24,11,Newstead,1.5,Newstead,Severn Trent,,Ashfield,Annesley & Kirkby Woodhouse,Kirkby South
NG15 0AG,Yes,53.078713,-1.236183,451265,353771,SK512537,1/1/1980 12:00:00 AM,,150,100,39,Newstead,1.4,Newstead,Severn Trent,,Ashfield,Annesley & Kirkby Woodhouse,Kirkby South
NG15 0AH,Yes,53.076679,-1.235937,451284,353545,SK512535,1/1/1980 12:00:00 AM,,154,70,34,Newstead,1.2,Newstead,Severn Trent,,Ashfield,Annesley & Kirkby Woodhouse,Kirkby South
NG15 0AJ,Yes,53.075111,-1.237995,451148,353369,SK511533,1/1/1980 12:00:00 AM,,174,15,5,Newstead,1.2,,Severn Trent,,Ashfield,Annesley & Kirkby Woodhouse,Kirkby South
NG15 0AL,Yes,53.078172,-1.242999,450809,353706,SK508537,8/1/2021 12:00:00 AM,,156,,,Newstead,1.7,Annesley Woodhouse,Severn Trent,,Ashfield,Annesley & Kirkby Woodhouse,Kirkby South
NG15 0AN,Yes,53.078105,-1.242346,450853,353699,SK508536,1/1/1980 12:00:00 AM,,168,31,18,Newstead,1.6,Annesley Woodhouse,Severn Trent,,Ashfield,Annesley & Kirkby Woodhouse,Kirkby South
NG15 0AP,Yes,53.077060,-1.243454,450780,353582,SK507535,1/1/1980 12:00:00 AM,,167,2,1,Newstead,1.6,Annesley Woodhouse,Severn Trent,,Ashfield,Annesley & Kirkby Woodhouse,Kirkby South
NG15 0AQ,Yes,53.075668,-1.240911,450952,353429,SK509534,1/1/1980 12:00:00 AM,,172,16,3,Newstead,1.4,Annesley Woodhouse,Severn Trent,,Ashfield,Annesley & Kirkby Woodhouse,Kirkby South
NG15 0AR,Yes,53.070030,-1.244694,450705,352799,SK507527,1/1/1980 12:00:00 AM,,160,19,1,Newstead,1.5,Annesley Woodhouse,Severn Trent,,Ashfield,Annesley & Kirkby Woodhouse,Kirkby South
NG15 0AS,Yes,53.064575,-1.253550,450118,352186,SK501521,1/1/1980 12:00:00 AM,,171,3,1,Newstead,2.2,,Severn Trent,,Ashfield,Annesley & Kirkby Woodhouse,Kirkby South
NG15 0AT,Yes,53.063619,-1.254493,450056,352079,SK500520,1/1/1980 12:00:00 AM,,166,6,2,Newstead,2.3,,Severn Trent,,Ashfield,Annesley & Kirkby Woodhouse,Kirkby South
NG15 0AU,Yes,53.056102,-1.254144,450088,351243,SK500512,1/1/1980 12:00:00 AM,,159,4,3,Newstead,2.7,,,,Ashfield,Annesley & Kirkby Woodhouse,Kirkby South
NG15 0AW,Yes,53.079031,-1.241031,450940,353803,SK509538,1/1/1980 12:00:00 AM,,170,2,1,Newstead,1.6,Annesley Woodhouse,Severn Trent,,Ashfield,Annesley & Kirkby Woodhouse,Kirkby South
NG15 0AX,Yes,53.074716,-1.231181,451605,353330,SK516533,1/1/1980 12:00:00 AM,,152,15,7,Newstead,0.8,Newstead,Severn Trent,,Ashfield,Annesley & Kirkby Woodhouse,Kirkby South
NG15 0AY,Yes,53.077909,-1.241245,450927,353678,SK509536,1/1/1980 12:00:00 AM,,170,74,35,Newstead,1.6,Annesley Woodhouse,Severn Trent,,Ashfield,Annesley & Kirkby Woodhouse,Kirkby South
NG15 0AZ,Yes,53.078825,-1.241079,450937,353780,SK509537,1/1/1980 12:00:00 AM,,170,64,27,Newstead,1.6,Annesley Woodhouse,Severn Trent,,Ashfield,Annesley & Kirkby Woodhouse,Kirkby South
NG15 0BA,Yes,53.075462,-1.231197,451603,353413,SK516534,3/1/2012 12:00:00 AM,,148,,,Newstead,0.9,Newstead,Severn Trent,,Ashfield,Annesley & Kirkby Woodhouse,Kirkby South
NG15 0BZ,Yes,53.077810,-1.244051,450739,353665,SK507536,8/1/2021 12:00:00 AM,,124,3,2,Newstead,1.7,Annesley Woodhouse,Severn Trent,,Ashfield,Annesley & Kirkby Woodhouse,Kirkby South
NG15 0DA,Yes,53.075580,-1.229882,451691,353427,SK516534,6/1/2012 12:00:00 AM,,142,,,Newstead,0.8,Newstead,Severn Trent,,Ashfield,Annesley & Kirkby Woodhouse,Kirkby South
NG15 0DE,Yes,53.077420,-1.235029,451344,353628,SK513536,7/1/2003 12:00:00 AM,,149,80,34,Newstead,1.2,Newstead,Severn Trent,,Ashfield,Annesley & Kirkby Woodhouse,Kirkby South
NG15 0DF,Yes,53.069070,-1.255084,450010,352685,SK500526,7/1/2007 12:00:00 AM,,152,,,Newstead,2.2,Annesley Woodhouse,,,Ashfield,Annesley & Kirkby Woodhouse,Kirkby South
NG15 0DG,No,53.073783,-1.252601,450171,353211,SK501532,12/1/1998 12:00:00 AM,2/1/2020 12:00:00 AM,165,,,Newstead,2.1,Annesley Woodhouse,,,Ashfield,Annesley & Kirkby Woodhouse,Kirkby South
NG15 0DH,Yes,53.074515,-1.229199,451738,353309,SK517533,12/1/2013 12:00:00 AM,,144,,,Newstead,0.7,Newstead,,,Ashfield,Annesley & Kirkby Woodhouse,Kirkby South
NG15 0DJ,Yes,53.068603,-1.262317,449526,352628,SK495526,6/1/1997 12:00:00 AM,,158,,,Newstead,2.7,,Severn Trent,,Ashfield,Annesley & Kirkby Woodhouse,Kirkby South
NG15 0DP,Yes,53.070550,-1.260177,449667,352846,SK496528,6/1/1997 12:00:00 AM,,157,,,Newstead,2.6,Annesley Woodhouse,Severn Trent,,Ashfield,Annesley & Kirkby Woodhouse,Kirkby South
NG15 0DR,Yes,53.073806,-1.250479,450313,353215,SK503532,6/1/1997 12:00:00 AM,,164,,,Newstead,2.0,Annesley Woodhouse,Severn Trent,,Ashfield,Annesley & Kirkby Woodhouse,Kirkby South
NG15 0DS,Yes,53.070841,-1.252309,450194,352884,SK501528,6/1/1997 12:00:00 AM,,153,,,Newstead,2.0,Annesley Woodhouse,Severn Trent,,Ashfield,Annesley & Kirkby Woodhouse,Kirkby South
NG15 0DT,Yes,53.070831,-1.256262,449929,352880,SK499528,6/1/1998 12:00:00 AM,,157,,,Newstead,2.3,Annesley Woodhouse,Severn Trent,,Ashfield,Annesley & Kirkby Woodhouse,Kirkby South
NG15 0DW,Yes,53.075575,-1.229120,451742,353427,SK517534,6/1/2011 12:00:00 AM,,142,4,1,Newstead,0.8,Newstead,Severn Trent,,Ashfield,Annesley & Kirkby Woodhouse,Kirkby South
NG15 0DX,Yes,53.072561,-1.252712,450165,353075,SK501530,6/1/2000 12:00:00 AM,,159,,,Newstead,2.1,Annesley Woodhouse,Severn Trent,,Ashfield,Annesley & Kirkby Woodhouse,Kirkby South
NG15 0EA,Yes,53.067998,-1.251911,450224,352568,SK502525,9/1/2007 12:00:00 AM,,164,,,Newstead,2.0,,Severn Trent,,Ashfield,Annesley & Kirkby Woodhouse,Kirkby South
NG15 0EB,Yes,53.072664,-1.249051,450410,353089,SK504530,1/1/2008 12:00:00 AM,,157,,,Newstead,1.8,Annesley Woodhouse,Severn Trent,,Ashfield,Annesley & Kirkby Woodhouse,Kirkby South
NG15 0ED,Yes,53.069057,-1.257233,449866,352682,SK498526,7/1/2008 12:00:00 AM,,149,,,Newstead,2.4,Annesley Woodhouse,Severn Trent,,Ashfield,Annesley & Kirkby Woodhouse,Kirkby South
NG15 0EE,Yes,53.076144,-1.230884,451623,353489,SK516534,9/1/2010 12:00:00 AM,,142,16,7,Newstead,0.9,Newstead,Severn Trent,,Ashfield,Annesley & Kirkby Woodhouse,Kirkby South
NG15 0EF,Yes,53.074882,-1.230476,451652,353349,SK516533,5/1/2011 12:00:00 AM,,146,1,1,Newstead,0.8,Newstead,Severn Trent,,Ashfield,Annesley & Kirkby Woodhouse,Kirkby South
NG15 0EG,Yes,53.074930,-1.229520,451716,353355,SK517533,12/1/2012 12:00:00 AM,,143,,,Newstead,0.8,Newstead,Severn Trent,,Ashfield,Annesley & Kirkby Woodhouse,Kirkby South
NG15 0EH,Yes,53.073604,-1.228780,451767,353208,SK517532,12/1/2014 12:00:00 AM,,147,,,Newstead,0.6,Newstead,,,Ashfield,Annesley & Kirkby Woodhouse,Kirkby South
NG15 0EJ,Yes,53.072978,-1.229209,451739,353138,SK517531,6/1/2015 12:00:00 AM,,145,,,Newstead,0.6,Newstead,,,Ashfield,Annesley & Kirkby Woodhouse,Kirkby South
NG15 0EL,Yes,53.073840,-1.229149,451742,353234,SK517532,4/1/2015 12:00:00 AM,,146,,,Newstead,0.7,Newstead,,,Ashfield,Annesley & Kirkby Woodhouse,Kirkby South
NG15 0EN,Yes,53.081690,-1.228023,451808,354108,SK518541,10/1/2016 12:00:00 AM,,145,,,Newstead,1.4,,,,Ashfield,Kingsway,Kirkby North
NG15 0FE,No,53.072470,-1.255341,449989,353063,SK499530,12/1/2000 12:00:00 AM,9/1/2002 12:00:00 AM,159,,,Newstead,2.3,Annesley Woodhouse,,,Ashfield,Annesley & Kirkby Woodhouse,Kirkby South
NG15 0HT,Yes,53.070515,-1.254777,450029,352846,SK500528,7/1/2007 12:00:00 AM,,152,,,Newstead,2.2,Annesley Woodhouse,Severn Trent,,Ashfield,Annesley & Kirkby Woodhouse,Kirkby South
NG15 0RS,No,53.071095,-1.258290,449793,352908,SK497529,12/1/1997 12:00:00 AM,9/1/2009 12:00:00 AM,151,,,Newstead,2.4,Annesley Woodhouse,Severn Trent,,Ashfield,Annesley & Kirkby Woodhouse,Kirkby South
NG16 5BP,Yes,53.048662,-1.316032,445948,350374,SK459503,1/1/1980 12:00:00 AM,,104,48,21,Langley Mill,3.5,Brinsley and Underwood,Severn Trent,,Ashfield,Underwood,Selston
NG16 5BQ,Yes,53.049763,-1.315269,445998,350497,SK459504,1/1/1980 12:00:00 AM,,108,86,40,Langley Mill,3.7,Brinsley and Underwood,Severn Trent,,Ashfield,Underwood,Selston
NG16 5BS,Yes,53.050056,-1.314442,446053,350530,SK460505,1/1/1980 12:00:00 AM,,111,49,23,Langley Mill,3.7,Brinsley and Underwood,Severn Trent,,Ashfield,Underwood,Selston
NG16 5BZ,Yes,53.043834,-1.301847,446904,349846,SK469498,1/1/1980 12:00:00 AM,,112,72,32,Langley Mill,3.5,Brinsley and Underwood,Severn Trent,,Ashfield,Underwood,Selston
NG16 5DQ,Yes,53.050171,-1.291138,447615,350558,SK476505,11/1/2015 12:00:00 AM,,107,,,Langley Mill,4.5,,,,Ashfield,Underwood,Selston
