Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
CT15 7EZ,Yes,51.148673,1.195643,623598,143679,TR235436,1/1/1980 12:00:00 AM,,138,19,7,Shepherds Well,5.0,,Affinity Water,Southern Water,Folkestone and Hythe,North Downs East,Elham Valley
CT15 7GH,No,51.150578,1.198663,623800,143900,TR237438,5/1/1994 12:00:00 AM,12/1/1996 12:00:00 AM,142,,,Shepherds Well,4.7,,,,Folkestone and Hythe,North Downs East,Elham Valley
CT15 7GY,Yes,51.146282,1.167035,621609,143327,TR216433,4/1/2012 12:00:00 AM,,146,,,Shepherds Well,6.4,,Affinity Water,Southern Water,Folkestone and Hythe,North Downs East,Elham Valley
CT15 7HA,Yes,51.146832,1.189609,623185,143456,TR231434,1/1/1980 12:00:00 AM,,143,49,20,Shepherds Well,5.4,,Affinity Water,Southern Water,Folkestone and Hythe,North Downs East,Elham Valley
CT15 7HB,Yes,51.142602,1.191662,623349,142992,TR233429,1/1/1980 12:00:00 AM,,120,5,1,Kearsney (Kent),5.7,,Affinity Water,Southern Water,Folkestone and Hythe,North Downs East,Elham Valley
CT15 7HD,Yes,51.143018,1.179253,622479,143001,TR224430,1/1/1980 12:00:00 AM,,148,8,3,Shepherds Well,6.2,,Affinity Water,Southern Water,Folkestone and Hythe,North Downs East,Elham Valley
CT15 7HE,Yes,51.146913,1.168435,621704,143401,TR217434,1/1/1980 12:00:00 AM,,143,4,1,Shepherds Well,6.3,,Affinity Water,Southern Water,Folkestone and Hythe,North Downs East,Elham Valley
CT15 7HF,Yes,51.148685,1.172776,621999,143611,TR219436,1/1/1980 12:00:00 AM,,144,10,5,Shepherds Well,5.9,,Affinity Water,Southern Water,Folkestone and Hythe,North Downs East,Elham Valley
CT15 7HG,Yes,51.152007,1.189053,623121,144030,TR231440,1/1/1980 12:00:00 AM,,144,17,4,Shepherds Well,4.9,,Affinity Water,Southern Water,Folkestone and Hythe,North Downs East,Elham Valley
CT15 7HH,Yes,51.157476,1.176142,622192,144599,TR221445,1/1/1980 12:00:00 AM,,135,,,Shepherds Well,5.1,,Affinity Water,Southern Water,Folkestone and Hythe,North Downs East,Elham Valley
CT15 7HJ,Yes,51.160414,1.172451,621920,144914,TR219449,1/1/1980 12:00:00 AM,,138,36,12,Shepherds Well,5.1,,Affinity Water,Southern Water,Folkestone and Hythe,North Downs East,Elham Valley
CT15 7HL,Yes,51.156750,1.171227,621852,144503,TR218445,1/1/1980 12:00:00 AM,,138,20,9,Shepherds Well,5.4,,Affinity Water,Southern Water,Folkestone and Hythe,North Downs East,Elham Valley
CT15 7HN,Yes,51.152243,1.168788,621703,143995,TR217439,1/1/1980 12:00:00 AM,,136,4,2,Shepherds Well,5.9,,Affinity Water,Southern Water,Folkestone and Hythe,North Downs East,Elham Valley
CT15 7HP,Yes,51.151943,1.168582,621690,143961,TR216439,1/1/1980 12:00:00 AM,,137,3,2,Shepherds Well,5.9,,Affinity Water,Southern Water,Folkestone and Hythe,North Downs East,Elham Valley
CT15 7HQ,Yes,51.156032,1.181447,622570,144454,TR225444,1/1/1980 12:00:00 AM,,142,8,3,Shepherds Well,4.9,,Affinity Water,Southern Water,Folkestone and Hythe,North Downs East,Elham Valley
CT15 7HR,Yes,51.147145,1.166864,621593,143422,TR215434,1/1/1980 12:00:00 AM,,144,9,5,Shepherds Well,6.3,,Affinity Water,Southern Water,Folkestone and Hythe,North Downs East,Elham Valley
CT15 7HS,Yes,51.145180,1.163528,621369,143194,TR213431,1/1/1980 12:00:00 AM,,144,8,5,Shepherds Well,6.7,,Affinity Water,Southern Water,Folkestone and Hythe,North Downs East,Elham Valley
