Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
HP17 8BD,No,51.818553,-0.809475,482158,213995,SP821139,12/1/1998 12:00:00 AM,9/1/2020 12:00:00 AM,86,,,Aylesbury,0.6,Aylesbury,Thames Water,,Buckinghamshire,Aylesbury North,
HP17 8GE,No,51.814478,-0.835318,480384,213513,SP803135,12/1/1997 12:00:00 AM,6/1/2000 12:00:00 AM,75,,,Aylesbury,1.4,Aylesbury,,,Buckinghamshire,Aylesbury West,
HP17 8GJ,No,51.816323,-0.833703,480492,213720,SP804137,12/1/1997 12:00:00 AM,6/1/2000 12:00:00 AM,74,,,Aylesbury,1.3,Aylesbury,,,Buckinghamshire,Aylesbury West,
HP17 8GN,No,51.816016,-0.834524,480436,213685,SP804136,12/1/1997 12:00:00 AM,6/1/2000 12:00:00 AM,74,,,Aylesbury,1.4,Aylesbury,,,Buckinghamshire,Aylesbury West,
HP17 8GP,No,51.816690,-0.833607,480498,213761,SP804137,12/1/1997 12:00:00 AM,6/1/2000 12:00:00 AM,74,,,Aylesbury,1.3,Aylesbury,,,Buckinghamshire,Aylesbury West,
HP17 8GR,No,51.816361,-0.834805,480416,213723,SP804137,12/1/1997 12:00:00 AM,6/1/2000 12:00:00 AM,74,,,Aylesbury,1.4,Aylesbury,,,Buckinghamshire,Aylesbury West,
HP17 8GT,No,51.817247,-0.833520,480503,213823,SP805138,12/1/1997 12:00:00 AM,6/1/2000 12:00:00 AM,74,,,Aylesbury,1.3,Aylesbury,,,Buckinghamshire,Aylesbury West,
HP17 8GU,No,51.817647,-0.834003,480469,213867,SP804138,12/1/1997 12:00:00 AM,6/1/2000 12:00:00 AM,74,,,Aylesbury,1.4,Aylesbury,,,Buckinghamshire,Aylesbury West,
HP17 8GW,No,51.816149,-0.833447,480510,213701,SP805137,12/1/1997 12:00:00 AM,6/1/2000 12:00:00 AM,74,,,Aylesbury,1.3,Aylesbury,,,Buckinghamshire,Aylesbury West,
HP17 8GX,No,51.813347,-0.838277,480182,213384,SP801133,6/1/1999 12:00:00 AM,6/1/2000 12:00:00 AM,76,,,Aylesbury,1.6,Aylesbury,,,Buckinghamshire,Aylesbury West,
HP17 8QB,Yes,51.818553,-0.809475,482158,213995,SP821139,1/1/2008 12:00:00 AM,,86,,,Aylesbury,0.6,Aylesbury,Thames Water,,Buckinghamshire,Aylesbury North,
HP17 8RL,No,51.818560,-0.809452,482160,213996,SP821139,11/1/2019 12:00:00 AM,5/1/2024 12:00:00 AM,136,,,Aylesbury,0.6,Aylesbury,,,Buckinghamshire,Aylesbury North,
