Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
GL56 0PF,Yes,51.987022,-1.664666,423125,232116,SP231321,1/1/1980 12:00:00 AM,,129,2,1,Moreton-In-Marsh,2.5,,Thames Water,,West Oxfordshire,"Kingham, Rollright and Enstone",Chipping Norton
GL56 0PG,Yes,51.983915,-1.659578,423476,231772,SP234317,1/1/1980 12:00:00 AM,,134,14,5,Moreton-In-Marsh,2.9,,Thames Water,,West Oxfordshire,"Kingham, Rollright and Enstone",Chipping Norton
GL56 0RP,Yes,51.978759,-1.646048,424408,231203,SP244312,1/1/1980 12:00:00 AM,,152,5,1,Moreton-In-Marsh,4.0,,Thames Water,,West Oxfordshire,"Kingham, Rollright and Enstone",Chipping Norton
GL56 0SL,Yes,51.967362,-1.626837,425734,229942,SP257299,1/1/1980 12:00:00 AM,,147,11,5,Moreton-In-Marsh,5.7,,Thames Water,,West Oxfordshire,"Kingham, Rollright and Enstone",Chipping Norton
GL56 0SS,Yes,51.954236,-1.604901,427249,228490,SP272284,1/1/1980 12:00:00 AM,,193,,,Kingham,6.0,,Thames Water,,West Oxfordshire,"Kingham, Rollright and Enstone",Chipping Norton
GL56 0ST,Yes,51.957234,-1.628202,425646,228815,SP256288,1/1/1980 12:00:00 AM,,199,5,3,Kingham,6.1,,Thames Water,,West Oxfordshire,"Kingham, Rollright and Enstone",Chipping Norton
GL56 0SU,Yes,51.960503,-1.641433,424735,229174,SP247291,1/1/1980 12:00:00 AM,,168,31,15,Moreton-In-Marsh,5.4,,Thames Water,,West Oxfordshire,"Kingham, Rollright and Enstone",Chipping Norton
GL56 0SX,Yes,51.961095,-1.640892,424772,229240,SP247292,1/1/1980 12:00:00 AM,,164,3,2,Moreton-In-Marsh,5.3,,Thames Water,,West Oxfordshire,"Kingham, Rollright and Enstone",Chipping Norton
GL56 0SY,Yes,51.961265,-1.640658,424788,229259,SP247292,1/1/1980 12:00:00 AM,,164,10,4,Moreton-In-Marsh,5.3,,Thames Water,,West Oxfordshire,"Kingham, Rollright and Enstone",Chipping Norton
GL56 0SZ,Yes,51.970143,-1.648052,424275,230244,SP242302,1/1/1980 12:00:00 AM,,148,28,13,Moreton-In-Marsh,4.3,,Thames Water,,West Oxfordshire,"Kingham, Rollright and Enstone",Chipping Norton
GL56 0TA,Yes,51.976315,-1.652575,423961,230929,SP239309,1/1/1980 12:00:00 AM,,135,6,4,Moreton-In-Marsh,3.7,,Thames Water,,West Oxfordshire,"Kingham, Rollright and Enstone",Chipping Norton
OX15 0AA,Yes,51.984733,-1.323845,446532,232024,SP465320,6/1/2017 12:00:00 AM,,134,,,Kings Sutton,5.0,Deddington,Thames Water,,Cherwell,Deddington,Deddington
OX15 0AB,Yes,51.990855,-1.367474,443530,232678,SP435326,2/1/2008 12:00:00 AM,,106,1,1,Kings Sutton,6.8,Barford St Michael,Thames Water,,Cherwell,Deddington,Deddington
OX15 0AD,Yes,51.981524,-1.324186,446512,231667,SP465316,7/1/2012 12:00:00 AM,,132,,,Kings Sutton,5.3,Deddington,Thames Water,,Cherwell,Deddington,Deddington
OX15 0AE,Yes,51.984753,-1.325811,446397,232025,SP463320,5/1/2018 12:00:00 AM,,134,,,Kings Sutton,5.1,Deddington,,,Cherwell,Deddington,Deddington
OX15 0AF,Yes,51.984069,-1.324074,446517,231950,SP465319,7/1/2017 12:00:00 AM,,134,,,Kings Sutton,5.1,Deddington,Thames Water,,Cherwell,Deddington,Deddington
OX15 0AG,Yes,51.974059,-1.317324,446991,230841,SP469308,8/1/2021 12:00:00 AM,,134,,,Kings Sutton,5.8,,,,Cherwell,Deddington,Deddington
OX15 0AH,Yes,51.983269,-1.331891,445981,231856,SP459318,9/1/2022 12:00:00 AM,,138,,,Kings Sutton,5.5,Deddington,,,Cherwell,Deddington,Deddington
OX15 0AJ,Yes,51.982231,-1.311011,447416,231754,SP474317,8/1/2023 12:00:00 AM,,122,,,Kings Sutton,4.8,,,,Cherwell,Deddington,Deddington
OX15 0LA,Yes,51.982694,-1.319568,446828,231800,SP468318,12/1/2001 12:00:00 AM,,130,7,3,Kings Sutton,5.0,Deddington,Thames Water,,Cherwell,Deddington,Deddington
OX15 0NA,Yes,51.983190,-1.330845,446053,231848,SP460318,12/1/2000 12:00:00 AM,,138,69,23,Kings Sutton,5.4,Deddington,Thames Water,,Cherwell,Deddington,Deddington
OX15 0NB,No,52.061525,-1.327429,446207,240563,SP462405,6/1/2001 12:00:00 AM,1/1/2002 12:00:00 AM,93,,,Banbury,0.1,Banbury,,,Cherwell,Banbury Grimsbury and Hightown,Banbury Grimsbury and Castle
OX15 0NX,Yes,51.983340,-1.325586,446414,231868,SP464318,7/1/1995 12:00:00 AM,,134,132,44,Kings Sutton,5.2,Deddington,Thames Water,,Cherwell,Deddington,Deddington
OX15 0PA,Yes,51.982009,-1.290311,448838,231743,SP488317,1/1/1991 12:00:00 AM,,99,42,8,Kings Sutton,4.4,,Thames Water,,Cherwell,Deddington,Deddington
OX15 0PB,Yes,51.982867,-1.286541,449096,231841,SP490318,1/1/1991 12:00:00 AM,,90,9,4,Kings Sutton,4.3,,Thames Water,,Cherwell,Deddington,Deddington
OX15 0PD,Yes,51.982335,-1.289243,448911,231780,SP489317,1/1/1991 12:00:00 AM,,94,13,6,Kings Sutton,4.4,,Thames Water,,Cherwell,Deddington,Deddington
OX15 0PE,Yes,51.983058,-1.286989,449065,231862,SP490318,1/1/1991 12:00:00 AM,,91,25,9,Kings Sutton,4.3,,Anglian Water,Anglian Water,Cherwell,Deddington,Deddington
OX15 0PF,Yes,51.982150,-1.286902,449072,231761,SP490317,1/1/1991 12:00:00 AM,,91,21,9,Kings Sutton,4.4,,Thames Water,,Cherwell,Deddington,Deddington
OX15 0PG,Yes,51.982442,-1.286198,449120,231794,SP491317,12/1/1994 12:00:00 AM,,90,33,11,Kings Sutton,4.3,,Thames Water,,Cherwell,Deddington,Deddington
OX15 0PH,Yes,51.978260,-1.384510,442372,231267,SP423312,1/1/1991 12:00:00 AM,,114,1,1,Kings Sutton,8.6,,Thames Water,,West Oxfordshire,The Bartons,Woodstock
OX15 0PJ,Yes,51.981729,-1.389749,442009,231650,SP420316,1/1/1991 12:00:00 AM,,129,3,1,Kings Sutton,8.6,,Thames Water,,Cherwell,Deddington,Deddington
OX15 0PL,Yes,51.989190,-1.387696,442143,232481,SP421324,1/1/1991 12:00:00 AM,,126,15,5,Kings Sutton,8.1,,Thames Water,,Cherwell,Deddington,Deddington
OX15 0PN,Yes,51.991031,-1.385311,442305,232687,SP423326,1/1/1991 12:00:00 AM,,126,2,1,Kings Sutton,7.9,,Thames Water,,Cherwell,Deddington,Deddington
OX15 0PP,Yes,51.996112,-1.363788,443778,233265,SP437332,1/1/1991 12:00:00 AM,,106,11,4,Kings Sutton,6.3,,Thames Water,,Cherwell,Deddington,Deddington
OX15 0PQ,Yes,51.976302,-1.369686,443392,231058,SP433310,1/1/1991 12:00:00 AM,,103,5,2,Kings Sutton,7.9,,Thames Water,,Cherwell,Deddington,Deddington
OX15 0PR,Yes,51.995852,-1.362291,443881,233237,SP438332,1/1/1991 12:00:00 AM,,106,13,4,Kings Sutton,6.2,,Thames Water,,Cherwell,Deddington,Deddington
OX15 0PS,Yes,51.994559,-1.360736,443989,233094,SP439330,1/1/1991 12:00:00 AM,,99,23,10,Kings Sutton,6.2,,Thames Water,,Cherwell,Deddington,Deddington
OX15 0PT,Yes,51.981687,-1.287591,449025,231709,SP490317,1/1/1991 12:00:00 AM,,91,26,11,Kings Sutton,4.4,,Thames Water,,Cherwell,Deddington,Deddington
OX15 0PU,Yes,51.983169,-1.290395,448831,231872,SP488318,1/1/1991 12:00:00 AM,,95,12,7,Kings Sutton,4.3,,Thames Water,,Cherwell,Deddington,Deddington
OX15 0PW,Yes,51.994770,-1.364914,443702,233115,SP437331,1/1/1991 12:00:00 AM,,101,15,7,Kings Sutton,6.5,,Thames Water,,Cherwell,Deddington,Deddington
OX15 0PX,No,51.982524,-1.290856,448800,231800,SP488317,5/1/1994 12:00:00 AM,7/1/1995 12:00:00 AM,99,,,Kings Sutton,4.4,,,,Cherwell,Deddington,Deddington
OX15 0PY,No,51.991964,-1.346647,444959,232814,SP449328,1/1/1993 12:00:00 AM,6/1/1999 12:00:00 AM,99,,,Kings Sutton,5.6,,,,Cherwell,Deddington,Deddington
OX15 0PZ,Yes,51.982876,-1.291084,448784,231839,SP487318,1/1/1991 12:00:00 AM,,98,28,9,Kings Sutton,4.3,,Thames Water,,Cherwell,Deddington,Deddington
OX15 0QA,Yes,51.982256,-1.291035,448788,231770,SP487317,1/1/1991 12:00:00 AM,,101,15,5,Kings Sutton,4.4,,Thames Water,,Cherwell,Deddington,Deddington
OX15 0QB,Yes,51.973216,-1.344530,445123,230730,SP451307,1/1/1991 12:00:00 AM,,128,3,2,Heyford,6.8,,Thames Water,,Cherwell,Deddington,Deddington
OX15 0QD,Yes,51.983935,-1.329130,446170,231932,SP461319,1/1/1991 12:00:00 AM,,137,21,8,Kings Sutton,5.3,Deddington,Thames Water,,Cherwell,Deddington,Deddington
OX15 0QF,Yes,51.990100,-1.365823,443644,232595,SP436325,9/1/2011 12:00:00 AM,,109,,,Kings Sutton,6.8,Barford St Michael,Thames Water,,Cherwell,Deddington,Deddington
OX15 0QG,Yes,51.982307,-1.324320,446502,231754,SP465317,1/1/1991 12:00:00 AM,,133,34,12,Kings Sutton,5.3,Deddington,Thames Water,,Cherwell,Deddington,Deddington
OX15 0QH,Yes,51.982540,-1.328640,446205,231777,SP462317,1/1/1991 12:00:00 AM,,137,58,21,Kings Sutton,5.4,Deddington,Thames Water,,Cherwell,Deddington,Deddington
OX15 0QJ,Yes,51.983585,-1.338716,445512,231887,SP455318,1/1/1991 12:00:00 AM,,141,6,3,Kings Sutton,5.8,,Thames Water,,Cherwell,Deddington,Deddington
OX15 0QL,Yes,51.983379,-1.348519,444839,231858,SP448318,1/1/1991 12:00:00 AM,,147,11,3,Kings Sutton,6.3,,Thames Water,,Cherwell,Deddington,Deddington
OX15 0QN,Yes,51.981806,-1.327602,446277,231696,SP462316,1/1/1991 12:00:00 AM,,135,63,26,Kings Sutton,5.4,Deddington,Thames Water,,Cherwell,Deddington,Deddington
OX15 0QP,Yes,51.983591,-1.330213,446096,231893,SP460318,1/1/1991 12:00:00 AM,,138,22,15,Kings Sutton,5.4,Deddington,Thames Water,,Cherwell,Deddington,Deddington
OX15 0QQ,Yes,51.982562,-1.326281,446367,231781,SP463317,1/1/1991 12:00:00 AM,,134,9,2,Kings Sutton,5.3,Deddington,Thames Water,,Cherwell,Deddington,Deddington
OX15 0QR,Yes,51.984016,-1.349951,444740,231928,SP447319,1/1/1991 12:00:00 AM,,145,112,50,Kings Sutton,6.3,,Thames Water,,Cherwell,Deddington,Deddington
OX15 0QS,Yes,51.983283,-1.352423,444571,231845,SP445318,1/1/1991 12:00:00 AM,,147,25,12,Kings Sutton,6.5,,Thames Water,,Cherwell,Deddington,Deddington
OX15 0QT,Yes,51.982899,-1.352792,444546,231802,SP445318,1/1/1991 12:00:00 AM,,148,28,13,Kings Sutton,6.5,,Thames Water,,Cherwell,Deddington,Deddington
OX15 0QU,Yes,51.982712,-1.353115,444524,231781,SP445317,1/1/1992 12:00:00 AM,,148,9,3,Kings Sutton,6.5,,Thames Water,,Cherwell,Deddington,Deddington
OX15 0QW,Yes,51.983109,-1.329332,446157,231840,SP461318,1/1/1991 12:00:00 AM,,138,55,24,Kings Sutton,5.4,Deddington,Thames Water,,Cherwell,Deddington,Deddington
OX15 0QX,Yes,51.982709,-1.354178,444451,231780,SP444317,1/1/1991 12:00:00 AM,,148,11,4,Kings Sutton,6.6,,Thames Water,,Cherwell,Deddington,Deddington
OX15 0QY,Yes,51.983336,-1.355494,444360,231849,SP443318,1/1/1991 12:00:00 AM,,144,27,10,Kings Sutton,6.6,,Thames Water,,Cherwell,Deddington,Deddington
OX15 0QZ,Yes,51.982328,-1.355363,444370,231737,SP443317,1/1/1991 12:00:00 AM,,149,34,11,Kings Sutton,6.7,,Thames Water,,Cherwell,Deddington,Deddington
OX15 0RA,Yes,51.982602,-1.356116,444318,231767,SP443317,1/1/1991 12:00:00 AM,,148,14,4,Kings Sutton,6.7,,Thames Water,,Cherwell,Deddington,Deddington
OX15 0RB,Yes,51.982580,-1.356785,444272,231764,SP442317,1/1/1991 12:00:00 AM,,148,4,2,Kings Sutton,6.7,,Thames Water,,Cherwell,Deddington,Deddington
OX15 0RD,Yes,51.988713,-1.367096,443558,232440,SP435324,1/1/1991 12:00:00 AM,,113,14,8,Kings Sutton,6.9,Barford St Michael,Thames Water,,Cherwell,Deddington,Deddington
OX15 0RE,Yes,51.988426,-1.367319,443543,232408,SP435324,1/1/1991 12:00:00 AM,,113,15,6,Kings Sutton,7.0,Barford St Michael,Thames Water,,Cherwell,Deddington,Deddington
OX15 0RF,Yes,51.989740,-1.365815,443645,232555,SP436325,1/1/1991 12:00:00 AM,,110,39,22,Kings Sutton,6.8,Barford St Michael,Thames Water,,Cherwell,Deddington,Deddington
OX15 0RG,Yes,51.990738,-1.364111,443761,232667,SP437326,1/1/1991 12:00:00 AM,,103,11,6,Kings Sutton,6.6,Barford St Michael,Thames Water,,Cherwell,Deddington,Deddington
OX15 0RH,Yes,51.991353,-1.368181,443481,232733,SP434327,1/1/1991 12:00:00 AM,,103,70,30,Kings Sutton,6.8,Barford St Michael,Thames Water,,Cherwell,Deddington,Deddington
OX15 0RJ,Yes,51.991321,-1.372317,443197,232727,SP431327,1/1/1991 12:00:00 AM,,102,10,5,Kings Sutton,7.1,Barford St Michael,Thames Water,,Cherwell,Deddington,Deddington
OX15 0RL,No,51.990495,-1.374178,443070,232634,SP430326,1/1/1991 12:00:00 AM,10/1/2005 12:00:00 AM,104,,,Kings Sutton,7.2,Barford St Michael,Thames Water,,Cherwell,Deddington,Deddington
OX15 0RN,Yes,51.989919,-1.368884,443434,232573,SP434325,1/1/1991 12:00:00 AM,,112,43,15,Kings Sutton,7.0,Barford St Michael,Thames Water,,Cherwell,Deddington,Deddington
OX15 0RP,Yes,51.989497,-1.367244,443547,232527,SP435325,1/1/1991 12:00:00 AM,,113,64,21,Kings Sutton,6.9,Barford St Michael,Thames Water,,Cherwell,Deddington,Deddington
