Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
IG11 0AB,Yes,51.525054,0.123910,547439,182820,TQ474828,4/1/2018 12:00:00 AM,,1,,,Barking Riverside,0.9,Barking and Dagenham,Leep Utilities,,Barking and Dagenham,Barking Riverside,
IG11 0AE,Yes,51.531169,0.109388,546412,183471,TQ464834,7/1/2006 12:00:00 AM,,3,,,Upney,1.0,Barking and Dagenham,Essex & Suffolk Water,Thames Water,Barking and Dagenham,Eastbury,
IG11 0AG,Yes,51.531241,0.106421,546206,183473,TQ462834,8/1/2006 12:00:00 AM,,2,,,Upney,0.9,Barking and Dagenham,Essex & Suffolk Water,Thames Water,Barking and Dagenham,Eastbury,
IG11 0AH,Yes,51.523036,0.124133,547461,182596,TQ474825,5/1/2024 12:00:00 AM,,2,,,Barking Riverside,0.8,Barking and Dagenham,,,Barking and Dagenham,Barking Riverside,
IG11 0AJ,Yes,51.522818,0.123272,547402,182570,TQ474825,2/1/2024 12:00:00 AM,,2,,,Barking Riverside,0.7,Barking and Dagenham,,,Barking and Dagenham,Barking Riverside,
IG11 0AL,Yes,51.522742,0.122490,547348,182560,TQ473825,4/1/2023 12:00:00 AM,,6,,,Barking Riverside,0.7,Barking and Dagenham,,,Barking and Dagenham,Barking Riverside,
IG11 0AN,Yes,51.525394,0.124531,547481,182859,TQ474828,6/1/2021 12:00:00 AM,,2,,,Barking Riverside,1.0,Barking and Dagenham,,,Barking and Dagenham,Barking Riverside,
IG11 0AP,Yes,51.522316,0.121173,547258,182510,TQ472825,2/1/2022 12:00:00 AM,,1,,,Barking Riverside,0.6,Barking and Dagenham,,,Barking and Dagenham,Barking Riverside,
IG11 0AQ,Yes,51.531421,0.103501,546003,183487,TQ460834,12/1/1996 12:00:00 AM,,3,,,Upney,0.8,Barking and Dagenham,Essex & Suffolk Water,Thames Water,Barking and Dagenham,Eastbury,
IG11 0AR,Yes,51.528615,0.087312,544889,183143,TQ448831,3/1/1983 12:00:00 AM,,3,,,Barking,1.3,Barking and Dagenham,Essex & Suffolk Water,Thames Water,Barking and Dagenham,Thames View,
IG11 0AS,Yes,51.531719,0.105404,546134,183524,TQ461835,3/1/1983 12:00:00 AM,,3,,,Upney,0.8,Barking and Dagenham,Essex & Suffolk Water,Thames Water,Barking and Dagenham,Eastbury,
IG11 0AT,Yes,51.529268,0.086086,544802,183213,TQ448832,1/1/1980 12:00:00 AM,,3,,,Barking,1.2,Barking and Dagenham,Essex & Suffolk Water,Thames Water,Barking and Dagenham,Gascoigne,
IG11 0AU,Yes,51.521870,0.120994,547247,182460,TQ472824,10/1/2022 12:00:00 AM,,5,,,Barking Riverside,0.5,Barking and Dagenham,Essex & Suffolk Water,,Barking and Dagenham,Barking Riverside,
IG11 0AW,Yes,51.531348,0.104480,546071,183481,TQ460834,4/1/1985 12:00:00 AM,,3,,,Upney,0.8,Barking and Dagenham,Essex & Suffolk Water,Thames Water,Barking and Dagenham,Eastbury,
IG11 0AX,Yes,51.527855,0.083010,544593,183050,TQ445830,1/1/1980 12:00:00 AM,,5,,,Barking,1.3,Barking and Dagenham,Essex & Suffolk Water,Thames Water,Barking and Dagenham,Thames View,
IG11 0AY,Yes,51.528358,0.084547,544698,183109,TQ446831,2/1/2012 12:00:00 AM,,4,3,2,Barking,1.3,Barking and Dagenham,Essex & Suffolk Water,Thames Water,Barking and Dagenham,Thames View,
IG11 0AZ,No,51.528375,0.086148,544809,183114,TQ448831,1/1/1980 12:00:00 AM,4/1/2007 12:00:00 AM,3,,,Barking,1.3,Barking and Dagenham,,,Barking and Dagenham,Thames View,
IG11 0BA,Yes,51.532270,0.107765,546296,183590,TQ462835,12/1/1999 12:00:00 AM,,2,,,Upney,0.8,Barking and Dagenham,Essex & Suffolk Water,Thames Water,Barking and Dagenham,Eastbury,
IG11 0BB,Yes,51.529820,0.088809,544989,183280,TQ449832,1/1/1980 12:00:00 AM,,3,,,Barking,1.2,Barking and Dagenham,Essex & Suffolk Water,Thames Water,Barking and Dagenham,Gascoigne,
IG11 0BD,Yes,51.527063,0.087153,544883,182970,TQ448829,1/1/1980 12:00:00 AM,,4,,,Barking,1.4,Barking and Dagenham,Essex & Suffolk Water,Thames Water,Barking and Dagenham,Thames View,
IG11 0BE,Yes,51.523794,0.122496,547345,182677,TQ473826,3/1/2024 12:00:00 AM,,2,,,Barking Riverside,0.7,Barking and Dagenham,,,Barking and Dagenham,Barking Riverside,
IG11 0BF,Yes,51.522655,0.115308,546850,182536,TQ468825,11/1/2009 12:00:00 AM,,6,,,Barking Riverside,0.4,Barking and Dagenham,Essex & Suffolk Water,Thames Water,Barking and Dagenham,Barking Riverside,
