Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
S63 0BQ,Yes,53.544065,-1.336431,444069,405474,SE440054,1/1/1980 12:00:00 AM,,34,2,1,Thurnscoe,1.8,,Yorkshire Water,,Barnsley,North East,
S70 1AA,Yes,53.551618,-1.482797,434364,406234,SE343062,1/1/1980 12:00:00 AM,,109,,,Barnsley,0.5,Barnsley,Yorkshire Water,,Barnsley,Central,
S70 1AB,No,53.550411,-1.482269,434400,406100,SE343060,6/1/1981 12:00:00 AM,12/1/1984 12:00:00 AM,110,,,Barnsley,0.5,Barnsley,,,Barnsley,Central,
S70 1AD,No,53.551317,-1.483767,434300,406200,SE343062,1/1/1991 12:00:00 AM,12/1/1995 12:00:00 AM,111,,,Barnsley,0.5,Barnsley,,,Barnsley,Central,
S70 1AE,No,53.551323,-1.485276,434200,406200,SE342061,2/1/1990 12:00:00 AM,7/1/1995 12:00:00 AM,111,,,Barnsley,0.6,Barnsley,,,Barnsley,Central,
S70 1AF,No,53.551323,-1.485276,434200,406200,SE342061,1/1/1992 12:00:00 AM,5/1/1994 12:00:00 AM,111,,,Barnsley,0.6,Barnsley,,,Barnsley,Central,
S70 1AG,No,53.552237,-1.482428,434388,406303,SE343063,10/1/1985 12:00:00 AM,2/1/2003 12:00:00 AM,108,,,Barnsley,0.4,Barnsley,,,Barnsley,Central,
S70 1AH,Yes,53.551154,-1.483633,434309,406182,SE343061,7/1/2008 12:00:00 AM,,111,11,7,Barnsley,0.6,Barnsley,Yorkshire Water,,Barnsley,Central,
S70 1AJ,No,53.552209,-1.482247,434400,406300,SE343063,1/1/1980 12:00:00 AM,12/1/1995 12:00:00 AM,108,,,Barnsley,0.4,Barnsley,,,Barnsley,Central,
S70 1AL,Yes,53.551944,-1.483172,434339,406270,SE343062,1/1/1980 12:00:00 AM,,109,,,Barnsley,0.5,Barnsley,Yorkshire Water,,Barnsley,Central,
S70 1AP,Yes,53.551197,-1.483120,434343,406187,SE343061,1/1/1980 12:00:00 AM,,110,,,Barnsley,0.5,Barnsley,Yorkshire Water,,Barnsley,Central,
S70 1AQ,Yes,53.550886,-1.481750,434434,406153,SE344061,2/1/2014 12:00:00 AM,,107,,,Barnsley,0.5,Barnsley,Yorkshire Water,,Barnsley,Central,
S70 1AR,Yes,53.550781,-1.482521,434383,406141,SE343061,1/1/1980 12:00:00 AM,,109,,,Barnsley,0.5,Barnsley,Yorkshire Water,,Barnsley,Central,
S70 1AS,No,53.550424,-1.485287,434200,406100,SE342060,9/1/1991 12:00:00 AM,7/1/1995 12:00:00 AM,116,,,Barnsley,0.7,Barnsley,,,Barnsley,Central,
S70 1AT,Yes,53.551159,-1.482654,434374,406183,SE343061,7/1/2002 12:00:00 AM,,109,,,Barnsley,0.5,Barnsley,Yorkshire Water,,Barnsley,Central,
S70 1AU,No,53.550418,-1.483778,434300,406100,SE342061,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,113,,,Barnsley,0.6,Barnsley,,,Barnsley,Central,
S70 1AW,Yes,53.551425,-1.483782,434299,406212,SE342062,1/1/1980 12:00:00 AM,,110,,,Barnsley,0.5,Barnsley,Yorkshire Water,,Barnsley,Central,
S70 1AX,Yes,53.549889,-1.484147,434276,406041,SE342060,1/1/1980 12:00:00 AM,,115,26,15,Barnsley,0.7,Barnsley,Yorkshire Water,,Barnsley,Central,
S70 1AY,Yes,53.549827,-1.484268,434268,406034,SE342060,1/1/1980 12:00:00 AM,,116,7,3,Barnsley,0.7,Barnsley,Yorkshire Water,,Barnsley,Central,
S70 1AZ,No,53.550424,-1.485287,434200,406100,SE342060,3/1/1988 12:00:00 AM,12/1/1992 12:00:00 AM,116,,,Barnsley,0.7,Barnsley,,,Barnsley,Central,
S70 1BA,Yes,53.550134,-1.484642,434243,406068,SE342060,1/1/1980 12:00:00 AM,,116,31,16,Barnsley,0.7,Barnsley,Yorkshire Water,,Barnsley,Central,
S70 1BJ,No,53.547719,-1.478996,434619,405802,SE346058,4/1/1985 12:00:00 AM,10/1/2000 12:00:00 AM,130,,,Barnsley,0.7,Barnsley,,,Barnsley,Central,
S70 1DA,No,53.552202,-1.480738,434500,406300,SE344062,2/1/1990 12:00:00 AM,12/1/1996 12:00:00 AM,106,,,Barnsley,0.3,Barnsley,,,Barnsley,Central,
S70 1DB,No,53.553200,-1.478688,434635,406412,SE346064,1/1/1980 12:00:00 AM,11/1/2017 12:00:00 AM,101,4,3,Barnsley,0.2,Barnsley,Yorkshire Water,,Barnsley,Central,
S70 1DD,No,53.553003,-1.478796,434628,406390,SE346063,1/1/1980 12:00:00 AM,9/1/2015 12:00:00 AM,102,,,Barnsley,0.2,Barnsley,Yorkshire Water,,Barnsley,Central,
S70 1DE,No,53.552660,-1.478453,434651,406352,SE346063,1/1/1980 12:00:00 AM,10/1/2014 12:00:00 AM,102,,,Barnsley,0.2,Barnsley,Yorkshire Water,,Barnsley,Central,
S70 1DF,Yes,53.550420,-1.475976,434817,406104,SE348061,9/1/2014 12:00:00 AM,,100,,,Barnsley,0.4,Barnsley,Yorkshire Water,,Barnsley,Central,
S70 1DG,No,53.553101,-1.480727,434500,406400,SE344063,10/1/1987 12:00:00 AM,7/1/1995 12:00:00 AM,106,,,Barnsley,0.3,Barnsley,,,Barnsley,Central,
S70 1DH,No,53.552859,-1.478618,434640,406374,SE346063,9/1/2016 12:00:00 AM,2/1/2019 12:00:00 AM,115,,,Barnsley,0.2,Barnsley,Yorkshire Water,,Barnsley,Central,
S70 1DJ,No,53.554007,-1.482225,434400,406500,SE343065,1/1/1992 12:00:00 AM,1/1/1995 12:00:00 AM,115,,,Barnsley,0.3,Barnsley,,,Barnsley,Central,
S70 1DL,Yes,53.549335,-1.478525,434649,405982,SE346059,8/1/2017 12:00:00 AM,,115,,,Barnsley,0.6,Barnsley,Yorkshire Water,,Barnsley,Central,
S70 1DN,No,53.553101,-1.480727,434500,406400,SE344063,1/1/1993 12:00:00 AM,5/1/1994 12:00:00 AM,106,,,Barnsley,0.3,Barnsley,,,Barnsley,Central,
S70 1DP,No,53.552196,-1.479228,434600,406300,SE346063,4/1/1987 12:00:00 AM,12/1/1996 12:00:00 AM,104,,,Barnsley,0.3,Barnsley,,,Barnsley,Central,
S70 1DQ,No,53.554007,-1.482225,434400,406500,SE343065,9/1/1991 12:00:00 AM,12/1/1994 12:00:00 AM,115,,,Barnsley,0.3,Barnsley,,,Barnsley,Central,
S70 1DR,Yes,53.549543,-1.476757,434766,406006,SE347060,2/1/2019 12:00:00 AM,,104,,,Barnsley,0.5,Barnsley,,,Barnsley,Central,
S70 1DS,No,53.552196,-1.479228,434600,406300,SE346063,9/1/1991 12:00:00 AM,12/1/1995 12:00:00 AM,104,,,Barnsley,0.3,Barnsley,,,Barnsley,Central,
S70 1DT,No,53.552196,-1.479228,434600,406300,SE346063,12/1/1995 12:00:00 AM,12/1/1996 12:00:00 AM,104,,,Barnsley,0.3,Barnsley,,,Barnsley,Central,
S70 1DU,No,53.552196,-1.479228,434600,406300,SE346063,3/1/1988 12:00:00 AM,5/1/1994 12:00:00 AM,104,,,Barnsley,0.3,Barnsley,,,Barnsley,Central,
S70 1DW,No,53.552196,-1.479228,434600,406300,SE346063,1/1/1993 12:00:00 AM,5/1/1994 12:00:00 AM,104,,,Barnsley,0.3,Barnsley,Yorkshire Water,,Barnsley,Central,
S70 1DX,No,53.552196,-1.479228,434600,406300,SE346063,1/1/1992 12:00:00 AM,12/1/1992 12:00:00 AM,104,,,Barnsley,0.3,Barnsley,,,Barnsley,Central,
S70 1DY,No,53.552196,-1.479228,434600,406300,SE346063,2/1/1990 12:00:00 AM,6/1/1996 12:00:00 AM,104,,,Barnsley,0.3,Barnsley,,,Barnsley,Central,
S70 1DZ,No,53.547719,-1.478996,434619,405802,SE346058,2/1/1990 12:00:00 AM,6/1/1998 12:00:00 AM,130,,,Barnsley,0.7,Barnsley,,,Barnsley,Central,
S70 1EA,No,53.552196,-1.479228,434600,406300,SE346063,2/1/1990 12:00:00 AM,7/1/1995 12:00:00 AM,104,,,Barnsley,0.3,Barnsley,,,Barnsley,Central,
S70 1EB,No,53.552196,-1.479228,434600,406300,SE346063,2/1/1990 12:00:00 AM,7/1/1995 12:00:00 AM,104,,,Barnsley,0.3,Barnsley,,,Barnsley,Central,
S70 1EE,No,53.552196,-1.479228,434600,406300,SE346063,2/1/1990 12:00:00 AM,12/1/1991 12:00:00 AM,104,,,Barnsley,0.3,Barnsley,,,Barnsley,Central,
S70 1EF,No,53.552196,-1.479228,434600,406300,SE346063,2/1/1990 12:00:00 AM,12/1/1992 12:00:00 AM,104,,,Barnsley,0.3,Barnsley,,,Barnsley,Central,
S70 1EH,No,53.552196,-1.479228,434600,406300,SE346063,2/1/1990 12:00:00 AM,12/1/1991 12:00:00 AM,104,,,Barnsley,0.3,Barnsley,,,Barnsley,Central,
S70 1EJ,No,53.552196,-1.479228,434600,406300,SE346063,2/1/1990 12:00:00 AM,12/1/1992 12:00:00 AM,104,,,Barnsley,0.3,Barnsley,,,Barnsley,Central,
S70 1EL,No,53.552196,-1.479228,434600,406300,SE346063,1/1/1992 12:00:00 AM,12/1/1992 12:00:00 AM,104,,,Barnsley,0.3,Barnsley,,,Barnsley,Central,
S70 1EN,No,53.552196,-1.479228,434600,406300,SE346063,2/1/1990 12:00:00 AM,12/1/1996 12:00:00 AM,104,,,Barnsley,0.3,Barnsley,,,Barnsley,Central,
S70 1EP,No,53.552196,-1.479228,434600,406300,SE346063,2/1/1990 12:00:00 AM,12/1/1991 12:00:00 AM,104,,,Barnsley,0.3,Barnsley,,,Barnsley,Central,
S70 1EQ,Yes,53.550796,-1.479715,434569,406144,SE345061,8/1/2021 12:00:00 AM,,104,,,Barnsley,0.4,Barnsley,,,Barnsley,Central,
