Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
CM11 1AA,Yes,51.634313,0.426925,568054,195623,TQ680956,1/1/1980 12:00:00 AM,,91,60,20,Billericay,0.8,Billericay,Essex & Suffolk Water,Anglian Water,Basildon,Billericay East,Billericay and Burstead
CM11 1AB,Yes,51.631645,0.423762,567845,195319,TQ678953,1/1/1980 12:00:00 AM,,95,33,13,Billericay,0.5,Billericay,Essex & Suffolk Water,Anglian Water,Basildon,Billericay East,Billericay and Burstead
CM11 1AD,No,51.622870,0.416692,567388,194327,TQ673943,12/1/2000 12:00:00 AM,9/1/2001 12:00:00 AM,99,,,Billericay,0.7,Billericay,,,Basildon,Billericay East,Billericay and Burstead
CM11 1AE,Yes,51.629241,0.423013,567802,195050,TQ678950,1/1/1980 12:00:00 AM,,94,31,20,Billericay,0.3,Billericay,Essex & Suffolk Water,Anglian Water,Basildon,Billericay East,Billericay and Burstead
CM11 1AF,Yes,51.628563,0.422774,567788,194974,TQ677949,1/1/1980 12:00:00 AM,,90,29,9,Billericay,0.3,Billericay,Essex & Suffolk Water,Anglian Water,Basildon,Billericay East,Billericay and Burstead
CM11 1AG,Yes,51.630002,0.424079,567873,195137,TQ678951,1/1/1980 12:00:00 AM,,95,3,1,Billericay,0.4,Billericay,Essex & Suffolk Water,Anglian Water,Basildon,Billericay East,Billericay and Burstead
CM11 1AH,Yes,51.629275,0.425298,567960,195059,TQ679950,1/1/1980 12:00:00 AM,,92,91,35,Billericay,0.5,Billericay,Essex & Suffolk Water,Anglian Water,Basildon,Billericay East,Billericay and Burstead
CM11 1AJ,Yes,51.628944,0.423474,567835,195018,TQ678950,2/1/1984 12:00:00 AM,,93,27,24,Billericay,0.3,Billericay,Essex & Suffolk Water,Anglian Water,Basildon,Billericay East,Billericay and Burstead
CM11 1AL,Yes,51.628341,0.426563,568051,194958,TQ680949,2/1/1984 12:00:00 AM,,82,20,7,Billericay,0.6,Billericay,Essex & Suffolk Water,Anglian Water,Basildon,Billericay East,Billericay and Burstead
CM11 1AN,Yes,51.630065,0.424935,567932,195146,TQ679951,1/1/1980 12:00:00 AM,,95,57,18,Billericay,0.5,Billericay,Essex & Suffolk Water,Anglian Water,Basildon,Billericay East,Billericay and Burstead
CM11 1AP,Yes,51.629560,0.425847,567997,195092,TQ679950,1/1/1980 12:00:00 AM,,93,46,16,Billericay,0.5,Billericay,Essex & Suffolk Water,Anglian Water,Basildon,Billericay East,Billericay and Burstead
CM11 1AQ,Yes,51.628401,0.424933,567938,194961,TQ679949,6/1/2002 12:00:00 AM,,85,49,15,Billericay,0.4,Billericay,Essex & Suffolk Water,Anglian Water,Basildon,Billericay East,Billericay and Burstead
CM11 1AR,No,51.629691,0.423008,567800,195100,TQ678951,12/1/1995 12:00:00 AM,12/1/1996 12:00:00 AM,95,,,Billericay,0.3,Billericay,,,Basildon,Billericay East,Billericay and Burstead
CM11 1AS,Yes,51.630901,0.424084,567870,195237,TQ678952,1/1/1980 12:00:00 AM,,95,79,31,Billericay,0.4,Billericay,Essex & Suffolk Water,Anglian Water,Basildon,Billericay East,Billericay and Burstead
CM11 1AT,Yes,51.631324,0.425550,567970,195287,TQ679952,1/1/1980 12:00:00 AM,,96,31,12,Billericay,0.5,Billericay,Essex & Suffolk Water,Anglian Water,Basildon,Billericay East,Billericay and Burstead
