Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
BA1 0AA,Yes,51.378846,-2.355560,375350,164482,ST753644,11/1/2020 12:00:00 AM,,22,,,Bath Spa,0.2,Bath,,,Bath and North East Somerset,Kingsmead,
BA1 0AB,No,51.378858,-2.355562,375350,164483,ST753644,5/1/2005 12:00:00 AM,6/1/2011 12:00:00 AM,22,,,Bath Spa,0.2,Bath,,,Bath and North East Somerset,Kingsmead,
BA1 0AD,Yes,51.378846,-2.355560,375350,164482,ST753644,11/1/2020 12:00:00 AM,,22,,,Bath Spa,0.2,Bath,,,Bath and North East Somerset,Kingsmead,
BA1 0AE,No,51.378846,-2.355560,375350,164482,ST753644,11/1/2020 12:00:00 AM,6/1/2021 12:00:00 AM,22,,,Bath Spa,0.2,Bath,,,Bath and North East Somerset,Kingsmead,
BA1 0AF,No,51.378846,-2.355560,375350,164482,ST753644,12/1/2020 12:00:00 AM,4/1/2021 12:00:00 AM,31,,,Bath Spa,0.2,Bath,,,Bath and North East Somerset,Kingsmead,
BA1 0AG,No,51.378858,-2.355562,375350,164483,ST753644,6/1/2005 12:00:00 AM,7/1/2014 12:00:00 AM,22,,,Bath Spa,0.2,Bath,,,Bath and North East Somerset,Kingsmead,
BA1 0AH,Yes,51.378846,-2.355560,375350,164482,ST753644,12/1/2020 12:00:00 AM,,22,,,Bath Spa,0.2,Bath,,,Bath and North East Somerset,Kingsmead,
BA1 0AJ,No,51.378846,-2.355560,375350,164482,ST753644,2/1/2021 12:00:00 AM,2/1/2022 12:00:00 AM,22,,,Bath Spa,0.2,Bath,,,Bath and North East Somerset,Kingsmead,
BA1 0AL,No,51.378846,-2.355560,375350,164482,ST753644,2/1/2021 12:00:00 AM,8/1/2021 12:00:00 AM,22,,,Bath Spa,0.2,Bath,,,Bath and North East Somerset,Kingsmead,
BA1 0AN,Yes,51.378846,-2.355560,375350,164482,ST753644,2/1/2021 12:00:00 AM,,22,,,Bath Spa,0.2,Bath,,,Bath and North East Somerset,Kingsmead,
BA1 0AP,No,51.378846,-2.355560,375350,164482,ST753644,2/1/2021 12:00:00 AM,5/1/2021 12:00:00 AM,22,,,Bath Spa,0.2,Bath,,,Bath and North East Somerset,Kingsmead,
BA1 0AQ,No,51.378849,-2.355562,375350,164482,ST753644,9/1/2007 12:00:00 AM,9/1/2022 12:00:00 AM,22,,,Bath Spa,0.2,Bath,,,Bath and North East Somerset,Kingsmead,
BA1 0AR,No,51.378849,-2.355562,375350,164482,ST753644,6/1/2005 12:00:00 AM,6/1/2016 12:00:00 AM,22,,,Bath Spa,0.2,Bath,,,Bath and North East Somerset,Kingsmead,
BA1 0AS,No,51.378846,-2.355560,375350,164482,ST753644,2/1/2021 12:00:00 AM,8/1/2021 12:00:00 AM,22,,,Bath Spa,0.2,Bath,,,Bath and North East Somerset,Kingsmead,
BA1 0AT,No,51.378846,-2.355560,375350,164482,ST753644,2/1/2021 12:00:00 AM,7/1/2022 12:00:00 AM,22,,,Bath Spa,0.2,Bath,,,Bath and North East Somerset,Kingsmead,
BA1 0AU,Yes,51.378846,-2.355560,375350,164482,ST753644,2/1/2021 12:00:00 AM,,22,,,Bath Spa,0.2,Bath,,,Bath and North East Somerset,Kingsmead,
BA1 0AW,No,51.378858,-2.355562,375350,164483,ST753644,8/1/2005 12:00:00 AM,9/1/2006 12:00:00 AM,22,,,Bath Spa,0.2,Bath,,,Bath and North East Somerset,Kingsmead,
BA1 0AX,No,51.378858,-2.355562,375350,164483,ST753644,8/1/2005 12:00:00 AM,5/1/2011 12:00:00 AM,22,,,Bath Spa,0.2,Bath,,,Bath and North East Somerset,Kingsmead,
BA1 0AY,No,51.378849,-2.355562,375350,164482,ST753644,10/1/2009 12:00:00 AM,8/1/2019 12:00:00 AM,22,,,Bath Spa,0.2,Bath,,,Bath and North East Somerset,Kingsmead,
BA1 0AZ,Yes,51.378849,-2.355562,375350,164482,ST753644,10/1/2009 12:00:00 AM,,22,,,Bath Spa,0.2,Bath,,,Bath and North East Somerset,Kingsmead,
BA1 0BA,Yes,51.378846,-2.355560,375350,164482,ST753644,3/1/2021 12:00:00 AM,,22,,,Bath Spa,0.2,Bath,,,Bath and North East Somerset,Kingsmead,
BA1 0BB,No,51.378846,-2.355560,375350,164482,ST753644,8/1/2021 12:00:00 AM,11/1/2021 12:00:00 AM,22,,,Bath Spa,0.2,Bath,,,Bath and North East Somerset,Kingsmead,
BA1 0BD,No,51.378858,-2.355562,375350,164483,ST753644,8/1/2005 12:00:00 AM,9/1/2012 12:00:00 AM,22,,,Bath Spa,0.2,Bath,,,Bath and North East Somerset,Kingsmead,
BA1 0BE,No,51.378846,-2.355560,375350,164482,ST753644,4/1/2021 12:00:00 AM,6/1/2023 12:00:00 AM,22,,,Bath Spa,0.2,Bath,,,Bath and North East Somerset,Kingsmead,
BA1 0BF,No,51.378846,-2.355560,375350,164482,ST753644,4/1/2021 12:00:00 AM,8/1/2021 12:00:00 AM,22,,,Bath Spa,0.2,Bath,,,Bath and North East Somerset,Kingsmead,
BA1 0BG,No,51.378849,-2.355562,375350,164482,ST753644,10/1/2006 12:00:00 AM,11/1/2018 12:00:00 AM,22,,,Bath Spa,0.2,Bath,,,Bath and North East Somerset,Kingsmead,
BA1 0BH,No,51.378858,-2.355562,375350,164483,ST753644,12/1/2008 12:00:00 AM,10/1/2010 12:00:00 AM,22,,,Bath Spa,0.2,Bath,,,Bath and North East Somerset,Kingsmead,
BA1 0BJ,No,51.378858,-2.355562,375350,164483,ST753644,9/1/2005 12:00:00 AM,10/1/2013 12:00:00 AM,22,2,1,Bath Spa,0.2,Bath,,,Bath and North East Somerset,Kingsmead,
BA1 0BL,Yes,51.378846,-2.355560,375350,164482,ST753644,4/1/2024 12:00:00 AM,,22,,,Bath Spa,0.2,Bath,,,Bath and North East Somerset,Kingsmead,
BA1 0BN,No,51.378846,-2.355560,375350,164482,ST753644,5/1/2021 12:00:00 AM,8/1/2021 12:00:00 AM,22,,,Bath Spa,0.2,Bath,,,Bath and North East Somerset,Kingsmead,
BA1 0BP,No,51.378858,-2.355562,375350,164483,ST753644,10/1/2005 12:00:00 AM,9/1/2010 12:00:00 AM,22,,,Bath Spa,0.2,Bath,,,Bath and North East Somerset,Kingsmead,
BA1 0BQ,No,51.378846,-2.355560,375350,164482,ST753644,5/1/2021 12:00:00 AM,7/1/2021 12:00:00 AM,22,,,Bath Spa,0.2,Bath,,,Bath and North East Somerset,Kingsmead,
BA1 0BR,No,51.378858,-2.355562,375350,164483,ST753644,10/1/2005 12:00:00 AM,11/1/2011 12:00:00 AM,22,,,Bath Spa,0.2,Bath,,,Bath and North East Somerset,Kingsmead,
BA1 0BS,Yes,51.378846,-2.355560,375350,164482,ST753644,7/1/2021 12:00:00 AM,,22,,,Bath Spa,0.2,Bath,,,Bath and North East Somerset,Kingsmead,
BA1 0BT,Yes,51.378849,-2.355562,375350,164482,ST753644,10/1/2005 12:00:00 AM,,22,,,Bath Spa,0.2,Bath,,,Bath and North East Somerset,Kingsmead,
BA1 0BU,Yes,51.378846,-2.355560,375350,164482,ST753644,7/1/2021 12:00:00 AM,,22,,,Bath Spa,0.2,Bath,,,Bath and North East Somerset,Kingsmead,
