Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
EH2 4JP,No,55.973406,-3.595086,300550,676750,NT005767,1/1/1974 12:00:00 AM,7/1/1992 12:00:00 AM,106,,,Linlithgow,0.3,Linlithgow,Scottish Water,,West Lothian,Linlithgow,
EH28 8NF,No,55.884731,-3.628027,298262,666930,NS982669,1/1/1980 12:00:00 AM,12/1/2018 12:00:00 AM,148,,,Bathgate,1.5,Bathgate,Scottish Water,,West Lothian,Whitburn and Blackburn,
EH28 8WB,No,55.884731,-3.628027,298262,666930,NS982669,6/1/2008 12:00:00 AM,12/1/2018 12:00:00 AM,148,,,Bathgate,1.5,Bathgate,Scottish Water,,West Lothian,Whitburn and Blackburn,
EH28 8WS,No,55.884731,-3.628027,298262,666930,NS982669,8/1/2007 12:00:00 AM,6/1/2008 12:00:00 AM,148,,,Bathgate,1.5,Bathgate,Scottish Water,,West Lothian,Whitburn and Blackburn,
EH28 8WT,No,55.884731,-3.628027,298262,666930,NS982669,5/1/2007 12:00:00 AM,1/1/2008 12:00:00 AM,148,,,Bathgate,1.5,Bathgate,Scottish Water,,West Lothian,Whitburn and Blackburn,
EH28 8WU,No,55.884731,-3.628027,298262,666930,NS982669,7/1/2006 12:00:00 AM,7/1/2007 12:00:00 AM,148,,,Bathgate,1.5,Bathgate,Scottish Water,,West Lothian,Whitburn and Blackburn,
EH28 8WW,No,55.884731,-3.628027,298262,666930,NS982669,3/1/2006 12:00:00 AM,10/1/2006 12:00:00 AM,148,,,Bathgate,1.5,Bathgate,Scottish Water,,West Lothian,Whitburn and Blackburn,
EH28 8YA,No,55.884731,-3.628027,298262,666930,NS982669,6/1/2004 12:00:00 AM,8/1/2009 12:00:00 AM,148,,,Bathgate,1.5,Bathgate,Scottish Water,,West Lothian,Whitburn and Blackburn,
EH28 8YQ,Yes,55.884731,-3.628027,298262,666930,NS982669,11/1/2002 12:00:00 AM,,148,,,Bathgate,1.5,Bathgate,Scottish Water,,West Lothian,Whitburn and Blackburn,
EH28 9AB,No,55.884731,-3.628027,298262,666930,NS982669,10/1/2014 12:00:00 AM,11/1/2018 12:00:00 AM,148,,,Bathgate,1.5,Bathgate,Scottish Water,,West Lothian,Whitburn and Blackburn,
EH28 9AD,No,55.884727,-3.628021,298262,666930,NS982669,12/1/2019 12:00:00 AM,1/1/2021 12:00:00 AM,148,,,Bathgate,1.5,Bathgate,Scottish Water,,West Lothian,Whitburn and Blackburn,
EH28 9AE,Yes,55.884727,-3.628021,298262,666930,NS982669,2/1/2023 12:00:00 AM,,148,,,Bathgate,1.5,Bathgate,Scottish Water,,West Lothian,Whitburn and Blackburn,
EH29 9EF,Yes,55.952611,-3.428946,310870,674209,NT108742,1/1/1980 12:00:00 AM,,57,,,Dalmeny,4.8,,Scottish Water,,West Lothian,"Broxburn, Uphall and Winchburgh",
