Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
HP10 0AA,Yes,51.589328,-0.681431,491444,188654,SU914886,1/1/1980 12:00:00 AM,,39,70,31,Bourne End,2.4,Flackwell Heath and Wooburn Green,Thames Water,,Buckinghamshire,"The Wooburns, Bourne End and Hedsor",
HP10 0AB,No,51.591968,-0.678698,491628,188951,SU916889,2/1/1990 12:00:00 AM,2/1/2023 12:00:00 AM,43,,,Bourne End,2.7,Flackwell Heath and Wooburn Green,Thames Water,,Buckinghamshire,"The Wooburns, Bourne End and Hedsor",
HP10 0AD,Yes,51.592051,-0.675722,491834,188964,SU918889,6/1/1996 12:00:00 AM,,58,19,10,Bourne End,2.9,Flackwell Heath and Wooburn Green,Affinity Water,Thames Water,Buckinghamshire,"The Wooburns, Bourne End and Hedsor",
HP10 0AE,Yes,51.588532,-0.681829,491418,188565,SU914885,12/1/1994 12:00:00 AM,,39,4,2,Bourne End,2.3,Flackwell Heath and Wooburn Green,Affinity Water,Thames Water,Buckinghamshire,"The Wooburns, Bourne End and Hedsor",
HP10 0AF,Yes,51.588808,-0.681561,491436,188596,SU914885,12/1/1994 12:00:00 AM,,39,28,25,Bourne End,2.4,Flackwell Heath and Wooburn Green,Thames Water,,Buckinghamshire,"The Wooburns, Bourne End and Hedsor",
HP10 0AG,Yes,51.589391,-0.682208,491390,188660,SU913886,7/1/2008 12:00:00 AM,,40,17,10,Bourne End,2.4,Flackwell Heath and Wooburn Green,Thames Water,,Buckinghamshire,"The Wooburns, Bourne End and Hedsor",
HP10 0AH,No,51.590546,-0.684138,491254,188786,SU912887,12/1/1995 12:00:00 AM,12/1/1997 12:00:00 AM,51,,,Bourne End,2.4,Flackwell Heath and Wooburn Green,,,Buckinghamshire,"The Wooburns, Bourne End and Hedsor",
HP10 0AL,Yes,51.589772,-0.681721,491423,188703,SU914887,12/1/1997 12:00:00 AM,,39,13,4,Bourne End,2.4,Flackwell Heath and Wooburn Green,Thames Water,,Buckinghamshire,"The Wooburns, Bourne End and Hedsor",
HP10 0AN,Yes,51.600863,-0.689312,490875,189927,SU908899,8/1/2009 12:00:00 AM,,47,,,Bourne End,3.0,Flackwell Heath and Wooburn Green,Thames Water,,Buckinghamshire,"The Wooburns, Bourne End and Hedsor",
HP10 0AP,Yes,51.597583,-0.683011,491318,189570,SU913895,10/1/2003 12:00:00 AM,,46,,,Bourne End,3.0,Flackwell Heath and Wooburn Green,Affinity Water,Thames Water,Buckinghamshire,"The Wooburns, Bourne End and Hedsor",
HP10 0AQ,Yes,51.585760,-0.680504,491515,188258,SU915882,3/1/2010 12:00:00 AM,,43,,,Bourne End,2.3,Flackwell Heath and Wooburn Green,Thames Water,,Buckinghamshire,"The Wooburns, Bourne End and Hedsor",
HP10 0AS,No,51.591968,-0.678698,491628,188951,SU916889,12/1/1997 12:00:00 AM,2/1/2016 12:00:00 AM,43,,,Bourne End,2.7,Flackwell Heath and Wooburn Green,,,Buckinghamshire,"The Wooburns, Bourne End and Hedsor",
HP10 0AT,Yes,51.590289,-0.681345,491448,188761,SU914887,1/1/1980 12:00:00 AM,,41,36,15,Bourne End,2.5,Flackwell Heath and Wooburn Green,Thames Water,,Buckinghamshire,"The Wooburns, Bourne End and Hedsor",
HP10 0AU,Yes,51.592305,-0.677504,491710,188990,SU917889,1/1/1980 12:00:00 AM,,48,23,8,Bourne End,2.8,Flackwell Heath and Wooburn Green,Thames Water,,Buckinghamshire,"The Wooburns, Bourne End and Hedsor",
HP10 0AW,Yes,51.591874,-0.684412,491232,188933,SU912889,4/1/2016 12:00:00 AM,,46,,,Bourne End,2.4,Flackwell Heath and Wooburn Green,Affinity Water,Thames Water,Buckinghamshire,"The Wooburns, Bourne End and Hedsor",
HP10 0AX,Yes,51.589732,-0.682198,491390,188698,SU913886,7/1/1983 12:00:00 AM,,40,11,9,Bourne End,2.4,Flackwell Heath and Wooburn Green,Thames Water,,Buckinghamshire,"The Wooburns, Bourne End and Hedsor",
HP10 0AZ,Yes,51.590386,-0.680375,491515,188773,SU915887,12/1/1996 12:00:00 AM,,41,1,1,Bourne End,2.5,Flackwell Heath and Wooburn Green,Thames Water,,Buckinghamshire,"The Wooburns, Bourne End and Hedsor",
