Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
BT1 1AL,Yes,54.600619,-5.934270,145993,529944,NW459299,7/1/1995 12:00:00 AM,,7,,,,,,Northern Ireland Water,,Belfast,Central,
BT1 1BB,No,54.599765,-5.930073,146259,529834,NW462298,12/1/1984 12:00:00 AM,6/1/2005 12:00:00 AM,7,,,,,,Northern Ireland Water,,Belfast,Central,
BT1 1BH,No,54.599968,-5.929289,146310,529854,NW463298,8/1/1993 12:00:00 AM,3/1/2015 12:00:00 AM,8,,,,,,Northern Ireland Water,,Belfast,Central,
BT1 1BL,Yes,54.599311,-5.930808,146208,529786,NW462297,12/1/1984 12:00:00 AM,,7,,,,,,Northern Ireland Water,,Belfast,Central,
BT1 1BN,No,54.599687,-5.928638,146351,529820,NW463298,6/1/1997 12:00:00 AM,3/1/2016 12:00:00 AM,6,,,,,,Northern Ireland Water,,Belfast,Central,
BT1 1BQ,No,54.599914,-5.929322,146308,529848,NW463298,6/1/1999 12:00:00 AM,10/1/2006 12:00:00 AM,7,,,,,,Northern Ireland Water,,Belfast,Central,
BT1 1BW,Yes,54.599968,-5.929289,146310,529854,NW463298,12/1/1998 12:00:00 AM,,8,,,,,,Northern Ireland Water,,Belfast,Central,
BT1 1DA,Yes,54.599809,-5.931046,146196,529842,NW461298,12/1/1984 12:00:00 AM,,7,,,,,,Northern Ireland Water,,Belfast,Central,
BT1 1DB,No,54.600214,-5.932650,146095,529893,NW460298,12/1/1984 12:00:00 AM,7/1/2005 12:00:00 AM,6,,,,,,Northern Ireland Water,,Belfast,Central,
BT1 1DD,Yes,54.600619,-5.934270,145993,529944,NW459299,1/1/1991 12:00:00 AM,,7,,,,,,Northern Ireland Water,,Belfast,Central,
BT1 1DE,No,54.600015,-5.930989,146201,529865,NW462298,12/1/1984 12:00:00 AM,4/1/2007 12:00:00 AM,7,,,,,,Northern Ireland Water,,Belfast,Central,
BT1 1DF,Yes,54.600619,-5.934270,145993,529944,NW459299,1/1/1991 12:00:00 AM,,7,,,,,,Northern Ireland Water,,Belfast,Central,
BT1 1DG,No,54.600619,-5.934270,145993,529944,NW459299,12/1/1984 12:00:00 AM,12/1/1991 12:00:00 AM,7,,,,,,Northern Ireland Water,,Belfast,Central,
BT1 1DH,No,54.601570,-5.931560,146174,530040,NW461300,12/1/1984 12:00:00 AM,12/1/1991 12:00:00 AM,7,,,,,,Northern Ireland Water,,Belfast,Central,
BT1 1DJ,Yes,54.601790,-5.931827,146158,530065,NW461300,12/1/1984 12:00:00 AM,,7,,,,,,Northern Ireland Water,,Belfast,Central,
BT1 1DY,No,54.599809,-5.931046,146196,529842,NW461298,1/1/1993 12:00:00 AM,12/1/2002 12:00:00 AM,7,,,,,,Northern Ireland Water,,Belfast,Central,
BT1 1EJ,Yes,54.600059,-5.935149,145933,529885,NW459298,8/1/2003 12:00:00 AM,,9,,,,,,Northern Ireland Water,,Belfast,Central,
BT1 1EL,Yes,54.599518,-5.929776,146276,529805,NW462298,12/1/1984 12:00:00 AM,,6,,,,,,Northern Ireland Water,,Belfast,Central,
BT1 1FA,No,54.600048,-5.930291,146246,529866,NW462298,8/1/1992 12:00:00 AM,6/1/2000 12:00:00 AM,8,,,,,,Northern Ireland Water,,Belfast,Central,
BT1 1FB,Yes,54.599779,-5.930320,146243,529836,NW462298,12/1/1984 12:00:00 AM,,7,,,,,,Northern Ireland Water,,Belfast,Central,
BT1 1FD,Yes,54.600565,-5.930605,146229,529925,NW462299,12/1/1984 12:00:00 AM,,7,,,,,,Northern Ireland Water,,Belfast,Central,
BT1 1FE,Yes,54.601399,-5.931011,146208,530019,NW462300,12/1/1984 12:00:00 AM,,7,,,,,,Northern Ireland Water,,Belfast,Central,
BT1 1FJ,Yes,54.600010,-5.932830,146082,529871,NW460298,12/1/1984 12:00:00 AM,,6,,,,,,Northern Ireland Water,,Belfast,Central,
BT1 1FL,No,54.599994,-5.932398,146110,529868,NW461298,12/1/1984 12:00:00 AM,12/1/1991 12:00:00 AM,6,,,,,,Northern Ireland Water,,Belfast,Central,
BT1 1FN,Yes,54.601296,-5.933384,146054,530016,NW460300,6/1/2008 12:00:00 AM,,6,,,,,,Northern Ireland Water,,Belfast,Central,
BT1 1FT,No,54.601000,-5.930784,146220,529974,NW462299,12/1/1984 12:00:00 AM,12/1/2014 12:00:00 AM,7,,,,,,Northern Ireland Water,,Belfast,Central,
BT1 1FX,Yes,54.600906,-5.930541,146235,529962,NW462299,12/1/1984 12:00:00 AM,,6,,,,,,Northern Ireland Water,,Belfast,Central,
BT1 1FY,No,54.599538,-5.929883,146269,529808,NW462298,4/1/1987 12:00:00 AM,7/1/2012 12:00:00 AM,6,,,,,,Northern Ireland Water,,Belfast,Central,
BT1 1FZ,Yes,54.600906,-5.930541,146235,529962,NW462299,9/1/2022 12:00:00 AM,,6,,,,,,Northern Ireland Water,,Belfast,Central,
BT1 1GA,Yes,54.600126,-5.929590,146292,529872,NW462298,12/1/1984 12:00:00 AM,,7,,,,,,Northern Ireland Water,,Belfast,Central,
BT1 1GB,Yes,54.599152,-5.929408,146298,529763,NW462297,12/1/1984 12:00:00 AM,,5,,,,,,Northern Ireland Water,,Belfast,Central,
BT1 1GE,No,54.599278,-5.934152,145992,529794,NW459297,12/1/1998 12:00:00 AM,2/1/2004 12:00:00 AM,7,,,,,,Northern Ireland Water,,Belfast,Central,
BT1 1GG,No,54.599349,-5.934102,145996,529802,NW459298,12/1/2001 12:00:00 AM,9/1/2018 12:00:00 AM,7,,,,,,Northern Ireland Water,,Belfast,Central,
BT1 1GH,Yes,54.599405,-5.932660,146089,529803,NW460298,12/1/1984 12:00:00 AM,,7,,,,,,Northern Ireland Water,,Belfast,Central,
BT1 1GJ,Yes,54.599919,-5.935404,145915,529870,NW459298,12/1/1984 12:00:00 AM,,8,59,32,,,,Northern Ireland Water,,Belfast,Central,
BT1 1GL,No,54.599349,-5.934102,145996,529802,NW459298,12/1/1984 12:00:00 AM,12/1/1991 12:00:00 AM,7,,,,,,Northern Ireland Water,,Belfast,Central,
BT1 1GP,No,54.599278,-5.934152,145992,529794,NW459297,12/1/1984 12:00:00 AM,12/1/1998 12:00:00 AM,7,,,,,,Northern Ireland Water,,Belfast,Central,
BT1 1GR,No,54.599349,-5.934102,145996,529802,NW459298,8/1/1992 12:00:00 AM,12/1/1994 12:00:00 AM,7,,,,,,Northern Ireland Water,,Belfast,Central,
BT1 1GU,No,54.599328,-5.931828,146143,529792,NW461297,12/1/1996 12:00:00 AM,6/1/2009 12:00:00 AM,8,,,,,,Northern Ireland Water,,Belfast,Central,
BT1 1GW,No,54.599278,-5.934152,145992,529794,NW459297,12/1/1998 12:00:00 AM,4/1/2006 12:00:00 AM,7,,,,,,Northern Ireland Water,,Belfast,Central,
BT1 1HB,Yes,54.599036,-5.932075,146125,529760,NW461297,12/1/1984 12:00:00 AM,,7,,,,,,Northern Ireland Water,,Belfast,Central,
