Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
BT1 1JW,No,54.600495,-5.937031,145814,529940,NW458299,12/1/1984 12:00:00 AM,1/1/1995 12:00:00 AM,8,,,,,,Northern Ireland Water,,Belfast,Falls,
BT1 6AR,Yes,54.597943,-5.938568,145699,529662,NW456296,12/1/1984 12:00:00 AM,,7,41,34,,,,Northern Ireland Water,,Belfast,Falls,
BT1 6AS,Yes,54.598019,-5.936738,145817,529664,NW458296,12/1/1984 12:00:00 AM,,5,56,28,,,,Northern Ireland Water,,Belfast,Falls,
BT1 6BE,Yes,54.598269,-5.936648,145825,529691,NW458296,12/1/1984 12:00:00 AM,,6,13,5,,,,Northern Ireland Water,,Belfast,Falls,
BT1 6BG,Yes,54.598260,-5.936092,145861,529688,NW458296,12/1/1984 12:00:00 AM,,6,,,,,,Northern Ireland Water,,Belfast,Falls,
BT1 6BJ,No,54.598340,-5.936583,145829,529699,NW458296,7/1/1995 12:00:00 AM,6/1/2000 12:00:00 AM,6,,,,,,Northern Ireland Water,,Belfast,Falls,
BT1 6BQ,No,54.598340,-5.936583,145829,529699,NW458296,12/1/1984 12:00:00 AM,7/1/2010 12:00:00 AM,6,,,,,,Northern Ireland Water,,Belfast,Falls,
BT10 0AW,Yes,54.562305,-6.002630,141337,525934,NW413259,8/1/1993 12:00:00 AM,,47,325,91,,,,Northern Ireland Water,,Belfast,Dunmurry,
BT10 0BF,Yes,54.558669,-6.001169,141409,525524,NW414255,8/1/1993 12:00:00 AM,,48,18,6,,,,Northern Ireland Water,,Belfast,Dunmurry,
BT10 0GR,Yes,54.560908,-6.001307,141414,525773,NW414257,7/1/1995 12:00:00 AM,,46,297,76,,,,Northern Ireland Water,,Belfast,Dunmurry,
BT10 0GS,Yes,54.561520,-6.001338,141416,525842,NW414258,6/1/1996 12:00:00 AM,,45,28,6,,,,Northern Ireland Water,,Belfast,Dunmurry,
BT10 0NB,Yes,54.562113,-5.997552,141664,525894,NW416258,12/1/1984 12:00:00 AM,,39,,,,,,Northern Ireland Water,,Belfast,Ladybrook,
BT10 0ND,Yes,54.560683,-5.999663,141519,525742,NW415257,12/1/1984 12:00:00 AM,,45,,,,,,Northern Ireland Water,,Belfast,Dunmurry,
BT10 0NF,Yes,54.563549,-6.001811,141398,526069,NW413260,12/1/1984 12:00:00 AM,,46,27,11,,,,Northern Ireland Water,,Belfast,Ladybrook,
BT10 0NG,Yes,54.563861,-5.998905,141588,526093,NW415260,12/1/1984 12:00:00 AM,,41,55,22,,,,Northern Ireland Water,,Belfast,Ladybrook,
BT10 0NH,Yes,54.563522,-5.999632,141539,526058,NW415260,12/1/1984 12:00:00 AM,,43,64,24,,,,Northern Ireland Water,,Belfast,Ladybrook,
BT10 0NJ,Yes,54.564415,-5.998723,141603,526154,NW416261,12/1/1984 12:00:00 AM,,38,131,41,,,,Northern Ireland Water,,Belfast,Ladybrook,
BT10 0NL,No,54.563172,-6.000732,141465,526023,NW414260,12/1/1984 12:00:00 AM,7/1/2005 12:00:00 AM,45,,,,,,Northern Ireland Water,,Belfast,Ladybrook,
BT10 0NQ,Yes,54.563483,-6.005417,141165,526075,NW411260,7/1/1995 12:00:00 AM,,43,183,51,,,,Northern Ireland Water,,Belfast,Ladybrook,
BT10 0NX,Yes,54.558916,-5.998714,141569,525542,NW415255,2/1/1990 12:00:00 AM,,40,151,51,,,,Northern Ireland Water,,Belfast,Dunmurry,
BT10 0NY,Yes,54.563303,-5.999952,141517,526035,NW415260,8/1/1993 12:00:00 AM,,43,57,19,,,,Northern Ireland Water,,Belfast,Ladybrook,
BT10 0NZ,Yes,54.560125,-5.998500,141590,525676,NW415256,12/1/2001 12:00:00 AM,,41,,,,,,Northern Ireland Water,,Belfast,Dunmurry,
BT10 0PD,Yes,54.559146,-6.002877,141301,525583,NW413255,7/1/1990 12:00:00 AM,,47,253,73,,,,Northern Ireland Water,,Belfast,Dunmurry,
BT10 0PE,Yes,54.558640,-6.002175,141343,525524,NW413255,7/1/1990 12:00:00 AM,,47,173,54,,,,Northern Ireland Water,,Belfast,Dunmurry,
BT10 0PF,No,54.558560,-6.002194,141342,525516,NW413255,9/1/1991 12:00:00 AM,5/1/1994 12:00:00 AM,47,,,,,,Northern Ireland Water,,Belfast,Dunmurry,
BT10 0PG,Yes,54.559953,-5.998416,141595,525657,NW415256,6/1/2002 12:00:00 AM,,42,14,2,,,,Northern Ireland Water,,Belfast,Dunmurry,
BT10 0PJ,No,54.557700,-6.000165,141467,525413,NW414254,1/1/1995 12:00:00 AM,6/1/1997 12:00:00 AM,39,,,,,,Northern Ireland Water,,Belfast,Dunmurry,
BT10 0PL,Yes,54.557758,-6.000966,141416,525422,NW414254,8/1/1992 12:00:00 AM,,41,144,28,,,,Northern Ireland Water,,Belfast,Dunmurry,
BT10 0PP,Yes,54.560522,-5.997522,141656,525717,NW416257,5/1/2005 12:00:00 AM,,38,22,9,,,,Northern Ireland Water,,Belfast,Ladybrook,
BT10 0PQ,Yes,54.560492,-5.996240,141739,525708,NW417257,1/1/2005 12:00:00 AM,,38,145,57,,,,Northern Ireland Water,,Belfast,Ladybrook,
BT10 0PR,Yes,54.560875,-5.995480,141790,525748,NW417257,9/1/2005 12:00:00 AM,,38,44,20,,,,Northern Ireland Water,,Belfast,Ladybrook,
BT10 0PT,Yes,54.559539,-5.996179,141736,525602,NW417256,11/1/2005 12:00:00 AM,,37,62,21,,,,Northern Ireland Water,,Belfast,Ladybrook,
BT10 0PZ,Yes,54.558913,-5.999626,141510,525545,NW415255,2/1/2011 12:00:00 AM,,47,,,,,,Northern Ireland Water,,Belfast,Dunmurry,
BT10 0QE,Yes,54.564014,-6.001665,141410,526120,NW414261,1/1/1992 12:00:00 AM,,43,79,22,,,,Northern Ireland Water,,Belfast,Ladybrook,
BT10 0QF,Yes,54.564600,-6.000708,141476,526182,NW414261,1/1/1992 12:00:00 AM,,40,87,22,,,,Northern Ireland Water,,Belfast,Ladybrook,
BT10 0QG,Yes,54.564716,-6.000100,141516,526192,NW415261,1/1/1992 12:00:00 AM,,38,82,24,,,,Northern Ireland Water,,Belfast,Ladybrook,
BT10 0QH,No,54.565362,-5.998955,141594,526260,NW415262,1/1/1992 12:00:00 AM,1/1/1995 12:00:00 AM,37,,,,,,Northern Ireland Water,,Belfast,Ladybrook,
BT10 0QJ,No,54.565362,-5.998955,141594,526260,NW415262,1/1/1993 12:00:00 AM,12/1/1995 12:00:00 AM,37,,,,,,Northern Ireland Water,,Belfast,Ladybrook,
BT10 0QN,No,54.565362,-5.998955,141594,526260,NW415262,6/1/1996 12:00:00 AM,6/1/1997 12:00:00 AM,37,,,,,,Northern Ireland Water,,Belfast,Ladybrook,
BT10 0QP,Yes,54.565767,-5.997914,141664,526301,NW416263,10/1/2002 12:00:00 AM,,38,12,4,,,,Northern Ireland Water,,Belfast,Ladybrook,
BT10 0QQ,Yes,54.565379,-5.998877,141599,526262,NW415262,1/1/1992 12:00:00 AM,,37,91,30,,,,Northern Ireland Water,,Belfast,Ladybrook,
BT10 0QR,Yes,54.562638,-5.998856,141583,525957,NW415259,2/1/2003 12:00:00 AM,,43,185,63,,,,Northern Ireland Water,,Belfast,Ladybrook,
BT10 0QS,Yes,54.562795,-6.000209,141497,525979,NW414259,4/1/2007 12:00:00 AM,,45,17,7,,,,Northern Ireland Water,,Belfast,Ladybrook,
BT10 0QT,Yes,54.561826,-5.999205,141555,525868,NW415258,9/1/2011 12:00:00 AM,,44,,,,,,Northern Ireland Water,,Belfast,Ladybrook,
BT10 0QU,Yes,54.562477,-5.995648,141789,525927,NW417259,4/1/2020 12:00:00 AM,,43,,,,,,Northern Ireland Water,,Belfast,Ladybrook,
BT10 0QW,No,54.564456,-6.000700,141475,526166,NW414261,6/1/1999 12:00:00 AM,6/1/2000 12:00:00 AM,39,,,,,,Northern Ireland Water,,Belfast,Ladybrook,
BT10 0QX,Yes,54.562477,-5.995648,141789,525927,NW417259,3/1/2022 12:00:00 AM,,36,,,,,,Northern Ireland Water,,Belfast,Ladybrook,
BT10 0QZ,Yes,54.562477,-5.995648,141789,525927,NW417259,7/1/2022 12:00:00 AM,,36,,,,,,Northern Ireland Water,,Belfast,Ladybrook,
BT10 0RA,No,54.565362,-5.998955,141594,526260,NW415262,6/1/2001 12:00:00 AM,8/1/2005 12:00:00 AM,37,,,,,,Northern Ireland Water,,Belfast,Ladybrook,
BT10 0RB,Yes,54.559511,-6.000463,141459,525615,NW414256,6/1/2022 12:00:00 AM,,48,,,,,,Northern Ireland Water,,Belfast,Dunmurry,
BT10 0RD,Yes,54.559511,-6.000463,141459,525615,NW414256,1/1/2023 12:00:00 AM,,48,,,,,,Northern Ireland Water,,Belfast,Dunmurry,
BT10 0TA,No,54.565309,-5.999035,141588,526254,NW415262,12/1/2000 12:00:00 AM,8/1/2010 12:00:00 AM,37,,,,,,Northern Ireland Water,,Belfast,Ladybrook,
BT10 0TJ,Yes,54.559511,-6.000463,141459,525615,NW414256,6/1/2010 12:00:00 AM,,48,,,,,,Northern Ireland Water,,Belfast,Dunmurry,
BT10 0TL,No,54.565362,-5.998955,141594,526260,NW415262,12/1/1999 12:00:00 AM,1/1/2001 12:00:00 AM,37,,,,,,Northern Ireland Water,,Belfast,Ladybrook,
BT10 0UB,No,54.565309,-5.999035,141588,526254,NW415262,10/1/2000 12:00:00 AM,11/1/2000 12:00:00 AM,37,,,,,,Northern Ireland Water,,Belfast,Ladybrook,
BT10 0WA,No,54.565362,-5.998955,141594,526260,NW415262,12/1/2001 12:00:00 AM,4/1/2006 12:00:00 AM,37,,,,,,Northern Ireland Water,,Belfast,Ladybrook,
BT10 0WB,No,54.565362,-5.998955,141594,526260,NW415262,12/1/2001 12:00:00 AM,1/1/2003 12:00:00 AM,37,,,,,,Northern Ireland Water,,Belfast,Ladybrook,
BT10 0YA,No,54.565362,-5.998955,141594,526260,NW415262,6/1/2002 12:00:00 AM,3/1/2019 12:00:00 AM,37,,,,,,Northern Ireland Water,,Belfast,Ladybrook,
BT10 0YB,No,54.565362,-5.998955,141594,526260,NW415262,6/1/2002 12:00:00 AM,4/1/2003 12:00:00 AM,37,,,,,,Northern Ireland Water,,Belfast,Ladybrook,
BT10 0YD,No,54.565362,-5.998955,141594,526260,NW415262,9/1/2002 12:00:00 AM,9/1/2018 12:00:00 AM,37,,,,,,Northern Ireland Water,,Belfast,Ladybrook,
BT10 0YE,No,54.565309,-5.999035,141588,526254,NW415262,7/1/2003 12:00:00 AM,4/1/2009 12:00:00 AM,37,,,,,,Northern Ireland Water,,Belfast,Ladybrook,
BT10 0YF,No,54.565309,-5.999035,141588,526254,NW415262,1/1/2004 12:00:00 AM,2/1/2005 12:00:00 AM,37,,,,,,Northern Ireland Water,,Belfast,Ladybrook,
BT10 0ZY,No,54.565309,-5.999035,141588,526254,NW415262,8/1/2004 12:00:00 AM,10/1/2006 12:00:00 AM,37,,,,,,Northern Ireland Water,,Belfast,Ladybrook,
BT11 8AA,Yes,54.584856,-5.979838,142952,528357,NW429283,12/1/1984 12:00:00 AM,,32,61,23,,,,Northern Ireland Water,,Belfast,Falls Park,
BT11 8AB,Yes,54.586103,-5.981323,142864,528501,NW428285,12/1/1984 12:00:00 AM,,42,38,11,,,,Northern Ireland Water,,Belfast,Falls Park,
