Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
SE1 0AA,Yes,51.498708,-0.101772,531860,179460,TQ318794,2/1/1990 12:00:00 AM,,9,,,Elephant and Castle,0.3,Southwark,Thames Water,,Southwark,St George's,
SE1 0AB,Yes,51.504038,-0.095542,532277,180064,TQ322800,12/1/1994 12:00:00 AM,,10,,,Borough,0.3,Southwark,Thames Water,,Southwark,Borough & Bankside,
SE1 0AD,Yes,51.499568,-0.101016,531910,179557,TQ319795,9/1/2003 12:00:00 AM,,7,15,0,Elephant and Castle,0.4,Southwark,Thames Water,,Southwark,St George's,
SE1 0AE,Yes,51.498575,-0.104112,531698,179441,TQ316794,1/1/1980 12:00:00 AM,,7,,,Elephant and Castle,0.4,Southwark,Thames Water,,Southwark,St George's,
SE1 0AF,No,51.498206,-0.104098,531700,179400,TQ317794,1/1/1980 12:00:00 AM,7/1/1995 12:00:00 AM,7,,,Elephant and Castle,0.4,Southwark,Thames Water,,Southwark,St George's,
SE1 0AG,Yes,51.499201,-0.102677,531796,179513,TQ317795,1/1/1980 12:00:00 AM,,7,63,30,Elephant and Castle,0.4,Southwark,Thames Water,,Southwark,St George's,
SE1 0AH,Yes,51.499034,-0.102508,531808,179495,TQ318794,1/1/1980 12:00:00 AM,,7,46,24,Elephant and Castle,0.4,Southwark,Thames Water,,Southwark,St George's,
SE1 0AJ,Yes,51.499180,-0.100399,531954,179515,TQ319795,1/1/1980 12:00:00 AM,,8,,,Elephant and Castle,0.4,Southwark,Thames Water,,Southwark,St George's,
SE1 0AL,Yes,51.504758,-0.096103,532236,180143,TQ322801,12/1/2000 12:00:00 AM,,10,,,Borough,0.4,Southwark,Thames Water,,Southwark,Borough & Bankside,
SE1 0AN,Yes,51.499042,-0.103516,531738,179494,TQ317794,1/1/1980 12:00:00 AM,,7,,,Elephant and Castle,0.4,Southwark,Thames Water,,Southwark,St George's,
SE1 0AP,Yes,51.498961,-0.105234,531619,179482,TQ316794,12/1/1995 12:00:00 AM,,9,507,4,Lambeth North,0.5,Southwark,Thames Water,,Southwark,St George's,
SE1 0AQ,Yes,51.499280,-0.102138,531833,179523,TQ318795,1/1/1980 12:00:00 AM,,7,89,3,Elephant and Castle,0.4,Southwark,Thames Water,,Southwark,St George's,
SE1 0AR,Yes,51.504038,-0.095963,532248,180063,TQ322800,1/1/1980 12:00:00 AM,,10,3,1,Borough,0.4,Southwark,Thames Water,,Southwark,Borough & Bankside,
SE1 0AS,Yes,51.503409,-0.096130,532238,179993,TQ322799,1/1/1980 12:00:00 AM,,8,30,14,Borough,0.3,Southwark,Thames Water,,Southwark,Borough & Bankside,
SE1 0AT,Yes,51.503555,-0.096240,532230,180009,TQ322800,10/1/2002 12:00:00 AM,,8,8,3,Borough,0.3,Southwark,Thames Water,,Southwark,Borough & Bankside,
SE1 0AU,No,51.503481,-0.096675,532200,180000,TQ321800,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,8,,,Borough,0.3,Southwark,,,Southwark,Borough & Bankside,
SE1 0AW,No,51.502582,-0.096712,532200,179900,TQ322798,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,8,,,Borough,0.2,Southwark,,,Southwark,Borough & Bankside,
SE1 0AX,Yes,51.502964,-0.095734,532267,179944,TQ322799,1/1/1980 12:00:00 AM,,9,,,Borough,0.2,Southwark,Thames Water,,Southwark,Borough & Bankside,
