Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
BN23 5AL,No,50.812307,0.322136,563692,103987,TQ636039,6/1/2001 12:00:00 AM,10/1/2005 12:00:00 AM,3,,,Pevensey and Westham,0.4,Westham,,,Wealden,Herstmonceux & Pevensey Levels,Pevensey & Stone Cross
BN23 5AZ,No,50.812307,0.322136,563692,103987,TQ636039,6/1/2001 12:00:00 AM,10/1/2002 12:00:00 AM,3,,,Pevensey and Westham,0.4,Westham,,,Wealden,Herstmonceux & Pevensey Levels,Pevensey & Stone Cross
BN23 5GS,No,50.812560,0.322546,563720,104016,TQ637040,6/1/2001 12:00:00 AM,2/1/2006 12:00:00 AM,3,,,Pevensey and Westham,0.4,Westham,,,Wealden,Herstmonceux & Pevensey Levels,Pevensey & Stone Cross
BN23 5NT,No,50.812560,0.322546,563720,104016,TQ637040,6/1/2001 12:00:00 AM,2/1/2006 12:00:00 AM,3,,,Pevensey and Westham,0.4,Westham,,,Wealden,Herstmonceux & Pevensey Levels,Pevensey & Stone Cross
BN23 5SA,No,50.812307,0.322136,563692,103987,TQ636039,12/1/1995 12:00:00 AM,9/1/2001 12:00:00 AM,3,,,Pevensey and Westham,0.4,Westham,,,Wealden,Herstmonceux & Pevensey Levels,Pevensey & Stone Cross
BN23 5UX,No,50.812560,0.322546,563720,104016,TQ637040,6/1/2001 12:00:00 AM,5/1/2007 12:00:00 AM,3,,,Pevensey and Westham,0.4,Westham,,,Wealden,Herstmonceux & Pevensey Levels,Pevensey & Stone Cross
BN23 5WA,No,50.812307,0.322136,563692,103987,TQ636039,12/1/2001 12:00:00 AM,7/1/2005 12:00:00 AM,3,,,Pevensey and Westham,0.4,Westham,,,Wealden,Herstmonceux & Pevensey Levels,Pevensey & Stone Cross
BN23 5WB,No,50.812560,0.322546,563720,104016,TQ637040,7/1/2002 12:00:00 AM,1/1/2006 12:00:00 AM,3,,,Pevensey and Westham,0.4,Westham,,,Wealden,Herstmonceux & Pevensey Levels,Pevensey & Stone Cross
BN23 5WD,No,50.812307,0.322136,563692,103987,TQ636039,4/1/2003 12:00:00 AM,7/1/2004 12:00:00 AM,3,,,Pevensey and Westham,0.4,Westham,,,Wealden,Herstmonceux & Pevensey Levels,Pevensey & Stone Cross
BN23 5WE,No,50.812307,0.322136,563692,103987,TQ636039,6/1/2002 12:00:00 AM,4/1/2003 12:00:00 AM,3,,,Pevensey and Westham,0.4,Westham,,,Wealden,Herstmonceux & Pevensey Levels,Pevensey & Stone Cross
BN23 5WF,No,50.812560,0.322546,563720,104016,TQ637040,12/1/2002 12:00:00 AM,2/1/2006 12:00:00 AM,3,,,Pevensey and Westham,0.4,Westham,,,Wealden,Herstmonceux & Pevensey Levels,Pevensey & Stone Cross
BN23 5WG,No,50.812560,0.322546,563720,104016,TQ637040,12/1/2002 12:00:00 AM,4/1/2006 12:00:00 AM,3,,,Pevensey and Westham,0.4,Westham,,,Wealden,Herstmonceux & Pevensey Levels,Pevensey & Stone Cross
BN23 5WH,No,50.812560,0.322546,563720,104016,TQ637040,11/1/2003 12:00:00 AM,1/1/2006 12:00:00 AM,3,,,Pevensey and Westham,0.4,Westham,,,Wealden,Herstmonceux & Pevensey Levels,Pevensey & Stone Cross
BN23 5WJ,No,50.812560,0.322546,563720,104016,TQ637040,1/1/2004 12:00:00 AM,12/1/2008 12:00:00 AM,3,,,Pevensey and Westham,0.4,Westham,,,Wealden,Herstmonceux & Pevensey Levels,Pevensey & Stone Cross
BN23 5WL,No,50.812560,0.322546,563720,104016,TQ637040,1/1/2004 12:00:00 AM,4/1/2012 12:00:00 AM,3,,,Pevensey and Westham,0.4,Westham,,,Wealden,Herstmonceux & Pevensey Levels,Pevensey & Stone Cross
BN23 5WN,No,50.812307,0.322136,563692,103987,TQ636039,3/1/2003 12:00:00 AM,10/1/2003 12:00:00 AM,3,,,Pevensey and Westham,0.4,Westham,,,Wealden,Herstmonceux & Pevensey Levels,Pevensey & Stone Cross
