Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
DA1 3LD,Yes,51.444759,0.182007,551735,174010,TQ517740,1/1/1980 12:00:00 AM,,33,69,26,Crayford,0.4,Bexley,Thames Water,,Bexley,Crayford,
DA1 3NP,Yes,51.448815,0.185827,551987,174469,TQ519744,1/1/1980 12:00:00 AM,,18,69,24,Crayford,0.5,Bexley,Thames Water,,Bexley,Crayford,
DA1 3NR,Yes,51.445437,0.184716,551921,174091,TQ519740,1/1/1980 12:00:00 AM,,30,63,25,Crayford,0.5,Bexley,Thames Water,,Bexley,Crayford,
DA1 3NS,Yes,51.447625,0.186475,552036,174338,TQ520743,1/1/1980 12:00:00 AM,,25,80,33,Crayford,0.5,Bexley,Thames Water,,Bexley,Crayford,
DA1 3NT,Yes,51.447437,0.186898,552066,174318,TQ520743,1/1/1980 12:00:00 AM,,26,113,39,Crayford,0.6,Bexley,Thames Water,,Bexley,Crayford,
DA1 3NW,No,51.449090,0.186027,552000,174500,TQ519744,7/1/1995 12:00:00 AM,6/1/1996 12:00:00 AM,16,,,Crayford,0.5,Bexley,,,Bexley,Crayford,
DA1 3NX,Yes,51.446242,0.183977,551867,174179,TQ518741,1/1/1980 12:00:00 AM,,26,43,20,Crayford,0.4,Bexley,Thames Water,,Bexley,Crayford,
DA1 3NY,Yes,51.445282,0.183830,551860,174072,TQ518740,1/1/1980 12:00:00 AM,,30,60,23,Crayford,0.5,Bexley,Thames Water,,Bexley,Crayford,
DA1 3NZ,Yes,51.447156,0.185100,551942,174283,TQ519742,1/1/1980 12:00:00 AM,,26,72,26,Crayford,0.4,Bexley,Thames Water,,Bexley,Crayford,
DA1 3PA,Yes,51.447371,0.185643,551979,174308,TQ519743,1/1/1980 12:00:00 AM,,25,64,23,Crayford,0.5,Bexley,Thames Water,,Bexley,Crayford,
DA1 3PB,Yes,51.447214,0.184426,551895,174288,TQ518742,1/1/1980 12:00:00 AM,,24,26,10,Crayford,0.4,Bexley,Thames Water,,Bexley,Crayford,
DA1 3PD,Yes,51.446640,0.184327,551890,174224,TQ518742,1/1/1980 12:00:00 AM,,26,18,5,Crayford,0.4,Bexley,Thames Water,,Bexley,Crayford,
DA1 3PE,Yes,51.448238,0.182547,551761,174398,TQ517743,1/1/1980 12:00:00 AM,,20,115,45,Crayford,0.3,Bexley,Thames Water,,Bexley,Crayford,
DA1 3PF,Yes,51.446273,0.181846,551719,174178,TQ517741,1/1/1980 12:00:00 AM,,28,92,31,Crayford,0.3,Bexley,Thames Water,,Bexley,Crayford,
DA1 3PG,Yes,51.446940,0.183665,551843,174256,TQ518742,1/1/1980 12:00:00 AM,,23,128,46,Crayford,0.4,Bexley,Thames Water,,Bexley,Crayford,
DA1 3PH,Yes,51.447889,0.184401,551891,174363,TQ518743,1/1/1980 12:00:00 AM,,22,48,16,Crayford,0.4,Bexley,Thames Water,,Bexley,Crayford,
DA1 3PJ,Yes,51.448417,0.184513,551897,174422,TQ518744,1/1/1980 12:00:00 AM,,19,54,18,Crayford,0.4,Bexley,Thames Water,,Bexley,Crayford,
DA1 3PL,Yes,51.449157,0.184893,551921,174505,TQ519745,1/1/1980 12:00:00 AM,,15,12,8,Crayford,0.4,Bexley,Thames Water,,Bexley,Crayford,
DA1 3PN,Yes,51.446067,0.175967,551311,174143,TQ513741,1/1/1991 12:00:00 AM,,14,94,65,Crayford,0.3,Bexley,Thames Water,,Bexley,Crayford,
DA1 3PP,Yes,51.448977,0.183961,551857,174483,TQ518744,1/1/1980 12:00:00 AM,,13,11,9,Crayford,0.4,Bexley,Thames Water,,Bexley,Crayford,
DA1 3PQ,Yes,51.447004,0.182675,551774,174261,TQ517742,1/1/1980 12:00:00 AM,,24,119,41,Crayford,0.3,Bexley,Thames Water,,Bexley,Crayford,
DA1 3PR,Yes,51.445344,0.182466,551765,174076,TQ517740,1/1/1980 12:00:00 AM,,30,11,9,Crayford,0.4,Bexley,Thames Water,,Bexley,Crayford,
DA1 3PS,Yes,51.446245,0.181372,551686,174174,TQ516741,1/1/1980 12:00:00 AM,,29,99,35,Crayford,0.3,Bexley,Thames Water,,Bexley,Crayford,
DA1 3PT,Yes,51.447371,0.181296,551677,174299,TQ516742,1/1/1980 12:00:00 AM,,25,8,4,Crayford,0.2,Bexley,Thames Water,,Bexley,Crayford,
DA1 3PU,No,51.447401,0.180190,551600,174300,TQ516743,7/1/1986 12:00:00 AM,12/1/1990 12:00:00 AM,24,,,Crayford,0.1,Bexley,,,Bexley,Crayford,
DA1 3PW,Yes,51.446649,0.176585,551352,174209,TQ513742,7/1/1990 12:00:00 AM,,13,73,40,Crayford,0.2,Bexley,Thames Water,,Bexley,Crayford,
DA1 3PY,Yes,51.447494,0.177575,551418,174305,TQ514743,1/1/1980 12:00:00 AM,,12,108,44,Crayford,0.1,Bexley,Thames Water,,Bexley,Crayford,
DA1 3PZ,No,51.446582,0.175833,551300,174200,TQ512741,1/1/1980 12:00:00 AM,12/1/1990 12:00:00 AM,12,,,Crayford,0.3,Bexley,,,Bexley,Crayford,
DA1 3QA,Yes,51.449660,0.181506,551684,174554,TQ516745,1/1/1980 12:00:00 AM,,9,11,9,Crayford,0.2,Bexley,Thames Water,,Bexley,Crayford,
DA1 3QB,Yes,51.445700,0.178799,551509,174108,TQ515741,1/1/1980 12:00:00 AM,,28,126,45,Crayford,0.3,Bexley,Thames Water,,Bexley,Crayford,
DA1 3QD,Yes,51.445853,0.178288,551473,174124,TQ514741,1/1/1980 12:00:00 AM,,26,104,41,Crayford,0.3,Bexley,Thames Water,,Bexley,Crayford,
DA1 3QE,Yes,51.445177,0.180803,551650,174054,TQ516740,1/1/1980 12:00:00 AM,,31,83,30,Crayford,0.4,Bexley,Thames Water,,Bexley,Crayford,
DA1 3QG,Yes,51.447569,0.180382,551613,174319,TQ516743,1/1/1980 12:00:00 AM,,24,96,43,Crayford,0.1,Bexley,Thames Water,,Bexley,Crayford,
DA1 3QH,Yes,51.446421,0.179205,551535,174189,TQ515741,1/1/1980 12:00:00 AM,,26,16,7,Crayford,0.2,Bexley,Thames Water,,Bexley,Crayford,
DA1 3QJ,Yes,51.443734,0.176187,551334,173884,TQ513738,6/1/2002 12:00:00 AM,,19,25,9,Crayford,0.5,Bexley,Thames Water,,Bexley,Crayford,
DA1 3QQ,Yes,51.444908,0.180272,551614,174023,TQ516740,1/1/1980 12:00:00 AM,,32,98,52,Crayford,0.4,Bexley,Thames Water,,Bexley,Crayford,
DA1 3QR,Yes,51.447459,0.180898,551649,174308,TQ516743,1/1/1980 12:00:00 AM,,24,79,32,Crayford,0.2,Bexley,Thames Water,,Bexley,Crayford,
DA1 3QS,Yes,51.443606,0.176771,551375,173871,TQ513738,6/1/2002 12:00:00 AM,,21,34,8,Crayford,0.5,Bexley,Thames Water,,Bexley,Crayford,
DA1 3QU,Yes,51.442831,0.171539,551014,173774,TQ510737,1/1/1980 12:00:00 AM,,29,,,Crayford,0.8,Bexley,Thames Water,,Bexley,Crayford,
DA1 3QX,Yes,51.444115,0.174550,551219,173923,TQ512739,6/1/2002 12:00:00 AM,,18,30,11,Crayford,0.6,Bexley,Thames Water,,Bexley,Crayford,
DA1 3QZ,Yes,51.444326,0.174805,551236,173947,TQ512739,5/1/2002 12:00:00 AM,,17,56,18,Crayford,0.5,Bexley,Thames Water,,Bexley,Crayford,
DA1 3RA,Yes,51.444946,0.176302,551338,174019,TQ513740,7/1/2002 12:00:00 AM,,16,47,14,Crayford,0.4,Bexley,Thames Water,,Bexley,Crayford,
DA1 3RB,Yes,51.444952,0.174518,551214,174016,TQ512740,9/1/2002 12:00:00 AM,,16,55,19,Crayford,0.5,Bexley,Thames Water,,Bexley,Crayford,
DA1 3RD,Yes,51.444265,0.177133,551398,173945,TQ513739,6/1/2002 12:00:00 AM,,20,50,19,Crayford,0.5,Bexley,Thames Water,,Bexley,Crayford,
DA1 3RF,Yes,51.445296,0.174851,551236,174055,TQ512740,7/1/2003 12:00:00 AM,,15,53,13,Crayford,0.4,Bexley,Thames Water,,Bexley,Crayford,
DA1 3RG,Yes,51.444955,0.172921,551103,174013,TQ511740,7/1/2002 12:00:00 AM,,22,83,31,Crayford,0.6,Bexley,Thames Water,,Bexley,Crayford,
DA1 3RH,Yes,51.446081,0.174269,551193,174141,TQ511741,11/1/2003 12:00:00 AM,,16,47,19,Crayford,0.4,Bexley,Thames Water,,Bexley,Crayford,
DA1 3RJ,Yes,51.444602,0.173005,551110,173974,TQ511739,7/1/2002 12:00:00 AM,,20,38,20,Crayford,0.6,Bexley,Thames Water,,Bexley,Crayford,
DA1 3RL,Yes,51.445886,0.174606,551217,174120,TQ512741,8/1/2003 12:00:00 AM,,15,17,8,Crayford,0.4,Bexley,Thames Water,,Bexley,Crayford,
DA1 3RN,Yes,51.443645,0.175650,551297,173873,TQ512738,6/1/2002 12:00:00 AM,,19,28,11,Crayford,0.6,Bexley,Thames Water,,Bexley,Crayford,
DA1 3RP,Yes,51.443798,0.174650,551227,173888,TQ512738,5/1/2002 12:00:00 AM,,20,23,8,Crayford,0.6,Bexley,Thames Water,,Bexley,Crayford,
DA1 3RR,Yes,51.444195,0.173633,551155,173930,TQ511739,5/1/2003 12:00:00 AM,,18,45,15,Crayford,0.6,Bexley,Thames Water,,Bexley,Crayford,
DA1 3RS,Yes,51.444721,0.175817,551305,173993,TQ513739,7/1/2002 12:00:00 AM,,15,46,18,Crayford,0.5,Bexley,Thames Water,,Bexley,Crayford,
DA1 3RT,Yes,51.444913,0.177092,551393,174017,TQ513740,7/1/2002 12:00:00 AM,,20,32,9,Crayford,0.4,Bexley,Thames Water,,Bexley,Crayford,
DA1 3RU,Yes,51.445664,0.176869,551375,174100,TQ513741,10/1/2002 12:00:00 AM,,18,45,15,Crayford,0.3,Bexley,Thames Water,,Bexley,Crayford,
DA1 3RW,Yes,51.445605,0.174693,551224,174089,TQ512740,6/1/2002 12:00:00 AM,,16,24,5,Crayford,0.4,Bexley,Thames Water,,Bexley,Crayford,
DA1 4AA,Yes,51.449701,0.189984,552273,174576,TQ522745,1/1/1980 12:00:00 AM,,14,71,28,Crayford,0.8,Bexley,Thames Water,,Bexley,Crayford,
