Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
HP18 9UH,Yes,51.839334,-1.052377,465385,216061,SP653160,1/1/1980 12:00:00 AM,,97,4,2,Bicester Village,8.9,,Thames Water,,Cherwell,Launton and Otmoor,Otmoor
HP18 9UY,Yes,51.832923,-1.086202,463064,215318,SP630153,1/1/1980 12:00:00 AM,,119,3,1,Bicester Village,7.9,,Thames Water,,Cherwell,Launton and Otmoor,Otmoor
HP18 9UZ,Yes,51.843743,-1.092770,462596,216516,SP625165,1/1/1980 12:00:00 AM,,83,5,3,Bicester Village,6.7,,Thames Water,,Cherwell,Launton and Otmoor,Otmoor
HP18 9XA,Yes,51.839616,-1.078817,463563,216069,SP635160,1/1/1980 12:00:00 AM,,116,4,2,Bicester Village,7.6,,Thames Water,,Cherwell,Launton and Otmoor,Otmoor
HP18 9XB,Yes,51.838834,-1.075124,463819,215985,SP638159,1/1/1980 12:00:00 AM,,117,2,1,Bicester Village,7.9,,Thames Water,,Cherwell,Launton and Otmoor,Otmoor
HP18 9XD,Yes,51.834703,-1.068134,464306,215532,SP643155,1/1/1980 12:00:00 AM,,172,2,2,Bicester Village,8.5,,Thames Water,,Cherwell,Launton and Otmoor,Otmoor
HP18 9XP,No,51.839586,-1.079289,463531,216065,SP635160,9/1/1991 12:00:00 AM,6/1/1997 12:00:00 AM,117,,,Bicester Village,7.6,,,,Cherwell,Launton and Otmoor,Otmoor
HP18 9XR,No,51.839586,-1.079289,463531,216065,SP635160,1/1/1992 12:00:00 AM,8/1/1997 12:00:00 AM,117,,,Bicester Village,7.6,,,,Cherwell,Launton and Otmoor,Otmoor
HP18 9XS,No,51.839586,-1.079289,463531,216065,SP635160,12/1/1996 12:00:00 AM,7/1/1997 12:00:00 AM,117,,,Bicester Village,7.6,,,,Cherwell,Launton and Otmoor,Otmoor
MK18 4AD,Yes,51.991950,-1.077187,463461,233013,SP634330,6/1/1997 12:00:00 AM,,118,46,15,Bicester North,11.0,Finmere,Anglian Water,,Cherwell,Fringford and Heyfords,Ploughley
MK18 4AH,Yes,51.987654,-1.095901,462182,232519,SP621325,1/1/1980 12:00:00 AM,,129,2,1,Bicester North,10.1,,Thames Water,,Cherwell,Fringford and Heyfords,Ploughley
MK18 4AJ,Yes,51.993848,-1.092324,462419,233211,SP624332,1/1/1980 12:00:00 AM,,126,39,16,Bicester North,10.8,,Thames Water,,Cherwell,Fringford and Heyfords,Ploughley
MK18 4AL,Yes,51.990642,-1.075481,463580,232869,SP635328,1/1/1980 12:00:00 AM,,118,7,4,Bicester North,11.0,Finmere,Thames Water,,Cherwell,Fringford and Heyfords,Ploughley
MK18 4AN,Yes,51.989159,-1.070866,463899,232708,SP638327,3/1/1983 12:00:00 AM,,120,6,3,Bicester North,11.0,Finmere,Thames Water,,Cherwell,Fringford and Heyfords,Ploughley
MK18 4AP,Yes,51.990197,-1.072519,463784,232822,SP637328,1/1/1980 12:00:00 AM,,118,37,16,Bicester North,11.0,Finmere,Thames Water,,Cherwell,Fringford and Heyfords,Ploughley
MK18 4AQ,Yes,51.987519,-1.076113,463541,232521,SP635325,1/1/1980 12:00:00 AM,,120,6,2,Bicester North,10.6,,Thames Water,,Cherwell,Fringford and Heyfords,Ploughley
MK18 4AR,Yes,51.989813,-1.071799,463834,232780,SP638327,1/1/1980 12:00:00 AM,,119,44,19,Bicester North,11.0,Finmere,Thames Water,,Cherwell,Fringford and Heyfords,Ploughley
MK18 4AS,Yes,51.992933,-1.078518,463368,233121,SP633331,1/1/1980 12:00:00 AM,,116,76,23,Bicester North,11.1,Finmere,Thames Water,,Cherwell,Fringford and Heyfords,Ploughley
MK18 4AT,Yes,51.996495,-1.068573,464046,233526,SP640335,1/1/1980 12:00:00 AM,,117,38,15,Bicester North,11.8,,Thames Water,,Cherwell,Fringford and Heyfords,Ploughley
MK18 4AU,Yes,51.976972,-1.084159,463003,231341,SP630313,1/1/1980 12:00:00 AM,,111,15,6,Bicester North,9.3,Newton Purcell,Thames Water,,Cherwell,Fringford and Heyfords,Ploughley
MK18 4AW,Yes,51.990032,-1.070979,463890,232805,SP638328,1/1/1980 12:00:00 AM,,117,47,18,Bicester North,11.0,Finmere,Thames Water,,Cherwell,Fringford and Heyfords,Ploughley
MK18 4AX,Yes,51.973427,-1.090801,462552,230941,SP625309,1/1/1980 12:00:00 AM,,117,22,7,Bicester North,8.8,,Thames Water,,Cherwell,Fringford and Heyfords,Ploughley
MK18 4AY,Yes,51.972847,-1.091351,462515,230876,SP625308,1/1/1980 12:00:00 AM,,116,16,7,Bicester North,8.7,,Thames Water,,Cherwell,Fringford and Heyfords,Ploughley
MK18 4AZ,Yes,51.969933,-1.091294,462523,230552,SP625305,1/1/1980 12:00:00 AM,,109,25,9,Bicester North,8.4,,Thames Water,,Cherwell,Fringford and Heyfords,Ploughley
MK18 4BE,Yes,51.989538,-1.074543,463646,232747,SP636327,7/1/2002 12:00:00 AM,,121,10,6,Bicester North,10.9,Finmere,Thames Water,,Cherwell,Fringford and Heyfords,Ploughley
MK18 4BG,Yes,51.991424,-1.075436,463582,232956,SP635329,1/1/1980 12:00:00 AM,,116,28,12,Bicester North,11.0,Finmere,Thames Water,,Cherwell,Fringford and Heyfords,Ploughley
MK18 4BH,Yes,51.988939,-1.069225,464012,232685,SP640326,6/1/2001 12:00:00 AM,,119,8,3,Bicester North,11.0,Finmere,Thames Water,,Cherwell,Fringford and Heyfords,Ploughley
MK18 4BJ,No,51.990231,-1.075752,463562,232823,SP635328,1/1/1980 12:00:00 AM,6/1/2008 12:00:00 AM,120,,,Bicester North,10.9,Finmere,Thames Water,,Cherwell,Fringford and Heyfords,Ploughley
MK18 4BQ,Yes,51.991055,-1.076536,463507,232914,SP635329,1/1/1980 12:00:00 AM,,120,45,15,Bicester North,11.0,Finmere,Thames Water,,Cherwell,Fringford and Heyfords,Ploughley
MK18 4BW,Yes,51.990135,-1.076190,463532,232812,SP635328,2/1/2003 12:00:00 AM,,121,17,5,Bicester North,10.9,Finmere,Thames Water,,Cherwell,Fringford and Heyfords,Ploughley
MK18 4DH,Yes,51.989600,-1.068760,464043,232759,SP640327,12/1/1999 12:00:00 AM,,117,12,4,Bicester North,11.1,Finmere,Thames Water,,Cherwell,Fringford and Heyfords,Ploughley
NN13 5JZ,Yes,52.007530,-1.090675,462513,234734,SP625347,1/1/1980 12:00:00 AM,,98,18,9,Bicester North,12.3,,Anglian Water,,Cherwell,Fringford and Heyfords,Ploughley
NN13 5RF,Yes,52.002296,-1.114281,460900,234132,SP609341,1/1/1992 12:00:00 AM,,120,10,3,Bicester North,11.3,,Thames Water,,Cherwell,Fringford and Heyfords,Ploughley
NN13 5RG,Yes,52.002041,-1.113820,460932,234104,SP609341,1/1/1980 12:00:00 AM,,121,19,8,Bicester North,11.2,,Anglian Water,,Cherwell,Fringford and Heyfords,Ploughley
NN13 5RH,Yes,51.987693,-1.158242,457901,232472,SP579324,1/1/1980 12:00:00 AM,,133,49,21,Kings Sutton,9.2,,Thames Water,,Cherwell,Fringford and Heyfords,Ploughley
NN13 5RJ,Yes,52.001623,-1.114411,460892,234057,SP608340,1/1/1980 12:00:00 AM,,121,6,3,Bicester North,11.2,,Thames Water,,Cherwell,Fringford and Heyfords,Ploughley
NN13 5RL,Yes,52.004427,-1.119149,460563,234365,SP605343,1/1/1980 12:00:00 AM,,121,20,6,Kings Sutton,11.2,,Anglian Water,,Cherwell,Fringford and Heyfords,Ploughley
NN13 5RN,Yes,51.987829,-1.114217,460924,232523,SP609325,1/1/1980 12:00:00 AM,,122,14,6,Bicester North,9.7,,Anglian Water,,Cherwell,Fringford and Heyfords,Ploughley
NN13 5RP,Yes,52.001131,-1.111158,461116,234005,SP611340,1/1/1980 12:00:00 AM,,121,28,7,Bicester North,11.2,,Anglian Water,,Cherwell,Fringford and Heyfords,Ploughley
NN13 5RR,Yes,51.999486,-1.116056,460782,233818,SP607338,1/1/1980 12:00:00 AM,,123,106,38,Bicester North,10.9,,Anglian Water,,Cherwell,Fringford and Heyfords,Ploughley
NN13 5RS,Yes,52.001346,-1.114620,460878,234026,SP608340,1/1/1980 12:00:00 AM,,122,8,3,Bicester North,11.1,,Thames Water,,Cherwell,Fringford and Heyfords,Ploughley
NN13 5RT,Yes,52.002602,-1.114319,460897,234166,SP608341,1/1/1980 12:00:00 AM,,119,22,8,Bicester North,11.3,,Thames Water,,Cherwell,Fringford and Heyfords,Ploughley
NN13 5RW,Yes,51.995962,-1.106334,461454,233434,SP614334,1/1/1980 12:00:00 AM,,123,12,5,Bicester North,10.7,,Thames Water,,Cherwell,Fringford and Heyfords,Ploughley
NN13 5SN,Yes,51.976441,-1.152600,458303,231225,SP583312,1/1/1980 12:00:00 AM,,120,24,9,Bicester North,8.1,,Anglian Water,,Cherwell,Fringford and Heyfords,Ploughley
NN13 5SP,Yes,51.974828,-1.148307,458600,231049,SP585310,1/1/1980 12:00:00 AM,,117,3,2,Bicester North,7.9,,Thames Water,,Cherwell,Fringford and Heyfords,Ploughley
NN13 5SR,Yes,51.976533,-1.139161,459226,231246,SP592312,1/1/1980 12:00:00 AM,,117,11,4,Bicester North,8.2,,Thames Water,,Cherwell,Fringford and Heyfords,Ploughley
NN13 5SS,Yes,51.975067,-1.139218,459224,231083,SP592310,1/1/1980 12:00:00 AM,,115,7,4,Bicester North,8.0,,Thames Water,,Cherwell,Fringford and Heyfords,Ploughley
NN13 5ST,Yes,51.976891,-1.140246,459151,231285,SP591312,1/1/1980 12:00:00 AM,,117,15,6,Bicester North,8.2,,Thames Water,,Cherwell,Fringford and Heyfords,Ploughley
NN13 5SW,Yes,51.975240,-1.143102,458957,231099,SP589310,1/1/1980 12:00:00 AM,,116,26,13,Bicester North,8.0,,Anglian Water,,Cherwell,Fringford and Heyfords,Ploughley
NN13 5SY,Yes,51.990395,-1.143698,458896,232784,SP588327,6/1/1981 12:00:00 AM,,133,6,2,Bicester North,9.7,,Anglian Water,,Cherwell,Fringford and Heyfords,Ploughley
NN13 5YR,No,52.003800,-1.114659,460872,234299,SP608342,1/1/1992 12:00:00 AM,3/1/2018 12:00:00 AM,116,,,Bicester North,11.4,,Thames Water,,Cherwell,Fringford and Heyfords,Ploughley
NN13 5YS,Yes,52.000631,-1.115276,460834,233946,SP608339,2/1/1990 12:00:00 AM,,123,10,3,Bicester North,11.1,,Thames Water,,Cherwell,Fringford and Heyfords,Ploughley
OX2 8EZ,Yes,51.795196,-1.273193,450221,210977,SP502109,1/1/1980 12:00:00 AM,,75,,,Oxford Parkway,1.0,Oxford,Thames Water,,Cherwell,Kidlington East,Kidlington South
OX2 8HA,Yes,51.803467,-1.274913,450093,211896,SP500118,1/1/1980 12:00:00 AM,,64,,,Oxford Parkway,0.1,,Thames Water,,Cherwell,Kidlington East,Kidlington South
OX2 8HD,Yes,51.807750,-1.259426,451156,212383,SP511123,1/1/1980 12:00:00 AM,,58,2,1,Oxford Parkway,1.1,,Thames Water,,Cherwell,Kidlington East,Kidlington South
OX2 8HE,Yes,51.803974,-1.256286,451377,211965,SP513119,1/1/1980 12:00:00 AM,,60,10,4,Oxford Parkway,1.3,,Thames Water,,Cherwell,Kidlington East,Kidlington South
OX2 8HF,Yes,51.797758,-1.265857,450724,211267,SP507112,1/1/1980 12:00:00 AM,,67,6,1,Oxford Parkway,0.9,,Thames Water,,Cherwell,Kidlington East,Kidlington South
OX2 8JR,Yes,51.796870,-1.288087,449192,211153,SP491111,1/1/1980 12:00:00 AM,,69,6,3,Oxford Parkway,1.2,,Thames Water,,Cherwell,Kidlington East,Kidlington South
OX2 8JS,No,51.794621,-1.292357,448900,210900,SP488109,8/1/1993 12:00:00 AM,7/1/1995 12:00:00 AM,62,,,Oxford Parkway,1.6,,,,Cherwell,Kidlington East,Kidlington South
OX2 8JT,Yes,51.792607,-1.293853,448799,210675,SP487106,1/1/1980 12:00:00 AM,,62,6,3,Oxford Parkway,1.8,,Thames Water,,Cherwell,Kidlington East,Kidlington South
OX2 8JX,Yes,51.799151,-1.283582,449500,211410,SP495114,1/1/1980 12:00:00 AM,,73,1,1,Oxford Parkway,0.8,,Thames Water,,Cherwell,Kidlington East,Kidlington South
OX20 1AA,Yes,51.856191,-1.361406,444078,217704,SP440177,9/1/1991 12:00:00 AM,,101,51,17,Combe (Oxon),3.5,Woodstock,Thames Water,,West Oxfordshire,Woodstock and Bladon,Woodstock
OX20 1AB,Yes,51.854814,-1.361019,444106,217551,SP441175,9/1/1991 12:00:00 AM,,102,69,28,Combe (Oxon),3.4,Woodstock,Thames Water,,West Oxfordshire,Woodstock and Bladon,Woodstock
OX20 1AD,No,51.867833,-1.359470,444200,219000,SP441189,1/1/1995 12:00:00 AM,12/1/1995 12:00:00 AM,90,,,Tackley,4.5,,,,West Oxfordshire,Stonesfield and Tackley,Woodstock
OX20 1AE,Yes,51.880383,-1.356034,444424,220398,SP444203,9/1/1991 12:00:00 AM,,95,20,5,Tackley,4.0,,Thames Water,,West Oxfordshire,Stonesfield and Tackley,Woodstock
OX20 1AF,Yes,51.889736,-1.351312,444740,221441,SP447214,9/1/1991 12:00:00 AM,,115,6,3,Tackley,3.8,,Thames Water,,West Oxfordshire,Stonesfield and Tackley,Woodstock
OX20 1AG,Yes,51.891684,-1.338058,445650,221666,SP456216,9/1/1991 12:00:00 AM,,108,4,1,Tackley,3.0,,Thames Water,,West Oxfordshire,Stonesfield and Tackley,Woodstock
OX20 1AH,Yes,51.895435,-1.377795,442912,222059,SP429220,9/1/1991 12:00:00 AM,,128,,,Tackley,5.7,,Thames Water,,West Oxfordshire,Stonesfield and Tackley,Woodstock
OX20 1AJ,Yes,51.889525,-1.378850,442845,221401,SP428214,9/1/1991 12:00:00 AM,,103,7,3,Tackley,5.7,,Thames Water,,West Oxfordshire,Stonesfield and Tackley,Woodstock
OX20 1AL,Yes,51.891248,-1.381747,442644,221591,SP426215,9/1/1991 12:00:00 AM,,99,29,13,Tackley,5.9,,Thames Water,,West Oxfordshire,Stonesfield and Tackley,Woodstock
OX20 1AN,Yes,51.891221,-1.380018,442763,221589,SP427215,9/1/1991 12:00:00 AM,,99,9,4,Tackley,5.8,,Thames Water,,West Oxfordshire,Stonesfield and Tackley,Woodstock
OX20 1AP,Yes,51.886069,-1.386816,442300,221012,SP423210,9/1/1991 12:00:00 AM,,110,10,3,Combe (Oxon),6.0,,Thames Water,,West Oxfordshire,Stonesfield and Tackley,Woodstock
OX20 1AQ,Yes,51.828630,-1.350942,444826,214645,SP448146,8/1/2007 12:00:00 AM,,80,14,5,Hanborough,1.6,Bladon,Thames Water,,West Oxfordshire,Woodstock and Bladon,Woodstock
OX20 1AR,Yes,51.893145,-1.385279,442399,221800,SP423217,9/1/1991 12:00:00 AM,,114,1,1,Tackley,6.2,,Thames Water,,West Oxfordshire,Stonesfield and Tackley,Woodstock
OX20 1AS,Yes,51.890706,-1.388378,442188,221527,SP421215,9/1/1991 12:00:00 AM,,128,4,2,Tackley,6.3,,Thames Water,,West Oxfordshire,Stonesfield and Tackley,Woodstock
OX20 1AT,No,51.893766,-1.387002,442280,221868,SP422218,9/1/1991 12:00:00 AM,7/1/2013 12:00:00 AM,109,,,Tackley,6.3,,,,West Oxfordshire,Stonesfield and Tackley,Woodstock
OX20 1AU,Yes,51.893712,-1.385388,442391,221863,SP423218,9/1/1991 12:00:00 AM,,106,,,Tackley,6.2,,Thames Water,,West Oxfordshire,Stonesfield and Tackley,Woodstock
OX20 1AW,Yes,51.892037,-1.381301,442674,221679,SP426216,9/1/1991 12:00:00 AM,,103,5,4,Tackley,5.9,,Thames Water,,West Oxfordshire,Stonesfield and Tackley,Woodstock
OX20 1AX,No,51.891332,-1.382385,442600,221600,SP426215,9/1/1991 12:00:00 AM,7/1/1995 12:00:00 AM,99,,,Tackley,5.9,,,,West Oxfordshire,Stonesfield and Tackley,Woodstock
OX20 1AY,Yes,51.894984,-1.377625,442924,222009,SP429220,9/1/1991 12:00:00 AM,,127,6,2,Tackley,5.7,,Thames Water,,West Oxfordshire,Stonesfield and Tackley,Woodstock
OX20 1AZ,Yes,51.898624,-1.375498,443067,222415,SP430224,9/1/1991 12:00:00 AM,,125,10,3,Tackley,5.7,,Thames Water,,West Oxfordshire,Stonesfield and Tackley,Woodstock
OX20 1BA,Yes,51.903281,-1.390999,441996,222924,SP419229,9/1/1991 12:00:00 AM,,135,5,2,Heyford,6.5,,Thames Water,,West Oxfordshire,Stonesfield and Tackley,Woodstock
OX20 1BB,Yes,51.902578,-1.381984,442617,222851,SP426228,9/1/1991 12:00:00 AM,,132,2,1,Heyford,6.0,,Thames Water,,West Oxfordshire,Stonesfield and Tackley,Woodstock
OX20 1BD,No,51.902587,-1.381984,442617,222852,SP426228,9/1/1991 12:00:00 AM,1/1/2014 12:00:00 AM,132,3,2,Heyford,6.0,,,,West Oxfordshire,Stonesfield and Tackley,Woodstock
OX20 1BE,Yes,51.895888,-1.406372,440945,222093,SP409220,9/1/1991 12:00:00 AM,,134,3,2,Charlbury,6.3,,Thames Water,,West Oxfordshire,Stonesfield and Tackley,Woodstock
OX20 1BG,Yes,51.896099,-1.407186,440889,222116,SP408221,9/1/1991 12:00:00 AM,,134,15,4,Charlbury,6.2,,Thames Water,,West Oxfordshire,Stonesfield and Tackley,Woodstock
OX20 1BH,Yes,51.891971,-1.408708,440788,221656,SP407216,9/1/1991 12:00:00 AM,,138,9,2,Charlbury,6.0,,Thames Water,,West Oxfordshire,Stonesfield and Tackley,Woodstock
OX20 1BJ,Yes,51.896730,-1.405666,440993,222187,SP409221,9/1/1991 12:00:00 AM,,135,8,4,Charlbury,6.4,,Thames Water,,West Oxfordshire,Stonesfield and Tackley,Woodstock
OX20 1BL,Yes,51.897303,-1.405336,441015,222251,SP410222,9/1/1991 12:00:00 AM,,134,5,2,Charlbury,6.4,,Thames Water,,West Oxfordshire,Stonesfield and Tackley,Woodstock
OX20 1BN,Yes,51.897706,-1.404926,441043,222296,SP410222,9/1/1991 12:00:00 AM,,133,10,4,Charlbury,6.5,,Thames Water,,West Oxfordshire,Stonesfield and Tackley,Woodstock
OX20 1BP,Yes,51.907949,-1.387868,442207,223445,SP422234,9/1/1991 12:00:00 AM,,141,6,2,Heyford,6.2,,Thames Water,,West Oxfordshire,Stonesfield and Tackley,Woodstock
OX20 1BQ,Yes,51.897183,-1.417255,440195,222231,SP401222,9/1/1991 12:00:00 AM,,142,2,1,Charlbury,5.7,,Thames Water,,West Oxfordshire,Stonesfield and Tackley,Woodstock
OX20 1BS,Yes,51.912254,-1.389280,442106,223923,SP421239,9/1/1991 12:00:00 AM,,149,2,1,Heyford,6.2,,Thames Water,,West Oxfordshire,Stonesfield and Tackley,Woodstock
OX20 1BT,Yes,51.902078,-1.398398,441488,222786,SP414227,9/1/1991 12:00:00 AM,,111,5,2,Heyford,7.1,,Thames Water,,West Oxfordshire,Stonesfield and Tackley,Woodstock
OX20 1BU,Yes,51.903189,-1.399430,441416,222909,SP414229,9/1/1991 12:00:00 AM,,117,,,Charlbury,7.1,,Thames Water,,West Oxfordshire,Stonesfield and Tackley,Woodstock
OX20 1BW,Yes,51.899002,-1.405214,441022,222440,SP410224,9/1/1991 12:00:00 AM,,130,7,2,Charlbury,6.5,,Thames Water,,West Oxfordshire,Stonesfield and Tackley,Woodstock
OX20 1BX,Yes,51.902633,-1.403117,441163,222845,SP411228,9/1/1991 12:00:00 AM,,113,,,Charlbury,6.8,,Thames Water,,West Oxfordshire,Stonesfield and Tackley,Woodstock
OX20 1BY,Yes,51.903221,-1.398487,441481,222913,SP414229,9/1/1991 12:00:00 AM,,113,5,2,Heyford,7.0,,Thames Water,,West Oxfordshire,Stonesfield and Tackley,Woodstock
OX20 1BZ,No,51.903424,-1.397743,441532,222936,SP415229,9/1/1991 12:00:00 AM,5/1/2015 12:00:00 AM,117,,,Heyford,7.0,,,,West Oxfordshire,Stonesfield and Tackley,Woodstock
OX20 1DA,Yes,51.874640,-1.362961,443953,219755,SP439197,9/1/1991 12:00:00 AM,,101,9,4,Tackley,4.5,Wootton (West Oxfordshire),Thames Water,,West Oxfordshire,Stonesfield and Tackley,Woodstock
OX20 1DB,Yes,51.896733,-1.404748,441056,222188,SP410221,6/1/1997 12:00:00 AM,,132,,,Charlbury,6.4,,Thames Water,,West Oxfordshire,Stonesfield and Tackley,Woodstock
OX20 1DD,Yes,51.849733,-1.338153,445686,217000,SP456169,11/1/2010 12:00:00 AM,,94,14,6,Hanborough,3.7,Woodstock,Thames Water,,West Oxfordshire,Woodstock and Bladon,Woodstock
OX20 1DE,Yes,51.822333,-1.344239,445294,213949,SP452139,7/1/2018 12:00:00 AM,,111,,,Hanborough,2.0,,,,West Oxfordshire,Woodstock and Bladon,Woodstock
OX20 1DF,Yes,51.849433,-1.337821,445709,216967,SP457169,8/1/2011 12:00:00 AM,,94,,,Hanborough,3.6,Woodstock,Thames Water,,West Oxfordshire,Woodstock and Bladon,Woodstock
