Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
B15 1HN,Yes,52.470953,-1.917415,405707,285894,SP057858,1/1/1980 12:00:00 AM,,159,18,6,Five Ways,0.3,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 1HU,No,52.470108,-1.917520,405700,285800,SP056858,1/1/1980 12:00:00 AM,12/1/1991 12:00:00 AM,154,,,Five Ways,0.3,Birmingham,,,Birmingham,Edgbaston,
B15 1HY,No,52.471007,-1.917518,405700,285900,SP056859,1/1/1980 12:00:00 AM,12/1/1994 12:00:00 AM,159,,,Five Ways,0.3,Birmingham,,,Birmingham,Edgbaston,
B15 1JA,No,52.470108,-1.917520,405700,285800,SP056858,8/1/1992 12:00:00 AM,5/1/1994 12:00:00 AM,154,,,Five Ways,0.3,Birmingham,,,Birmingham,Edgbaston,
B15 1JB,Yes,52.467645,-1.918319,405646,285526,SP056855,6/1/1998 12:00:00 AM,,145,10,3,Five Ways,0.5,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 1JD,Yes,52.470356,-1.917072,405730,285828,SP057858,1/1/1980 12:00:00 AM,,157,1,1,Five Ways,0.3,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 1JG,No,52.470108,-1.917520,405700,285800,SP056858,1/1/1980 12:00:00 AM,12/1/1994 12:00:00 AM,154,,,Five Ways,0.3,Birmingham,,,Birmingham,Edgbaston,
B15 1JJ,Yes,52.469864,-1.916652,405759,285773,SP057857,11/1/2004 12:00:00 AM,,151,,,Five Ways,0.3,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 1JL,Yes,52.470315,-1.918167,405656,285823,SP056858,1/1/1980 12:00:00 AM,,157,,,Five Ways,0.4,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 1JN,Yes,52.469137,-1.918346,405644,285692,SP056856,1/1/1980 12:00:00 AM,,153,57,24,Five Ways,0.4,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 1JP,Yes,52.469253,-1.916447,405773,285705,SP057857,1/1/1980 12:00:00 AM,,149,2,1,Five Ways,0.3,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 1JR,Yes,52.468829,-1.914019,405938,285658,SP059856,1/1/1980 12:00:00 AM,,146,6,4,Five Ways,0.3,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 1LD,Yes,52.472181,-1.917172,405723,286031,SP057860,1/1/1980 12:00:00 AM,,158,60,26,Five Ways,0.3,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 1LL,No,52.471904,-1.914572,405900,286000,SP058860,1/1/1992 12:00:00 AM,7/1/1995 12:00:00 AM,152,,,Five Ways,0.1,Birmingham,,,Birmingham,Edgbaston,
B15 1NG,No,52.470106,-1.914575,405900,285800,SP059858,8/1/1993 12:00:00 AM,1/1/1995 12:00:00 AM,149,,,Five Ways,0.2,Birmingham,,,Birmingham,Edgbaston,
B15 1NJ,Yes,52.467869,-1.916817,405748,285551,SP057855,1/1/1980 12:00:00 AM,,144,16,10,Five Ways,0.4,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 1NL,No,52.467411,-1.917525,405700,285500,SP056855,1/1/1995 12:00:00 AM,12/1/1996 12:00:00 AM,142,,,Five Ways,0.5,Birmingham,,,Birmingham,Edgbaston,
B15 1NP,Yes,52.470705,-1.914937,405875,285867,SP058858,1/1/1980 12:00:00 AM,,152,,,Five Ways,0.1,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 1NS,No,52.470232,-1.915694,405824,285814,SP058858,1/1/1992 12:00:00 AM,4/1/2023 12:00:00 AM,152,,,Five Ways,0.2,Birmingham,,,Birmingham,Edgbaston,
B15 1NU,Yes,52.470247,-1.915689,405824,285816,SP058858,8/1/1992 12:00:00 AM,,152,,,Five Ways,0.2,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 1NW,No,52.471006,-1.916046,405800,285900,SP057859,1/1/1991 12:00:00 AM,7/1/1995 12:00:00 AM,157,,,Five Ways,0.2,Birmingham,,,Birmingham,Edgbaston,
B15 1NY,No,52.470232,-1.915694,405824,285814,SP058858,1/1/1980 12:00:00 AM,9/1/2000 12:00:00 AM,152,,,Five Ways,0.2,Birmingham,,,Birmingham,Edgbaston,
B15 1PA,No,52.471005,-1.914574,405900,285900,SP058859,1/1/1980 12:00:00 AM,12/1/1986 12:00:00 AM,151,,,Five Ways,0.1,Birmingham,,,Birmingham,Edgbaston,
B15 1PB,No,52.471005,-1.914574,405900,285900,SP058859,4/1/1987 12:00:00 AM,12/1/1990 12:00:00 AM,151,,,Five Ways,0.1,Birmingham,,,Birmingham,Edgbaston,
B15 1PD,No,52.471005,-1.914574,405900,285900,SP058859,1/1/1980 12:00:00 AM,12/1/1990 12:00:00 AM,151,,,Five Ways,0.1,Birmingham,,,Birmingham,Edgbaston,
B15 1PF,No,52.471005,-1.914574,405900,285900,SP058859,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,151,,,Five Ways,0.1,Birmingham,,,Birmingham,Edgbaston,
B15 1PG,No,52.469783,-1.915857,405813,285764,SP058857,1/1/1980 12:00:00 AM,11/1/2001 12:00:00 AM,149,,,Five Ways,0.2,Birmingham,,,Birmingham,Edgbaston,
B15 1PH,Yes,52.471480,-1.913410,405979,285953,SP059859,2/1/2010 12:00:00 AM,,147,,,Five Ways,0.1,Birmingham,,,Birmingham,Edgbaston,
B15 1PJ,Yes,52.468650,-1.915682,405825,285638,SP058856,1/1/1980 12:00:00 AM,,146,24,10,Five Ways,0.3,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 1PL,Yes,52.471477,-1.913832,405950,285953,SP059859,1/1/1980 12:00:00 AM,,150,4,2,Five Ways,0.1,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 1PN,No,52.469208,-1.916049,405800,285700,SP058857,12/1/1994 12:00:00 AM,1/1/1995 12:00:00 AM,148,,,Five Ways,0.3,Birmingham,,,Birmingham,Edgbaston,
B15 1PP,No,52.470852,-1.914280,405920,285883,SP059858,1/1/1980 12:00:00 AM,8/1/2001 12:00:00 AM,150,,,Five Ways,0.1,Birmingham,,,Birmingham,Edgbaston,
B15 1PQ,Yes,52.469428,-1.914748,405888,285725,SP058857,12/1/2001 12:00:00 AM,,148,63,34,Five Ways,0.2,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 1PR,No,52.469575,-1.914635,405896,285741,SP058857,1/1/1980 12:00:00 AM,6/1/2000 12:00:00 AM,148,,,Five Ways,0.2,Birmingham,,,Birmingham,Edgbaston,
B15 1PS,No,52.470107,-1.916048,405800,285800,SP057858,1/1/1980 12:00:00 AM,12/1/1984 12:00:00 AM,151,,,Five Ways,0.2,Birmingham,,,Birmingham,Edgbaston,
B15 1PT,Yes,52.471130,-1.914058,405935,285914,SP059859,1/1/1980 12:00:00 AM,,148,57,20,Five Ways,0.1,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 1PU,Yes,52.471193,-1.913837,405950,285921,SP059859,1/1/1980 12:00:00 AM,,148,52,20,Five Ways,0.1,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 1PX,No,52.471005,-1.914574,405900,285900,SP058859,6/1/1981 12:00:00 AM,12/1/1981 12:00:00 AM,151,,,Five Ways,0.1,Birmingham,,,Birmingham,Edgbaston,
B15 1PY,No,52.471436,-1.913852,405949,285948,SP059859,1/1/1980 12:00:00 AM,6/1/2000 12:00:00 AM,149,,,Five Ways,0.1,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 1PZ,No,52.471480,-1.913410,405979,285953,SP059859,4/1/1987 12:00:00 AM,4/1/2009 12:00:00 AM,147,,,Five Ways,0.1,Birmingham,,,Birmingham,Edgbaston,
B15 1QA,Yes,52.471228,-1.913204,405993,285925,SP059859,1/1/1980 12:00:00 AM,,145,,,Five Ways,0.0,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 1QD,No,52.470989,-1.918593,405627,285898,SP056858,12/1/1996 12:00:00 AM,3/1/2005 12:00:00 AM,159,,,Five Ways,0.4,Birmingham,,,Birmingham,Edgbaston,
B15 1QG,No,52.471008,-1.918990,405600,285900,SP056859,2/1/1997 12:00:00 AM,9/1/2000 12:00:00 AM,160,,,Five Ways,0.4,Birmingham,,,Birmingham,Edgbaston,
B15 1QH,No,52.471907,-1.918988,405600,286000,SP056860,1/1/1991 12:00:00 AM,5/1/1994 12:00:00 AM,159,,,Five Ways,0.4,Birmingham,,,Birmingham,Edgbaston,
B15 1QJ,No,52.472131,-1.917958,405670,286025,SP056860,9/1/1991 12:00:00 AM,3/1/2019 12:00:00 AM,157,3,1,Five Ways,0.4,Birmingham,,,Birmingham,Edgbaston,
B15 1QL,Yes,52.472221,-1.917928,405672,286035,SP056860,1/1/1980 12:00:00 AM,,157,,,Five Ways,0.4,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 1QN,No,52.472086,-1.918016,405666,286020,SP056860,12/1/1995 12:00:00 AM,6/1/1997 12:00:00 AM,157,,,Five Ways,0.4,Birmingham,,,Birmingham,Edgbaston,
B15 1QP,Yes,52.472091,-1.918026,405665,286021,SP056860,1/1/1980 12:00:00 AM,,157,28,12,Five Ways,0.4,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 1QS,Yes,52.471923,-1.917222,405720,286002,SP057860,1/1/1980 12:00:00 AM,,158,81,35,Five Ways,0.3,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 1QT,Yes,52.472002,-1.918100,405660,286011,SP056860,1/1/1980 12:00:00 AM,,158,,,Five Ways,0.4,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 1QW,No,52.472131,-1.917958,405670,286025,SP056860,1/1/1980 12:00:00 AM,2/1/2001 12:00:00 AM,157,,,Five Ways,0.4,Birmingham,,,Birmingham,Edgbaston,
B15 1QX,No,52.471547,-1.918444,405637,285960,SP056859,1/1/1980 12:00:00 AM,9/1/2007 12:00:00 AM,158,,,Five Ways,0.4,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 1QZ,Yes,52.470989,-1.918607,405626,285898,SP056858,3/1/2005 12:00:00 AM,,159,,,Five Ways,0.4,Birmingham,,,Birmingham,Edgbaston,
B15 1RA,Yes,52.470989,-1.918607,405626,285898,SP056858,1/1/1980 12:00:00 AM,,159,,,Five Ways,0.4,Birmingham,,,Birmingham,Edgbaston,
B15 1RB,No,52.471008,-1.918990,405600,285900,SP056859,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,160,,,Five Ways,0.4,Birmingham,,,Birmingham,Edgbaston,
B15 1RD,No,52.471519,-1.918018,405666,285957,SP056859,1/1/1980 12:00:00 AM,2/1/2010 12:00:00 AM,158,,,Five Ways,0.3,Birmingham,,,Birmingham,Edgbaston,
B15 1RG,No,52.472041,-1.918061,405663,286015,SP056860,1/1/1980 12:00:00 AM,8/1/2009 12:00:00 AM,157,,,Five Ways,0.4,Birmingham,,,Birmingham,Edgbaston,
B15 1RH,No,52.470370,-1.920139,405522,285829,SP055858,1/1/1980 12:00:00 AM,3/1/2002 12:00:00 AM,160,,,Five Ways,0.5,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 1RJ,No,52.472041,-1.918061,405663,286015,SP056860,1/1/1980 12:00:00 AM,6/1/1998 12:00:00 AM,157,,,Five Ways,0.4,Birmingham,,,Birmingham,Edgbaston,
B15 1RL,No,52.472041,-1.918061,405663,286015,SP056860,1/1/1980 12:00:00 AM,9/1/2007 12:00:00 AM,157,,,Five Ways,0.4,Birmingham,,,Birmingham,Edgbaston,
B15 1RP,Yes,52.469414,-1.919768,405547,285723,SP055857,1/1/1980 12:00:00 AM,,158,,,Five Ways,0.5,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 1RQ,No,52.471009,-1.920462,405500,285900,SP055859,1/1/1995 12:00:00 AM,12/1/1996 12:00:00 AM,161,,,Five Ways,0.5,Birmingham,,,Birmingham,Edgbaston,
B15 1RR,No,52.470110,-1.920464,405500,285800,SP054858,2/1/1997 12:00:00 AM,9/1/2000 12:00:00 AM,160,,,Five Ways,0.5,Birmingham,,,Birmingham,Edgbaston,
B15 1RS,No,52.470110,-1.920464,405500,285800,SP054858,1/1/1980 12:00:00 AM,12/1/1982 12:00:00 AM,160,,,Five Ways,0.5,Birmingham,,,Birmingham,Edgbaston,
B15 1RT,No,52.469212,-1.921937,405400,285700,SP054857,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,159,,,Five Ways,0.6,Birmingham,,,Birmingham,Edgbaston,
B15 1RU,No,52.468312,-1.920467,405500,285600,SP054856,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,153,,,Five Ways,0.6,Birmingham,,,Birmingham,Edgbaston,
B15 1RX,Yes,52.468051,-1.920894,405471,285571,SP054855,1/1/1980 12:00:00 AM,,154,,,Five Ways,0.6,Birmingham,,,Birmingham,Edgbaston,
B15 1SE,No,52.471841,-1.915338,405848,285993,SP058859,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,155,,,Five Ways,0.2,Birmingham,,,Birmingham,Edgbaston,
B15 1SF,Yes,52.471841,-1.915338,405848,285993,SP058859,8/1/1993 12:00:00 AM,,155,,,Five Ways,0.2,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 1SG,No,52.471006,-1.916046,405800,285900,SP057859,1/1/1980 12:00:00 AM,12/1/1994 12:00:00 AM,157,,,Five Ways,0.2,Birmingham,,,Birmingham,Edgbaston,
B15 1SH,Yes,52.471473,-1.915942,405807,285952,SP058859,1/1/1980 12:00:00 AM,,157,,,Five Ways,0.2,Birmingham,,,Birmingham,Edgbaston,
B15 1SJ,No,52.471473,-1.915942,405807,285952,SP058859,1/1/1980 12:00:00 AM,10/1/2001 12:00:00 AM,157,,,Five Ways,0.2,Birmingham,,,Birmingham,Edgbaston,
B15 1SL,No,52.471841,-1.915338,405848,285993,SP058859,1/1/1992 12:00:00 AM,4/1/2023 12:00:00 AM,155,,,Five Ways,0.2,Birmingham,,,Birmingham,Edgbaston,
B15 1TH,Yes,52.470151,-1.920429,405502,285805,SP055858,1/1/1980 12:00:00 AM,,161,,,Five Ways,0.5,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 1TJ,No,52.469211,-1.920465,405500,285700,SP055857,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,157,,,Five Ways,0.5,Birmingham,,,Birmingham,Edgbaston,
B15 1TL,No,52.470801,-1.919756,405548,285877,SP055858,7/1/1990 12:00:00 AM,10/1/2001 12:00:00 AM,161,,,Five Ways,0.5,Birmingham,,,Birmingham,Edgbaston,
B15 1TN,No,52.471862,-1.918930,405604,285995,SP056859,1/1/1980 12:00:00 AM,5/1/2011 12:00:00 AM,158,,,Five Ways,0.4,Birmingham,,,Birmingham,Edgbaston,
B15 1TP,Yes,52.470754,-1.920693,405484,285872,SP054858,9/1/1991 12:00:00 AM,,160,,,Five Ways,0.5,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 1TR,Yes,52.471463,-1.919632,405556,285951,SP055859,1/1/1995 12:00:00 AM,,160,,,Five Ways,0.5,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 1TS,Yes,52.468861,-1.921232,405448,285661,SP054856,1/1/1980 12:00:00 AM,,157,1,1,Five Ways,0.6,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 1TT,No,52.470954,-1.919697,405552,285894,SP055858,1/1/1991 12:00:00 AM,4/1/2023 12:00:00 AM,161,,,Five Ways,0.5,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 1TU,No,52.468312,-1.920467,405500,285600,SP054856,1/1/1980 12:00:00 AM,12/1/1984 12:00:00 AM,153,,,Five Ways,0.6,Birmingham,,,Birmingham,Edgbaston,
B15 1TW,No,52.470808,-1.916576,405764,285878,SP057858,1/1/1980 12:00:00 AM,7/1/2013 12:00:00 AM,159,,,Five Ways,0.2,Birmingham,,,Birmingham,Edgbaston,
B15 1TX,No,52.468313,-1.921939,405400,285600,SP054856,1/1/1980 12:00:00 AM,12/1/1984 12:00:00 AM,158,,,Five Ways,0.7,Birmingham,,,Birmingham,Edgbaston,
B15 1TY,No,52.468313,-1.921939,405400,285600,SP054856,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,158,,,Five Ways,0.7,Birmingham,,,Birmingham,Edgbaston,
B15 2AZ,No,52.465053,-1.914909,405878,285238,SP058852,6/1/1996 12:00:00 AM,6/1/1999 12:00:00 AM,142,,,Five Ways,0.7,Birmingham,,,Birmingham,Edgbaston,
B15 2BA,No,52.465053,-1.914909,405878,285238,SP058852,6/1/1997 12:00:00 AM,6/1/1998 12:00:00 AM,142,,,Five Ways,0.7,Birmingham,,,Birmingham,Edgbaston,
B15 2BJ,Yes,52.469005,-1.909234,406263,285678,SP062856,1/1/1980 12:00:00 AM,,139,69,39,Five Ways,0.3,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 2BN,Yes,52.468042,-1.907985,406348,285571,SP063855,1/1/1980 12:00:00 AM,,130,59,27,Five Ways,0.5,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 2BP,Yes,52.466882,-1.908179,406335,285442,SP063854,1/1/1980 12:00:00 AM,,127,53,19,Five Ways,0.6,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 2BU,Yes,52.466469,-1.908150,406337,285396,SP063853,7/1/2010 12:00:00 AM,,126,,,Five Ways,0.6,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 2BW,Yes,52.467251,-1.908796,406293,285483,SP062854,1/1/1980 12:00:00 AM,,133,25,14,Five Ways,0.5,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 2BX,No,52.466594,-1.907384,406389,285410,SP063854,1/1/1980 12:00:00 AM,3/1/2006 12:00:00 AM,125,,,Five Ways,0.6,Birmingham,,,Birmingham,Edgbaston,
B15 2EL,Yes,52.462359,-1.906775,406431,284939,SP064849,1/1/1980 12:00:00 AM,,132,69,23,Five Ways,1.1,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 2EP,Yes,52.462742,-1.913162,405997,284981,SP059849,1/1/1980 12:00:00 AM,,145,35,11,Five Ways,0.9,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 2ER,Yes,52.462017,-1.910421,406183,284901,SP061849,1/1/1980 12:00:00 AM,,137,71,21,Five Ways,1.0,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 2ES,Yes,52.463601,-1.908480,406315,285077,SP063850,1/1/1980 12:00:00 AM,,137,49,13,Five Ways,0.9,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 2ET,Yes,52.463842,-1.906051,406480,285104,SP064851,1/1/1980 12:00:00 AM,,134,67,26,Five Ways,0.9,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 2EU,Yes,52.464435,-1.905608,406510,285170,SP065851,1/1/1980 12:00:00 AM,,133,44,14,Five Ways,0.9,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 2FG,Yes,52.448906,-1.942587,403999,283440,SP039834,10/1/2007 12:00:00 AM,,140,5,0,University (Birmingham),0.5,Birmingham,,,Birmingham,Edgbaston,
B15 2FQ,Yes,52.459652,-1.921610,405423,284637,SP054846,11/1/2023 12:00:00 AM,,129,,,University (Birmingham),1.4,Birmingham,,,Birmingham,Edgbaston,
B15 2FR,Yes,52.468543,-1.909568,406240,285627,SP062856,10/1/2022 12:00:00 AM,,140,,,Five Ways,0.4,Birmingham,,,Birmingham,Edgbaston,
B15 2GA,Yes,52.466789,-1.904278,406600,285432,SP066854,10/1/2004 12:00:00 AM,,120,33,10,Five Ways,0.8,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 2GB,Yes,52.466637,-1.904632,406576,285415,SP065854,11/1/2004 12:00:00 AM,,121,46,24,Five Ways,0.8,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 2GH,Yes,52.467361,-1.903963,406621,285496,SP066854,12/1/2010 12:00:00 AM,,119,25,12,Five Ways,0.7,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 2GJ,Yes,52.467626,-1.904924,406556,285525,SP065855,11/1/2013 12:00:00 AM,,121,,,Five Ways,0.7,Birmingham,,,Birmingham,Edgbaston,
B15 2GN,Yes,52.454063,-1.936694,404399,284014,SP043840,5/1/2013 12:00:00 AM,,148,,,University (Birmingham),0.3,Birmingham,,,Birmingham,Edgbaston,
B15 2GW,Yes,52.451833,-1.942563,404000,283766,SP040837,9/1/2010 12:00:00 AM,,153,,,University (Birmingham),0.4,Birmingham,,,Birmingham,Edgbaston,
B15 2HA,Yes,52.466052,-1.904074,406614,285350,SP066853,1/1/1980 12:00:00 AM,,122,56,29,Five Ways,0.8,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 2HB,Yes,52.466197,-1.905383,406525,285366,SP065853,1/1/1980 12:00:00 AM,,124,34,15,Five Ways,0.7,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 2HD,No,52.466520,-1.904338,406596,285402,SP065854,1/1/1980 12:00:00 AM,4/1/2003 12:00:00 AM,121,,,Five Ways,0.8,Birmingham,,,Birmingham,Edgbaston,
B15 2HE,No,52.466178,-1.904132,406610,285364,SP066853,1/1/1980 12:00:00 AM,11/1/2003 12:00:00 AM,122,,,Five Ways,0.8,Birmingham,,,Birmingham,Edgbaston,
B15 2HF,Yes,52.465892,-1.905826,406495,285332,SP064853,12/1/2005 12:00:00 AM,,128,75,41,Five Ways,0.8,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 2HG,Yes,52.465935,-1.903618,406645,285337,SP066853,1/1/1980 12:00:00 AM,,122,39,11,Five Ways,0.9,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 2HH,Yes,52.466338,-1.902498,406721,285382,SP067853,1/1/1980 12:00:00 AM,,119,17,15,Five Ways,0.9,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 2HJ,No,52.465028,-1.904606,406578,285236,SP065852,5/1/1994 12:00:00 AM,10/1/2011 12:00:00 AM,129,,,Five Ways,0.9,Birmingham,,,Birmingham,Edgbaston,
B15 2HL,No,52.466338,-1.902498,406721,285382,SP067853,1/1/1980 12:00:00 AM,5/1/2009 12:00:00 AM,119,,,Five Ways,0.9,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 2HP,No,52.465920,-1.907430,406386,285335,SP063853,1/1/1980 12:00:00 AM,3/1/2006 12:00:00 AM,129,,,Five Ways,0.7,Birmingham,,,Birmingham,Edgbaston,
B15 2HQ,Yes,52.465188,-1.903413,406659,285254,SP066852,1/1/1980 12:00:00 AM,,124,38,33,Five Ways,0.9,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 2HR,Yes,52.465785,-1.907489,406382,285320,SP063853,1/1/2010 12:00:00 AM,,129,15,6,Five Ways,0.7,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 2HS,No,52.466217,-1.907635,406372,285368,SP063853,1/1/1980 12:00:00 AM,2/1/2006 12:00:00 AM,127,,,Five Ways,0.7,Birmingham,,,Birmingham,Edgbaston,
B15 2HT,Yes,52.466468,-1.907473,406383,285396,SP063853,6/1/2010 12:00:00 AM,,126,,,Five Ways,0.6,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 2HU,Yes,52.467102,-1.906274,406464,285467,SP064854,1/1/1980 12:00:00 AM,,122,,,Five Ways,0.6,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 2HX,No,52.466477,-1.907031,406413,285397,SP064853,1/1/1980 12:00:00 AM,1/1/2005 12:00:00 AM,126,,,Five Ways,0.7,Birmingham,,,Birmingham,Edgbaston,
B15 2HY,Yes,52.467052,-1.906294,406463,285461,SP064854,6/1/2002 12:00:00 AM,,124,,,Five Ways,0.6,Birmingham,,,Birmingham,Edgbaston,
B15 2HZ,No,52.466504,-1.907223,406400,285400,SP063853,1/1/1992 12:00:00 AM,5/1/1994 12:00:00 AM,125,,,Five Ways,0.6,Birmingham,,,Birmingham,Edgbaston,
B15 2JA,No,52.466045,-1.905928,406488,285349,SP064853,1/1/1980 12:00:00 AM,11/1/2003 12:00:00 AM,127,,,Five Ways,0.7,Birmingham,,,Birmingham,Edgbaston,
B15 2JB,No,52.465424,-1.905885,406491,285280,SP064852,1/1/1980 12:00:00 AM,2/1/2006 12:00:00 AM,130,,,Five Ways,0.8,Birmingham,,,Birmingham,Edgbaston,
B15 2JD,Yes,52.465316,-1.905900,406490,285268,SP064852,1/1/1980 12:00:00 AM,,131,29,12,Five Ways,0.8,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 2JE,No,52.464706,-1.907226,406400,285200,SP064851,12/1/1995 12:00:00 AM,12/1/1996 12:00:00 AM,133,,,Five Ways,0.8,Birmingham,,,Birmingham,Edgbaston,
B15 2JF,Yes,52.465506,-1.907078,406410,285289,SP064852,1/1/1980 12:00:00 AM,,131,24,7,Five Ways,0.7,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 2JG,Yes,52.464619,-1.910273,406193,285190,SP061851,1/1/1980 12:00:00 AM,,135,65,36,Five Ways,0.7,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 2JH,Yes,52.463531,-1.910938,406148,285069,SP061850,1/1/1980 12:00:00 AM,,143,21,8,Five Ways,0.9,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 2JJ,Yes,52.463731,-1.913086,406002,285091,SP060850,1/1/1980 12:00:00 AM,,141,34,11,Five Ways,0.8,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 2JL,Yes,52.464018,-1.912409,406048,285123,SP060851,1/1/1980 12:00:00 AM,,140,82,28,Five Ways,0.8,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 2JN,Yes,52.464612,-1.913762,405956,285189,SP059851,1/1/1980 12:00:00 AM,,137,45,19,Five Ways,0.7,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 2JP,Yes,52.464830,-1.916985,405737,285213,SP057852,1/1/1980 12:00:00 AM,,149,12,5,Five Ways,0.7,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 2JQ,Yes,52.464276,-1.909656,406235,285152,SP062851,1/1/1980 12:00:00 AM,,137,45,30,Five Ways,0.8,Birmingham,Severn Trent,,Birmingham,Edgbaston,
B15 2JR,Yes,52.466116,-1.917468,405704,285356,SP057853,1/1/1980 12:00:00 AM,,143,31,14,Five Ways,0.6,Birmingham,Severn Trent,,Birmingham,Edgbaston,
