Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
B23 3AA,No,52.524850,-1.840686,410906,291898,SP109918,8/1/2004 12:00:00 AM,8/1/2023 12:00:00 AM,123,,,Erdington,0.4,Birmingham,,,Birmingham,Erdington,
B23 3AB,No,52.524850,-1.840686,410906,291898,SP109918,8/1/2004 12:00:00 AM,2/1/2006 12:00:00 AM,123,,,Erdington,0.4,Birmingham,,,Birmingham,Erdington,
B23 3AD,No,52.524850,-1.840686,410906,291898,SP109918,8/1/2004 12:00:00 AM,11/1/2007 12:00:00 AM,123,,,Erdington,0.4,Birmingham,,,Birmingham,Erdington,
B23 3AE,No,52.524850,-1.840686,410906,291898,SP109918,9/1/2004 12:00:00 AM,2/1/2006 12:00:00 AM,123,,,Erdington,0.4,Birmingham,,,Birmingham,Erdington,
B23 3AG,Yes,52.524850,-1.840686,410906,291898,SP109918,9/1/2004 12:00:00 AM,,123,,,Erdington,0.4,Birmingham,,,Birmingham,Erdington,
B23 3AH,No,52.524850,-1.840686,410906,291898,SP109918,10/1/2004 12:00:00 AM,2/1/2006 12:00:00 AM,123,,,Erdington,0.4,Birmingham,,,Birmingham,Erdington,
B23 3AJ,No,52.524850,-1.840686,410906,291898,SP109918,10/1/2004 12:00:00 AM,2/1/2006 12:00:00 AM,123,,,Erdington,0.4,Birmingham,,,Birmingham,Erdington,
B23 3AL,No,52.524850,-1.840686,410906,291898,SP109918,11/1/2004 12:00:00 AM,5/1/2006 12:00:00 AM,123,,,Erdington,0.4,Birmingham,,,Birmingham,Erdington,
B23 3AN,No,52.524850,-1.840686,410906,291898,SP109918,1/1/2007 12:00:00 AM,1/1/2007 12:00:00 AM,123,,,Erdington,0.4,Birmingham,,,Birmingham,Erdington,
B23 3AP,No,52.524850,-1.840686,410906,291898,SP109918,11/1/2004 12:00:00 AM,3/1/2006 12:00:00 AM,123,,,Erdington,0.4,Birmingham,,,Birmingham,Erdington,
B23 3AQ,No,52.524850,-1.840686,410906,291898,SP109918,11/1/2004 12:00:00 AM,3/1/2006 12:00:00 AM,123,,,Erdington,0.4,Birmingham,,,Birmingham,Erdington,
B23 3AR,No,52.524850,-1.840686,410906,291898,SP109918,1/1/2007 12:00:00 AM,1/1/2007 12:00:00 AM,123,,,Erdington,0.4,Birmingham,,,Birmingham,Erdington,
B23 3AS,No,52.524850,-1.840686,410906,291898,SP109918,11/1/2004 12:00:00 AM,10/1/2006 12:00:00 AM,123,,,Erdington,0.4,Birmingham,,,Birmingham,Erdington,
B23 3AT,No,52.524850,-1.840686,410906,291898,SP109918,1/1/2005 12:00:00 AM,4/1/2006 12:00:00 AM,123,,,Erdington,0.4,Birmingham,,,Birmingham,Erdington,
B23 3AU,No,52.524850,-1.840686,410906,291898,SP109918,1/1/2005 12:00:00 AM,1/1/2009 12:00:00 AM,123,,,Erdington,0.4,Birmingham,,,Birmingham,Erdington,
B23 3AW,No,52.524850,-1.840686,410906,291898,SP109918,1/1/2005 12:00:00 AM,2/1/2011 12:00:00 AM,123,,,Erdington,0.4,Birmingham,,,Birmingham,Erdington,
B23 3AX,No,52.524850,-1.840686,410906,291898,SP109918,1/1/2005 12:00:00 AM,2/1/2007 12:00:00 AM,123,,,Erdington,0.4,Birmingham,,,Birmingham,Erdington,
B23 3AY,No,52.524850,-1.840686,410906,291898,SP109918,3/1/2005 12:00:00 AM,8/1/2008 12:00:00 AM,123,,,Erdington,0.4,Birmingham,,,Birmingham,Erdington,
B23 3AZ,No,52.524850,-1.840686,410906,291898,SP109918,11/1/2009 12:00:00 AM,5/1/2011 12:00:00 AM,123,,,Erdington,0.4,Birmingham,,,Birmingham,Erdington,
B23 3BA,No,52.524850,-1.840686,410906,291898,SP109918,6/1/2006 12:00:00 AM,7/1/2006 12:00:00 AM,123,,,Erdington,0.4,Birmingham,,,Birmingham,Erdington,
B23 3BB,No,52.524850,-1.840686,410906,291898,SP109918,7/1/2011 12:00:00 AM,7/1/2012 12:00:00 AM,123,,,Erdington,0.4,Birmingham,,,Birmingham,Erdington,
B23 3BD,No,52.524850,-1.840686,410906,291898,SP109918,6/1/2006 12:00:00 AM,7/1/2006 12:00:00 AM,123,,,Erdington,0.4,Birmingham,,,Birmingham,Erdington,
B23 3BE,No,52.524850,-1.840686,410906,291898,SP109918,5/1/2005 12:00:00 AM,5/1/2006 12:00:00 AM,123,,,Erdington,0.4,Birmingham,,,Birmingham,Erdington,
B23 3BF,No,52.524850,-1.840686,410906,291898,SP109918,6/1/2005 12:00:00 AM,7/1/2006 12:00:00 AM,123,,,Erdington,0.4,Birmingham,,,Birmingham,Erdington,
B23 3BG,No,52.524850,-1.840686,410906,291898,SP109918,8/1/2005 12:00:00 AM,9/1/2006 12:00:00 AM,123,,,Erdington,0.4,Birmingham,,,Birmingham,Erdington,
B23 3BH,No,52.524850,-1.840686,410906,291898,SP109918,8/1/2005 12:00:00 AM,9/1/2007 12:00:00 AM,123,,,Erdington,0.4,Birmingham,,,Birmingham,Erdington,
B23 3BJ,No,52.524850,-1.840686,410906,291898,SP109918,8/1/2005 12:00:00 AM,10/1/2006 12:00:00 AM,123,,,Erdington,0.4,Birmingham,,,Birmingham,Erdington,
B23 3BL,No,52.524850,-1.840686,410906,291898,SP109918,9/1/2005 12:00:00 AM,10/1/2006 12:00:00 AM,123,,,Erdington,0.4,Birmingham,,,Birmingham,Erdington,
B23 3BN,No,52.524850,-1.840686,410906,291898,SP109918,9/1/2005 12:00:00 AM,10/1/2006 12:00:00 AM,123,,,Erdington,0.4,Birmingham,,,Birmingham,Erdington,
B23 3BP,No,52.524850,-1.840686,410906,291898,SP109918,9/1/2005 12:00:00 AM,10/1/2010 12:00:00 AM,123,,,Erdington,0.4,Birmingham,,,Birmingham,Erdington,
B23 3BQ,No,52.524850,-1.840686,410906,291898,SP109918,10/1/2005 12:00:00 AM,11/1/2006 12:00:00 AM,123,,,Erdington,0.4,Birmingham,,,Birmingham,Erdington,
B23 3BR,No,52.524850,-1.840686,410906,291898,SP109918,10/1/2005 12:00:00 AM,7/1/2006 12:00:00 AM,123,,,Erdington,0.4,Birmingham,,,Birmingham,Erdington,
B23 3BS,No,52.524850,-1.840686,410906,291898,SP109918,1/1/2007 12:00:00 AM,11/1/2007 12:00:00 AM,123,,,Erdington,0.4,Birmingham,,,Birmingham,Erdington,
B23 3BT,No,52.524850,-1.840686,410906,291898,SP109918,10/1/2005 12:00:00 AM,12/1/2008 12:00:00 AM,123,,,Erdington,0.4,Birmingham,,,Birmingham,Erdington,
B23 3BU,No,52.524850,-1.840686,410906,291898,SP109918,12/1/2007 12:00:00 AM,1/1/2008 12:00:00 AM,123,,,Erdington,0.4,Birmingham,,,Birmingham,Erdington,
B23 3BW,No,52.524850,-1.840686,410906,291898,SP109918,12/1/2005 12:00:00 AM,1/1/2007 12:00:00 AM,123,,,Erdington,0.4,Birmingham,,,Birmingham,Erdington,
B23 3BX,No,52.524850,-1.840686,410906,291898,SP109918,1/1/2006 12:00:00 AM,1/1/2007 12:00:00 AM,123,,,Erdington,0.4,Birmingham,,,Birmingham,Erdington,
B23 3BY,No,52.524850,-1.840686,410906,291898,SP109918,1/1/2006 12:00:00 AM,9/1/2007 12:00:00 AM,123,,,Erdington,0.4,Birmingham,,,Birmingham,Erdington,
B23 3BZ,No,52.524850,-1.840686,410906,291898,SP109918,2/1/2006 12:00:00 AM,2/1/2007 12:00:00 AM,123,,,Erdington,0.4,Birmingham,,,Birmingham,Erdington,
B23 3DA,No,52.524850,-1.840686,410906,291898,SP109918,3/1/2006 12:00:00 AM,5/1/2010 12:00:00 AM,123,,,Erdington,0.4,Birmingham,,,Birmingham,Erdington,
B23 3DB,No,52.524850,-1.840686,410906,291898,SP109918,4/1/2006 12:00:00 AM,4/1/2008 12:00:00 AM,123,,,Erdington,0.4,Birmingham,,,Birmingham,Erdington,
B23 3DD,No,52.524850,-1.840686,410906,291898,SP109918,4/1/2006 12:00:00 AM,5/1/2008 12:00:00 AM,123,,,Erdington,0.4,Birmingham,,,Birmingham,Erdington,
B23 3DE,No,52.524850,-1.840686,410906,291898,SP109918,7/1/2013 12:00:00 AM,11/1/2013 12:00:00 AM,123,,,Erdington,0.4,Birmingham,,,Birmingham,Erdington,
B23 3DF,Yes,52.524850,-1.840686,410906,291898,SP109918,4/1/2006 12:00:00 AM,,123,,,Erdington,0.4,Birmingham,,,Birmingham,Erdington,
B23 3DG,No,52.524850,-1.840686,410906,291898,SP109918,6/1/2007 12:00:00 AM,7/1/2007 12:00:00 AM,123,,,Erdington,0.4,Birmingham,,,Birmingham,Erdington,
B23 3DH,No,52.524850,-1.840686,410906,291898,SP109918,9/1/2007 12:00:00 AM,6/1/2008 12:00:00 AM,123,,,Erdington,0.4,Birmingham,,,Birmingham,Erdington,
B23 3DJ,No,52.524850,-1.840686,410906,291898,SP109918,6/1/2007 12:00:00 AM,7/1/2007 12:00:00 AM,123,,,Erdington,0.4,Birmingham,,,Birmingham,Erdington,
B23 3DL,No,52.524850,-1.840686,410906,291898,SP109918,8/1/2009 12:00:00 AM,7/1/2014 12:00:00 AM,123,,,Erdington,0.4,Birmingham,,,Birmingham,Erdington,
B23 3DN,No,52.524850,-1.840686,410906,291898,SP109918,9/1/2006 12:00:00 AM,9/1/2008 12:00:00 AM,123,,,Erdington,0.4,Birmingham,,,Birmingham,Erdington,
B23 3DP,No,52.524850,-1.840686,410906,291898,SP109918,9/1/2006 12:00:00 AM,10/1/2007 12:00:00 AM,123,,,Erdington,0.4,Birmingham,,,Birmingham,Erdington,
B23 3DQ,No,52.524850,-1.840686,410906,291898,SP109918,11/1/2007 12:00:00 AM,9/1/2013 12:00:00 AM,123,,,Erdington,0.4,Birmingham,,,Birmingham,Erdington,
B23 3DR,No,52.524850,-1.840686,410906,291898,SP109918,11/1/2007 12:00:00 AM,9/1/2013 12:00:00 AM,123,,,Erdington,0.4,Birmingham,,,Birmingham,Erdington,
B23 3DS,Yes,52.524865,-1.840679,410906,291900,SP109918,8/1/2022 12:00:00 AM,,123,,,Erdington,0.4,Birmingham,,,Birmingham,Erdington,
B23 3DT,No,52.524850,-1.840686,410906,291898,SP109918,10/1/2006 12:00:00 AM,10/1/2007 12:00:00 AM,123,,,Erdington,0.4,Birmingham,,,Birmingham,Erdington,
B23 3DU,No,52.524850,-1.840686,410906,291898,SP109918,2/1/2012 12:00:00 AM,10/1/2013 12:00:00 AM,123,,,Erdington,0.4,Birmingham,,,Birmingham,Erdington,
B23 3DW,No,52.524850,-1.840686,410906,291898,SP109918,2/1/2012 12:00:00 AM,10/1/2013 12:00:00 AM,123,,,Erdington,0.4,Birmingham,,,Birmingham,Erdington,
B23 3DX,No,52.524850,-1.840686,410906,291898,SP109918,2/1/2012 12:00:00 AM,10/1/2013 12:00:00 AM,123,,,Erdington,0.4,Birmingham,,,Birmingham,Erdington,
B23 3DY,No,52.524850,-1.840686,410906,291898,SP109918,2/1/2009 12:00:00 AM,12/1/2011 12:00:00 AM,123,,,Erdington,0.4,Birmingham,,,Birmingham,Erdington,
B23 3DZ,No,52.524850,-1.840686,410906,291898,SP109918,1/1/2007 12:00:00 AM,9/1/2011 12:00:00 AM,123,,,Erdington,0.4,Birmingham,,,Birmingham,Erdington,
