Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
B1 1AA,No,52.476660,-1.903535,406649,286530,SP066865,2/1/1990 12:00:00 AM,8/1/2010 12:00:00 AM,141,,,Birmingham New Street,0.3,Birmingham,Severn Trent,,Birmingham,Ladywood,
B1 1AD,No,52.476660,-1.903535,406649,286530,SP066865,1/1/1991 12:00:00 AM,7/1/2003 12:00:00 AM,141,,,Birmingham New Street,0.3,Birmingham,,,Birmingham,Ladywood,
B1 1AG,No,52.474528,-1.902156,406743,286293,SP067862,4/1/1987 12:00:00 AM,11/1/2000 12:00:00 AM,138,,,Birmingham New Street,0.4,Birmingham,,,Birmingham,Ladywood,
B1 1AH,No,52.476391,-1.904257,406600,286500,SP066865,4/1/1986 12:00:00 AM,5/1/1994 12:00:00 AM,145,,,Birmingham New Street,0.3,Birmingham,,,Birmingham,Ladywood,
B1 1AQ,No,52.474528,-1.902156,406743,286293,SP067862,1/1/1992 12:00:00 AM,11/1/2000 12:00:00 AM,138,,,Birmingham New Street,0.4,Birmingham,,,Birmingham,Ladywood,
B1 1AT,No,52.476391,-1.904257,406600,286500,SP066865,1/1/1992 12:00:00 AM,12/1/1992 12:00:00 AM,145,,,Birmingham New Street,0.3,Birmingham,,,Birmingham,Ladywood,
B1 1AY,Yes,52.475924,-1.905392,406523,286448,SP065864,8/1/2004 12:00:00 AM,,147,,,Birmingham New Street,0.4,Birmingham,,,Birmingham,Ladywood,
B1 1AZ,No,52.476660,-1.903535,406649,286530,SP066865,7/1/1990 12:00:00 AM,7/1/2003 12:00:00 AM,141,,,Birmingham New Street,0.3,Birmingham,,,Birmingham,Ladywood,
B1 1BA,Yes,52.475425,-1.900211,406875,286393,SP068863,1/1/2007 12:00:00 AM,,130,114,64,Birmingham New Street,0.3,Birmingham,Severn Trent,,Birmingham,Ladywood,
B1 1BB,Yes,52.480432,-1.903448,406654,286950,SP066869,10/1/1984 12:00:00 AM,,152,,,Birmingham New Street,0.4,Birmingham,,,Birmingham,Ladywood,
B1 1BD,Yes,52.478930,-1.902936,406689,286783,SP066867,4/1/1985 12:00:00 AM,,144,1,1,Birmingham New Street,0.2,Birmingham,Severn Trent,,Birmingham,Ladywood,
B1 1BE,Yes,52.477402,-1.902469,406721,286613,SP067866,1/1/1980 12:00:00 AM,,131,1,1,Birmingham New Street,0.2,Birmingham,Severn Trent,,Birmingham,Ladywood,
B1 1BF,No,52.474888,-1.902406,406726,286333,SP067863,1/1/1995 12:00:00 AM,6/1/1998 12:00:00 AM,139,,,Birmingham New Street,0.4,Birmingham,,,Birmingham,Ladywood,
B1 1BG,No,52.478943,-1.903148,406675,286784,SP066867,4/1/1987 12:00:00 AM,6/1/1998 12:00:00 AM,144,,,Birmingham New Street,0.2,Birmingham,,,Birmingham,Ladywood,
B1 1BH,No,52.478952,-1.903148,406675,286785,SP066867,6/1/2001 12:00:00 AM,8/1/2002 12:00:00 AM,144,,,Birmingham New Street,0.2,Birmingham,,,Birmingham,Ladywood,
B1 1BJ,No,52.476660,-1.903535,406649,286530,SP066865,9/1/2007 12:00:00 AM,6/1/2008 12:00:00 AM,141,,,Birmingham New Street,0.3,Birmingham,,,Birmingham,Ladywood,
B1 1BL,Yes,52.476853,-1.901616,406779,286552,SP067865,1/1/1980 12:00:00 AM,,134,,,Birmingham New Street,0.1,Birmingham,Severn Trent,,Birmingham,Ladywood,
B1 1BN,Yes,52.476573,-1.900895,406828,286521,SP068865,1/1/1980 12:00:00 AM,,133,7,3,Birmingham New Street,0.1,Birmingham,Severn Trent,,Birmingham,Ladywood,
B1 1BQ,No,52.477288,-1.902783,406700,286600,SP067865,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,134,,,Birmingham New Street,0.2,Birmingham,,,Birmingham,Ladywood,
B1 1BT,Yes,52.475425,-1.900211,406875,286393,SP068863,1/1/1980 12:00:00 AM,,130,1,1,Birmingham New Street,0.3,Birmingham,Severn Trent,,Birmingham,Ladywood,
B1 1BU,No,52.475416,-1.899931,406894,286392,SP068863,1/1/1980 12:00:00 AM,10/1/2001 12:00:00 AM,129,,,Birmingham New Street,0.3,Birmingham,,,Birmingham,Ladywood,
B1 1BW,No,52.476660,-1.903535,406649,286530,SP066865,12/1/2000 12:00:00 AM,9/1/2003 12:00:00 AM,141,,,Birmingham New Street,0.3,Birmingham,,,Birmingham,Ladywood,
B1 1BX,No,52.495953,-1.894214,407279,288677,SP072886,12/1/1999 12:00:00 AM,7/1/2021 12:00:00 AM,109,,,Birmingham Snow Hill,1.4,Birmingham,,,Birmingham,Newtown,
B1 1BY,Yes,52.475425,-1.900211,406875,286393,SP068863,1/1/2007 12:00:00 AM,,130,110,67,Birmingham New Street,0.3,Birmingham,Severn Trent,,Birmingham,Ladywood,
B1 1BZ,No,52.474888,-1.902406,406726,286333,SP067863,8/1/1992 12:00:00 AM,4/1/2001 12:00:00 AM,139,,,Birmingham New Street,0.4,Birmingham,,,Birmingham,Ladywood,
B1 1DA,Yes,52.474382,-1.899551,406920,286277,SP069862,1/1/1980 12:00:00 AM,,127,,,Birmingham New Street,0.4,Birmingham,Severn Trent,,Birmingham,Bordesley & Highgate,
B1 1DB,Yes,52.473507,-1.900195,406876,286180,SP068861,1/1/1980 12:00:00 AM,,129,,,Birmingham New Street,0.5,Birmingham,Severn Trent,,Birmingham,Ladywood,
B1 1DD,Yes,52.473851,-1.899184,406945,286218,SP069862,1/1/1980 12:00:00 AM,,126,,,Birmingham New Street,0.4,Birmingham,Severn Trent,,Birmingham,Bordesley & Highgate,
B1 1DE,No,52.473690,-1.899847,406900,286200,SP068861,1/1/1993 12:00:00 AM,12/1/1994 12:00:00 AM,129,,,Birmingham New Street,0.5,Birmingham,,,Birmingham,Ladywood,
B1 1DF,No,52.473887,-1.898963,406960,286222,SP069862,6/1/1998 12:00:00 AM,5/1/2003 12:00:00 AM,126,,,Birmingham New Street,0.4,Birmingham,,,Birmingham,Bordesley & Highgate,
B1 1DG,No,52.471896,-1.904267,406600,286000,SP066860,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,138,,,Five Ways,0.6,Birmingham,,,Birmingham,Ladywood,
B1 1DH,Yes,52.472820,-1.901762,406770,286103,SP067861,1/1/1980 12:00:00 AM,,133,126,83,Birmingham New Street,0.6,Birmingham,Severn Trent,,Birmingham,Ladywood,
B1 1DJ,No,52.473493,-1.900200,406876,286178,SP068861,1/1/1980 12:00:00 AM,7/1/2002 12:00:00 AM,130,,,Birmingham New Street,0.5,Birmingham,,,Birmingham,Ladywood,
B1 1DL,No,52.473690,-1.899847,406900,286200,SP068861,7/1/1990 12:00:00 AM,12/1/1990 12:00:00 AM,129,,,Birmingham New Street,0.5,Birmingham,,,Birmingham,Ladywood,
B1 1DN,No,52.473691,-1.901319,406800,286200,SP067861,8/1/1993 12:00:00 AM,7/1/1995 12:00:00 AM,135,,,Birmingham New Street,0.5,Birmingham,,,Birmingham,Ladywood,
B1 1DR,Yes,52.473912,-1.901122,406813,286225,SP068862,1/1/1980 12:00:00 AM,,137,4,2,Birmingham New Street,0.4,Birmingham,Severn Trent,,Birmingham,Ladywood,
B1 1DS,No,52.473691,-1.901319,406800,286200,SP067861,9/1/1991 12:00:00 AM,12/1/1992 12:00:00 AM,135,,,Birmingham New Street,0.5,Birmingham,,,Birmingham,Ladywood,
B1 1DW,Yes,52.473098,-1.900923,406827,286134,SP068861,1/1/1980 12:00:00 AM,,131,25,14,Birmingham New Street,0.5,Birmingham,Severn Trent,,Birmingham,Ladywood,
B1 1DX,No,52.476660,-1.903535,406649,286530,SP066865,5/1/1994 12:00:00 AM,5/1/2008 12:00:00 AM,141,,,Birmingham New Street,0.3,Birmingham,,,Birmingham,Ladywood,
B1 1ED,No,52.478442,-1.906211,406467,286728,SP064867,12/1/2000 12:00:00 AM,9/1/2009 12:00:00 AM,146,,,Birmingham New Street,0.4,Birmingham,,,Birmingham,Ladywood,
B1 1EE,No,52.477551,-1.904873,406558,286629,SP065866,7/1/1995 12:00:00 AM,6/1/1997 12:00:00 AM,135,,,Birmingham New Street,0.3,Birmingham,,,Birmingham,Ladywood,
B1 1EF,No,52.476660,-1.903535,406649,286530,SP066865,12/1/1999 12:00:00 AM,3/1/2002 12:00:00 AM,141,,,Birmingham New Street,0.3,Birmingham,,,Birmingham,Ladywood,
B1 1EG,Yes,52.474823,-1.899623,406915,286326,SP069863,1/1/1980 12:00:00 AM,,126,,,Birmingham New Street,0.3,Birmingham,,,Birmingham,Bordesley & Highgate,
B1 1EH,No,52.476632,-1.902917,406691,286527,SP066865,7/1/1995 12:00:00 AM,6/1/1997 12:00:00 AM,138,,,Birmingham New Street,0.2,Birmingham,,,Birmingham,Ladywood,
B1 1EJ,No,52.478442,-1.906211,406467,286728,SP064867,1/1/1980 12:00:00 AM,5/1/2001 12:00:00 AM,146,,,Birmingham New Street,0.4,Birmingham,,,Birmingham,Ladywood,
B1 1EL,No,52.474769,-1.899638,406914,286320,SP069863,1/1/1992 12:00:00 AM,6/1/1999 12:00:00 AM,126,,,Birmingham New Street,0.3,Birmingham,,,Birmingham,Bordesley & Highgate,
B1 1EN,No,52.478442,-1.906211,406467,286728,SP064867,7/1/1995 12:00:00 AM,6/1/1997 12:00:00 AM,146,,,Birmingham New Street,0.4,Birmingham,,,Birmingham,Ladywood,
