Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
B14 5QN,Yes,52.407522,-1.914498,405913,278839,SP059788,1/1/1980 12:00:00 AM,,162,31,16,Kings Norton,1.4,Birmingham,Severn Trent,,Birmingham,King's Norton South,
B22 1AA,No,52.411725,-1.928831,404938,279305,SP049793,6/1/1998 12:00:00 AM,7/1/2007 12:00:00 AM,139,,,Kings Norton,0.4,Birmingham,,,Birmingham,King's Norton North,
B22 1AB,No,52.411725,-1.928831,404938,279305,SP049793,6/1/1998 12:00:00 AM,7/1/2007 12:00:00 AM,139,,,Kings Norton,0.4,Birmingham,,,Birmingham,King's Norton North,
B22 1AD,No,52.411725,-1.928831,404938,279305,SP049793,6/1/1998 12:00:00 AM,8/1/2007 12:00:00 AM,139,,,Kings Norton,0.4,Birmingham,,,Birmingham,King's Norton North,
B22 1AE,No,52.411725,-1.928831,404938,279305,SP049793,6/1/1998 12:00:00 AM,9/1/2007 12:00:00 AM,139,,,Kings Norton,0.4,Birmingham,,,Birmingham,King's Norton North,
B22 1AF,No,52.411725,-1.928831,404938,279305,SP049793,6/1/1998 12:00:00 AM,7/1/2007 12:00:00 AM,139,,,Kings Norton,0.4,Birmingham,,,Birmingham,King's Norton North,
B22 1AG,No,52.411725,-1.928831,404938,279305,SP049793,6/1/1998 12:00:00 AM,9/1/2007 12:00:00 AM,139,,,Kings Norton,0.4,Birmingham,,,Birmingham,King's Norton North,
B22 1AH,No,52.411725,-1.928831,404938,279305,SP049793,6/1/1998 12:00:00 AM,9/1/2007 12:00:00 AM,139,,,Kings Norton,0.4,Birmingham,,,Birmingham,King's Norton North,
B22 1AJ,No,52.411725,-1.928831,404938,279305,SP049793,6/1/1998 12:00:00 AM,11/1/2001 12:00:00 AM,139,,,Kings Norton,0.4,Birmingham,,,Birmingham,King's Norton North,
B22 1AL,No,52.411725,-1.928831,404938,279305,SP049793,6/1/1998 12:00:00 AM,11/1/2001 12:00:00 AM,139,,,Kings Norton,0.4,Birmingham,,,Birmingham,King's Norton North,
B22 1AQ,No,52.411725,-1.928831,404938,279305,SP049793,6/1/1998 12:00:00 AM,9/1/2007 12:00:00 AM,139,,,Kings Norton,0.4,Birmingham,,,Birmingham,King's Norton North,
B29 4AA,Yes,52.435892,-1.950238,403480,281992,SP034819,1/1/1980 12:00:00 AM,,170,38,16,Selly Oak,1.2,Birmingham,Severn Trent,,Birmingham,Weoley & Selly Oak,
B29 4AB,Yes,52.435533,-1.952783,403307,281952,SP033819,1/1/1980 12:00:00 AM,,156,27,11,Selly Oak,1.4,Birmingham,Severn Trent,,Birmingham,Weoley & Selly Oak,
B29 4AD,Yes,52.435676,-1.949768,403512,281968,SP035819,1/1/1980 12:00:00 AM,,170,27,12,Selly Oak,1.2,Birmingham,Severn Trent,,Birmingham,Weoley & Selly Oak,
B29 4AE,Yes,52.434931,-1.952622,403318,281885,SP033818,1/1/1980 12:00:00 AM,,154,31,13,Selly Oak,1.4,Birmingham,Severn Trent,,Birmingham,Weoley & Selly Oak,
B29 4AF,No,52.435065,-1.951416,403400,281900,SP033818,12/1/1994 12:00:00 AM,7/1/1995 12:00:00 AM,161,,,Selly Oak,1.3,Birmingham,,,Birmingham,Weoley & Selly Oak,
B29 4AG,Yes,52.433923,-1.951049,403425,281773,SP034817,1/1/1980 12:00:00 AM,,154,73,31,Selly Oak,1.4,Birmingham,Severn Trent,,Birmingham,Weoley & Selly Oak,
B29 4AH,Yes,52.434436,-1.950107,403489,281830,SP034818,1/1/1980 12:00:00 AM,,162,14,7,Selly Oak,1.3,Birmingham,Severn Trent,,Birmingham,Weoley & Selly Oak,
B29 4AJ,Yes,52.433807,-1.952741,403310,281760,SP033817,1/1/1980 12:00:00 AM,,149,21,12,Selly Oak,1.5,Birmingham,Severn Trent,,Birmingham,Weoley & Selly Oak,
B29 4AL,Yes,52.434364,-1.952284,403341,281822,SP033818,1/1/1980 12:00:00 AM,,151,14,7,Selly Oak,1.4,Birmingham,Severn Trent,,Birmingham,Weoley & Selly Oak,
B29 4AN,Yes,52.435939,-1.954607,403183,281997,SP031819,1/1/1980 12:00:00 AM,,152,26,11,Selly Oak,1.4,Birmingham,Severn Trent,,Birmingham,Weoley & Selly Oak,
B29 4AP,Yes,52.434734,-1.954358,403200,281863,SP031818,1/1/1980 12:00:00 AM,,148,,,Selly Oak,1.5,Birmingham,Severn Trent,,Birmingham,Weoley & Selly Oak,
B29 4AR,Yes,52.434203,-1.953961,403227,281804,SP032818,1/1/1980 12:00:00 AM,,147,4,1,Selly Oak,1.5,Birmingham,Severn Trent,,Birmingham,Weoley & Selly Oak,
B29 4AS,Yes,52.433520,-1.953168,403281,281728,SP032817,1/1/1980 12:00:00 AM,,147,40,20,Selly Oak,1.5,Birmingham,Severn Trent,,Birmingham,Weoley & Selly Oak,
B29 4AT,Yes,52.432746,-1.952330,403338,281642,SP033816,1/1/1980 12:00:00 AM,,145,1,1,Selly Oak,1.5,Birmingham,Severn Trent,,Birmingham,Weoley & Selly Oak,
B29 4AU,Yes,52.432458,-1.951992,403361,281610,SP033816,1/1/1980 12:00:00 AM,,145,2,1,Selly Oak,1.5,Birmingham,Severn Trent,,Birmingham,Weoley & Selly Oak,
B29 4AW,Yes,52.435588,-1.954960,403159,281958,SP031819,1/1/1980 12:00:00 AM,,150,41,18,Selly Oak,1.5,Birmingham,Severn Trent,,Birmingham,Weoley & Selly Oak,
B29 4AX,Yes,52.432000,-1.950904,403435,281559,SP034815,1/1/1980 12:00:00 AM,,144,48,24,Selly Oak,1.5,Birmingham,Severn Trent,,Birmingham,Weoley & Selly Oak,
B29 4AY,Yes,52.432296,-1.950507,403462,281592,SP034815,1/1/1980 12:00:00 AM,,146,58,25,Selly Oak,1.5,Birmingham,Severn Trent,,Birmingham,Weoley & Selly Oak,
B29 4AZ,No,52.428588,-1.963644,402569,281179,SP025811,6/1/1997 12:00:00 AM,12/1/1998 12:00:00 AM,169,,,Northfield,2.3,Birmingham,,,Birmingham,Weoley & Selly Oak,
B29 4BA,No,52.429671,-1.951422,403400,281300,SP033812,1/1/1992 12:00:00 AM,12/1/1992 12:00:00 AM,142,,,Bournville,1.7,Birmingham,,,Birmingham,Weoley & Selly Oak,
B29 4BD,No,52.429671,-1.951422,403400,281300,SP033812,6/1/1998 12:00:00 AM,6/1/1999 12:00:00 AM,142,,,Bournville,1.7,Birmingham,,,Birmingham,Weoley & Selly Oak,
B29 4BE,Yes,52.430912,-1.952009,403360,281438,SP033814,1/1/1980 12:00:00 AM,,144,43,16,Selly Oak,1.6,Birmingham,Severn Trent,,Birmingham,Weoley & Selly Oak,
B29 4BF,Yes,52.423995,-1.968972,402207,280668,SP022806,7/1/2009 12:00:00 AM,,162,29,16,Northfield,1.8,Birmingham,Severn Trent,,Birmingham,Weoley & Selly Oak,
B29 4BG,Yes,52.431593,-1.953105,403285,281514,SP032815,1/1/1980 12:00:00 AM,,145,5,2,Selly Oak,1.6,Birmingham,Severn Trent,,Birmingham,Weoley & Selly Oak,
B29 4BH,Yes,52.432495,-1.954684,403178,281614,SP031816,1/1/1980 12:00:00 AM,,149,41,16,Selly Oak,1.7,Birmingham,Severn Trent,,Birmingham,Weoley & Selly Oak,
B29 4BJ,Yes,52.432208,-1.955331,403134,281582,SP031815,1/1/1980 12:00:00 AM,,151,22,12,Selly Oak,1.7,Birmingham,Severn Trent,,Birmingham,Weoley & Selly Oak,
B29 4BL,Yes,52.433392,-1.955662,403111,281714,SP031817,1/1/1980 12:00:00 AM,,150,6,2,Selly Oak,1.6,Birmingham,Severn Trent,,Birmingham,Weoley & Selly Oak,
B29 4BN,Yes,52.433898,-1.955933,403093,281770,SP030817,1/1/1980 12:00:00 AM,,150,5,5,Selly Oak,1.6,Birmingham,Severn Trent,,Birmingham,Weoley & Selly Oak,
B29 4BP,Yes,52.434501,-1.957271,403002,281837,SP030818,1/1/1980 12:00:00 AM,,154,28,13,Selly Oak,1.7,Birmingham,Severn Trent,,Birmingham,Weoley & Selly Oak,
B29 4BQ,Yes,52.431898,-1.953443,403262,281548,SP032815,1/1/1980 12:00:00 AM,,145,4,2,Selly Oak,1.6,Birmingham,Severn Trent,,Birmingham,Weoley & Selly Oak,
B29 4BS,Yes,52.434340,-1.958006,402952,281819,SP029818,1/1/1980 12:00:00 AM,,155,24,10,Selly Oak,1.7,Birmingham,Severn Trent,,Birmingham,Weoley & Selly Oak,
B29 4BT,Yes,52.434205,-1.958448,402922,281804,SP029818,1/1/1980 12:00:00 AM,,157,31,10,Selly Oak,1.8,Birmingham,Severn Trent,,Birmingham,Weoley & Selly Oak,
B29 4BU,Yes,52.430759,-1.959474,402852,281421,SP028814,1/1/1980 12:00:00 AM,,161,74,29,Selly Oak,2.0,Birmingham,Severn Trent,,Birmingham,Weoley & Selly Oak,
B29 4BW,Yes,52.424369,-1.967244,402324,280710,SP023807,6/1/2010 12:00:00 AM,,158,,,Northfield,1.8,Birmingham,Severn Trent,,Birmingham,Weoley & Selly Oak,
B29 4BX,Yes,52.430879,-1.958186,402940,281434,SP029814,1/1/1980 12:00:00 AM,,158,28,0,Selly Oak,2.0,Birmingham,Severn Trent,,Birmingham,Weoley & Selly Oak,
B29 4BY,Yes,52.431122,-1.959274,402866,281461,SP028814,1/1/1980 12:00:00 AM,,162,51,22,Selly Oak,2.0,Birmingham,Severn Trent,,Birmingham,Weoley & Selly Oak,
B29 4BZ,No,52.428588,-1.963644,402569,281179,SP025811,12/1/1998 12:00:00 AM,12/1/1999 12:00:00 AM,169,,,Northfield,2.3,Birmingham,,,Birmingham,Weoley & Selly Oak,
B29 4DA,Yes,52.431490,-1.959877,402825,281502,SP028815,1/1/1980 12:00:00 AM,,166,37,17,Selly Oak,2.0,Birmingham,Severn Trent,,Birmingham,Weoley & Selly Oak,
B29 4DB,Yes,52.431805,-1.958626,402910,281537,SP029815,1/1/1980 12:00:00 AM,,162,18,10,Selly Oak,1.9,Birmingham,Severn Trent,,Birmingham,Weoley & Selly Oak,
B29 4DD,Yes,52.432776,-1.960111,402809,281645,SP028816,1/1/1980 12:00:00 AM,,167,57,29,Selly Oak,1.9,Birmingham,Severn Trent,,Birmingham,Weoley & Selly Oak,
B29 4DE,Yes,52.432497,-1.959788,402831,281614,SP028816,1/1/1980 12:00:00 AM,,166,50,23,Selly Oak,1.9,Birmingham,Severn Trent,,Birmingham,Weoley & Selly Oak,
B29 4DF,Yes,52.424076,-1.968207,402259,280677,SP022806,11/1/2009 12:00:00 AM,,161,94,35,Northfield,1.8,Birmingham,Severn Trent,,Birmingham,Weoley & Selly Oak,
B29 4DG,Yes,52.433136,-1.961420,402720,281685,SP027816,1/1/1980 12:00:00 AM,,167,55,24,Selly Oak,2.0,Birmingham,Severn Trent,,Birmingham,Weoley & Selly Oak,
B29 4DH,Yes,52.426999,-1.971308,402048,281002,SP020810,8/1/2005 12:00:00 AM,,182,13,11,Northfield,2.1,Birmingham,Severn Trent,,Birmingham,Weoley & Selly Oak,
B29 4DJ,Yes,52.423240,-1.967649,402297,280584,SP022805,7/1/2009 12:00:00 AM,,159,33,10,Northfield,1.7,Birmingham,Severn Trent,,Birmingham,Weoley & Selly Oak,
B29 4DL,Yes,52.424010,-1.967112,402333,280670,SP023806,8/1/2010 12:00:00 AM,,158,23,8,Northfield,1.8,Birmingham,Severn Trent,,Birmingham,Weoley & Selly Oak,
B29 4DN,Yes,52.431025,-1.967452,402310,281450,SP023814,1/1/1980 12:00:00 AM,,179,71,30,Selly Oak,2.5,Birmingham,Severn Trent,,Birmingham,Weoley & Selly Oak,
B29 4DP,Yes,52.431402,-1.964731,402495,281492,SP024814,1/1/1980 12:00:00 AM,,175,51,27,Selly Oak,2.3,Birmingham,Severn Trent,,Birmingham,Weoley & Selly Oak,
