Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
B13 0AD,Yes,52.432006,-1.873952,408667,281566,SP086815,2/1/2009 12:00:00 AM,,148,30,12,Yardley Wood,1.8,Birmingham,Severn Trent,,Birmingham,Billesley,
B13 0AF,No,52.426168,-1.870983,408870,280917,SP088809,12/1/1997 12:00:00 AM,6/1/1999 12:00:00 AM,149,,,Yardley Wood,1.2,Birmingham,,,Birmingham,Billesley,
B13 0AG,Yes,52.431890,-1.875452,408565,281553,SP085815,1/1/1980 12:00:00 AM,,149,57,31,Yardley Wood,1.8,Birmingham,Severn Trent,,Birmingham,Billesley,
B13 0AH,Yes,52.433720,-1.871182,408855,281757,SP088817,1/1/1980 12:00:00 AM,,145,39,15,Hall Green,1.8,Birmingham,Severn Trent,,Birmingham,Billesley,
B13 0AQ,Yes,52.432796,-1.873390,408705,281654,SP087816,1/1/1980 12:00:00 AM,,147,95,45,Yardley Wood,1.8,Birmingham,Severn Trent,,Birmingham,Billesley,
B13 0AT,No,52.431493,-1.858010,409751,281511,SP097815,1/1/1980 12:00:00 AM,6/1/2005 12:00:00 AM,123,,,Hall Green,1.0,Birmingham,Severn Trent,,Birmingham,Billesley,
B13 0AU,Yes,52.432456,-1.858654,409707,281618,SP097816,1/1/1980 12:00:00 AM,,124,72,25,Hall Green,1.0,Birmingham,Severn Trent,,Birmingham,Billesley,
B13 0AX,Yes,52.431981,-1.859920,409621,281565,SP096815,1/1/1980 12:00:00 AM,,125,72,20,Hall Green,1.1,Birmingham,Severn Trent,,Birmingham,Billesley,
B13 0AY,Yes,52.431612,-1.859598,409643,281524,SP096815,1/1/1980 12:00:00 AM,,124,103,31,Hall Green,1.1,Birmingham,Severn Trent,,Birmingham,Billesley,
B13 0AZ,No,52.427519,-1.891098,407502,281065,SP075810,12/1/1999 12:00:00 AM,1/1/2006 12:00:00 AM,151,,,Bournville,2.4,Birmingham,,,Birmingham,Billesley,
B13 0BA,Yes,52.432628,-1.859418,409655,281637,SP096816,1/1/1980 12:00:00 AM,,126,88,29,Hall Green,1.0,Birmingham,Severn Trent,,Birmingham,Billesley,
B13 0BB,Yes,52.432423,-1.861404,409520,281614,SP095816,4/1/1985 12:00:00 AM,,129,28,14,Hall Green,1.2,Birmingham,Severn Trent,,Birmingham,Billesley,
B13 0BF,Yes,52.425687,-1.870081,408931,280864,SP089808,9/1/2014 12:00:00 AM,,148,,,Yardley Wood,1.2,Birmingham,,,Birmingham,Billesley,
B13 0BG,Yes,52.433676,-1.856532,409851,281754,SP098817,1/1/1980 12:00:00 AM,,122,10,5,Hall Green,0.8,Birmingham,Severn Trent,,Birmingham,Billesley,
B13 0BH,Yes,52.432364,-1.856757,409836,281608,SP098816,1/1/1980 12:00:00 AM,,120,75,26,Hall Green,0.9,Birmingham,Severn Trent,,Birmingham,Billesley,
B13 0BJ,Yes,52.430396,-1.857307,409799,281389,SP097813,1/1/1980 12:00:00 AM,,124,25,14,Yardley Wood,1.0,Birmingham,Severn Trent,,Birmingham,Billesley,
B13 0BL,Yes,52.430756,-1.857733,409770,281429,SP097814,1/1/1980 12:00:00 AM,,124,90,32,Yardley Wood,1.1,Birmingham,Severn Trent,,Birmingham,Billesley,
B13 0BN,Yes,52.432607,-1.857418,409791,281635,SP097816,1/1/1980 12:00:00 AM,,122,69,22,Hall Green,0.9,Birmingham,Severn Trent,,Birmingham,Billesley,
B13 0BP,Yes,52.429038,-1.864695,409297,281237,SP092812,1/1/1980 12:00:00 AM,,140,22,7,Yardley Wood,1.1,Birmingham,Severn Trent,,Birmingham,Billesley,
B13 0BQ,No,52.427519,-1.891098,407502,281065,SP075810,6/1/2000 12:00:00 AM,3/1/2002 12:00:00 AM,151,,,Bournville,2.4,Birmingham,,,Birmingham,Billesley,
B13 0BS,Yes,52.429000,-1.863489,409379,281233,SP093812,1/1/1980 12:00:00 AM,,138,16,5,Yardley Wood,1.0,Birmingham,Severn Trent,,Birmingham,Billesley,
B13 0BT,Yes,52.428980,-1.861415,409520,281231,SP095812,1/1/1980 12:00:00 AM,,134,39,14,Yardley Wood,1.0,Birmingham,Severn Trent,,Birmingham,Billesley,
B13 0BU,Yes,52.429058,-1.859238,409668,281240,SP096812,1/1/1980 12:00:00 AM,,126,53,16,Yardley Wood,0.9,Birmingham,Severn Trent,,Birmingham,Billesley,
B13 0BW,No,52.427519,-1.891098,407502,281065,SP075810,12/1/1994 12:00:00 AM,3/1/2006 12:00:00 AM,151,,,Bournville,2.4,Birmingham,,,Birmingham,Billesley,
B13 0BX,Yes,52.428410,-1.858534,409716,281168,SP097811,4/1/1987 12:00:00 AM,,124,48,38,Yardley Wood,0.8,Birmingham,Severn Trent,,Birmingham,Billesley,
B13 0BY,Yes,52.429615,-1.858839,409695,281302,SP096813,1/1/1980 12:00:00 AM,,125,23,9,Yardley Wood,1.0,Birmingham,Severn Trent,,Birmingham,Billesley,
B13 0BZ,Yes,52.429574,-1.861751,409497,281297,SP094812,1/1/1980 12:00:00 AM,,135,73,28,Yardley Wood,1.0,Birmingham,Severn Trent,,Birmingham,Billesley,
B13 0DA,Yes,52.430428,-1.861822,409492,281392,SP094813,1/1/1980 12:00:00 AM,,132,87,35,Yardley Wood,1.1,Birmingham,Severn Trent,,Birmingham,Billesley,
B13 0DB,Yes,52.429942,-1.861280,409529,281338,SP095813,1/1/1980 12:00:00 AM,,133,12,6,Yardley Wood,1.0,Birmingham,Severn Trent,,Birmingham,Billesley,
B13 0DD,Yes,52.430687,-1.860071,409611,281421,SP096814,1/1/1980 12:00:00 AM,,127,80,22,Yardley Wood,1.1,Birmingham,Severn Trent,,Birmingham,Billesley,
B13 0DE,Yes,52.431117,-1.859040,409681,281469,SP096814,1/1/1980 12:00:00 AM,,124,45,33,Hall Green,1.1,Birmingham,Severn Trent,,Birmingham,Billesley,
B13 0DF,No,52.426241,-1.871953,408804,280925,SP088809,12/1/1999 12:00:00 AM,9/1/2000 12:00:00 AM,149,,,Yardley Wood,1.3,Birmingham,,,Birmingham,Billesley,
B13 0DG,Yes,52.430753,-1.863101,409405,281428,SP094814,1/1/1980 12:00:00 AM,,135,79,23,Yardley Wood,1.2,Birmingham,Severn Trent,,Birmingham,Billesley,
B13 0DH,Yes,52.429631,-1.864546,409307,281303,SP093813,1/1/1980 12:00:00 AM,,140,11,4,Yardley Wood,1.1,Birmingham,Severn Trent,,Birmingham,Billesley,
B13 0DJ,Yes,52.429319,-1.867209,409126,281268,SP091812,1/1/1980 12:00:00 AM,,144,68,28,Yardley Wood,1.2,Birmingham,Severn Trent,,Birmingham,Billesley,
B13 0DL,Yes,52.429132,-1.868533,409036,281247,SP090812,1/1/1980 12:00:00 AM,,146,41,16,Yardley Wood,1.3,Birmingham,Severn Trent,,Birmingham,Billesley,
B13 0DN,Yes,52.427717,-1.865846,409219,281090,SP092810,1/1/1980 12:00:00 AM,,140,59,21,Yardley Wood,1.0,Birmingham,Severn Trent,,Birmingham,Billesley,
B13 0DP,Yes,52.428914,-1.866592,409168,281223,SP091812,1/1/1980 12:00:00 AM,,142,91,36,Yardley Wood,1.2,Birmingham,Severn Trent,,Birmingham,Billesley,
B13 0DQ,No,52.427519,-1.891098,407502,281065,SP075810,6/1/2000 12:00:00 AM,5/1/2013 12:00:00 AM,151,3,2,Bournville,2.4,Birmingham,,,Birmingham,Billesley,
