Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
DH8 9NH,Yes,54.845285,-1.977109,401568,550053,NZ015500,1/1/1980 12:00:00 AM,,257,27,13,Riding Mill,11.5,,Northumbrian Water,,County Durham,Weardale,
DH8 9NJ,Yes,54.844494,-1.975972,401641,549965,NZ016499,1/1/1980 12:00:00 AM,,252,22,9,Riding Mill,11.6,,Northumbrian Water,,County Durham,Weardale,
DH8 9NL,Yes,54.845078,-1.974804,401716,550030,NZ017500,1/1/1980 12:00:00 AM,,253,27,12,Riding Mill,11.5,,Northumbrian Water,,County Durham,Weardale,
DH8 9NN,Yes,54.846085,-1.975411,401677,550142,NZ016501,1/1/1980 12:00:00 AM,,257,36,14,Riding Mill,11.4,,Northumbrian Water,,County Durham,Weardale,
DH8 9NP,Yes,54.846238,-1.980067,401378,550159,NZ013501,1/1/1980 12:00:00 AM,,272,7,4,Riding Mill,11.4,,Northumbrian Water,,County Durham,Weardale,
DH8 9NQ,Yes,54.844576,-1.978542,401476,549974,NZ014499,1/1/1980 12:00:00 AM,,254,7,5,Riding Mill,11.6,,Northumbrian Water,,County Durham,Weardale,
DH8 9NR,Yes,54.846733,-1.980471,401352,550214,NZ013502,1/1/1980 12:00:00 AM,,275,2,1,Riding Mill,11.3,,Northumbrian Water,,County Durham,Weardale,
DH8 9NS,Yes,54.847802,-1.981094,401312,550333,NZ013503,1/1/1980 12:00:00 AM,,280,2,1,Riding Mill,11.2,,Northumbrian Water,,County Durham,Weardale,
DH8 9NT,Yes,54.849266,-1.982145,401244,550496,NZ012504,1/1/1980 12:00:00 AM,,298,4,1,Riding Mill,11.1,,Northumbrian Water,,County Durham,Weardale,
DH8 9NU,Yes,54.859188,-1.981852,401263,551600,NZ012516,1/1/1980 12:00:00 AM,,237,2,1,Riding Mill,10.0,,Northumbrian Water,,County Durham,Weardale,
DH8 9NW,Yes,54.845277,-1.981266,401301,550052,NZ013500,1/1/1980 12:00:00 AM,,263,2,1,Riding Mill,11.5,,Northumbrian Water,,County Durham,Weardale,
DH8 9PA,Yes,54.866405,-1.989592,400766,552403,NZ007524,1/1/1980 12:00:00 AM,,225,6,1,Riding Mill,9.2,,Northumbrian Water,,County Durham,Weardale,
DH8 9PB,Yes,54.863260,-2.002321,399949,552053,NY999520,1/1/1980 12:00:00 AM,,264,2,1,Riding Mill,9.7,,Northumbrian Water,,County Durham,Weardale,
DH8 9PD,No,54.858290,-2.015546,399100,551500,NY991515,1/1/1980 12:00:00 AM,12/1/1996 12:00:00 AM,258,,,Riding Mill,10.4,,,,County Durham,Weardale,
DH8 9PE,Yes,54.858478,-2.015500,399103,551521,NY991515,1/1/1980 12:00:00 AM,,256,21,9,Riding Mill,10.4,,Northumbrian Water,,County Durham,Weardale,
DH8 9PJ,No,54.846864,-2.035755,397802,550229,NY978502,1/1/1980 12:00:00 AM,11/1/2002 12:00:00 AM,270,,,Riding Mill,12.0,,,,County Durham,Weardale,
DH8 9PL,Yes,54.842223,-2.042720,397354,549713,NY973497,1/1/1980 12:00:00 AM,,296,4,1,Riding Mill,12.7,,Northumbrian Water,,County Durham,Weardale,
DH8 9PN,Yes,54.844807,-2.051972,396761,550001,NY967500,1/1/1980 12:00:00 AM,,276,5,2,Riding Mill,12.6,,Northumbrian Water,,County Durham,Weardale,
DH8 9PP,Yes,54.840365,-2.058008,396372,549507,NY963495,1/1/1980 12:00:00 AM,,298,4,2,Riding Mill,13.2,,Northumbrian Water,,County Durham,Weardale,
DH8 9PR,Yes,54.836695,-2.066067,395855,549099,NY958490,1/1/1980 12:00:00 AM,,328,,,Riding Mill,13.8,,Northumbrian Water,,County Durham,Weardale,
DH8 9PZ,Yes,54.846273,-2.052091,396753,550164,NY967501,6/1/1997 12:00:00 AM,,265,2,1,Riding Mill,12.5,,Northumbrian Water,,County Durham,Weardale,
DH8 9TX,Yes,54.843443,-1.986103,400990,549848,NZ009498,1/1/1980 12:00:00 AM,,256,,,Riding Mill,11.7,,Northumbrian Water,,County Durham,Weardale,
DH8 9TY,Yes,54.861489,-2.011964,399330,551856,NY993518,1/1/1980 12:00:00 AM,,249,6,2,Riding Mill,10.0,,Northumbrian Water,,County Durham,Weardale,
DH8 9TZ,No,54.859189,-2.012431,399300,551600,NY992516,1/1/1980 12:00:00 AM,12/1/1996 12:00:00 AM,265,,,Riding Mill,10.3,,,,County Durham,Weardale,
DH8 9UE,Yes,54.836471,-2.078834,395034,549075,NY950490,1/1/1980 12:00:00 AM,,327,2,1,Riding Mill,14.2,,Northumbrian Water,,County Durham,Weardale,
DH8 9UF,Yes,54.835888,-2.080319,394939,549010,NY949490,1/1/1980 12:00:00 AM,,330,24,10,Riding Mill,14.3,,Northumbrian Water,,County Durham,Weardale,
DH8 9UG,Yes,54.841527,-2.070186,395590,549637,NY955496,1/1/1980 12:00:00 AM,,280,2,2,Riding Mill,13.5,,Northumbrian Water,,County Durham,Weardale,
DH8 9UH,Yes,54.825987,-2.111429,392939,547911,NY929479,1/1/1980 12:00:00 AM,,371,2,1,Riding Mill,16.3,,Northumbrian Water,,County Durham,Weardale,
DH8 9UJ,No,54.834890,-2.093379,394100,548900,NY940489,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,299,,,Riding Mill,14.9,,,,County Durham,Weardale,
DH8 9UL,Yes,54.817930,-2.117429,392552,547015,NY925470,1/1/1980 12:00:00 AM,,389,4,1,Riding Mill,17.3,,Northumbrian Water,,County Durham,Weardale,
DH8 9UN,Yes,54.831782,-2.079081,395018,548553,NY950485,1/1/1980 12:00:00 AM,,360,7,3,Riding Mill,14.7,,Northumbrian Water,,County Durham,Weardale,
DH8 9UP,Yes,54.829671,-2.077442,395123,548318,NY951483,1/1/1980 12:00:00 AM,,374,10,3,Riding Mill,14.9,,Northumbrian Water,,County Durham,Weardale,
DH8 9UQ,Yes,54.831384,-2.092398,394162,548510,NY941485,1/1/1980 12:00:00 AM,,348,3,2,Riding Mill,15.2,,Northumbrian Water,,County Durham,Weardale,
DH8 9UR,Yes,54.830173,-2.077047,395148,548374,NY951483,1/1/1980 12:00:00 AM,,370,8,2,Riding Mill,14.8,,Northumbrian Water,,County Durham,Weardale,
DH8 9UT,Yes,54.826022,-2.075965,395217,547912,NY952479,1/1/1980 12:00:00 AM,,358,2,2,Riding Mill,15.2,,Northumbrian Water,,County Durham,Weardale,
DH8 9UU,Yes,54.821691,-2.077925,395091,547430,NY950474,1/1/1980 12:00:00 AM,,353,11,5,Riding Mill,15.7,,Northumbrian Water,,County Durham,Weardale,
DH8 9UW,Yes,54.830487,-2.077623,395111,548409,NY951484,1/1/1980 12:00:00 AM,,370,2,2,Riding Mill,14.8,,Northumbrian Water,,County Durham,Weardale,
DH8 9UX,Yes,54.816520,-2.083611,394725,546855,NY947468,1/1/1980 12:00:00 AM,,391,2,1,Riding Mill,16.3,,Northumbrian Water,,County Durham,Weardale,
DH8 9UY,Yes,54.821772,-2.090298,394296,547440,NY942474,1/1/1980 12:00:00 AM,,437,15,5,Riding Mill,16.0,,Northumbrian Water,,County Durham,Weardale,
DH8 9UZ,Yes,54.825692,-2.074213,395330,547875,NY953478,1/1/1980 12:00:00 AM,,341,,,Riding Mill,15.2,,Northumbrian Water,,County Durham,Weardale,
DH8 9XA,Yes,54.823086,-2.073601,395369,547585,NY953475,1/1/1980 12:00:00 AM,,356,1,1,Riding Mill,15.4,,Northumbrian Water,,County Durham,Weardale,
DH8 9XB,Yes,54.824610,-2.064250,395970,547754,NY959477,1/1/1980 12:00:00 AM,,399,3,1,Riding Mill,15.0,,Northumbrian Water,,County Durham,Weardale,
DH8 9XD,No,54.821420,-2.079341,395000,547400,NY949473,1/1/1980 12:00:00 AM,12/1/1996 12:00:00 AM,363,,,Riding Mill,15.7,,,,County Durham,Weardale,
DH8 9YX,No,54.821420,-2.079341,395000,547400,NY949473,1/1/1995 12:00:00 AM,12/1/1996 12:00:00 AM,363,,,Riding Mill,15.7,,,,County Durham,Weardale,
DH8 9YY,No,54.821420,-2.079341,395000,547400,NY949473,1/1/1995 12:00:00 AM,12/1/1996 12:00:00 AM,363,,,Riding Mill,15.7,,,,County Durham,Weardale,
DH8 9YZ,No,54.821420,-2.079341,395000,547400,NY949473,12/1/1994 12:00:00 AM,12/1/1996 12:00:00 AM,363,,,Riding Mill,15.7,,,,County Durham,Weardale,
DL1 1FD,No,54.547073,-1.738717,417000,516900,NZ169169,4/1/1986 12:00:00 AM,1/1/1995 12:00:00 AM,78,,,Shildon,11.0,Gainford,,,County Durham,Barnard Castle East,
DL1 1FE,No,54.547073,-1.738717,417000,516900,NZ169169,5/1/1994 12:00:00 AM,12/1/1995 12:00:00 AM,78,,,Shildon,11.0,Gainford,,,County Durham,Barnard Castle East,
DL1 1FQ,No,54.547073,-1.738717,417000,516900,NZ169169,12/1/1994 12:00:00 AM,12/1/1995 12:00:00 AM,78,,,Shildon,11.0,Gainford,,,County Durham,Barnard Castle East,
DL10 4YG,No,54.553336,-1.726308,417800,517600,NZ178175,6/1/1996 12:00:00 AM,12/1/1996 12:00:00 AM,92,,,Shildon,9.9,,,,County Durham,Barnard Castle East,
DL10 4YH,No,54.553336,-1.726308,417800,517600,NZ178175,12/1/1995 12:00:00 AM,12/1/1996 12:00:00 AM,92,,,Shildon,9.9,,,,County Durham,Barnard Castle East,
DL11 7BL,Yes,54.532446,-1.786715,413900,515262,NZ138152,1/1/1980 12:00:00 AM,,122,18,8,Shildon,14.2,,Northumbrian Water,,County Durham,Barnard Castle East,
DL11 7BN,Yes,54.527262,-1.797867,413180,514683,NZ131146,1/1/1980 12:00:00 AM,,134,13,4,Shildon,15.1,,Northumbrian Water,,County Durham,Barnard Castle East,
DL11 7BP,Yes,54.527156,-1.799258,413090,514671,NZ130146,1/1/1980 12:00:00 AM,,136,27,11,Shildon,15.2,,Northumbrian Water,,County Durham,Barnard Castle East,
DL11 7BW,Yes,54.527660,-1.799657,413064,514727,NZ130147,1/1/1980 12:00:00 AM,,134,51,22,Shildon,15.2,,Northumbrian Water,,County Durham,Barnard Castle East,
DL11 7DA,Yes,54.526812,-1.797390,413211,514633,NZ132146,1/1/1980 12:00:00 AM,,134,18,8,Shildon,15.1,,Northumbrian Water,,County Durham,Barnard Castle East,
DL11 7DB,Yes,54.526279,-1.795662,413323,514574,NZ133145,1/1/1980 12:00:00 AM,,134,21,9,Shildon,15.1,,Northumbrian Water,,County Durham,Barnard Castle East,
DL11 7DD,Yes,54.523542,-1.792817,413508,514270,NZ135142,1/1/1980 12:00:00 AM,,136,3,1,Shildon,15.2,,Northumbrian Water,,County Durham,Barnard Castle East,
DL11 7DE,Yes,54.526026,-1.800314,413022,514545,NZ130145,1/1/1980 12:00:00 AM,,136,1,1,Shildon,15.3,,Northumbrian Water,,County Durham,Barnard Castle East,
DL11 7DF,Yes,54.518904,-1.803253,412834,513752,NZ128137,1/1/1980 12:00:00 AM,,129,,,Shildon,16.0,,Northumbrian Water,,County Durham,Barnard Castle East,
DL11 7DP,Yes,54.488744,-1.869396,408559,510386,NZ085103,1/1/1980 12:00:00 AM,,213,5,2,North Road (Darlington),21.0,,Northumbrian Water,,County Durham,Barnard Castle East,
DL11 7DR,Yes,54.488296,-1.871474,408424,510336,NZ084103,1/1/1980 12:00:00 AM,,220,,,North Road (Darlington),21.2,,Northumbrian Water,,County Durham,Barnard Castle East,
DL11 7DS,Yes,54.488487,-1.872562,408353,510357,NZ083103,1/1/1980 12:00:00 AM,,221,5,2,North Road (Darlington),21.2,,Northumbrian Water,,County Durham,Barnard Castle East,
DL11 7DT,Yes,54.487224,-1.876162,408121,510216,NZ081102,1/1/1980 12:00:00 AM,,237,4,2,North Road (Darlington),21.5,,Northumbrian Water,,County Durham,Barnard Castle East,
DL11 7DU,Yes,54.487716,-1.874702,408215,510271,NZ082102,1/1/1980 12:00:00 AM,,230,80,36,North Road (Darlington),21.4,,Northumbrian Water,,County Durham,Barnard Castle East,
DL11 7DW,Yes,54.488538,-1.870439,408491,510363,NZ084103,1/1/1980 12:00:00 AM,,217,69,29,North Road (Darlington),21.1,,Yorkshire Water,,County Durham,Barnard Castle East,
DL11 7DX,Yes,54.480703,-1.870826,408468,509491,NZ084094,1/1/1980 12:00:00 AM,,278,,,Darlington,21.3,,Yorkshire Water,,County Durham,Barnard Castle East,
DL11 7DY,Yes,54.483145,-1.897304,406752,509760,NZ067097,1/1/1980 12:00:00 AM,,254,10,3,North Road (Darlington),22.9,,Yorkshire Water,,County Durham,Barnard Castle East,
DL11 7DZ,Yes,54.476147,-1.942012,403856,508978,NZ038089,1/1/1980 12:00:00 AM,,324,9,4,Shildon,25.8,,,,County Durham,Barnard Castle East,
DL11 7EA,Yes,54.481457,-1.961652,402583,509568,NZ025095,1/1/1980 12:00:00 AM,,322,8,5,Shildon,26.4,,,,County Durham,Barnard Castle East,
