Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
BB0 1GR,No,53.753449,-2.464232,369487,428665,SD694286,12/1/1996 12:00:00 AM,6/1/2000 12:00:00 AM,130,,,Blackburn,1.2,Blackburn (Blackburn with Darwen),,,Blackburn with Darwen,Audley & Queen's Park,
BB1 1AA,No,53.749199,-2.482185,368300,428200,SD683282,2/1/1990 12:00:00 AM,7/1/1995 12:00:00 AM,112,,,Blackburn,0.4,Blackburn (Blackburn with Darwen),,,Blackburn with Darwen,Blackburn Central,
BB1 1AB,No,53.749088,-2.459938,369767,428178,SD697281,11/1/2008 12:00:00 AM,4/1/2020 12:00:00 AM,141,,,Blackburn,1.3,Blackburn (Blackburn with Darwen),United Utilities,,Blackburn with Darwen,Audley & Queen's Park,
BB1 1AD,No,53.749199,-2.482185,368300,428200,SD683282,9/1/2000 12:00:00 AM,9/1/2000 12:00:00 AM,112,,,Blackburn,0.4,Blackburn (Blackburn with Darwen),,,Blackburn with Darwen,Blackburn Central,
BB1 1AE,Yes,53.744311,-2.456399,369997,427645,SD699276,10/1/2014 12:00:00 AM,,161,,,Blackburn,1.5,Blackburn (Blackburn with Darwen),United Utilities,,Blackburn with Darwen,Audley & Queen's Park,
BB1 1AF,Yes,53.747572,-2.479071,368504,428018,SD685280,9/1/2018 12:00:00 AM,,112,,,Blackburn,0.1,Blackburn (Blackburn with Darwen),United Utilities,,Blackburn with Darwen,Blackburn Central,
BB1 1AG,Yes,53.746359,-2.479103,368501,427883,SD685278,7/1/2023 12:00:00 AM,,116,,,Blackburn,0.0,Blackburn (Blackburn with Darwen),,,Blackburn with Darwen,Blackburn Central,
BB1 1AQ,Yes,53.745136,-2.479150,368497,427747,SD684277,10/1/2005 12:00:00 AM,,116,,,Blackburn,0.2,Blackburn (Blackburn with Darwen),United Utilities,,Blackburn with Darwen,Blackburn Central,
BB1 1BA,Yes,53.745745,-2.471517,369001,427811,SD690278,1/1/1980 12:00:00 AM,,146,29,10,Blackburn,0.5,Blackburn (Blackburn with Darwen),United Utilities,,Blackburn with Darwen,Blackburn Central,
BB1 1BB,Yes,53.742871,-2.479306,368485,427495,SD684274,1/1/1980 12:00:00 AM,,116,,,Blackburn,0.4,Blackburn (Blackburn with Darwen),United Utilities,,Blackburn with Darwen,Blackburn Central,
BB1 1BD,Yes,53.745285,-2.471784,368983,427760,SD689277,1/1/1980 12:00:00 AM,,147,67,25,Blackburn,0.5,Blackburn (Blackburn with Darwen),United Utilities,,Blackburn with Darwen,Blackburn Central,
BB1 1BE,No,53.744717,-2.479102,368500,427700,SD684277,3/1/1982 12:00:00 AM,6/1/1997 12:00:00 AM,115,,,Blackburn,0.2,Blackburn (Blackburn with Darwen),,,Blackburn with Darwen,Blackburn Central,
BB1 1BG,Yes,53.743925,-2.478742,368523,427612,SD685276,1/1/1980 12:00:00 AM,,117,,,Blackburn,0.3,Blackburn (Blackburn with Darwen),United Utilities,,Blackburn with Darwen,Blackburn Central,
BB1 1BH,Yes,53.742282,-2.474268,368817,427427,SD688274,8/1/1993 12:00:00 AM,,127,12,11,Blackburn,0.6,Blackburn (Blackburn with Darwen),United Utilities,,Blackburn with Darwen,Blackburn Central,
BB1 1BJ,Yes,53.744570,-2.470730,369052,427680,SD690276,1/1/1980 12:00:00 AM,,144,56,21,Blackburn,0.6,Blackburn (Blackburn with Darwen),United Utilities,,Blackburn with Darwen,Blackburn Central,
BB1 1BL,Yes,53.746154,-2.474872,368780,427858,SD687278,12/1/1996 12:00:00 AM,,136,32,26,Blackburn,0.3,Blackburn (Blackburn with Darwen),United Utilities,,Blackburn with Darwen,Blackburn Central,
BB1 1BN,Yes,53.746034,-2.475720,368724,427845,SD687278,12/1/1996 12:00:00 AM,,134,35,13,Blackburn,0.2,Blackburn (Blackburn with Darwen),United Utilities,,Blackburn with Darwen,Blackburn Central,
BB1 1BP,No,53.742925,-2.477565,368600,427500,SD685274,1/1/1980 12:00:00 AM,11/1/2004 12:00:00 AM,119,,,Blackburn,0.4,Blackburn (Blackburn with Darwen),,,Blackburn with Darwen,Blackburn Central,
BB1 1BQ,Yes,53.745103,-2.470160,369090,427739,SD690277,1/1/1980 12:00:00 AM,,145,74,25,Blackburn,0.6,Blackburn (Blackburn with Darwen),United Utilities,,Blackburn with Darwen,Blackburn Central,
BB1 1BS,Yes,53.742809,-2.475198,368756,427486,SD687274,1/1/1992 12:00:00 AM,,125,43,13,Blackburn,0.5,Blackburn (Blackburn with Darwen),United Utilities,,Blackburn with Darwen,Blackburn Central,
BB1 1BT,Yes,53.742913,-2.476064,368699,427498,SD686274,8/1/1993 12:00:00 AM,,123,35,10,Blackburn,0.4,Blackburn (Blackburn with Darwen),United Utilities,,Blackburn with Darwen,Blackburn Central,
BB1 1BU,Yes,53.742499,-2.475572,368731,427452,SD687274,8/1/1993 12:00:00 AM,,122,59,24,Blackburn,0.5,Blackburn (Blackburn with Darwen),United Utilities,,Blackburn with Darwen,Blackburn Central,
BB1 1BW,Yes,53.742346,-2.476270,368685,427435,SD686274,1/1/1992 12:00:00 AM,,121,42,12,Blackburn,0.5,Blackburn (Blackburn with Darwen),United Utilities,,Blackburn with Darwen,Blackburn Central,
BB1 1BX,Yes,53.742190,-2.474858,368778,427417,SD687274,1/1/1992 12:00:00 AM,,126,20,7,Blackburn,0.6,Blackburn (Blackburn with Darwen),United Utilities,,Blackburn with Darwen,Blackburn Central,
BB1 1BY,No,53.742039,-2.474523,368800,427400,SD687274,1/1/1992 12:00:00 AM,12/1/1995 12:00:00 AM,128,,,Blackburn,0.6,Blackburn (Blackburn with Darwen),,,Blackburn with Darwen,Blackburn Central,
BB1 1BZ,Yes,53.743042,-2.477049,368634,427513,SD686275,1/1/1992 12:00:00 AM,,120,17,11,Blackburn,0.4,Blackburn (Blackburn with Darwen),United Utilities,,Blackburn with Darwen,Blackburn Central,
BB1 1DA,Yes,53.746292,-2.476193,368693,427874,SD686278,12/1/1996 12:00:00 AM,,132,41,15,Blackburn,0.2,Blackburn (Blackburn with Darwen),United Utilities,,Blackburn with Darwen,Blackburn Central,
BB1 1DB,Yes,53.744175,-2.477564,368601,427639,SD686276,1/1/1980 12:00:00 AM,,122,,,Blackburn,0.3,Blackburn (Blackburn with Darwen),United Utilities,,Blackburn with Darwen,Blackburn Central,
BB1 1DD,No,53.744197,-2.476594,368665,427641,SD686276,1/1/1980 12:00:00 AM,2/1/2008 12:00:00 AM,125,,,Blackburn,0.3,Blackburn (Blackburn with Darwen),,,Blackburn with Darwen,Blackburn Central,
BB1 1DE,Yes,53.744284,-2.476638,368662,427651,SD686276,1/1/1980 12:00:00 AM,,124,,,Blackburn,0.3,Blackburn (Blackburn with Darwen),United Utilities,,Blackburn with Darwen,Blackburn Central,
BB1 1DF,Yes,53.745902,-2.472686,368924,427829,SD689278,5/1/2008 12:00:00 AM,,143,,,Blackburn,0.4,Blackburn (Blackburn with Darwen),United Utilities,,Blackburn with Darwen,Blackburn Central,
BB1 1DG,Yes,53.744136,-2.480475,368409,427636,SD684276,7/1/1995 12:00:00 AM,,111,,,Blackburn,0.3,Blackburn (Blackburn with Darwen),United Utilities,,Blackburn with Darwen,Blackburn Central,
BB1 1DH,Yes,53.744467,-2.473350,368879,427670,SD688276,1/1/1980 12:00:00 AM,,139,67,22,Blackburn,0.4,Blackburn (Blackburn with Darwen),United Utilities,,Blackburn with Darwen,Blackburn Central,
