Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
M10 0AG,No,53.508336,-2.183009,387960,401310,SD879013,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,82,,,Moston,1.9,Manchester,,,Manchester,Moston,
M10 0AH,No,53.516450,-2.166621,389049,402210,SD890022,4/1/1986 12:00:00 AM,5/1/1994 12:00:00 AM,102,,,Moston,0.8,Manchester,,,Manchester,Moston,
M10 0AQ,No,53.507754,-2.181424,388065,401245,SD880012,1/1/1992 12:00:00 AM,5/1/1994 12:00:00 AM,81,,,Moston,1.9,Manchester,,,Manchester,Moston,
M10 0AS,No,53.510433,-2.181450,388064,401543,SD880015,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,90,,,Moston,1.6,Manchester,,,Manchester,Moston,
M10 0AT,No,53.511169,-2.181936,388032,401625,SD880016,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,93,,,Moston,1.5,Manchester,,,Manchester,Moston,
M10 0AU,No,53.511279,-2.180896,388101,401637,SD881016,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,94,,,Moston,1.5,Manchester,,,Manchester,Moston,
M10 0AW,No,53.509428,-2.180481,388128,401431,SD881014,1/1/1991 12:00:00 AM,5/1/1994 12:00:00 AM,87,,,Moston,1.7,Manchester,,,Manchester,Moston,
M10 0AX,No,53.510829,-2.180879,388102,401587,SD881015,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,91,,,Moston,1.5,Manchester,,,Manchester,Moston,
M10 0AY,No,53.512536,-2.181293,388075,401777,SD880017,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,98,,,Moston,1.4,Manchester,,,Manchester,Moston,
M10 0AZ,No,53.508858,-2.182378,388002,401368,SD880013,8/1/1992 12:00:00 AM,5/1/1994 12:00:00 AM,83,,,Moston,1.8,Manchester,,,Manchester,Moston,
M10 0BA,No,53.512051,-2.181095,388088,401723,SD880017,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,97,,,Moston,1.4,Manchester,,,Manchester,Moston,
M10 0BB,No,53.513761,-2.180062,388157,401913,SD881019,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,99,,,Moston,1.2,Manchester,,,Manchester,Moston,
M10 0BD,No,53.514398,-2.180366,388137,401984,SD881019,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,100,,,Moston,1.2,Manchester,,,Manchester,Moston,
