Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
FY2 0AA,Yes,53.858077,-3.038518,331791,440706,SD317407,1/1/1980 12:00:00 AM,,8,76,40,Layton (Lancs),2.6,Blackpool,United Utilities,,Blackpool,Norbreck,
FY2 0AB,Yes,53.858803,-3.038733,331778,440787,SD317407,1/1/1980 12:00:00 AM,,6,47,26,Layton (Lancs),2.7,Blackpool,United Utilities,,Blackpool,Norbreck,
FY2 0AD,Yes,53.859074,-3.040671,331651,440819,SD316408,1/1/1980 12:00:00 AM,,8,39,16,Layton (Lancs),2.7,Blackpool,United Utilities,,Blackpool,Norbreck,
FY2 0AE,Yes,53.859732,-3.039486,331730,440891,SD317408,1/1/1980 12:00:00 AM,,6,42,27,Layton (Lancs),2.8,Blackpool,United Utilities,,Blackpool,Norbreck,
FY2 0AF,Yes,53.856849,-3.029760,332365,440561,SD323405,9/1/2010 12:00:00 AM,,8,37,26,Layton (Lancs),2.4,Blackpool,United Utilities,,Blackpool,Ingthorpe,
FY2 0AG,Yes,53.860167,-3.040090,331691,440940,SD316409,1/1/1980 12:00:00 AM,,5,31,12,Layton (Lancs),2.8,Blackpool,United Utilities,,Blackpool,Norbreck,
FY2 0AH,Yes,53.856258,-3.038929,331761,440504,SD317405,1/1/1980 12:00:00 AM,,11,63,27,Layton (Lancs),2.4,Blackpool,United Utilities,,Blackpool,Ingthorpe,
FY2 0AJ,Yes,53.852986,-3.040545,331649,440142,SD316401,1/1/1980 12:00:00 AM,,12,19,10,Layton (Lancs),2.1,Blackpool,United Utilities,,Blackpool,Ingthorpe,
FY2 0AL,Yes,53.852905,-3.039940,331689,440132,SD316401,1/1/1980 12:00:00 AM,,11,28,8,Layton (Lancs),2.1,Blackpool,United Utilities,,Blackpool,Ingthorpe,
FY2 0AN,Yes,53.852794,-3.041336,331597,440121,SD315401,1/1/1980 12:00:00 AM,,14,35,18,Layton (Lancs),2.1,Blackpool,United Utilities,,Blackpool,Bispham,
FY2 0AP,Yes,53.857364,-3.040887,331634,440629,SD316406,1/1/1980 12:00:00 AM,,11,64,24,Layton (Lancs),2.6,Blackpool,United Utilities,,Blackpool,Norbreck,
FY2 0AQ,Yes,53.859061,-3.039074,331756,440816,SD317408,1/1/1980 12:00:00 AM,,6,15,10,Layton (Lancs),2.7,Blackpool,United Utilities,,Blackpool,Norbreck,
FY2 0AR,Yes,53.856617,-3.040048,331688,440545,SD316405,1/1/1980 12:00:00 AM,,10,67,24,Layton (Lancs),2.5,Blackpool,United Utilities,,Blackpool,Norbreck,
FY2 0AS,Yes,53.853131,-3.039393,331725,440157,SD317401,1/1/1980 12:00:00 AM,,11,44,27,Layton (Lancs),2.1,Blackpool,United Utilities,,Blackpool,Ingthorpe,
FY2 0AT,Yes,53.835972,-3.031603,332210,438240,SD322382,3/1/1983 12:00:00 AM,,15,6,6,Layton (Lancs),0.1,Blackpool,United Utilities,,Blackpool,Greenlands,
FY2 0AU,No,53.852467,-3.039686,331705,440083,SD317400,1/1/1991 12:00:00 AM,12/1/2011 12:00:00 AM,10,,,Layton (Lancs),2.0,Blackpool,United Utilities,,Blackpool,Ingthorpe,
FY2 0AW,Yes,53.854972,-3.041117,331615,440363,SD316403,1/1/1980 12:00:00 AM,,12,69,28,Layton (Lancs),2.3,Blackpool,United Utilities,,Blackpool,Bispham,
FY2 0AX,Yes,53.839974,-3.034437,332030,438688,SD320386,1/1/1991 12:00:00 AM,,13,,,Layton (Lancs),0.6,Blackpool,United Utilities,,Blackpool,Greenlands,
FY2 0AY,Yes,53.856333,-3.037070,331883,440511,SD318405,1/1/1980 12:00:00 AM,,12,90,45,Layton (Lancs),2.4,Blackpool,United Utilities,,Blackpool,Ingthorpe,
FY2 0AZ,Yes,53.855604,-3.037681,331842,440430,SD318404,1/1/1980 12:00:00 AM,,10,,,Layton (Lancs),2.3,Blackpool,United Utilities,,Blackpool,Ingthorpe,
FY2 0BA,Yes,53.853757,-3.038091,331812,440225,SD318402,1/1/1980 12:00:00 AM,,12,65,31,Layton (Lancs),2.1,Blackpool,United Utilities,,Blackpool,Ingthorpe,
FY2 0BB,Yes,53.853065,-3.037056,331879,440147,SD318401,1/1/1980 12:00:00 AM,,9,92,51,Layton (Lancs),2.0,Blackpool,United Utilities,,Blackpool,Ingthorpe,
FY2 0BD,Yes,53.852889,-3.036687,331903,440127,SD319401,1/1/1980 12:00:00 AM,,8,11,6,Layton (Lancs),2.0,Blackpool,United Utilities,,Blackpool,Ingthorpe,
FY2 0BE,Yes,53.857655,-3.026937,332552,440648,SD325406,1/1/1980 12:00:00 AM,,8,80,57,Layton (Lancs),2.5,Blackpool,United Utilities,,Blackpool,Ingthorpe,
FY2 0BF,Yes,53.850368,-3.026698,332556,439837,SD325398,8/1/1992 12:00:00 AM,,8,,,Layton (Lancs),1.7,Blackpool,United Utilities,,Blackpool,Ingthorpe,
FY2 0BG,Yes,53.842471,-3.027280,332505,438959,SD325389,4/1/1986 12:00:00 AM,,13,,,Layton (Lancs),0.8,Blackpool,United Utilities,,Blackpool,Greenlands,
FY2 0BH,Yes,53.855279,-3.031531,332246,440388,SD322403,1/1/1980 12:00:00 AM,,9,119,49,Layton (Lancs),2.2,Blackpool,United Utilities,,Blackpool,Ingthorpe,
FY2 0BJ,Yes,53.855424,-3.030303,332327,440403,SD323404,1/1/1980 12:00:00 AM,,10,65,28,Layton (Lancs),2.2,Blackpool,United Utilities,,Blackpool,Ingthorpe,
FY2 0BL,Yes,53.854828,-3.030668,332302,440337,SD323403,1/1/1980 12:00:00 AM,,9,44,23,Layton (Lancs),2.2,Blackpool,United Utilities,,Blackpool,Ingthorpe,
FY2 0BN,Yes,53.854560,-3.030479,332314,440307,SD323403,1/1/1980 12:00:00 AM,,9,102,42,Layton (Lancs),2.1,Blackpool,United Utilities,,Blackpool,Ingthorpe,
FY2 0BP,Yes,53.853050,-3.027326,332519,440136,SD325401,1/1/1980 12:00:00 AM,,8,19,11,Layton (Lancs),2.0,Blackpool,United Utilities,,Blackpool,Ingthorpe,
FY2 0BQ,Yes,53.836462,-3.028525,332413,438292,SD324382,9/1/2018 12:00:00 AM,,15,,,Layton (Lancs),0.2,Blackpool,United Utilities,,Blackpool,Greenlands,
FY2 0BR,No,53.850508,-3.026139,332593,439852,SD325398,1/1/1993 12:00:00 AM,7/1/2013 12:00:00 AM,8,,,Layton (Lancs),1.7,Blackpool,United Utilities,,Blackpool,Ingthorpe,
FY2 0BS,Yes,53.853616,-3.026321,332586,440198,SD325401,1/1/1980 12:00:00 AM,,8,33,16,Layton (Lancs),2.1,Blackpool,United Utilities,,Blackpool,Ingthorpe,
FY2 0BT,Yes,53.854931,-3.029166,332401,440347,SD324403,1/1/1980 12:00:00 AM,,8,110,48,Layton (Lancs),2.2,Blackpool,United Utilities,,Blackpool,Ingthorpe,
FY2 0BU,Yes,53.856052,-3.032599,332177,440475,SD321404,1/1/1980 12:00:00 AM,,11,49,27,Layton (Lancs),2.3,Blackpool,United Utilities,,Blackpool,Ingthorpe,
