Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
FY1 1AA,No,53.818782,-3.051657,330862,436347,SD308363,1/1/1980 12:00:00 AM,5/1/2010 12:00:00 AM,21,,,Blackpool North,0.4,Blackpool,,,Blackpool,Talbot,
FY1 1AB,No,53.818782,-3.051657,330862,436347,SD308363,6/1/2002 12:00:00 AM,3/1/2004 12:00:00 AM,21,,,Blackpool North,0.4,Blackpool,,,Blackpool,Talbot,
FY1 1AD,No,53.818696,-3.051848,330849,436338,SD308363,5/1/2012 12:00:00 AM,4/1/2023 12:00:00 AM,21,,,Blackpool North,0.4,Blackpool,United Utilities,,Blackpool,Talbot,
FY1 1AE,No,53.818782,-3.051657,330862,436347,SD308363,8/1/1992 12:00:00 AM,6/1/1997 12:00:00 AM,21,,,Blackpool North,0.4,Blackpool,,,Blackpool,Talbot,
FY1 1AF,No,53.818325,-3.055625,330600,436300,SD306362,1/1/1993 12:00:00 AM,7/1/1995 12:00:00 AM,15,,,Blackpool North,0.6,Blackpool,,,Blackpool,Talbot,
FY1 1AG,No,53.818325,-3.055625,330600,436300,SD306362,1/1/1993 12:00:00 AM,12/1/1995 12:00:00 AM,15,,,Blackpool North,0.6,Blackpool,,,Blackpool,Talbot,
FY1 1AH,No,53.818782,-3.051657,330862,436347,SD308363,1/1/1993 12:00:00 AM,1/1/2006 12:00:00 AM,21,,,Blackpool North,0.4,Blackpool,,,Blackpool,Talbot,
FY1 1AJ,No,53.818325,-3.055625,330600,436300,SD306362,1/1/1993 12:00:00 AM,7/1/1995 12:00:00 AM,15,,,Blackpool North,0.6,Blackpool,,,Blackpool,Talbot,
FY1 1AN,Yes,53.821242,-3.054013,330711,436623,SD307366,8/1/2006 12:00:00 AM,,19,4,1,Blackpool North,0.3,Blackpool,United Utilities,,Blackpool,Claremont,
FY1 1AP,Yes,53.817321,-3.056390,330548,436189,SD305361,12/1/2011 12:00:00 AM,,13,,,Blackpool North,0.7,Blackpool,United Utilities,,Blackpool,Talbot,
FY1 1BA,Yes,53.819118,-3.050811,330918,436384,SD309363,1/1/1980 12:00:00 AM,,22,1,1,Blackpool North,0.3,Blackpool,United Utilities,,Blackpool,Talbot,
FY1 1BB,No,53.818782,-3.051672,330861,436347,SD308363,8/1/1993 12:00:00 AM,5/1/2018 12:00:00 AM,21,,,Blackpool North,0.4,Blackpool,United Utilities,,Blackpool,Talbot,
FY1 1BD,No,53.818378,-3.049551,331000,436300,SD309362,1/1/1991 12:00:00 AM,12/1/1992 12:00:00 AM,23,,,Blackpool North,0.4,Blackpool,,,Blackpool,Talbot,
FY1 1BE,No,53.818378,-3.049551,331000,436300,SD309362,1/1/1980 12:00:00 AM,12/1/1991 12:00:00 AM,23,,,Blackpool North,0.4,Blackpool,,,Blackpool,Talbot,
FY1 1BG,No,53.819060,-3.050753,330922,436377,SD309363,7/1/1995 12:00:00 AM,6/1/1997 12:00:00 AM,22,,,Blackpool North,0.3,Blackpool,,,Blackpool,Talbot,
FY1 1BH,Yes,53.818720,-3.050516,330937,436339,SD309363,1/1/1980 12:00:00 AM,,22,,,Blackpool North,0.4,Blackpool,United Utilities,,Blackpool,Talbot,
FY1 1BJ,No,53.819034,-3.050691,330926,436374,SD309363,1/1/1980 12:00:00 AM,1/1/2009 12:00:00 AM,22,,,Blackpool North,0.3,Blackpool,United Utilities,,Blackpool,Talbot,
FY1 1BL,No,53.819296,-3.051533,330871,436404,SD308364,1/1/1991 12:00:00 AM,12/1/1998 12:00:00 AM,21,,,Blackpool North,0.3,Blackpool,,,Blackpool,Talbot,
FY1 1BN,Yes,53.819423,-3.051897,330847,436419,SD308364,1/1/1980 12:00:00 AM,,21,1,1,Blackpool North,0.3,Blackpool,United Utilities,,Blackpool,Talbot,
FY1 1BP,Yes,53.818346,-3.050158,330960,436297,SD309362,1/1/1980 12:00:00 AM,,22,5,1,Blackpool North,0.4,Blackpool,United Utilities,,Blackpool,Talbot,
FY1 1BQ,No,53.819264,-3.051092,330900,436400,SD308364,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,22,,,Blackpool North,0.3,Blackpool,,,Blackpool,Talbot,
FY1 1BS,No,53.818378,-3.049551,331000,436300,SD309362,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,23,,,Blackpool North,0.4,Blackpool,,,Blackpool,Talbot,
FY1 1BW,No,53.819264,-3.051092,330900,436400,SD308364,1/1/1991 12:00:00 AM,5/1/1994 12:00:00 AM,22,,,Blackpool North,0.3,Blackpool,,,Blackpool,Talbot,
FY1 1BX,No,53.818119,-3.051489,330872,436273,SD308362,1/1/1980 12:00:00 AM,12/1/1998 12:00:00 AM,20,,,Blackpool North,0.4,Blackpool,,,Blackpool,Talbot,
FY1 1DA,Yes,53.819134,-3.052057,330836,436387,SD308363,1/1/1980 12:00:00 AM,,20,,,Blackpool North,0.4,Blackpool,United Utilities,,Blackpool,Talbot,
FY1 1DB,No,53.819972,-3.053388,330750,436481,SD307364,1/1/1992 12:00:00 AM,12/1/1998 12:00:00 AM,18,,,Blackpool North,0.3,Blackpool,,,Blackpool,Claremont,
FY1 1DD,No,53.818782,-3.051657,330862,436347,SD308363,5/1/2008 12:00:00 AM,4/1/2013 12:00:00 AM,21,,,Blackpool North,0.4,Blackpool,,,Blackpool,Talbot,
FY1 1DE,Yes,53.818444,-3.051284,330886,436309,SD308363,1/1/1980 12:00:00 AM,,21,,,Blackpool North,0.4,Blackpool,United Utilities,,Blackpool,Talbot,
FY1 1DF,No,53.819250,-3.052611,330800,436400,SD307363,1/1/1980 12:00:00 AM,12/1/1996 12:00:00 AM,19,,,Blackpool North,0.4,Blackpool,,,Blackpool,Talbot,
FY1 1DG,Yes,53.818319,-3.052268,330821,436296,SD308362,1/1/1980 12:00:00 AM,,20,2,2,Blackpool North,0.4,Blackpool,United Utilities,,Blackpool,Talbot,
FY1 1DH,Yes,53.819129,-3.052634,330798,436387,SD307363,1/1/1980 12:00:00 AM,,19,,,Blackpool North,0.4,Blackpool,United Utilities,,Blackpool,Talbot,
FY1 1DJ,No,53.819250,-3.052611,330800,436400,SD307363,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,19,,,Blackpool North,0.4,Blackpool,,,Blackpool,Talbot,
FY1 1DL,Yes,53.818256,-3.051234,330889,436288,SD308362,11/1/2009 12:00:00 AM,,20,7,0,Blackpool North,0.4,Blackpool,United Utilities,,Blackpool,Talbot,
FY1 1DN,No,53.819250,-3.052611,330800,436400,SD307363,1/1/1980 12:00:00 AM,12/1/1984 12:00:00 AM,19,,,Blackpool North,0.4,Blackpool,,,Blackpool,Talbot,
FY1 1DP,No,53.819264,-3.051092,330900,436400,SD308364,1/1/1980 12:00:00 AM,7/1/1995 12:00:00 AM,22,,,Blackpool North,0.3,Blackpool,,,Blackpool,Talbot,
FY1 1DR,Yes,53.818154,-3.051550,330868,436277,SD308362,1/1/1980 12:00:00 AM,,20,,,Blackpool North,0.4,Blackpool,United Utilities,,Blackpool,Talbot,
FY1 1DT,No,53.819250,-3.052611,330800,436400,SD307363,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,19,,,Blackpool North,0.4,Blackpool,,,Blackpool,Talbot,
FY1 1DU,Yes,53.818316,-3.053191,330760,436297,SD307362,1/1/1980 12:00:00 AM,,18,1,1,Blackpool North,0.5,Blackpool,United Utilities,,Blackpool,Talbot,
FY1 1DW,Yes,53.818589,-3.052742,330790,436327,SD307363,1/1/1980 12:00:00 AM,,19,,,Blackpool North,0.4,Blackpool,United Utilities,,Blackpool,Talbot,
FY1 1DX,No,53.818782,-3.051672,330861,436347,SD308363,6/1/2003 12:00:00 AM,12/1/2018 12:00:00 AM,21,,,Blackpool North,0.4,Blackpool,United Utilities,,Blackpool,Talbot,
FY1 1DY,No,53.818338,-3.054107,330700,436300,SD306362,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,17,,,Blackpool North,0.5,Blackpool,,,Blackpool,Talbot,
FY1 1DZ,No,53.818338,-3.054107,330700,436300,SD306362,1/1/1980 12:00:00 AM,12/1/1991 12:00:00 AM,17,,,Blackpool North,0.5,Blackpool,United Utilities,,Blackpool,Talbot,
FY1 1EA,No,53.818579,-3.050194,330958,436323,SD309363,6/1/2006 12:00:00 AM,7/1/2006 12:00:00 AM,23,,,Blackpool North,0.4,Blackpool,United Utilities,,Blackpool,Talbot,
FY1 1EB,No,53.818352,-3.052588,330800,436300,SD308363,1/1/1980 12:00:00 AM,12/1/1991 12:00:00 AM,19,,,Blackpool North,0.5,Blackpool,,,Blackpool,Talbot,
FY1 1ED,No,53.818352,-3.052588,330800,436300,SD308363,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,19,,,Blackpool North,0.5,Blackpool,,,Blackpool,Talbot,
FY1 1EE,No,53.818352,-3.052588,330800,436300,SD308363,1/1/1980 12:00:00 AM,12/1/1990 12:00:00 AM,19,,,Blackpool North,0.5,Blackpool,,,Blackpool,Talbot,
FY1 1EF,No,53.818338,-3.054107,330700,436300,SD306362,1/1/1980 12:00:00 AM,12/1/1982 12:00:00 AM,17,,,Blackpool North,0.5,Blackpool,,,Blackpool,Talbot,
FY1 1EG,Yes,53.817984,-3.053031,330770,436260,SD307362,1/1/1980 12:00:00 AM,,18,,,Blackpool North,0.5,Blackpool,United Utilities,,Blackpool,Talbot,
FY1 1EH,No,53.818352,-3.052588,330800,436300,SD308363,1/1/1980 12:00:00 AM,12/1/1984 12:00:00 AM,19,,,Blackpool North,0.5,Blackpool,,,Blackpool,Talbot,
FY1 1EJ,Yes,53.817713,-3.053666,330728,436230,SD307362,1/1/1980 12:00:00 AM,,17,5,2,Blackpool North,0.5,Blackpool,United Utilities,,Blackpool,Talbot,
FY1 1EL,No,53.818782,-3.051672,330861,436347,SD308363,1/1/1991 12:00:00 AM,12/1/2018 12:00:00 AM,21,,,Blackpool North,0.4,Blackpool,United Utilities,,Blackpool,Talbot,
FY1 1EN,Yes,53.817857,-3.053685,330727,436246,SD307362,1/1/1991 12:00:00 AM,,17,,,Blackpool North,0.5,Blackpool,United Utilities,,Blackpool,Talbot,
FY1 1EP,No,53.817716,-3.054410,330679,436231,SD306362,1/1/1991 12:00:00 AM,4/1/2017 12:00:00 AM,15,,,Blackpool North,0.6,Blackpool,United Utilities,,Blackpool,Talbot,
FY1 1EQ,Yes,53.818696,-3.051848,330849,436338,SD308363,1/1/1980 12:00:00 AM,,21,,,Blackpool North,0.4,Blackpool,United Utilities,,Blackpool,Talbot,
FY1 1ER,No,53.818782,-3.051672,330861,436347,SD308363,1/1/1995 12:00:00 AM,4/1/2017 12:00:00 AM,21,,,Blackpool North,0.4,Blackpool,,,Blackpool,Talbot,
FY1 1ES,No,53.818338,-3.054107,330700,436300,SD306362,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,17,,,Blackpool North,0.5,Blackpool,,,Blackpool,Talbot,
FY1 1ET,Yes,53.818230,-3.055243,330625,436289,SD306362,1/1/1980 12:00:00 AM,,16,,,Blackpool North,0.6,Blackpool,United Utilities,,Blackpool,Talbot,
