Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
DH8 0AA,Yes,54.861141,-1.847107,409912,551828,NZ099518,1/1/1980 12:00:00 AM,,207,4,3,Stocksfield,10.5,Consett,Northumbrian Water,,County Durham,Benfieldside,
DH8 0AB,Yes,54.861637,-1.847298,409900,551883,NZ098518,1/1/1980 12:00:00 AM,,207,118,58,Stocksfield,10.5,Consett,Northumbrian Water,,County Durham,Benfieldside,
DH8 0AD,Yes,54.862221,-1.847342,409897,551948,NZ098519,1/1/1980 12:00:00 AM,,207,83,48,Stocksfield,10.4,Consett,Northumbrian Water,,County Durham,Benfieldside,
DH8 0AE,Yes,54.862498,-1.847336,409897,551979,NZ098519,1/1/1980 12:00:00 AM,,207,101,38,Stocksfield,10.4,Consett,Northumbrian Water,,County Durham,Benfieldside,
DH8 0AF,Yes,54.888826,-1.838060,410486,554910,NZ104549,9/1/2012 12:00:00 AM,,138,,,Stocksfield,8.2,Ebchester,Northumbrian Water,,County Durham,Leadgate and Medomsley,
DH8 0AG,No,54.861789,-1.847297,409900,551900,NZ099518,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,207,,,Stocksfield,10.5,Consett,,,County Durham,Benfieldside,
DH8 0AH,Yes,54.863749,-1.847337,409897,552118,NZ098521,1/1/1980 12:00:00 AM,,203,51,21,Stocksfield,10.3,Consett,Northumbrian Water,,County Durham,Benfieldside,
DH8 0AJ,Yes,54.863274,-1.848616,409815,552065,NZ098520,1/1/1980 12:00:00 AM,,200,56,21,Stocksfield,10.3,Consett,Northumbrian Water,,County Durham,Benfieldside,
DH8 0AL,Yes,54.863122,-1.849442,409762,552048,NZ097520,1/1/1980 12:00:00 AM,,195,29,10,Stocksfield,10.3,Consett,Northumbrian Water,,County Durham,Benfieldside,
DH8 0AN,Yes,54.861989,-1.849026,409789,551922,NZ097519,1/1/1980 12:00:00 AM,,199,46,24,Stocksfield,10.4,Consett,Northumbrian Water,,County Durham,Benfieldside,
DH8 0AP,Yes,54.879296,-1.849486,409755,553848,NZ097538,10/1/2018 12:00:00 AM,,203,,,Stocksfield,8.7,,,,County Durham,Benfieldside,
DH8 0AQ,Yes,54.863407,-1.847338,409897,552080,NZ098520,1/1/1980 12:00:00 AM,,205,87,39,Stocksfield,10.3,Consett,Northumbrian Water,,County Durham,Benfieldside,
DH8 0AR,Yes,54.861430,-1.848570,409818,551860,NZ098518,1/1/1980 12:00:00 AM,,200,3,2,Stocksfield,10.5,Consett,Northumbrian Water,,County Durham,Benfieldside,
DH8 0AS,Yes,54.865080,-1.848563,409818,552266,NZ098522,10/1/1987 12:00:00 AM,,185,81,34,Stocksfield,10.1,Consett,Northumbrian Water,,County Durham,Benfieldside,
DH8 0AT,Yes,54.866156,-1.846954,409921,552386,NZ099523,2/1/1990 12:00:00 AM,,180,46,19,Stocksfield,10.0,Consett,Northumbrian Water,,County Durham,Benfieldside,
DH8 0AU,Yes,54.861340,-1.847533,409885,551850,NZ098518,9/1/1991 12:00:00 AM,,206,5,5,Stocksfield,10.5,Consett,Northumbrian Water,,County Durham,Benfieldside,
DH8 0AW,Yes,54.862079,-1.848636,409814,551932,NZ098519,1/1/1980 12:00:00 AM,,201,24,13,Stocksfield,10.4,Consett,Northumbrian Water,,County Durham,Benfieldside,
DH8 0AX,Yes,54.865867,-1.860151,409074,552352,NZ090523,1/1/1980 12:00:00 AM,,113,81,31,Stocksfield,9.7,Consett,Northumbrian Water,,County Durham,Benfieldside,
DH8 0AY,Yes,54.864273,-1.857477,409246,552175,NZ092521,1/1/1980 12:00:00 AM,,142,38,22,Stocksfield,9.9,Consett,Northumbrian Water,,County Durham,Benfieldside,
DH8 0AZ,Yes,54.863247,-1.856297,409322,552061,NZ093520,1/1/1980 12:00:00 AM,,151,36,15,Stocksfield,10.1,Consett,Northumbrian Water,,County Durham,Benfieldside,
DH8 0BA,Yes,54.861387,-1.848903,409797,551855,NZ097518,8/1/2003 12:00:00 AM,,199,4,4,Stocksfield,10.5,Consett,Northumbrian Water,,County Durham,Benfieldside,
DH8 0BG,Yes,54.861348,-1.846349,409961,551851,NZ099518,1/1/1980 12:00:00 AM,,211,7,5,Stocksfield,10.5,Consett,Northumbrian Water,,County Durham,Benfieldside,
DH8 0BH,Yes,54.862164,-1.845997,409983,551942,NZ099519,1/1/1980 12:00:00 AM,,212,11,5,Stocksfield,10.5,Consett,Northumbrian Water,,County Durham,Benfieldside,
DH8 0BJ,Yes,54.863154,-1.845906,409989,552052,NZ099520,1/1/1980 12:00:00 AM,,210,49,17,Stocksfield,10.4,Consett,Northumbrian Water,,County Durham,Benfieldside,
DH8 0BL,Yes,54.864932,-1.845322,410026,552250,NZ100522,1/1/1980 12:00:00 AM,,199,48,16,Stocksfield,10.2,Consett,Northumbrian Water,,County Durham,Benfieldside,
