Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
BN14 7EZ,No,50.810329,-0.549394,502300,102200,TQ023021,3/1/1983 12:00:00 AM,12/1/1996 12:00:00 AM,2,,,Littlehampton,0.2,Littlehampton,,,Arun,River,Littlehampton Town
BN16 1AN,No,50.820402,-0.509444,505092,103376,TQ050033,1/1/1995 12:00:00 AM,2/1/2006 12:00:00 AM,4,,,Angmering,1.5,Rustington,,,Arun,Rustington West,Littlehampton East
BN16 1EE,No,50.820402,-0.509444,505092,103376,TQ050033,12/1/2000 12:00:00 AM,3/1/2004 12:00:00 AM,4,,,Angmering,1.5,Rustington,,,Arun,Rustington West,Littlehampton East
BN16 1FF,No,50.820402,-0.509444,505092,103376,TQ050033,6/1/2001 12:00:00 AM,3/1/2004 12:00:00 AM,4,,,Angmering,1.5,Rustington,,,Arun,Rustington West,Littlehampton East
BN16 1FW,No,50.820402,-0.509444,505092,103376,TQ050033,6/1/2001 12:00:00 AM,3/1/2004 12:00:00 AM,4,,,Angmering,1.5,Rustington,,,Arun,Rustington West,Littlehampton East
BN16 1QF,No,50.820402,-0.509444,505092,103376,TQ050033,12/1/1999 12:00:00 AM,12/1/2001 12:00:00 AM,4,,,Angmering,1.5,Rustington,,,Arun,Rustington West,Littlehampton East
BN16 1QG,No,50.820402,-0.509444,505092,103376,TQ050033,8/1/1993 12:00:00 AM,4/1/2006 12:00:00 AM,4,,,Angmering,1.5,Rustington,,,Arun,Rustington West,Littlehampton East
BN16 1SY,No,50.820402,-0.509444,505092,103376,TQ050033,1/1/1995 12:00:00 AM,10/1/2021 12:00:00 AM,4,,,Angmering,1.5,Rustington,,,Arun,Rustington West,Littlehampton East
BN16 1SZ,No,50.820402,-0.509444,505092,103376,TQ050033,7/1/1995 12:00:00 AM,2/1/2006 12:00:00 AM,4,,,Angmering,1.5,Rustington,,,Arun,Rustington West,Littlehampton East
BN16 1TD,No,50.820402,-0.509444,505092,103376,TQ050033,6/1/1996 12:00:00 AM,1/1/2007 12:00:00 AM,4,,,Angmering,1.5,Rustington,,,Arun,Rustington West,Littlehampton East
BN16 1TF,No,50.820402,-0.509444,505092,103376,TQ050033,6/1/1996 12:00:00 AM,3/1/2004 12:00:00 AM,4,,,Angmering,1.5,Rustington,,,Arun,Rustington West,Littlehampton East
BN16 1TS,No,50.820402,-0.509444,505092,103376,TQ050033,6/1/1998 12:00:00 AM,2/1/2015 12:00:00 AM,4,,,Angmering,1.5,Rustington,,,Arun,Rustington West,Littlehampton East
BN16 1TT,No,50.820402,-0.509444,505092,103376,TQ050033,12/1/1998 12:00:00 AM,12/1/2001 12:00:00 AM,4,,,Angmering,1.5,Rustington,,,Arun,Rustington West,Littlehampton East
BN16 1TU,No,50.820402,-0.509444,505092,103376,TQ050033,1/1/2007 12:00:00 AM,2/1/2012 12:00:00 AM,4,,,Angmering,1.5,Rustington,,,Arun,Rustington West,Littlehampton East
BN16 1TW,No,50.820402,-0.509444,505092,103376,TQ050033,6/1/1999 12:00:00 AM,2/1/2007 12:00:00 AM,4,,,Angmering,1.5,Rustington,,,Arun,Rustington West,Littlehampton East
BN16 1TZ,No,50.820402,-0.509444,505092,103376,TQ050033,12/1/1999 12:00:00 AM,11/1/2007 12:00:00 AM,4,,,Angmering,1.5,Rustington,,,Arun,Rustington West,Littlehampton East
BN16 1UE,No,50.820402,-0.509444,505092,103376,TQ050033,6/1/2001 12:00:00 AM,3/1/2004 12:00:00 AM,4,,,Angmering,1.5,Rustington,,,Arun,Rustington West,Littlehampton East
BN16 1UR,No,50.820402,-0.509444,505092,103376,TQ050033,6/1/2001 12:00:00 AM,8/1/2005 12:00:00 AM,4,,,Angmering,1.5,Rustington,,,Arun,Rustington West,Littlehampton East
BN16 1WA,No,50.820402,-0.509444,505092,103376,TQ050033,12/1/2000 12:00:00 AM,1/1/2004 12:00:00 AM,4,,,Angmering,1.5,Rustington,,,Arun,Rustington West,Littlehampton East
