Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
BL1 1AA,No,53.579554,-2.432887,371436,409305,SD714093,6/1/1996 12:00:00 AM,2/1/2001 12:00:00 AM,97,,,Bolton,0.8,Bolton (Bolton),,,Bolton,Queens Park & Central,
BL1 1AD,No,53.579231,-2.432823,371440,409269,SD714092,1/1/1992 12:00:00 AM,3/1/2021 12:00:00 AM,97,,,Bolton,0.7,Bolton (Bolton),United Utilities,,Bolton,Queens Park & Central,
BL1 1AE,No,53.579554,-2.432887,371436,409305,SD714093,1/1/1993 12:00:00 AM,10/1/2005 12:00:00 AM,97,,,Bolton,0.8,Bolton (Bolton),,,Bolton,Queens Park & Central,
BL1 1AG,No,53.579554,-2.432887,371436,409305,SD714093,12/1/1995 12:00:00 AM,4/1/2006 12:00:00 AM,97,,,Bolton,0.8,Bolton (Bolton),,,Bolton,Queens Park & Central,
BL1 1AH,No,53.579689,-2.432979,371430,409320,SD714093,1/1/1995 12:00:00 AM,12/1/1995 12:00:00 AM,96,,,Bolton,0.8,Bolton (Bolton),,,Bolton,Queens Park & Central,
BL1 1AR,Yes,53.577469,-2.430419,371598,409072,SD715090,10/1/2012 12:00:00 AM,,103,,,Bolton,0.5,Bolton (Bolton),,,Bolton,Queens Park & Central,
BL1 1AW,Yes,53.579247,-2.432821,371440,409271,SD714092,7/1/2021 12:00:00 AM,,97,,,Bolton,0.7,Bolton (Bolton),,,Bolton,Queens Park & Central,
BL1 1BB,Yes,53.579009,-2.433861,371371,409245,SD713092,1/1/1980 12:00:00 AM,,96,,,Bolton,0.8,Bolton (Bolton),United Utilities,,Bolton,Queens Park & Central,
BL1 1BD,Yes,53.579593,-2.431420,371533,409309,SD715093,1/1/1980 12:00:00 AM,,99,2,2,Bolton,0.7,Bolton (Bolton),United Utilities,,Bolton,Queens Park & Central,
BL1 1BE,No,53.579513,-2.431920,371500,409300,SD714093,1/1/1980 12:00:00 AM,12/1/1995 12:00:00 AM,99,,,Bolton,0.7,Bolton (Bolton),,,Bolton,Queens Park & Central,
BL1 1BF,No,53.579513,-2.431920,371500,409300,SD714093,7/1/1995 12:00:00 AM,6/1/1996 12:00:00 AM,99,,,Bolton,0.7,Bolton (Bolton),,,Bolton,Queens Park & Central,
BL1 1BG,Yes,53.579806,-2.429686,371648,409332,SD716093,1/1/1980 12:00:00 AM,,99,,,Bolton,0.7,Bolton (Bolton),United Utilities,,Bolton,Queens Park & Central,
BL1 1BH,Yes,53.579864,-2.429326,371672,409338,SD716093,1/1/1980 12:00:00 AM,,100,,,Bolton,0.7,Bolton (Bolton),United Utilities,,Bolton,Queens Park & Central,
BL1 1BJ,No,53.579513,-2.431920,371500,409300,SD714093,1/1/1980 12:00:00 AM,12/1/1982 12:00:00 AM,99,,,Bolton,0.7,Bolton (Bolton),,,Bolton,Queens Park & Central,
BL1 1BL,Yes,53.579920,-2.428737,371711,409344,SD717093,1/1/1980 12:00:00 AM,,99,,,Bolton,0.7,Bolton (Bolton),United Utilities,,Bolton,Queens Park & Central,
BL1 1BN,Yes,53.580120,-2.427954,371763,409366,SD717093,1/1/1991 12:00:00 AM,,98,,,Bolton,0.7,Bolton (Bolton),United Utilities,,Bolton,Queens Park & Central,
BL1 1BP,No,53.579924,-2.427438,371797,409344,SD717093,1/1/1980 12:00:00 AM,9/1/2001 12:00:00 AM,98,,,Bolton,0.7,Bolton (Bolton),United Utilities,,Bolton,Queens Park & Central,
BL1 1BQ,Yes,53.580067,-2.429779,371642,409361,SD716093,1/1/1980 12:00:00 AM,,100,,,Bolton,0.7,Bolton (Bolton),United Utilities,,Bolton,Queens Park & Central,
