Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
BL1 3LR,Yes,53.596290,-2.452534,370147,411175,SD701111,1/1/1980 12:00:00 AM,,146,14,6,Hall-I'-Th'-Wood,2.6,Bolton (Bolton),United Utilities,,Bolton,Smithills,
BL1 3LS,Yes,53.597277,-2.450475,370284,411284,SD702112,1/1/1980 12:00:00 AM,,133,22,8,Hall-I'-Th'-Wood,2.5,Bolton (Bolton),United Utilities,,Bolton,Smithills,
BL1 3LT,Yes,53.597909,-2.449711,370335,411354,SD703113,1/1/1980 12:00:00 AM,,129,90,36,Hall-I'-Th'-Wood,2.4,Bolton (Bolton),United Utilities,,Bolton,Smithills,
BL1 3LU,Yes,53.598235,-2.449216,370368,411390,SD703113,1/1/1980 12:00:00 AM,,127,22,10,Hall-I'-Th'-Wood,2.4,Bolton (Bolton),United Utilities,,Bolton,Smithills,
BL1 3LX,Yes,53.598337,-2.450652,370273,411402,SD702114,1/1/1980 12:00:00 AM,,130,54,22,Hall-I'-Th'-Wood,2.5,Bolton (Bolton),United Utilities,,Bolton,Smithills,
BL1 3LY,Yes,53.597811,-2.451825,370195,411344,SD701113,1/1/1980 12:00:00 AM,,132,29,11,Hall-I'-Th'-Wood,2.6,Bolton (Bolton),United Utilities,,Bolton,Smithills,
BL1 4EF,Yes,53.581979,-2.455266,369956,409584,SD699095,1/1/1980 12:00:00 AM,,132,96,44,Bolton,2.1,Bolton (Bolton),United Utilities,,Bolton,Smithills,
BL1 4EG,Yes,53.583294,-2.456851,369852,409731,SD698097,1/1/1980 12:00:00 AM,,141,69,33,Bolton,2.3,Bolton (Bolton),United Utilities,,Bolton,Smithills,
BL1 4EH,Yes,53.583094,-2.459885,369651,409710,SD696097,1/1/1980 12:00:00 AM,,146,40,14,Bolton,2.5,Bolton (Bolton),United Utilities,,Bolton,Smithills,
BL1 4EJ,Yes,53.583286,-2.459087,369704,409731,SD697097,1/1/1980 12:00:00 AM,,146,43,15,Bolton,2.4,Bolton (Bolton),United Utilities,,Bolton,Smithills,
BL1 4EL,Yes,53.583734,-2.457053,369839,409780,SD698097,1/1/1980 12:00:00 AM,,145,133,70,Bolton,2.3,Bolton (Bolton),United Utilities,,Bolton,Smithills,
BL1 4EN,Yes,53.584887,-2.455869,369918,409908,SD699099,1/1/1980 12:00:00 AM,,146,60,34,Bolton,2.3,Bolton (Bolton),United Utilities,,Bolton,Smithills,
