Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
LN13 0AF,Yes,53.214775,0.156780,544115,370806,TF441708,3/1/2014 12:00:00 AM,,77,,,Thorpe Culvert,10.6,,Anglian Water,,East Lindsey,Willoughby with Sloothby,Ingoldmells Rural
LN13 0ER,Yes,53.250832,0.158998,544142,374821,TF441748,1/1/1980 12:00:00 AM,,23,22,8,Thorpe Culvert,14.4,,Anglian Water,,East Lindsey,Willoughby with Sloothby,Ingoldmells Rural
LN13 0ES,Yes,53.242848,0.164892,544562,373945,TF445739,1/1/1980 12:00:00 AM,,23,25,11,Thorpe Culvert,13.5,,Anglian Water,,East Lindsey,Willoughby with Sloothby,Ingoldmells Rural
LN13 0ET,Yes,53.243290,0.166892,544694,373998,TF446739,1/1/1980 12:00:00 AM,,20,32,16,Thorpe Culvert,13.5,,Anglian Water,,East Lindsey,Willoughby with Sloothby,Ingoldmells Rural
LN13 0EU,Yes,53.249355,0.154667,543858,374648,TF438746,1/1/1980 12:00:00 AM,,32,11,3,Thorpe Culvert,14.3,,Anglian Water,,East Lindsey,Willoughby with Sloothby,Ingoldmells Rural
LN13 0EX,Yes,53.245946,0.129254,542174,374218,TF421742,1/1/1980 12:00:00 AM,,95,2,1,Thorpe Culvert,14.4,,Anglian Water,,East Lindsey,Willoughby with Sloothby,Ingoldmells Rural
LN13 0EY,Yes,53.241937,0.114520,541204,373743,TF412737,1/1/1980 12:00:00 AM,,95,7,3,Thorpe Culvert,14.4,,Anglian Water,,East Lindsey,Willoughby with Sloothby,Ingoldmells Rural
LN13 0EZ,Yes,53.239717,0.107861,540767,373483,TF407734,1/1/1980 12:00:00 AM,,93,4,2,Thorpe Culvert,14.3,,Anglian Water,,East Lindsey,Willoughby with Sloothby,Ingoldmells Rural
LN13 0HA,Yes,53.240025,0.115907,541303,373533,TF413735,1/1/1980 12:00:00 AM,,94,2,1,Thorpe Culvert,14.1,,Anglian Water,,East Lindsey,Willoughby with Sloothby,Ingoldmells Rural
LN13 0HB,Yes,53.231481,0.125107,541945,372601,TF419726,1/1/1980 12:00:00 AM,,91,4,2,Thorpe Culvert,13.0,,Anglian Water,,East Lindsey,Willoughby with Sloothby,Ingoldmells Rural
LN13 0HD,Yes,53.232931,0.127095,542073,372766,TF420727,1/1/1980 12:00:00 AM,,84,14,4,Thorpe Culvert,13.1,,Anglian Water,,East Lindsey,Willoughby with Sloothby,Ingoldmells Rural
LN13 0HE,Yes,53.236521,0.128951,542185,373169,TF421731,1/1/1980 12:00:00 AM,,94,30,12,Thorpe Culvert,13.4,,Anglian Water,,East Lindsey,Willoughby with Sloothby,Ingoldmells Rural
LN13 0HF,Yes,53.229735,0.128736,542193,372414,TF421724,1/1/1980 12:00:00 AM,,93,57,21,Thorpe Culvert,12.8,,Anglian Water,,East Lindsey,Willoughby with Sloothby,Ingoldmells Rural
LN13 0HG,Yes,53.228219,0.127116,542090,372242,TF420722,1/1/1980 12:00:00 AM,,95,6,4,Thorpe Culvert,12.6,,Anglian Water,,East Lindsey,Willoughby with Sloothby,Ingoldmells Rural
LN13 0HH,Yes,53.222451,0.149392,543596,371645,TF435716,1/1/1980 12:00:00 AM,,54,15,7,Thorpe Culvert,11.5,,Anglian Water,,East Lindsey,Willoughby with Sloothby,Ingoldmells Rural
LN13 0HJ,Yes,53.219721,0.170615,545022,371384,TF450713,1/1/1980 12:00:00 AM,,36,34,11,Thorpe Culvert,10.9,,Anglian Water,,East Lindsey,Willoughby with Sloothby,Ingoldmells Rural
LN13 0HL,Yes,53.221903,0.180103,545648,371646,TF456716,1/1/1980 12:00:00 AM,,28,25,7,Thorpe Culvert,11.1,,Anglian Water,,East Lindsey,Willoughby with Sloothby,Ingoldmells Rural
LN13 0HQ,Yes,53.221999,0.121520,541737,371539,TF417715,1/1/1980 12:00:00 AM,,68,25,9,Thorpe Culvert,12.2,,Anglian Water,,East Lindsey,Willoughby with Sloothby,Ingoldmells Rural
LN13 9BS,Yes,53.225015,0.199108,546906,372031,TF469720,5/1/2007 12:00:00 AM,,11,9,5,Thorpe Culvert,11.3,Willoughby (East Lindsey),Anglian Water,,East Lindsey,Willoughby with Sloothby,Ingoldmells Rural
LN13 9FF,Yes,53.212411,0.237628,549521,370709,TF495707,2/1/2021 12:00:00 AM,,6,,,Skegness,10.0,,,,East Lindsey,Willoughby with Sloothby,Ingoldmells Rural
LN13 9GF,Yes,53.243270,0.269378,551532,374208,TF515742,11/1/2002 12:00:00 AM,,4,85,44,Skegness,11.9,Mumby,Anglian Water,,East Lindsey,Willoughby with Sloothby,Ingoldmells Rural
LN13 9JP,Yes,53.252414,0.255650,550584,375196,TF505751,1/1/1980 12:00:00 AM,,6,20,8,Skegness,13.2,,Anglian Water,,East Lindsey,Willoughby with Sloothby,Ingoldmells Rural
LN13 9JR,Yes,53.253179,0.265075,551210,375301,TF512753,1/1/1980 12:00:00 AM,,4,8,4,Skegness,13.1,,Anglian Water,,East Lindsey,Willoughby with Sloothby,Ingoldmells Rural
LN13 9JS,Yes,53.255164,0.268988,551464,375530,TF514755,1/1/1980 12:00:00 AM,,3,,,Skegness,13.2,,Anglian Water,,East Lindsey,Chapel St Leonards,Ingoldmells Rural
LN13 9JT,Yes,53.246625,0.267921,551423,374578,TF514745,1/1/1980 12:00:00 AM,,10,36,12,Skegness,12.3,Mumby,Anglian Water,,East Lindsey,Willoughby with Sloothby,Ingoldmells Rural
LN13 9JU,Yes,53.250408,0.274627,551857,375013,TF518750,1/1/1980 12:00:00 AM,,2,2,1,Skegness,12.6,,Anglian Water,,East Lindsey,Willoughby with Sloothby,Ingoldmells Rural
LN13 9JX,No,53.245874,0.270535,551600,374500,TF515745,10/1/1987 12:00:00 AM,12/1/1990 12:00:00 AM,6,,,Skegness,12.2,Mumby,,,East Lindsey,Willoughby with Sloothby,Ingoldmells Rural
LN13 9JY,Yes,53.243710,0.267992,551438,374254,TF514742,1/1/1980 12:00:00 AM,,5,59,27,Skegness,12.0,Mumby,Anglian Water,,East Lindsey,Willoughby with Sloothby,Ingoldmells Rural
