Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
BH1 1AA,Yes,50.727909,-1.863623,409722,92041,SZ097920,9/1/1991 12:00:00 AM,,36,,,Bournemouth,0.1,Bournemouth,Bournemouth Water,,"Bournemouth, Christchurch and Poole",East Cliff & Springbourne,
BH1 1AE,No,50.727900,-1.863580,409725,92040,SZ097920,6/1/2001 12:00:00 AM,3/1/2004 12:00:00 AM,36,,,Bournemouth,0.1,Bournemouth,,,"Bournemouth, Christchurch and Poole",East Cliff & Springbourne,
BH1 1AG,No,50.727539,-1.862519,409800,92000,SZ097919,12/1/1994 12:00:00 AM,12/1/1996 12:00:00 AM,36,,,Bournemouth,0.1,Bournemouth,,,"Bournemouth, Christchurch and Poole",East Cliff & Springbourne,
BH1 1AZ,No,50.727900,-1.863580,409725,92040,SZ097920,12/1/1994 12:00:00 AM,6/1/2008 12:00:00 AM,36,,,Bournemouth,0.1,Bournemouth,,,"Bournemouth, Christchurch and Poole",East Cliff & Springbourne,
BH1 1BE,No,50.727900,-1.863580,409725,92040,SZ097920,1/1/1980 12:00:00 AM,10/1/2001 12:00:00 AM,36,,,Bournemouth,0.1,Bournemouth,,,"Bournemouth, Christchurch and Poole",East Cliff & Springbourne,
BH1 1BW,No,50.723859,-1.804445,413900,91600,SZ139915,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,28,,,Pokesdown,1.7,Bournemouth,,,"Bournemouth, Christchurch and Poole",West Southbourne,
BH1 1EB,No,50.727900,-1.863580,409725,92040,SZ097920,6/1/2001 12:00:00 AM,7/1/2002 12:00:00 AM,36,,,Bournemouth,0.1,Bournemouth,Bournemouth Water,,"Bournemouth, Christchurch and Poole",East Cliff & Springbourne,
BH1 1ER,Yes,50.727909,-1.863623,409722,92041,SZ097920,1/1/1980 12:00:00 AM,,36,,,Bournemouth,0.1,Bournemouth,Bournemouth Water,,"Bournemouth, Christchurch and Poole",East Cliff & Springbourne,
BH1 1LA,No,50.727909,-1.863623,409722,92041,SZ097920,1/1/1980 12:00:00 AM,7/1/2024 12:00:00 AM,36,,,Bournemouth,0.1,Bournemouth,,,"Bournemouth, Christchurch and Poole",East Cliff & Springbourne,
BH1 1UX,No,50.727900,-1.863580,409725,92040,SZ097920,12/1/2002 12:00:00 AM,11/1/2012 12:00:00 AM,36,,,Bournemouth,0.1,Bournemouth,,,"Bournemouth, Christchurch and Poole",East Cliff & Springbourne,
BH1 1WQ,No,50.727900,-1.863580,409725,92040,SZ097920,5/1/2003 12:00:00 AM,8/1/2003 12:00:00 AM,36,,,Bournemouth,0.1,Bournemouth,,,"Bournemouth, Christchurch and Poole",East Cliff & Springbourne,
BH1 1WT,No,50.727900,-1.863580,409725,92040,SZ097920,9/1/2004 12:00:00 AM,10/1/2012 12:00:00 AM,36,,,Bournemouth,0.1,Bournemouth,,,"Bournemouth, Christchurch and Poole",East Cliff & Springbourne,
BH1 1WU,No,50.727900,-1.863580,409725,92040,SZ097920,5/1/2004 12:00:00 AM,5/1/2011 12:00:00 AM,36,,,Bournemouth,0.1,Bournemouth,,,"Bournemouth, Christchurch and Poole",East Cliff & Springbourne,
BH1 1WW,No,50.727900,-1.863580,409725,92040,SZ097920,8/1/2003 12:00:00 AM,9/1/2005 12:00:00 AM,36,,,Bournemouth,0.1,Bournemouth,,,"Bournemouth, Christchurch and Poole",East Cliff & Springbourne,
BH1 1WX,No,50.727900,-1.863580,409725,92040,SZ097920,7/1/2002 12:00:00 AM,11/1/2003 12:00:00 AM,36,,,Bournemouth,0.1,Bournemouth,,,"Bournemouth, Christchurch and Poole",East Cliff & Springbourne,
BH1 1WZ,No,50.727900,-1.863580,409725,92040,SZ097920,12/1/1999 12:00:00 AM,3/1/2004 12:00:00 AM,36,,,Bournemouth,0.1,Bournemouth,,,"Bournemouth, Christchurch and Poole",East Cliff & Springbourne,
BH1 1XD,No,50.727900,-1.863580,409725,92040,SZ097920,1/1/1993 12:00:00 AM,2/1/2006 12:00:00 AM,36,,,Bournemouth,0.1,Bournemouth,,,"Bournemouth, Christchurch and Poole",East Cliff & Springbourne,
BH1 1XE,No,50.727900,-1.863580,409725,92040,SZ097920,12/1/1997 12:00:00 AM,2/1/2006 12:00:00 AM,36,,,Bournemouth,0.1,Bournemouth,,,"Bournemouth, Christchurch and Poole",East Cliff & Springbourne,
BH1 1XT,No,50.727900,-1.863580,409725,92040,SZ097920,7/1/1995 12:00:00 AM,11/1/2012 12:00:00 AM,36,,,Bournemouth,0.1,Bournemouth,,,"Bournemouth, Christchurch and Poole",East Cliff & Springbourne,
BH1 1XW,No,50.727900,-1.863580,409725,92040,SZ097920,7/1/1995 12:00:00 AM,10/1/2001 12:00:00 AM,36,,,Bournemouth,0.1,Bournemouth,,,"Bournemouth, Christchurch and Poole",East Cliff & Springbourne,
BH1 1XZ,No,50.727900,-1.863580,409725,92040,SZ097920,1/1/1992 12:00:00 AM,2/1/2006 12:00:00 AM,36,,,Bournemouth,0.1,Bournemouth,,,"Bournemouth, Christchurch and Poole",East Cliff & Springbourne,
BH1 1YB,No,50.727900,-1.863580,409725,92040,SZ097920,8/1/1992 12:00:00 AM,11/1/2012 12:00:00 AM,36,,,Bournemouth,0.1,Bournemouth,,,"Bournemouth, Christchurch and Poole",East Cliff & Springbourne,
BH1 1YD,No,50.727900,-1.863580,409725,92040,SZ097920,12/1/1998 12:00:00 AM,3/1/2004 12:00:00 AM,36,,,Bournemouth,0.1,Bournemouth,,,"Bournemouth, Christchurch and Poole",East Cliff & Springbourne,
BH1 1YE,No,50.727900,-1.863580,409725,92040,SZ097920,1/1/1992 12:00:00 AM,2/1/2006 12:00:00 AM,36,,,Bournemouth,0.1,Bournemouth,,,"Bournemouth, Christchurch and Poole",East Cliff & Springbourne,
BH1 1YG,No,50.727900,-1.863580,409725,92040,SZ097920,6/1/2000 12:00:00 AM,7/1/2003 12:00:00 AM,36,,,Bournemouth,0.1,Bournemouth,,,"Bournemouth, Christchurch and Poole",East Cliff & Springbourne,
BH1 1YH,No,50.727900,-1.863580,409725,92040,SZ097920,6/1/1999 12:00:00 AM,4/1/2004 12:00:00 AM,36,,,Bournemouth,0.1,Bournemouth,,,"Bournemouth, Christchurch and Poole",East Cliff & Springbourne,
BH1 1YJ,No,50.727900,-1.863580,409725,92040,SZ097920,6/1/1999 12:00:00 AM,6/1/2008 12:00:00 AM,36,,,Bournemouth,0.1,Bournemouth,,,"Bournemouth, Christchurch and Poole",East Cliff & Springbourne,
BH1 1YL,Yes,50.727898,-1.863614,409723,92040,SZ097920,6/1/2020 12:00:00 AM,,39,,,Bournemouth,0.1,Bournemouth,,,"Bournemouth, Christchurch and Poole",East Cliff & Springbourne,
BH1 1YQ,No,50.727900,-1.863580,409725,92040,SZ097920,12/1/2000 12:00:00 AM,3/1/2004 12:00:00 AM,36,,,Bournemouth,0.1,Bournemouth,,,"Bournemouth, Christchurch and Poole",East Cliff & Springbourne,
BH1 1YR,No,50.727900,-1.863580,409725,92040,SZ097920,12/1/2000 12:00:00 AM,10/1/2001 12:00:00 AM,36,,,Bournemouth,0.1,Bournemouth,,,"Bournemouth, Christchurch and Poole",East Cliff & Springbourne,
BH1 1YS,No,50.727900,-1.863580,409725,92040,SZ097920,10/1/2006 12:00:00 AM,1/1/2007 12:00:00 AM,36,,,Bournemouth,0.1,Bournemouth,,,"Bournemouth, Christchurch and Poole",East Cliff & Springbourne,
BH1 1YT,No,50.727900,-1.863580,409725,92040,SZ097920,12/1/2000 12:00:00 AM,12/1/2001 12:00:00 AM,36,,,Bournemouth,0.1,Bournemouth,,,"Bournemouth, Christchurch and Poole",East Cliff & Springbourne,
BH1 1YU,No,50.727900,-1.863580,409725,92040,SZ097920,4/1/2004 12:00:00 AM,5/1/2007 12:00:00 AM,36,,,Bournemouth,0.1,Bournemouth,,,"Bournemouth, Christchurch and Poole",East Cliff & Springbourne,
BH1 1YX,No,50.727900,-1.863580,409725,92040,SZ097920,6/1/2004 12:00:00 AM,6/1/2008 12:00:00 AM,36,,,Bournemouth,0.1,Bournemouth,,,"Bournemouth, Christchurch and Poole",East Cliff & Springbourne,
BH1 1YY,No,50.727900,-1.863580,409725,92040,SZ097920,6/1/2001 12:00:00 AM,2/1/2006 12:00:00 AM,36,,,Bournemouth,0.1,Bournemouth,,,"Bournemouth, Christchurch and Poole",East Cliff & Springbourne,
BH1 1ZD,No,50.727900,-1.863580,409725,92040,SZ097920,11/1/2003 12:00:00 AM,4/1/2006 12:00:00 AM,36,,,Bournemouth,0.1,Bournemouth,,,"Bournemouth, Christchurch and Poole",East Cliff & Springbourne,
BH1 1ZE,No,50.727900,-1.863580,409725,92040,SZ097920,2/1/2004 12:00:00 AM,7/1/2005 12:00:00 AM,36,,,Bournemouth,0.1,Bournemouth,,,"Bournemouth, Christchurch and Poole",East Cliff & Springbourne,
BH1 1ZF,No,50.727900,-1.863580,409725,92040,SZ097920,6/1/1996 12:00:00 AM,5/1/2015 12:00:00 AM,36,,,Bournemouth,0.1,Bournemouth,,,"Bournemouth, Christchurch and Poole",East Cliff & Springbourne,
