Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
GU15 4DU,No,51.349872,-0.784712,484731,161900,SU847619,2/1/1984 12:00:00 AM,6/1/1996 12:00:00 AM,72,,,Sandhurst (Berks),1.4,Sandhurst (Bracknell Forest),,,Bracknell Forest,Owlsmoor & College Town,
GU15 4DX,No,51.349912,-0.783361,484825,161906,SU848619,2/1/1984 12:00:00 AM,6/1/1996 12:00:00 AM,70,,,Sandhurst (Berks),1.5,Sandhurst (Bracknell Forest),,,Bracknell Forest,Owlsmoor & College Town,
GU15 4EA,No,51.348881,-0.783719,484802,161791,SU848617,10/1/1984 12:00:00 AM,6/1/1996 12:00:00 AM,69,,,Sandhurst (Berks),1.5,Sandhurst (Bracknell Forest),,,Bracknell Forest,Owlsmoor & College Town,
GU15 4FA,No,51.341093,-0.780967,485008,160928,SU850609,8/1/1992 12:00:00 AM,6/1/1996 12:00:00 AM,60,,,Blackwater,1.1,Sandhurst (Bracknell Forest),,,Bracknell Forest,Owlsmoor & College Town,
GU15 4FB,No,51.338100,-0.776855,485300,160600,SU852605,1/1/1992 12:00:00 AM,12/1/1992 12:00:00 AM,61,,,Blackwater,0.7,Sandhurst (Bracknell Forest),,,Bracknell Forest,Owlsmoor & College Town,
GU15 4FD,No,51.335154,-0.773732,485523,160276,SU855602,8/1/1992 12:00:00 AM,6/1/1996 12:00:00 AM,59,,,Blackwater,0.4,Camberley,,,Bracknell Forest,Owlsmoor & College Town,
GU15 4FE,No,51.338435,-0.777908,485226,160636,SU852606,3/1/1988 12:00:00 AM,6/1/1996 12:00:00 AM,60,,,Blackwater,0.8,Sandhurst (Bracknell Forest),,,Bracknell Forest,Owlsmoor & College Town,
GU15 4FF,No,51.339046,-0.776155,485347,160706,SU853607,7/1/1990 12:00:00 AM,6/1/1996 12:00:00 AM,60,,,Blackwater,0.8,Sandhurst (Bracknell Forest),,,Bracknell Forest,Owlsmoor & College Town,
GU15 4FG,No,51.339205,-0.777557,485249,160722,SU852607,7/1/1990 12:00:00 AM,6/1/1996 12:00:00 AM,60,,,Blackwater,0.8,Sandhurst (Bracknell Forest),,,Bracknell Forest,Owlsmoor & College Town,
GU15 4FH,No,51.341509,-0.783856,484806,160971,SU848609,9/1/1991 12:00:00 AM,6/1/1996 12:00:00 AM,60,,,Blackwater,1.2,Sandhurst (Bracknell Forest),,,Bracknell Forest,Owlsmoor & College Town,
GU15 4FJ,No,51.339532,-0.781367,484983,160754,SU849607,3/1/1988 12:00:00 AM,6/1/1996 12:00:00 AM,59,,,Blackwater,0.9,Sandhurst (Bracknell Forest),,,Bracknell Forest,Owlsmoor & College Town,
GU15 4FL,No,51.340090,-0.783090,484862,160814,SU848608,7/1/1990 12:00:00 AM,6/1/1996 12:00:00 AM,59,,,Blackwater,1.0,Sandhurst (Bracknell Forest),,,Bracknell Forest,Owlsmoor & College Town,
GU15 4FN,No,51.339888,-0.780152,485067,160795,SU850607,9/1/1991 12:00:00 AM,6/1/1996 12:00:00 AM,59,,,Blackwater,1.0,Sandhurst (Bracknell Forest),,,Bracknell Forest,Owlsmoor & College Town,
GU15 4FP,No,51.341741,-0.782816,484878,160998,SU848609,9/1/1991 12:00:00 AM,6/1/1996 12:00:00 AM,59,,,Blackwater,1.2,Sandhurst (Bracknell Forest),,,Bracknell Forest,Owlsmoor & College Town,
GU15 4FQ,No,51.338743,-0.778101,485212,160670,SU852606,7/1/1990 12:00:00 AM,6/1/1996 12:00:00 AM,59,,,Blackwater,0.8,Sandhurst (Bracknell Forest),,,Bracknell Forest,Owlsmoor & College Town,
GU15 4FR,No,51.340100,-0.784123,484790,160814,SU847608,9/1/1991 12:00:00 AM,6/1/1996 12:00:00 AM,58,,,Blackwater,1.1,Sandhurst (Bracknell Forest),,,Bracknell Forest,Owlsmoor & College Town,
GU15 4FS,No,51.340798,-0.784650,484752,160891,SU847608,9/1/1991 12:00:00 AM,6/1/1996 12:00:00 AM,59,,,Blackwater,1.2,Sandhurst (Bracknell Forest),,,Bracknell Forest,Owlsmoor & College Town,
GU15 4FT,No,51.342112,-0.783855,484805,161038,SU848610,9/1/1991 12:00:00 AM,6/1/1996 12:00:00 AM,59,,,Blackwater,1.3,Sandhurst (Bracknell Forest),,,Bracknell Forest,Owlsmoor & College Town,
GU15 4FU,No,51.341392,-0.784663,484750,160957,SU847609,9/1/1991 12:00:00 AM,6/1/1996 12:00:00 AM,59,,,Blackwater,1.2,Sandhurst (Bracknell Forest),,,Bracknell Forest,Owlsmoor & College Town,
GU15 4FW,No,51.341447,-0.782164,484924,160966,SU849609,2/1/1990 12:00:00 AM,6/1/1996 12:00:00 AM,59,,,Blackwater,1.2,Sandhurst (Bracknell Forest),,,Bracknell Forest,Owlsmoor & College Town,
GU15 4FX,No,51.340149,-0.779284,485127,160825,SU851608,2/1/1990 12:00:00 AM,6/1/1996 12:00:00 AM,60,,,Blackwater,1.0,Sandhurst (Bracknell Forest),,,Bracknell Forest,Owlsmoor & College Town,
