Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
BD1 1AJ,No,53.802636,-1.755843,416178,434065,SE161340,1/1/1993 12:00:00 AM,11/1/2018 12:00:00 AM,99,,,Bradford Forster Square,0.7,Bradford,Yorkshire Water,,Bradford,Bolton and Undercliffe,
BD1 1EQ,No,53.802636,-1.755843,416178,434065,SE161340,12/1/1997 12:00:00 AM,11/1/2018 12:00:00 AM,99,,,Bradford Forster Square,0.7,Bradford,Yorkshire Water,,Bradford,Bolton and Undercliffe,
BD1 1FB,No,53.802205,-1.755861,416177,434017,SE161340,6/1/1999 12:00:00 AM,2/1/2009 12:00:00 AM,100,,,Bradford Forster Square,0.6,Bradford,,,Bradford,Bolton and Undercliffe,
BD1 1FF,No,53.802205,-1.755861,416177,434017,SE161340,12/1/1999 12:00:00 AM,10/1/2006 12:00:00 AM,100,,,Bradford Forster Square,0.6,Bradford,,,Bradford,Bolton and Undercliffe,
BD1 1FW,No,53.802205,-1.755861,416177,434017,SE161340,6/1/2001 12:00:00 AM,9/1/2007 12:00:00 AM,100,,,Bradford Forster Square,0.6,Bradford,,,Bradford,Bolton and Undercliffe,
BD1 1JL,Yes,53.802228,-1.755880,416176,434020,SE161340,1/1/1980 12:00:00 AM,,99,,,Bradford Forster Square,0.6,Bradford,Yorkshire Water,,Bradford,Bolton and Undercliffe,
BD1 1JP,Yes,53.802228,-1.755880,416176,434020,SE161340,1/1/1980 12:00:00 AM,,99,,,Bradford Forster Square,0.6,Bradford,Yorkshire Water,,Bradford,Bolton and Undercliffe,
BD1 1LW,No,53.802651,-1.755847,416178,434067,SE161340,5/1/2017 12:00:00 AM,4/1/2018 12:00:00 AM,100,,,Bradford Forster Square,0.7,Bradford,Yorkshire Water,,Bradford,Bolton and Undercliffe,
BD1 1NR,Yes,53.802228,-1.755880,416176,434020,SE161340,5/1/2005 12:00:00 AM,,99,,,Bradford Forster Square,0.6,Bradford,Yorkshire Water,,Bradford,Bolton and Undercliffe,
BD1 1PL,No,53.802636,-1.755843,416178,434065,SE161340,4/1/2014 12:00:00 AM,2/1/2018 12:00:00 AM,99,,,Bradford Forster Square,0.7,Bradford,Yorkshire Water,,Bradford,Bolton and Undercliffe,
BD1 1QQ,No,53.802636,-1.755843,416178,434065,SE161340,1/1/1980 12:00:00 AM,11/1/2018 12:00:00 AM,100,,,Bradford Forster Square,0.7,Bradford,Yorkshire Water,,Bradford,Bolton and Undercliffe,
BD1 1UP,Yes,53.802228,-1.755880,416176,434020,SE161340,3/1/1988 12:00:00 AM,,99,,,Bradford Forster Square,0.6,Bradford,Yorkshire Water,,Bradford,Bolton and Undercliffe,
