Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
BD1 1AA,No,53.796019,-1.750599,416526,433330,SE165333,2/1/1990 12:00:00 AM,3/1/2017 12:00:00 AM,106,,,Bradford Forster Square,0.2,Bradford,Yorkshire Water,,Bradford,City,
BD1 1AE,No,53.795750,-1.750965,416502,433300,SE165332,9/1/2013 12:00:00 AM,5/1/2016 12:00:00 AM,108,,,Bradford Forster Square,0.2,Bradford,,,Bradford,City,
BD1 1AF,Yes,53.794994,-1.750301,416546,433216,SE165332,10/1/2015 12:00:00 AM,,106,,,Bradford Forster Square,0.3,Bradford,Yorkshire Water,,Bradford,City,
BD1 1AG,Yes,53.793496,-1.753258,416352,433049,SE163330,8/1/2007 12:00:00 AM,,109,22,18,Bradford Interchange,0.4,Bradford,Yorkshire Water,,Bradford,City,
BD1 1AH,Yes,53.794476,-1.749184,416620,433159,SE166331,10/1/2015 12:00:00 AM,,107,,,Bradford Forster Square,0.4,Bradford,Yorkshire Water,,Bradford,City,
BD1 1AN,No,53.795668,-1.750160,416555,433291,SE165332,7/1/1986 12:00:00 AM,6/1/1999 12:00:00 AM,105,,,Bradford Forster Square,0.2,Bradford,,,Bradford,City,
BD1 1AW,No,53.795750,-1.750995,416500,433300,SE164332,7/1/1986 12:00:00 AM,6/1/1997 12:00:00 AM,108,,,Bradford Forster Square,0.2,Bradford,,,Bradford,City,
BD1 1BA,No,53.793191,-1.752118,416427,433015,SE164330,1/1/1980 12:00:00 AM,12/1/1999 12:00:00 AM,107,,,Bradford Interchange,0.3,Bradford,,,Bradford,City,
BD1 1BG,No,53.793878,-1.749792,416580,433092,SE165330,1/1/1992 12:00:00 AM,3/1/2004 12:00:00 AM,108,,,Bradford Interchange,0.3,Bradford,,,Bradford,City,
BD1 1BL,Yes,53.794163,-1.752492,416402,433123,SE164331,6/1/1996 12:00:00 AM,,111,,,Bradford Forster Square,0.3,Bradford,Yorkshire Water,,Bradford,City,
