Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
CB10 2FN,Yes,51.977821,0.403367,565164,233767,TL651337,2/1/2015 12:00:00 AM,,86,,,Newport (Essex),12.9,,Affinity Water,Anglian Water,Uttlesford,The Sampfords,Thaxted
CB10 2FU,Yes,52.012741,0.342223,560840,237513,TL608375,5/1/2017 12:00:00 AM,,86,,,Audley End,9.3,Radwinter,Affinity Water,Anglian Water,Uttlesford,The Sampfords,Thaxted
CB10 2NU,Yes,52.005186,0.373272,562998,236742,TL629367,1/1/1980 12:00:00 AM,,80,18,5,Newport (Essex),11.2,,Affinity Water,Anglian Water,Uttlesford,The Sampfords,Thaxted
CB10 2NX,Yes,52.001292,0.379025,563407,236322,TL634363,3/1/1983 12:00:00 AM,,79,3,1,Newport (Essex),11.5,,Affinity Water,Anglian Water,Uttlesford,The Sampfords,Thaxted
CB10 2NY,Yes,52.002862,0.397394,564662,236538,TL646365,3/1/1983 12:00:00 AM,,105,59,18,Newport (Essex),12.7,,Affinity Water,Anglian Water,Uttlesford,The Sampfords,Thaxted
CB10 2NZ,Yes,52.013431,0.400335,564825,237720,TL648377,1/1/1980 12:00:00 AM,,107,18,8,Newport (Essex),13.2,,Affinity Water,Anglian Water,Uttlesford,The Sampfords,Thaxted
CB10 2PA,Yes,52.015555,0.382974,563626,237917,TL636379,1/1/1980 12:00:00 AM,,106,59,20,Audley End,12.1,Hempstead,Affinity Water,Anglian Water,Uttlesford,The Sampfords,Thaxted
CB10 2PB,Yes,52.015706,0.382180,563571,237932,TL635379,1/1/1980 12:00:00 AM,,106,4,4,Audley End,12.0,Hempstead,Affinity Water,Anglian Water,Uttlesford,The Sampfords,Thaxted
CB10 2PD,Yes,52.016564,0.378524,563317,238019,TL633380,1/1/1980 12:00:00 AM,,95,51,19,Audley End,11.8,Hempstead,Affinity Water,Anglian Water,Uttlesford,The Sampfords,Thaxted
CB10 2PE,Yes,52.018003,0.379854,563403,238182,TL634381,1/1/1980 12:00:00 AM,,98,74,28,Audley End,11.9,Hempstead,Affinity Water,Anglian Water,Uttlesford,The Sampfords,Thaxted
CB10 2PF,Yes,52.014412,0.377768,563273,237778,TL632377,1/1/1980 12:00:00 AM,,94,10,4,Audley End,11.7,Hempstead,Affinity Water,Anglian Water,Uttlesford,The Sampfords,Thaxted
CB10 2PG,No,52.019902,0.382826,563600,238400,TL636384,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,104,,,Audley End,12.1,Hempstead,,,Uttlesford,The Sampfords,Thaxted
CB10 2PH,Yes,52.014776,0.375718,563131,237814,TL631378,1/1/1980 12:00:00 AM,,94,37,14,Audley End,11.6,Hempstead,Affinity Water,Anglian Water,Uttlesford,The Sampfords,Thaxted
CB10 2PJ,Yes,52.025331,0.377590,563221,238992,TL632389,1/1/1980 12:00:00 AM,,110,17,6,Audley End,11.9,,Affinity Water,Anglian Water,Uttlesford,The Sampfords,Thaxted
CB10 2PL,Yes,52.020559,0.383225,563625,238474,TL636384,1/1/1980 12:00:00 AM,,105,31,12,Audley End,12.2,Hempstead,Affinity Water,Anglian Water,Uttlesford,The Sampfords,Thaxted
CB10 2PN,Yes,52.024539,0.386965,563867,238925,TL638389,1/1/1980 12:00:00 AM,,106,5,4,Audley End,12.5,,Affinity Water,Anglian Water,Uttlesford,The Sampfords,Thaxted
