Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
NW10 0AA,Yes,51.559120,-0.249279,521461,185923,TQ214859,1/1/1980 12:00:00 AM,,51,5,1,Neasden,0.5,Brent,Thames Water,,Brent,Dollis Hill,
NW10 0AB,Yes,51.553022,-0.253283,521200,185238,TQ211852,11/1/2007 12:00:00 AM,,34,,,Neasden,0.3,Brent,Thames Water,,Brent,Stonebridge,
NW10 0AD,Yes,51.560142,-0.251322,521317,186033,TQ213860,1/1/1980 12:00:00 AM,,48,32,14,Neasden,0.6,Brent,Thames Water,,Brent,Dollis Hill,
NW10 0AE,No,51.558926,-0.250166,521400,185900,TQ214858,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,50,,,Neasden,0.5,Brent,,,Brent,Dollis Hill,
NW10 0AF,Yes,51.561105,-0.255175,521047,186134,TQ210861,3/1/1983 12:00:00 AM,,40,60,23,Neasden,0.8,Brent,Thames Water,,Brent,Welsh Harp,
NW10 0AG,Yes,51.560558,-0.254028,521128,186075,TQ211860,1/1/1980 12:00:00 AM,,43,15,3,Neasden,0.7,Brent,Thames Water,,Brent,Welsh Harp,
NW10 0AH,Yes,51.560909,-0.254692,521081,186113,TQ210861,1/1/1980 12:00:00 AM,,41,17,7,Neasden,0.8,Brent,Thames Water,,Brent,Welsh Harp,
NW10 0AJ,No,51.560810,-0.255865,521000,186100,TQ209861,1/1/1980 12:00:00 AM,7/1/1995 12:00:00 AM,40,,,Neasden,0.8,Brent,,,Brent,Welsh Harp,
NW10 0AL,Yes,51.560556,-0.263016,520505,186060,TQ205860,5/1/1994 12:00:00 AM,,34,53,17,Neasden,1.1,Brent,Thames Water,,Brent,Welsh Harp,
NW10 0AN,Yes,51.561026,-0.262580,520534,186113,TQ205861,5/1/1994 12:00:00 AM,,34,116,36,Neasden,1.1,Brent,Thames Water,,Brent,Welsh Harp,
NW10 0AP,Yes,51.562099,-0.257936,520853,186240,TQ208862,1/1/1980 12:00:00 AM,,36,32,9,Neasden,1.0,Brent,Thames Water,,Brent,Welsh Harp,
NW10 0AQ,No,51.555459,-0.260714,520678,185497,TQ206854,12/1/1994 12:00:00 AM,7/1/2000 12:00:00 AM,34,,,Neasden,0.7,Brent,,,Brent,Stonebridge,
NW10 0AR,Yes,51.561162,-0.258982,520783,186134,TQ207861,1/1/1980 12:00:00 AM,,34,111,36,Neasden,1.0,Brent,Thames Water,,Brent,Welsh Harp,
NW10 0AS,Yes,51.561004,-0.258642,520807,186117,TQ208861,1/1/1980 12:00:00 AM,,34,121,37,Neasden,0.9,Brent,Thames Water,,Brent,Welsh Harp,
NW10 0AT,Yes,51.559984,-0.259407,520757,186002,TQ207860,1/1/1980 12:00:00 AM,,35,4,4,Neasden,0.9,Brent,Thames Water,,Brent,Welsh Harp,
NW10 0AU,Yes,51.560012,-0.260310,520694,186004,TQ206860,1/1/1980 12:00:00 AM,,35,50,15,Neasden,0.9,Brent,Thames Water,,Brent,Welsh Harp,
NW10 0AW,Yes,51.560550,-0.263810,520450,186058,TQ204860,5/1/1994 12:00:00 AM,,34,207,96,Wembley Park,1.1,Brent,Thames Water,,Brent,Welsh Harp,
NW10 0AX,Yes,51.560336,-0.260298,520694,186040,TQ206860,1/1/1980 12:00:00 AM,,35,10,8,Neasden,0.9,Brent,Thames Water,,Brent,Welsh Harp,
NW10 0AY,Yes,51.561526,-0.259891,520719,186173,TQ207861,1/1/1980 12:00:00 AM,,34,105,38,Neasden,1.0,Brent,Thames Water,,Brent,Welsh Harp,
NW10 0BA,Yes,51.561405,-0.259593,520740,186160,TQ207861,1/1/1980 12:00:00 AM,,34,113,37,Neasden,1.0,Brent,Thames Water,,Brent,Welsh Harp,
NW10 0BB,Yes,51.562310,-0.258217,520833,186263,TQ208862,1/1/1980 12:00:00 AM,,36,19,13,Neasden,1.0,Brent,Thames Water,,Brent,Welsh Harp,
NW10 0BD,Yes,51.562708,-0.258937,520782,186306,TQ207863,1/1/1980 12:00:00 AM,,35,92,43,Neasden,1.1,Brent,Thames Water,,Brent,Welsh Harp,
NW10 0BE,Yes,51.561839,-0.260413,520682,186207,TQ206862,1/1/1980 12:00:00 AM,,34,137,42,Neasden,1.1,Brent,Thames Water,,Brent,Welsh Harp,
NW10 0BF,Yes,51.551674,-0.255714,521035,185084,TQ210850,4/1/2009 12:00:00 AM,,35,,,Neasden,0.5,Brent,Thames Water,,Brent,Stonebridge,
NW10 0BG,Yes,51.561766,-0.260921,520647,186198,TQ206861,1/1/1980 12:00:00 AM,,34,120,42,Neasden,1.1,Brent,Thames Water,,Brent,Welsh Harp,
NW10 0BH,Yes,51.560442,-0.261361,520620,186050,TQ206860,1/1/1980 12:00:00 AM,,34,39,12,Neasden,1.0,Brent,Thames Water,,Brent,Welsh Harp,
NW10 0BJ,Yes,51.560728,-0.261292,520624,186082,TQ206860,1/1/1980 12:00:00 AM,,34,9,8,Neasden,1.0,Brent,Thames Water,,Brent,Welsh Harp,
NW10 0BL,Yes,51.562820,-0.259659,520732,186317,TQ207863,4/1/2016 12:00:00 AM,,35,,,Neasden,1.1,Brent,Thames Water,,Brent,Welsh Harp,
NW10 0BN,Yes,51.550038,-0.254099,521151,184905,TQ211849,12/1/1996 12:00:00 AM,,34,110,32,Neasden,0.6,Brent,Thames Water,,Brent,Stonebridge,
NW10 0BP,Yes,51.552053,-0.253983,521154,185129,TQ211851,11/1/2016 12:00:00 AM,,34,,,Neasden,0.4,Brent,Thames Water,,Brent,Stonebridge,
NW10 0BQ,No,51.560018,-0.263108,520500,186000,TQ205860,8/1/1992 12:00:00 AM,12/1/1995 12:00:00 AM,34,,,Neasden,1.1,Brent,,,Brent,Welsh Harp,
NW10 0BR,Yes,51.563444,-0.256894,520922,186391,TQ209863,9/1/2018 12:00:00 AM,,34,,,Neasden,1.1,Brent,,,Brent,Welsh Harp,
