Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
BS24 0HD,Yes,51.289061,-2.983180,331535,154896,ST315548,1/1/1980 12:00:00 AM,,7,19,8,Weston-Super-Mare,6.2,,Bristol Water,,Somerset,Brent,Brent
TA2 8RG,Yes,51.062567,-3.035376,327541,129758,ST275297,1/1/1980 12:00:00 AM,,73,5,3,Taunton,6.4,,Wessex Water,,Somerset,North Petherton,North Petherton
TA2 8RH,Yes,51.068500,-3.037592,327395,130420,ST273304,1/1/1980 12:00:00 AM,,85,60,24,Taunton,6.8,,Wessex Water,,Somerset,North Petherton,North Petherton
TA2 8RJ,Yes,51.067746,-3.033829,327657,130332,ST276303,1/1/1980 12:00:00 AM,,78,16,9,Taunton,6.9,,Wessex Water,,Somerset,North Petherton,North Petherton
TA2 8RL,Yes,51.067024,-3.032635,327740,130251,ST277302,1/1/1980 12:00:00 AM,,75,13,6,Taunton,6.9,,,,Somerset,North Petherton,North Petherton
TA2 8RN,Yes,51.061295,-3.027035,328124,129608,ST281296,1/1/1980 12:00:00 AM,,49,18,6,Taunton,6.8,,Wessex Water,,Somerset,North Petherton,North Petherton
TA2 8RQ,Yes,51.063478,-3.035054,327565,129859,ST275298,1/1/1980 12:00:00 AM,,70,28,9,Taunton,6.5,,Wessex Water,,Somerset,North Petherton,North Petherton
TA3 5AJ,Yes,51.049712,-2.991277,330612,128286,ST306282,1/1/1980 12:00:00 AM,,17,42,16,Taunton,8.3,,Wessex Water,,Somerset,North Petherton,North Petherton
TA3 5AL,Yes,51.054588,-2.988998,330779,128826,ST307288,1/1/1980 12:00:00 AM,,11,17,6,Bridgwater,8.1,,Wessex Water,,Somerset,North Petherton,North Petherton
TA3 5AN,Yes,51.047744,-2.987939,330843,128064,ST308280,1/1/1980 12:00:00 AM,,27,12,4,Taunton,8.5,,,,Somerset,North Petherton,North Petherton
TA3 5AP,Yes,51.048185,-2.974360,331796,128100,ST317281,1/1/1980 12:00:00 AM,,19,65,26,Bridgwater,8.9,,Wessex Water,,Somerset,North Petherton,North Petherton
TA3 5AR,Yes,51.053822,-2.962201,332656,128716,ST326287,1/1/1980 12:00:00 AM,,11,12,3,Bridgwater,8.5,,Wessex Water,,Somerset,North Petherton,North Petherton
TA3 5AS,Yes,51.053996,-2.957497,332986,128731,ST329287,1/1/1980 12:00:00 AM,,16,28,11,Bridgwater,8.5,,Wessex Water,,Somerset,North Petherton,North Petherton
TA3 5AT,Yes,51.053465,-2.961937,332674,128676,ST326286,1/1/1980 12:00:00 AM,,14,27,8,Bridgwater,8.5,,,,Somerset,North Petherton,North Petherton
TA3 5AU,Yes,51.056078,-2.951390,333417,128957,ST334289,1/1/1980 12:00:00 AM,,12,132,54,Bridgwater,8.4,,Wessex Water,,Somerset,North Petherton,North Petherton
TA5 1AA,Yes,51.127719,-3.097805,323274,137067,ST232370,1/1/1980 12:00:00 AM,,66,19,8,Bridgwater,7.5,,Wessex Water,,Somerset,Cannington,Cannington
TA5 1AB,Yes,51.126820,-3.098684,323211,136968,ST232369,1/1/1980 12:00:00 AM,,68,39,19,Bridgwater,7.6,,Wessex Water,,Somerset,Cannington,Cannington
