Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
BN1 1EJ,Yes,50.821515,-0.136211,531378,104096,TQ313040,1/1/1980 12:00:00 AM,,12,4,1,Brighton,0.9,Brighton and Hove,Southern Water,,Brighton and Hove,Kemptown,
BN1 1EL,Yes,50.820501,-0.136337,531372,103983,TQ313039,1/1/1980 12:00:00 AM,,11,41,23,Brighton,1.0,Brighton and Hove,Southern Water,,Brighton and Hove,Kemptown,
BN1 1EN,Yes,50.820993,-0.136430,531364,104038,TQ313040,1/1/1980 12:00:00 AM,,12,7,3,Brighton,1.0,Brighton and Hove,Southern Water,,Brighton and Hove,Kemptown,
BN1 1EX,No,50.821343,-0.136331,531370,104077,TQ313040,1/1/1980 12:00:00 AM,12/1/2008 12:00:00 AM,12,,,Brighton,0.9,Brighton and Hove,,,Brighton and Hove,Kemptown,
BN1 1FJ,No,50.821574,-0.136194,531379,104103,TQ313041,1/1/1980 12:00:00 AM,9/1/2000 12:00:00 AM,12,,,Brighton,0.9,Brighton and Hove,,,Brighton and Hove,Kemptown,
BN1 1FL,Yes,50.820219,-0.136390,531369,103952,TQ313039,1/1/1980 12:00:00 AM,,12,,,Brighton,1.0,Brighton and Hove,Southern Water,,Brighton and Hove,Kemptown,
BN1 1FZ,Yes,50.821960,-0.136165,531380,104146,TQ313041,1/1/1980 12:00:00 AM,,11,,,Brighton,0.9,Brighton and Hove,Southern Water,,Brighton and Hove,Kemptown,
BN1 1GF,No,50.820283,-0.136444,531365,103959,TQ313039,1/1/1980 12:00:00 AM,6/1/2000 12:00:00 AM,12,,,Brighton,1.0,Brighton and Hove,,,Brighton and Hove,Kemptown,
BN1 6ZU,No,50.804823,-0.058672,536888,102381,TQ368023,6/1/2002 12:00:00 AM,4/1/2006 12:00:00 AM,16,,,Moulsecoomb,6.3,Brighton and Hove,,,Brighton and Hove,Rottingdean & West Saltdean,
BN1 9BL,Yes,50.860916,-0.084280,534922,108571,TQ349085,9/1/2010 12:00:00 AM,,81,,,Falmer,0.3,Brighton and Hove,Southern Water,,Brighton and Hove,Coldean & Stanmer,
BN1 9BP,Yes,50.857238,-0.098910,533903,108135,TQ339081,7/1/2013 12:00:00 AM,,51,,,Falmer,1.0,Brighton and Hove,,,Brighton and Hove,Coldean & Stanmer,
BN1 9HR,No,50.856068,-0.101842,533700,108000,TQ336080,10/1/1999 12:00:00 AM,9/1/2000 12:00:00 AM,52,,,Falmer,1.2,Brighton and Hove,,,Brighton and Hove,Coldean & Stanmer,
BN1 9HW,Yes,50.855778,-0.102280,533670,107967,TQ336079,7/1/1990 12:00:00 AM,,56,132,38,Falmer,1.3,Brighton and Hove,Southern Water,,Brighton and Hove,Coldean & Stanmer,
BN1 9HX,Yes,50.855893,-0.102716,533639,107979,TQ336079,1/1/1993 12:00:00 AM,,54,27,9,Falmer,1.3,Brighton and Hove,Southern Water,,Brighton and Hove,Coldean & Stanmer,
BN1 9HY,Yes,50.854896,-0.105015,533480,107864,TQ334078,7/1/1990 12:00:00 AM,,51,90,24,Moulsecoomb,1.3,Brighton and Hove,Southern Water,,Brighton and Hove,Coldean & Stanmer,
BN1 9JA,Yes,50.853588,-0.107540,533306,107714,TQ333077,1/1/1980 12:00:00 AM,,44,152,44,Moulsecoomb,1.1,Brighton and Hove,Southern Water,,Brighton and Hove,Coldean & Stanmer,
BN1 9JB,No,50.855893,-0.102716,533639,107979,TQ336079,1/1/1980 12:00:00 AM,3/1/2008 12:00:00 AM,54,,,Falmer,1.3,Brighton and Hove,,,Brighton and Hove,Coldean & Stanmer,
BN1 9JD,No,50.856453,-0.101215,533743,108044,TQ337080,5/1/1994 12:00:00 AM,6/1/1999 12:00:00 AM,48,,,Falmer,1.2,Brighton and Hove,Southern Water,,Brighton and Hove,Coldean & Stanmer,
BN1 9JE,Yes,50.855400,-0.104483,533516,107921,TQ335079,1/1/1980 12:00:00 AM,,54,82,23,Moulsecoomb,1.4,Brighton and Hove,Southern Water,,Brighton and Hove,Coldean & Stanmer,
BN1 9JF,Yes,50.855732,-0.104939,533483,107957,TQ334079,1/1/1980 12:00:00 AM,,50,134,40,Moulsecoomb,1.4,Brighton and Hove,Southern Water,,Brighton and Hove,Coldean & Stanmer,
BN1 9JG,Yes,50.854758,-0.107564,533301,107844,TQ333078,1/1/1980 12:00:00 AM,,43,73,27,Moulsecoomb,1.2,Brighton and Hove,Southern Water,,Brighton and Hove,Coldean & Stanmer,
BN1 9JH,Yes,50.856345,-0.105596,533435,108024,TQ334080,1/1/1980 12:00:00 AM,,44,101,32,Moulsecoomb,1.4,Brighton and Hove,Southern Water,,Brighton and Hove,Coldean & Stanmer,
BN1 9JJ,Yes,50.855332,-0.106347,533385,107910,TQ333079,1/1/1980 12:00:00 AM,,46,91,34,Moulsecoomb,1.3,Brighton and Hove,Southern Water,,Brighton and Hove,Coldean & Stanmer,
