Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
BS1 1BA,No,51.451775,-2.594301,358800,172700,ST587727,12/1/1996 12:00:00 AM,6/1/1997 12:00:00 AM,17,,,Bristol Temple Meads,0.9,Bristol,,,"Bristol, City of",Central,
BS1 1BT,Yes,51.453546,-2.595635,358709,172898,ST587728,6/1/2021 12:00:00 AM,,10,,,Bristol Temple Meads,1.1,Bristol,,,"Bristol, City of",Central,
BS1 1BU,Yes,51.453654,-2.593938,358827,172909,ST588729,9/1/2007 12:00:00 AM,,22,15,7,Bristol Temple Meads,1.0,Bristol,Bristol Water,,"Bristol, City of",Central,
BS1 1BZ,No,51.454472,-2.594336,358800,173000,ST587730,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,24,,,Bristol Temple Meads,1.1,Bristol,,,"Bristol, City of",Central,
BS1 1DA,Yes,51.454791,-2.595004,358754,173036,ST587730,1/1/1980 12:00:00 AM,,23,,,Bristol Temple Meads,1.1,Bristol,,,"Bristol, City of",Central,
BS1 1DB,Yes,51.455176,-2.595467,358722,173079,ST587730,2/1/1984 12:00:00 AM,,23,,,Bristol Temple Meads,1.2,Bristol,Bristol Water,,"Bristol, City of",Central,
BS1 1DE,Yes,51.455277,-2.595167,358743,173090,ST587730,1/1/1980 12:00:00 AM,,23,18,8,Bristol Temple Meads,1.2,Bristol,Bristol Water,,"Bristol, City of",Central,
BS1 1DF,No,51.454465,-2.595775,358700,173000,ST586730,1/1/1980 12:00:00 AM,12/1/1982 12:00:00 AM,22,,,Bristol Temple Meads,1.2,Bristol,,,"Bristol, City of",Central,
BS1 1DH,No,51.454465,-2.595775,358700,173000,ST586730,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,22,,,Bristol Temple Meads,1.2,Bristol,,,"Bristol, City of",Central,
BS1 1DJ,No,51.454465,-2.595775,358700,173000,ST586730,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,22,,,Bristol Temple Meads,1.2,Bristol,,,"Bristol, City of",Central,
BS1 1DL,Yes,51.453646,-2.594138,358813,172908,ST588729,7/1/2009 12:00:00 AM,,22,12,8,Bristol Temple Meads,1.0,Bristol,Bristol Water,,"Bristol, City of",Central,
BS1 1DN,No,51.454465,-2.595775,358700,173000,ST586730,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,22,,,Bristol Temple Meads,1.2,Bristol,,,"Bristol, City of",Central,
BS1 1DP,Yes,51.454904,-2.594327,358801,173048,ST588730,1/1/1980 12:00:00 AM,,24,,,Bristol Temple Meads,1.1,Bristol,Bristol Water,,"Bristol, City of",Central,
BS1 1DQ,Yes,51.452418,-2.593215,358876,172771,ST588727,3/1/2008 12:00:00 AM,,19,121,29,Bristol Temple Meads,0.9,Bristol,Bristol Water,,"Bristol, City of",Central,
BS1 1DR,Yes,51.455437,-2.593458,358862,173107,ST588731,1/1/1980 12:00:00 AM,,25,,,Bristol Temple Meads,1.1,Bristol,,,"Bristol, City of",Central,
BS1 1DS,No,51.454472,-2.594336,358800,173000,ST587730,1/1/1980 12:00:00 AM,12/1/1984 12:00:00 AM,24,,,Bristol Temple Meads,1.1,Bristol,,,"Bristol, City of",Central,
BS1 1DT,No,51.454472,-2.594336,358800,173000,ST587730,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,24,,,Bristol Temple Meads,1.1,Bristol,,,"Bristol, City of",Central,
BS1 1DU,No,51.454472,-2.594336,358800,173000,ST587730,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,24,,,Bristol Temple Meads,1.1,Bristol,,,"Bristol, City of",Central,
BS1 1DW,Yes,51.454848,-2.594342,358800,173042,ST587730,10/1/1985 12:00:00 AM,,24,,,Bristol Temple Meads,1.1,Bristol,Bristol Water,,"Bristol, City of",Central,
BS1 1DX,No,51.455139,-2.593985,358825,173074,ST588730,1/1/2005 12:00:00 AM,1/1/2005 12:00:00 AM,25,,,Bristol Temple Meads,1.1,Bristol,,,"Bristol, City of",Central,
BS1 1DY,No,51.455419,-2.595571,358715,173106,ST587731,5/1/2005 12:00:00 AM,3/1/2009 12:00:00 AM,22,,,Bristol Temple Meads,1.2,Bristol,,,"Bristol, City of",Central,
BS1 1DZ,Yes,51.455428,-2.595557,358716,173107,ST587731,3/1/2007 12:00:00 AM,,23,20,13,Bristol Temple Meads,1.2,Bristol,Bristol Water,,"Bristol, City of",Central,
BS1 1EA,Yes,51.454601,-2.595431,358724,173015,ST587730,1/1/1980 12:00:00 AM,,22,1,1,Bristol Temple Meads,1.2,Bristol,Bristol Water,,"Bristol, City of",Central,
BS1 1EB,Yes,51.455039,-2.595755,358702,173064,ST587730,1/1/1980 12:00:00 AM,,22,1,1,Bristol Temple Meads,1.2,Bristol,Bristol Water,,"Bristol, City of",Central,
BS1 1ED,No,51.452674,-2.594312,358800,172800,ST588728,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,20,,,Bristol Temple Meads,1.0,Bristol,,,"Bristol, City of",Central,
BS1 1EE,Yes,51.454780,-2.595721,358704,173035,ST587730,1/1/1980 12:00:00 AM,,22,31,8,Bristol Temple Meads,1.2,Bristol,Bristol Water,,"Bristol, City of",Central,
BS1 1EF,No,51.454457,-2.597214,358600,173000,ST585729,1/1/1980 12:00:00 AM,12/1/1988 12:00:00 AM,22,,,Bristol Temple Meads,1.2,Bristol,,,"Bristol, City of",Central,
BS1 1EG,No,51.454457,-2.597214,358600,173000,ST585729,1/1/1980 12:00:00 AM,12/1/1984 12:00:00 AM,22,,,Bristol Temple Meads,1.2,Bristol,,,"Bristol, City of",Central,
BS1 1EH,Yes,51.453543,-2.594928,358758,172897,ST587728,1/1/1980 12:00:00 AM,,21,,,Bristol Temple Meads,1.1,Bristol,,,"Bristol, City of",Central,
BS1 1EJ,No,51.454457,-2.597214,358600,173000,ST585729,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,22,,,Bristol Temple Meads,1.2,Bristol,,,"Bristol, City of",Central,
BS1 1EL,Yes,51.454419,-2.595803,358698,172995,ST586729,1/1/1980 12:00:00 AM,,21,21,16,Bristol Temple Meads,1.2,Bristol,Bristol Water,,"Bristol, City of",Central,
BS1 1EN,No,51.454553,-2.596049,358681,173010,ST586730,1/1/1980 12:00:00 AM,2/1/2019 12:00:00 AM,21,,,Bristol Temple Meads,1.2,Bristol,,,"Bristol, City of",Central,
BS1 1EP,No,51.454457,-2.597214,358600,173000,ST585729,7/1/1983 12:00:00 AM,5/1/1994 12:00:00 AM,22,,,Bristol Temple Meads,1.2,Bristol,,,"Bristol, City of",Central,
BS1 1EQ,Yes,51.454473,-2.595575,358714,173001,ST587730,1/1/1980 12:00:00 AM,,22,37,0,Bristol Temple Meads,1.2,Bristol,Bristol Water,,"Bristol, City of",Central,
BS1 1EW,No,51.453565,-2.595763,358700,172900,ST587728,3/1/1983 12:00:00 AM,5/1/1994 12:00:00 AM,20,,,Bristol Temple Meads,1.1,Bristol,,,"Bristol, City of",Central,
BS1 1GB,No,51.453327,-2.593184,358879,172872,ST588728,12/1/1996 12:00:00 AM,4/1/2023 12:00:00 AM,18,,,Bristol Temple Meads,0.9,Bristol,Bristol Water,,"Bristol, City of",Central,
BS1 1HA,No,51.452674,-2.594312,358800,172800,ST588728,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,20,,,Bristol Temple Meads,1.0,Bristol,,,"Bristol, City of",Central,
BS1 1HG,No,51.452674,-2.594312,358800,172800,ST588728,1/1/1980 12:00:00 AM,12/1/1985 12:00:00 AM,20,,,Bristol Temple Meads,1.0,Bristol,,,"Bristol, City of",Central,
BS1 1HH,No,51.452674,-2.594312,358800,172800,ST588728,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,20,,,Bristol Temple Meads,1.0,Bristol,,,"Bristol, City of",Central,
BS1 1HJ,No,51.454616,-2.594381,358797,173016,ST587730,2/1/1990 12:00:00 AM,11/1/2003 12:00:00 AM,24,,,Bristol Temple Meads,1.1,Bristol,,,"Bristol, City of",Central,
BS1 1HL,No,51.453573,-2.594324,358800,172900,ST587729,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,21,,,Bristol Temple Meads,1.0,Bristol,,,"Bristol, City of",Central,
BS1 1HN,No,51.452674,-2.594312,358800,172800,ST588728,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,20,,,Bristol Temple Meads,1.0,Bristol,,,"Bristol, City of",Central,
