Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
BS10 5AA,Yes,51.491352,-2.594832,358799,177102,ST587771,1/1/1980 12:00:00 AM,,64,32,13,Redland,2.6,Bristol,Bristol Water,,"Bristol, City of",Horfield,
BS10 5AB,Yes,51.491268,-2.593635,358882,177092,ST588770,1/1/1980 12:00:00 AM,,67,56,10,Montpelier,2.6,Bristol,Bristol Water,,"Bristol, City of",Horfield,
BS10 5AD,Yes,51.490968,-2.592707,358946,177058,ST589770,1/1/1980 12:00:00 AM,,69,53,22,Montpelier,2.5,Bristol,Bristol Water,,"Bristol, City of",Horfield,
BS10 5AE,Yes,51.491668,-2.591204,359051,177135,ST590771,1/1/1980 12:00:00 AM,,69,51,31,Filton Abbey Wood,2.5,Bristol,Bristol Water,,"Bristol, City of",Horfield,
BS10 5AF,Yes,51.492250,-2.588158,359263,177198,ST592771,1/1/1980 12:00:00 AM,,76,89,28,Filton Abbey Wood,2.3,Bristol,Bristol Water,,"Bristol, City of",Horfield,
BS10 5AG,Yes,51.491805,-2.588930,359209,177149,ST592771,1/1/1980 12:00:00 AM,,74,65,33,Filton Abbey Wood,2.3,Bristol,Bristol Water,,"Bristol, City of",Horfield,
BS10 5AH,Yes,51.492554,-2.588436,359244,177232,ST592772,1/1/1980 12:00:00 AM,,75,25,7,Filton Abbey Wood,2.3,Bristol,,,"Bristol, City of",Horfield,
BS10 5AJ,Yes,51.492650,-2.589128,359196,177243,ST591772,1/1/1980 12:00:00 AM,,74,36,16,Filton Abbey Wood,2.3,Bristol,Bristol Water,,"Bristol, City of",Horfield,
BS10 5AL,Yes,51.493247,-2.588430,359245,177309,ST592773,1/1/1980 12:00:00 AM,,76,76,28,Filton Abbey Wood,2.2,Bristol,Bristol Water,,"Bristol, City of",Horfield,
BS10 5AN,Yes,51.491131,-2.587150,359332,177073,ST593770,1/1/1980 12:00:00 AM,,80,72,30,Filton Abbey Wood,2.3,Bristol,Bristol Water,,"Bristol, City of",Horfield,
BS10 5AP,Yes,51.490554,-2.589173,359191,177010,ST591770,1/1/1980 12:00:00 AM,,75,55,31,Filton Abbey Wood,2.4,Bristol,Bristol Water,,"Bristol, City of",Horfield,
BS10 5AQ,Yes,51.493046,-2.588946,359209,177287,ST592772,1/1/1980 12:00:00 AM,,74,69,31,Filton Abbey Wood,2.3,Bristol,Bristol Water,,"Bristol, City of",Horfield,
BS10 5AR,Yes,51.489760,-2.589696,359154,176922,ST591769,1/1/1980 12:00:00 AM,,77,65,30,Montpelier,2.4,Bristol,Bristol Water,,"Bristol, City of",Horfield,
BS10 5AS,Yes,51.489870,-2.592967,358927,176936,ST589769,1/1/1980 12:00:00 AM,,71,84,37,Montpelier,2.4,Bristol,Bristol Water,,"Bristol, City of",Horfield,
BS10 5AT,Yes,51.489982,-2.592090,358988,176948,ST589769,1/1/1980 12:00:00 AM,,72,79,36,Montpelier,2.4,Bristol,Bristol Water,,"Bristol, City of",Horfield,
BS10 5AU,Yes,51.490587,-2.591709,359015,177015,ST590770,1/1/1980 12:00:00 AM,,70,70,29,Montpelier,2.5,Bristol,Bristol Water,,"Bristol, City of",Horfield,
