Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
BS1 6TN,No,51.445466,-2.597097,358600,172000,ST585719,10/1/1984 12:00:00 AM,1/1/1995 12:00:00 AM,12,,,Bedminster,0.6,Bristol,,,"Bristol, City of",Southville,
BS1 6XA,No,51.446299,-2.610058,357700,172100,ST576721,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,9,,,Bedminster,1.3,,,,"Bristol, City of",Southville,
BS13 0AA,Yes,51.409807,-2.601765,358243,168037,ST582680,1/1/1980 12:00:00 AM,,49,4,2,Parson Street,2.6,Bristol,Bristol Water,,"Bristol, City of",Hartcliffe and Withywood,
BS13 0AB,Yes,51.409495,-2.601416,358267,168002,ST582680,1/1/1980 12:00:00 AM,,50,30,8,Parson Street,2.7,Bristol,,,"Bristol, City of",Hartcliffe and Withywood,
BS13 0AD,Yes,51.409682,-2.600124,358357,168022,ST583680,1/1/1980 12:00:00 AM,,50,43,13,Parson Street,2.7,Bristol,Bristol Water,,"Bristol, City of",Hartcliffe and Withywood,
BS13 0AE,Yes,51.409397,-2.599502,358400,167990,ST583679,1/1/1980 12:00:00 AM,,51,24,11,Parson Street,2.7,Bristol,Bristol Water,,"Bristol, City of",Hartcliffe and Withywood,
BS13 0AF,Yes,51.405383,-2.593210,358834,167540,ST588675,11/1/2011 12:00:00 AM,,62,,,Parson Street,3.3,Bristol,Bristol Water,,"Bristol, City of",Hartcliffe and Withywood,
BS13 0AG,Yes,51.410409,-2.598595,358464,168102,ST584681,1/1/1980 12:00:00 AM,,47,66,27,Parson Street,2.6,Bristol,Bristol Water,,"Bristol, City of",Hartcliffe and Withywood,
BS13 0AH,Yes,51.410100,-2.597426,358545,168067,ST585680,1/1/1980 12:00:00 AM,,48,19,9,Parson Street,2.7,Bristol,Bristol Water,,"Bristol, City of",Hartcliffe and Withywood,
BS13 0AJ,Yes,51.410531,-2.595807,358658,168114,ST586681,1/1/1980 12:00:00 AM,,48,7,3,Parson Street,2.7,Bristol,,,"Bristol, City of",Hartcliffe and Withywood,
BS13 0AL,Yes,51.411019,-2.597036,358573,168169,ST585681,1/1/1980 12:00:00 AM,,46,69,33,Parson Street,2.6,Bristol,Bristol Water,,"Bristol, City of",Hartcliffe and Withywood,
BS13 0AN,Yes,51.411131,-2.596318,358623,168181,ST586681,1/1/1980 12:00:00 AM,,45,23,12,Parson Street,2.6,Bristol,Bristol Water,,"Bristol, City of",Hartcliffe and Withywood,
BS13 0AP,Yes,51.412245,-2.598346,358483,168306,ST584683,1/1/1980 12:00:00 AM,,43,68,21,Parson Street,2.4,Bristol,Bristol Water,,"Bristol, City of",Hartcliffe and Withywood,
BS13 0AQ,Yes,51.409905,-2.596935,358579,168045,ST585680,1/1/1980 12:00:00 AM,,48,51,26,Parson Street,2.7,Bristol,Bristol Water,,"Bristol, City of",Hartcliffe and Withywood,
BS13 0AR,Yes,51.411985,-2.599895,358375,168278,ST583682,1/1/1980 12:00:00 AM,,43,46,23,Parson Street,2.4,Bristol,,,"Bristol, City of",Hartcliffe and Withywood,
BS13 0AS,Yes,51.412335,-2.599972,358370,168317,ST583683,1/1/1980 12:00:00 AM,,42,42,24,Parson Street,2.4,Bristol,Bristol Water,,"Bristol, City of",Hartcliffe and Withywood,
BS13 0AT,Yes,51.411586,-2.600508,358332,168234,ST583682,1/1/1980 12:00:00 AM,,44,93,37,Parson Street,2.5,Bristol,Bristol Water,,"Bristol, City of",Hartcliffe and Withywood,
BS13 0AU,Yes,51.411263,-2.600375,358341,168198,ST583681,1/1/1980 12:00:00 AM,,45,77,28,Parson Street,2.5,Bristol,Bristol Water,,"Bristol, City of",Hartcliffe and Withywood,
BS13 0AW,Yes,51.411604,-2.597058,358572,168234,ST585682,1/1/1980 12:00:00 AM,,44,25,12,Parson Street,2.5,Bristol,,,"Bristol, City of",Hartcliffe and Withywood,
BS13 0AX,Yes,51.411207,-2.599008,358436,168191,ST584681,1/1/1980 12:00:00 AM,,45,47,14,Parson Street,2.5,Bristol,Bristol Water,,"Bristol, City of",Hartcliffe and Withywood,
BS13 0AY,Yes,51.411006,-2.597898,358513,168168,ST585681,1/1/1980 12:00:00 AM,,46,66,18,Parson Street,2.6,Bristol,,,"Bristol, City of",Hartcliffe and Withywood,
BS13 0AZ,Yes,51.410275,-2.600132,358357,168088,ST583680,1/1/1980 12:00:00 AM,,48,46,16,Parson Street,2.6,Bristol,Bristol Water,,"Bristol, City of",Hartcliffe and Withywood,
BS13 0BA,Yes,51.410985,-2.600270,358348,168167,ST583681,1/1/1980 12:00:00 AM,,46,38,12,Parson Street,2.5,Bristol,Bristol Water,,"Bristol, City of",Hartcliffe and Withywood,
BS13 0BB,Yes,51.410190,-2.600936,358301,168079,ST583680,1/1/1980 12:00:00 AM,,47,70,27,Parson Street,2.6,Bristol,,,"Bristol, City of",Hartcliffe and Withywood,
BS13 0BD,Yes,51.404598,-2.598979,358432,167456,ST584674,7/1/1995 12:00:00 AM,,68,,,Parson Street,3.2,Bristol,Bristol Water,,"Bristol, City of",Hartcliffe and Withywood,
BS13 0BE,Yes,51.404890,-2.598235,358484,167488,ST584674,1/1/2008 12:00:00 AM,,66,,,Parson Street,3.2,Bristol,Bristol Water,,"Bristol, City of",Hartcliffe and Withywood,
BS13 0BF,Yes,51.407675,-2.600385,358337,167799,ST583677,3/1/2015 12:00:00 AM,,58,,,Parson Street,2.9,Bristol,,,"Bristol, City of",Hartcliffe and Withywood,
BS13 0BG,Yes,51.407441,-2.600497,358329,167773,ST583677,4/1/2015 12:00:00 AM,,59,,,Parson Street,2.9,Bristol,,,"Bristol, City of",Hartcliffe and Withywood,
BS13 0BH,Yes,51.411793,-2.595205,358701,168254,ST587682,1/1/1980 12:00:00 AM,,47,27,9,Parson Street,2.5,Bristol,Bristol Water,,"Bristol, City of",Hartcliffe and Withywood,
BS13 0BJ,Yes,51.410415,-2.597416,358546,168102,ST585681,9/1/2008 12:00:00 AM,,47,39,10,Parson Street,2.6,Bristol,Bristol Water,,"Bristol, City of",Hartcliffe and Withywood,
BS13 0BL,No,51.407704,-2.596604,358600,167800,ST586678,3/1/1988 12:00:00 AM,12/1/1990 12:00:00 AM,56,,,Parson Street,2.9,Bristol,,,"Bristol, City of",Hartcliffe and Withywood,
BS13 0BN,Yes,51.403791,-2.600406,358332,167367,ST583673,1/1/1980 12:00:00 AM,,72,47,17,Parson Street,3.3,Bristol,Bristol Water,,"Bristol, City of",Hartcliffe and Withywood,
BS13 0BP,Yes,51.404758,-2.604746,358031,167477,ST580674,1/1/1980 12:00:00 AM,,76,27,8,Parson Street,3.2,Bristol,,,"Bristol, City of",Hartcliffe and Withywood,
BS13 0BQ,Yes,51.406917,-2.591821,358932,167710,ST589677,6/1/2017 12:00:00 AM,,60,,,Parson Street,3.1,Bristol,,,"Bristol, City of",Hengrove and Whitchurch Park,
BS13 0BS,Yes,51.404600,-2.605750,357961,167460,ST579674,1/1/1980 12:00:00 AM,,77,35,12,Parson Street,3.2,Bristol,Bristol Water,,"Bristol, City of",Hartcliffe and Withywood,
BS13 0BT,Yes,51.404558,-2.606756,357891,167456,ST578674,1/1/1980 12:00:00 AM,,79,34,16,Parson Street,3.2,Bristol,Bristol Water,,"Bristol, City of",Hartcliffe and Withywood,
BS13 0BU,Yes,51.404088,-2.607282,357854,167404,ST578674,1/1/1980 12:00:00 AM,,84,91,29,Parson Street,3.2,Bristol,Bristol Water,,"Bristol, City of",Hartcliffe and Withywood,
BS13 0BW,Yes,51.404494,-2.603578,358112,167447,ST581674,1/1/1980 12:00:00 AM,,76,36,16,Parson Street,3.2,Bristol,Bristol Water,,"Bristol, City of",Hartcliffe and Withywood,
BS13 0BX,Yes,51.403826,-2.607437,357843,167375,ST578673,1/1/1980 12:00:00 AM,,88,40,17,Parson Street,3.3,Bristol,Bristol Water,,"Bristol, City of",Hartcliffe and Withywood,
BS13 0BY,Yes,51.403477,-2.607259,357855,167336,ST578673,1/1/1980 12:00:00 AM,,92,38,15,Parson Street,3.3,Bristol,,,"Bristol, City of",Hartcliffe and Withywood,
BS13 0BZ,Yes,51.403602,-2.605594,357971,167349,ST579673,1/1/1980 12:00:00 AM,,85,35,15,Parson Street,3.3,Bristol,,,"Bristol, City of",Hartcliffe and Withywood,
BS13 0DA,Yes,51.403187,-2.605947,357946,167303,ST579673,1/1/1980 12:00:00 AM,,91,26,9,Parson Street,3.4,Bristol,,,"Bristol, City of",Hartcliffe and Withywood,
BS13 0DB,Yes,51.403377,-2.604024,358080,167323,ST580673,1/1/1980 12:00:00 AM,,83,45,19,Parson Street,3.3,Bristol,,,"Bristol, City of",Hartcliffe and Withywood,
BS13 0DD,Yes,51.407216,-2.591351,358965,167743,ST589677,6/1/2017 12:00:00 AM,,60,,,Parson Street,3.1,Bristol,,,"Bristol, City of",Hengrove and Whitchurch Park,
BS13 0DE,Yes,51.403065,-2.603416,358122,167288,ST581672,1/1/1980 12:00:00 AM,,83,45,17,Parson Street,3.4,Bristol,Bristol Water,,"Bristol, City of",Hartcliffe and Withywood,
BS13 0DF,Yes,51.402520,-2.604544,358043,167228,ST580672,1/1/1980 12:00:00 AM,,92,65,22,Parson Street,3.4,Bristol,Bristol Water,,"Bristol, City of",Hartcliffe and Withywood,
BS13 0DG,Yes,51.402694,-2.603885,358089,167247,ST580672,1/1/1980 12:00:00 AM,,88,34,19,Parson Street,3.4,Bristol,,,"Bristol, City of",Hartcliffe and Withywood,
BS13 0DH,Yes,51.401649,-2.602506,358184,167130,ST581671,1/1/1980 12:00:00 AM,,89,41,18,Parson Street,3.5,Bristol,,,"Bristol, City of",Hartcliffe and Withywood,
BS13 0DJ,Yes,51.402582,-2.602863,358160,167234,ST581672,1/1/1980 12:00:00 AM,,84,25,16,Parson Street,3.4,Bristol,Bristol Water,,"Bristol, City of",Hartcliffe and Withywood,
