Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
BR1 1AA,Yes,51.401546,0.015415,540291,168873,TQ402688,5/1/2016 12:00:00 AM,,71,,,Bromley South,0.2,Bromley,Thames Water,,Bromley,Bromley Town,
BR1 1AB,Yes,51.406333,0.015208,540262,169405,TQ402694,3/1/2012 12:00:00 AM,,71,,,Bromley North,0.3,Bromley,Thames Water,,Bromley,Bromley Town,
BR1 1AD,No,51.400057,0.016715,540386,168710,TQ403687,9/1/2014 12:00:00 AM,9/1/2017 12:00:00 AM,53,,,Bromley South,0.0,Bromley,,,Bromley,Bromley Town,
BR1 1AE,Yes,51.404543,0.014195,540197,169204,TQ401692,8/1/2008 12:00:00 AM,,71,34,21,Bromley North,0.5,Bromley,Thames Water,,Bromley,Bromley Town,
BR1 1AF,Yes,51.401392,0.014948,540259,168855,TQ402688,5/1/2015 12:00:00 AM,,58,,,Bromley South,0.2,Bromley,Thames Water,,Bromley,Bromley Town,
BR1 1AG,Yes,51.401392,0.014948,540259,168855,TQ402688,9/1/2015 12:00:00 AM,,58,,,Bromley South,0.2,Bromley,Thames Water,,Bromley,Bromley Town,
BR1 1AH,Yes,51.400441,0.017390,540432,168754,TQ404687,2/1/2017 12:00:00 AM,,53,,,Bromley South,0.0,Bromley,Thames Water,,Bromley,Bromley Town,
BR1 1AJ,Yes,51.400489,0.018833,540532,168762,TQ405687,4/1/2016 12:00:00 AM,,55,,,Bromley South,0.1,Bromley,Thames Water,,Bromley,Bromley Town,
BR1 1AL,Yes,51.406549,0.013130,540117,169425,TQ401694,4/1/2019 12:00:00 AM,,68,,,Bromley North,0.3,Bromley,,,Bromley,Bromley Town,
BR1 1AN,Yes,51.406625,0.017591,540427,169442,TQ404694,8/1/2022 12:00:00 AM,,67,,,Bromley North,0.2,Bromley,,,Bromley,Bromley Town,
BR1 1AP,Yes,51.406101,0.018287,540477,169385,TQ404693,5/1/2023 12:00:00 AM,,66,,,Bromley North,0.3,Bromley,,,Bromley,Bromley Town,
BR1 1AX,No,51.408226,0.017578,540421,169620,TQ404696,6/1/2001 12:00:00 AM,10/1/2006 12:00:00 AM,70,,,Bromley North,0.0,Bromley,,,Bromley,Bromley Town,
BR1 1BA,No,51.399090,0.015436,540300,168600,TQ402685,1/1/1980 12:00:00 AM,12/1/1991 12:00:00 AM,46,,,Bromley South,0.2,Bromley,,,Bromley,Bromley Town,
BR1 1BB,No,51.398192,0.015397,540300,168500,TQ403685,1/1/1980 12:00:00 AM,12/1/1991 12:00:00 AM,46,,,Bromley South,0.2,Bromley,,,Bromley,Bromley Town,
BR1 1BP,No,51.409027,0.010236,539908,169695,TQ399696,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,71,,,Bromley North,0.5,Bromley,,,Bromley,Bromley Town,
BR1 1BQ,Yes,51.408058,0.015874,540303,169598,TQ403695,7/1/2002 12:00:00 AM,,71,38,37,Bromley North,0.1,Bromley,Thames Water,,Bromley,Bromley Town,
BR1 1BS,No,51.407276,0.010045,539900,169500,TQ399694,1/1/1980 12:00:00 AM,12/1/1988 12:00:00 AM,68,,,Bromley North,0.5,Bromley,,,Bromley,Bromley Town,
BR1 1BU,No,51.409074,0.010123,539900,169700,TQ398697,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,71,,,Bromley North,0.5,Bromley,,,Bromley,Bromley Town,
BR1 1BW,Yes,51.398997,0.016165,540351,168591,TQ403685,1/1/2008 12:00:00 AM,,49,,,Bromley South,0.1,Bromley,Thames Water,,Bromley,Bromley Town,
BR1 1BX,No,51.407276,0.010045,539900,169500,TQ399694,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,68,,,Bromley North,0.5,Bromley,,,Bromley,Bromley Town,
BR1 1BY,Yes,51.408116,0.010898,539957,169595,TQ399695,1/1/1980 12:00:00 AM,,70,,,Bromley North,0.4,Bromley,Thames Water,,Bromley,Bromley Town,
BR1 1BZ,No,51.408226,0.017578,540421,169620,TQ404696,6/1/2001 12:00:00 AM,7/1/2004 12:00:00 AM,70,,,Bromley North,0.0,Bromley,,,Bromley,Bromley Town,
BR1 1DA,No,51.407153,0.017229,540400,169500,TQ404695,7/1/1990 12:00:00 AM,5/1/1994 12:00:00 AM,70,,,Bromley North,0.1,Bromley,,,Bromley,Bromley Town,
BR1 1DB,No,51.407276,0.010045,539900,169500,TQ399694,1/1/1980 12:00:00 AM,12/1/1982 12:00:00 AM,68,,,Bromley North,0.5,Bromley,,,Bromley,Bromley Town,
BR1 1DD,Yes,51.403891,0.016582,540365,169136,TQ403691,1/1/1992 12:00:00 AM,,75,,,Bromley South,0.4,Bromley,Thames Water,,Bromley,Bromley Town,
BR1 1DE,Yes,51.408562,0.010590,539934,169644,TQ399696,2/1/1984 12:00:00 AM,,71,,,Bromley North,0.4,Bromley,Thames Water,,Bromley,Bromley Town,
BR1 1DF,No,51.408899,0.010360,539917,169681,TQ399696,1/1/1980 12:00:00 AM,11/1/2013 12:00:00 AM,71,,,Bromley North,0.5,Bromley,,,Bromley,Bromley Town,
BR1 1DG,Yes,51.409191,0.010068,539896,169713,TQ398697,1/1/1980 12:00:00 AM,,72,1,1,Bromley North,0.5,Bromley,Thames Water,,Bromley,Bromley Town,
BR1 1DH,No,51.409027,0.010236,539908,169695,TQ399696,7/1/1990 12:00:00 AM,8/1/2007 12:00:00 AM,71,,,Bromley North,0.5,Bromley,,,Bromley,Bromley Town,
BR1 1DJ,Yes,51.403890,0.016608,540367,169136,TQ403691,1/1/1992 12:00:00 AM,,68,,,Bromley South,0.4,Bromley,Thames Water,,Bromley,Bromley Town,
BR1 1DL,Yes,51.409192,0.010042,539894,169713,TQ398697,1/1/1980 12:00:00 AM,,71,,,Bromley North,0.5,Bromley,Thames Water,,Bromley,Bromley Town,
BR1 1DN,Yes,51.403890,0.016608,540367,169136,TQ403691,1/1/1992 12:00:00 AM,,75,,,Bromley South,0.4,Bromley,Thames Water,,Bromley,Bromley Town,
BR1 1DP,Yes,51.398997,0.016165,540351,168591,TQ403685,12/1/1997 12:00:00 AM,,49,,,Bromley South,0.1,Bromley,Thames Water,,Bromley,Bromley Town,
BR1 1DQ,No,51.408899,0.010360,539917,169681,TQ399696,1/1/1980 12:00:00 AM,12/1/1997 12:00:00 AM,71,,,Bromley North,0.5,Bromley,,,Bromley,Bromley Town,
BR1 1DR,No,51.399090,0.015436,540300,168600,TQ402685,1/1/1980 12:00:00 AM,12/1/1996 12:00:00 AM,46,,,Bromley South,0.2,Bromley,Thames Water,,Bromley,Bromley Town,
BR1 1DS,Yes,51.399768,0.016297,540358,168677,TQ403686,1/1/1980 12:00:00 AM,,49,,,Bromley South,0.1,Bromley,Thames Water,,Bromley,Bromley Town,
BR1 1DT,No,51.409027,0.010236,539908,169695,TQ399696,8/1/1992 12:00:00 AM,8/1/2007 12:00:00 AM,71,,,Bromley North,0.5,Bromley,,,Bromley,Bromley Town,
BR1 1DU,Yes,51.398997,0.016165,540351,168591,TQ403685,12/1/1998 12:00:00 AM,,49,,,Bromley South,0.1,Bromley,Thames Water,,Bromley,Bromley Town,
BR1 1DW,No,51.404089,0.014463,540217,169154,TQ402691,1/1/1980 12:00:00 AM,7/1/2010 12:00:00 AM,70,,,Bromley South,0.5,Bromley,Thames Water,,Bromley,Bromley Town,
BR1 1DX,No,51.408226,0.017578,540421,169620,TQ404696,12/1/2001 12:00:00 AM,8/1/2003 12:00:00 AM,70,,,Bromley North,0.0,Bromley,,,Bromley,Bromley Town,
BR1 1EA,Yes,51.400462,0.016716,540385,168755,TQ403687,1/1/1980 12:00:00 AM,,56,4,4,Bromley South,0.1,Bromley,Thames Water,,Bromley,Bromley Town,
BR1 1EE,No,51.400887,0.015515,540300,168800,TQ402687,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,58,,,Bromley South,0.2,Bromley,,,Bromley,Bromley Town,
BR1 1EG,Yes,51.401684,0.015705,540311,168889,TQ403688,1/1/1980 12:00:00 AM,,63,14,6,Bromley South,0.2,Bromley,Thames Water,,Bromley,Bromley Town,
