Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
CM19 5EH,Yes,51.775752,0.036276,540583,210526,TL405105,1/1/1980 12:00:00 AM,,32,8,3,Roydon,0.0,Roydon (Epping Forest),Affinity Water,Thames Water,East Hertfordshire,Great Amwell & Stansteads,Sawbridgeworth
EN10 6AA,Yes,51.728652,-0.025341,536474,205171,TL364051,1/1/1980 12:00:00 AM,,32,15,5,Broxbourne,2.3,Hoddesdon,Thames Water,,Broxbourne,Wormley and Turnford,Flamstead End & Turnford
EN10 6AB,Yes,51.728228,-0.025243,536482,205124,TL364051,1/1/1980 12:00:00 AM,,31,10,5,Broxbourne,2.3,Hoddesdon,Thames Water,,Broxbourne,Wormley and Turnford,Flamstead End & Turnford
EN10 6AD,Yes,51.727157,-0.025768,536449,205004,TL364050,1/1/1980 12:00:00 AM,,31,38,15,Broxbourne,2.4,Hoddesdon,Thames Water,,Broxbourne,Wormley and Turnford,Flamstead End & Turnford
EN10 6AE,Yes,51.724980,-0.024896,536516,204764,TL365047,1/1/1980 12:00:00 AM,,29,,,Cheshunt,2.5,Hoddesdon,Thames Water,,Broxbourne,Wormley and Turnford,Flamstead End & Turnford
EN10 6AF,Yes,51.722441,-0.024688,536538,204482,TL365044,3/1/2017 12:00:00 AM,,29,,,Cheshunt,2.2,Hoddesdon,,,Broxbourne,Wormley and Turnford,Flamstead End & Turnford
EN10 6AG,Yes,51.723401,-0.025352,536489,204587,TL364045,1/1/1980 12:00:00 AM,,28,21,10,Cheshunt,2.3,Hoddesdon,Thames Water,,Broxbourne,Wormley and Turnford,Flamstead End & Turnford
EN10 6AH,Yes,51.723410,-0.025931,536449,204587,TL364045,2/1/2014 12:00:00 AM,,28,2,1,Cheshunt,2.3,Hoddesdon,Thames Water,,Broxbourne,Wormley and Turnford,Flamstead End & Turnford
EN10 6AJ,Yes,51.723111,-0.025799,536459,204554,TL364045,1/1/1980 12:00:00 AM,,28,10,4,Cheshunt,2.3,Hoddesdon,Thames Water,,Broxbourne,Wormley and Turnford,Flamstead End & Turnford
EN10 6AL,Yes,51.722707,-0.024731,536534,204511,TL365045,1/1/1980 12:00:00 AM,,27,32,11,Cheshunt,2.2,Hoddesdon,Thames Water,,Broxbourne,Wormley and Turnford,Flamstead End & Turnford
EN10 6AN,Yes,51.722557,-0.025462,536484,204493,TL364044,1/1/1980 12:00:00 AM,,27,26,10,Cheshunt,2.2,Hoddesdon,Thames Water,,Broxbourne,Wormley and Turnford,Flamstead End & Turnford
EN10 6AP,Yes,51.719487,-0.026840,536398,204149,TL363041,1/1/1980 12:00:00 AM,,26,28,11,Cheshunt,1.9,Hoddesdon,Thames Water,,Broxbourne,Wormley and Turnford,Flamstead End & Turnford
EN10 6AQ,Yes,51.722996,-0.024834,536526,204543,TL365045,1/1/1980 12:00:00 AM,,27,40,12,Cheshunt,2.2,Hoddesdon,Thames Water,,Broxbourne,Wormley and Turnford,Flamstead End & Turnford
EN10 6AR,Yes,51.720339,-0.026688,536406,204244,TL364042,1/1/1980 12:00:00 AM,,26,62,21,Cheshunt,1.9,Hoddesdon,Thames Water,,Broxbourne,Wormley and Turnford,Flamstead End & Turnford
EN10 6AS,Yes,51.720413,-0.027886,536323,204250,TL363042,1/1/1980 12:00:00 AM,,27,47,21,Cheshunt,2.0,Hoddesdon,Thames Water,,Broxbourne,Wormley and Turnford,Flamstead End & Turnford
