Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
BB10 1AA,Yes,53.796517,-2.242954,384094,433384,SD840333,1/1/1980 12:00:00 AM,,128,29,11,Burnley Central,0.4,Burnley,United Utilities,,Burnley,Daneshouse with Stoneyholme,Burnley Central East
BB10 1AB,Yes,53.796651,-2.243046,384088,433399,SD840333,1/1/1980 12:00:00 AM,,128,47,21,Burnley Central,0.4,Burnley,United Utilities,,Burnley,Daneshouse with Stoneyholme,Burnley Central East
BB10 1AD,Yes,53.797127,-2.243277,384073,433452,SD840334,1/1/1980 12:00:00 AM,,130,57,19,Burnley Central,0.4,Burnley,United Utilities,,Burnley,Daneshouse with Stoneyholme,Burnley Central East
BB10 1AE,Yes,53.797460,-2.243339,384069,433489,SD840334,1/1/1980 12:00:00 AM,,131,52,18,Burnley Central,0.5,Burnley,United Utilities,,Burnley,Daneshouse with Stoneyholme,Burnley Central East
BB10 1AF,Yes,53.797630,-2.243355,384068,433508,SD840335,1/1/1980 12:00:00 AM,,131,55,12,Burnley Central,0.5,Burnley,United Utilities,,Burnley,Daneshouse with Stoneyholme,Burnley Central East
BB10 1AG,Yes,53.797980,-2.241870,384166,433547,SD841335,1/1/1980 12:00:00 AM,,132,6,3,Burnley Central,0.5,Burnley,United Utilities,,Burnley,Daneshouse with Stoneyholme,Burnley Central East
BB10 1AH,Yes,53.797723,-2.242005,384157,433518,SD841335,1/1/1980 12:00:00 AM,,132,60,20,Burnley Central,0.5,Burnley,United Utilities,,Burnley,Daneshouse with Stoneyholme,Burnley Central East
BB10 1AJ,Yes,53.797267,-2.240788,384237,433467,SD842334,1/1/1980 12:00:00 AM,,132,32,9,Burnley Central,0.5,Burnley,United Utilities,,Burnley,Daneshouse with Stoneyholme,Burnley Central East
BB10 1AL,Yes,53.797158,-2.241485,384191,433455,SD841334,1/1/1980 12:00:00 AM,,132,96,25,Burnley Central,0.5,Burnley,United Utilities,,Burnley,Daneshouse with Stoneyholme,Burnley Central East
BB10 1AN,Yes,53.797093,-2.242198,384144,433448,SD841334,1/1/1980 12:00:00 AM,,131,13,4,Burnley Central,0.4,Burnley,United Utilities,,Burnley,Daneshouse with Stoneyholme,Burnley Central East
BB10 1AP,Yes,53.797987,-2.240351,384266,433547,SD842335,1/1/1980 12:00:00 AM,,133,71,20,Burnley Central,0.6,Burnley,United Utilities,,Burnley,Daneshouse with Stoneyholme,Burnley Central East
BB10 1AQ,Yes,53.797507,-2.242262,384140,433494,SD841334,1/1/1980 12:00:00 AM,,132,,,Burnley Central,0.5,Burnley,United Utilities,,Burnley,Daneshouse with Stoneyholme,Burnley Central East
BB10 1AR,No,53.797566,-2.239833,384300,433500,SD842335,8/1/1992 12:00:00 AM,12/1/1994 12:00:00 AM,132,,,Burnley Central,0.6,Burnley,,,Burnley,Daneshouse with Stoneyholme,Burnley Central East
BB10 1AS,Yes,53.797733,-2.239819,384301,433519,SD843335,1/1/1980 12:00:00 AM,,133,6,5,Burnley Central,0.6,Burnley,United Utilities,,Burnley,Daneshouse with Stoneyholme,Burnley Central East
BB10 1AT,Yes,53.798286,-2.241493,384191,433581,SD841335,1/1/1980 12:00:00 AM,,133,81,34,Burnley Central,0.6,Burnley,United Utilities,,Burnley,Daneshouse with Stoneyholme,Burnley Central East
BB10 1AU,Yes,53.798058,-2.240807,384236,433555,SD842335,1/1/1980 12:00:00 AM,,133,23,8,Burnley Central,0.6,Burnley,United Utilities,,Burnley,Daneshouse with Stoneyholme,Burnley Central East
BB10 1AW,Yes,53.797050,-2.241257,384206,433443,SD842334,1/1/1980 12:00:00 AM,,132,82,23,Burnley Central,0.5,Burnley,United Utilities,,Burnley,Daneshouse with Stoneyholme,Burnley Central East
BB10 1AX,Yes,53.798507,-2.241114,384216,433605,SD842336,1/1/1980 12:00:00 AM,,133,40,13,Burnley Central,0.6,Burnley,United Utilities,,Burnley,Daneshouse with Stoneyholme,Burnley Central East
BB10 1AY,No,53.797559,-2.242869,384100,433500,SD841334,12/1/1994 12:00:00 AM,6/1/1996 12:00:00 AM,131,,,Burnley Central,0.5,Burnley,,,Burnley,Daneshouse with Stoneyholme,Burnley Central East
BB10 1AZ,Yes,53.798770,-2.240007,384289,433634,SD842336,1/1/1980 12:00:00 AM,,133,22,6,Burnley Central,0.7,Burnley,United Utilities,,Burnley,Daneshouse with Stoneyholme,Burnley Central East
BB10 1BA,Yes,53.799343,-2.240784,384238,433698,SD842336,1/1/1980 12:00:00 AM,,133,92,33,Burnley Central,0.7,Burnley,United Utilities,,Burnley,Daneshouse with Stoneyholme,Burnley Central East
BB10 1BB,No,53.798461,-2.241356,384200,433600,SD842335,4/1/1987 12:00:00 AM,12/1/1988 12:00:00 AM,133,,,Burnley Central,0.6,Burnley,,,Burnley,Daneshouse with Stoneyholme,Burnley Central East
BB10 1BD,No,53.798461,-2.241356,384200,433600,SD842335,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,133,,,Burnley Central,0.6,Burnley,,,Burnley,Daneshouse with Stoneyholme,Burnley Central East
BB10 1BE,Yes,53.800300,-2.238619,384381,433804,SD843338,5/1/2010 12:00:00 AM,,136,6,0,Burnley Central,0.9,Burnley,United Utilities,,Burnley,Daneshouse with Stoneyholme,Burnley Central East
BB10 1BF,Yes,53.802059,-2.238068,384418,434000,SD844339,2/1/2020 12:00:00 AM,,141,,,Burnley Central,1.1,Burnley,,,Burnley,Daneshouse with Stoneyholme,Burnley Central East
BB10 1BG,Yes,53.799551,-2.240239,384274,433721,SD842337,1/1/1980 12:00:00 AM,,134,16,6,Burnley Central,0.7,Burnley,United Utilities,,Burnley,Daneshouse with Stoneyholme,Burnley Central East
BB10 1BH,Yes,53.800439,-2.239516,384322,433820,SD843338,1/1/1980 12:00:00 AM,,136,3,1,Burnley Central,0.8,Burnley,United Utilities,,Burnley,Daneshouse with Stoneyholme,Burnley Central East
BB10 1BJ,Yes,53.800872,-2.240277,384272,433868,SD842338,1/1/1980 12:00:00 AM,,137,58,18,Burnley Central,0.9,Burnley,United Utilities,,Burnley,Daneshouse with Stoneyholme,Burnley Central East
BB10 1BL,Yes,53.800853,-2.240869,384233,433866,SD842338,1/1/1980 12:00:00 AM,,136,40,8,Burnley Central,0.9,Burnley,United Utilities,,Burnley,Daneshouse with Stoneyholme,Burnley Central East
BB10 1BN,Yes,53.801617,-2.240721,384243,433951,SD842339,1/1/1980 12:00:00 AM,,137,2,2,Burnley Central,0.9,Burnley,United Utilities,,Burnley,Daneshouse with Stoneyholme,Burnley Central East
BB10 1BP,No,53.802256,-2.240467,384260,434022,SD842340,1/1/1980 12:00:00 AM,6/1/2008 12:00:00 AM,139,,,Burnley Central,1.0,Burnley,,,Burnley,Daneshouse with Stoneyholme,Burnley Central East
BB10 1BQ,Yes,53.799667,-2.240528,384255,433734,SD842337,1/1/1980 12:00:00 AM,,134,6,1,Burnley Central,0.7,Burnley,United Utilities,,Burnley,Daneshouse with Stoneyholme,Burnley Central East
BB10 1BS,No,53.802299,-2.241636,384183,434027,SD841340,1/1/1980 12:00:00 AM,5/1/2003 12:00:00 AM,136,,,Burnley Central,1.0,Burnley,,,Burnley,Daneshouse with Stoneyholme,Burnley Central East
BB10 1BT,Yes,53.801588,-2.242133,384150,433948,SD841339,1/1/1980 12:00:00 AM,,135,79,19,Burnley Central,0.9,Burnley,United Utilities,,Burnley,Daneshouse with Stoneyholme,Burnley Central East
BB10 1BU,Yes,53.802178,-2.241819,384171,434014,SD841340,1/1/1980 12:00:00 AM,,135,140,34,Burnley Central,1.0,Burnley,United Utilities,,Burnley,Daneshouse with Stoneyholme,Burnley Central East
BB10 1BW,No,53.801896,-2.240586,384252,433982,SD842339,1/1/1980 12:00:00 AM,1/1/2009 12:00:00 AM,138,,,Burnley Central,1.0,Burnley,,,Burnley,Daneshouse with Stoneyholme,Burnley Central East
BB10 1BX,Yes,53.802045,-2.242819,384105,433999,SD841339,1/1/1980 12:00:00 AM,,134,73,26,Burnley Central,1.0,Burnley,United Utilities,,Burnley,Daneshouse with Stoneyholme,Burnley Central East
