Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
DE1 1AT,No,52.853625,-1.702953,420100,328500,SK201285,10/1/1984 12:00:00 AM,1/1/1995 12:00:00 AM,81,,,Tutbury and Hatton,1.8,,,,East Staffordshire,Dove,Dove
DE13 0AA,Yes,52.822422,-1.668986,422403,325039,SK224250,1/1/1980 12:00:00 AM,,96,2,1,Burton-On-Trent,2.6,,South Staffordshire Water,Severn Trent,East Staffordshire,Horninglow & Outwoods,Dove
DE13 0AB,Yes,52.824790,-1.673291,422112,325301,SK221253,1/1/1980 12:00:00 AM,,94,7,4,Burton-On-Trent,3.0,,South Staffordshire Water,Severn Trent,East Staffordshire,Horninglow & Outwoods,Dove
DE13 0AD,Yes,52.829770,-1.660608,422964,325859,SK229258,1/1/1980 12:00:00 AM,,85,140,52,Burton-On-Trent,2.9,Burton upon Trent,South Staffordshire Water,Severn Trent,East Staffordshire,Horninglow & Outwoods,Dove
DE13 0AE,Yes,52.829928,-1.655946,423278,325878,SK232258,1/1/1980 12:00:00 AM,,80,126,52,Burton-On-Trent,2.8,Burton upon Trent,South Staffordshire Water,Severn Trent,East Staffordshire,Horninglow & Outwoods,Dove
DE13 0AF,Yes,52.826047,-1.638777,424437,325452,SK244254,5/1/1994 12:00:00 AM,,52,12,11,Burton-On-Trent,2.3,Burton upon Trent,South Staffordshire Water,Severn Trent,East Staffordshire,Horninglow & Outwoods,Horninglow and Stretton
DE13 0AG,Yes,52.825815,-1.639209,424408,325426,SK244254,5/1/1994 12:00:00 AM,,53,11,8,Burton-On-Trent,2.2,Burton upon Trent,South Staffordshire Water,Severn Trent,East Staffordshire,Horninglow & Outwoods,Horninglow and Stretton
DE13 0AH,Yes,52.830946,-1.653638,423433,325992,SK234259,1/1/1980 12:00:00 AM,,73,14,7,Burton-On-Trent,2.9,Burton upon Trent,South Staffordshire Water,Severn Trent,East Staffordshire,Horninglow & Outwoods,Dove
DE13 0AJ,Yes,52.832268,-1.653865,423417,326139,SK234261,1/1/1980 12:00:00 AM,,72,84,35,Burton-On-Trent,3.0,Burton upon Trent,South Staffordshire Water,Severn Trent,East Staffordshire,Horninglow & Outwoods,Dove
DE13 0AL,Yes,52.834869,-1.654928,423344,326428,SK233264,1/1/1980 12:00:00 AM,,76,44,17,Burton-On-Trent,3.3,Burton upon Trent,South Staffordshire Water,Severn Trent,East Staffordshire,Horninglow & Outwoods,Dove
DE13 0AN,Yes,52.836207,-1.660836,422945,326575,SK229265,1/1/1980 12:00:00 AM,,69,7,2,Tutbury and Hatton,3.4,,South Staffordshire Water,Severn Trent,East Staffordshire,Dove,Dove
DE13 0AP,Yes,52.834516,-1.627277,425207,326398,SK252263,5/1/1994 12:00:00 AM,,57,23,11,Burton-On-Trent,3.3,Stretton (East Staffordshire),South Staffordshire Water,Severn Trent,East Staffordshire,Stretton,Horninglow and Stretton
DE13 0AQ,Yes,52.828633,-1.617561,425865,325747,SK258257,4/1/2008 12:00:00 AM,,47,21,9,Burton-On-Trent,3.0,Burton upon Trent,South Staffordshire Water,Severn Trent,East Staffordshire,Stretton,Horninglow and Stretton
DE13 0AR,Yes,52.821462,-1.627002,425233,324946,SK252249,10/1/2005 12:00:00 AM,,46,,,Burton-On-Trent,2.0,Burton upon Trent,South Staffordshire Water,Severn Trent,East Staffordshire,Burton & Eton,Burton Town
DE13 0AS,Yes,52.830673,-1.649603,423705,325963,SK237259,1/1/1980 12:00:00 AM,,64,95,38,Burton-On-Trent,2.8,Burton upon Trent,South Staffordshire Water,Severn Trent,East Staffordshire,Stretton,Dove
DE13 0AT,Yes,52.827562,-1.620223,425686,325627,SK256256,4/1/2008 12:00:00 AM,,48,,,Burton-On-Trent,2.8,Burton upon Trent,South Staffordshire Water,Severn Trent,East Staffordshire,Stretton,Burton Town
DE13 0AU,Yes,52.832192,-1.617515,425866,326143,SK258261,12/1/2000 12:00:00 AM,,53,123,45,Burton-On-Trent,3.4,Stretton (East Staffordshire),South Staffordshire Water,Severn Trent,East Staffordshire,Stretton,Horninglow and Stretton
DE13 0AW,Yes,52.837810,-1.661669,422888,326753,SK228267,1/1/1980 12:00:00 AM,,66,52,20,Tutbury and Hatton,3.2,,South Staffordshire Water,Severn Trent,East Staffordshire,Dove,Dove
DE13 0AX,No,52.825595,-1.643782,424100,325400,SK240254,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,65,,,Burton-On-Trent,2.2,Burton upon Trent,,,East Staffordshire,Horninglow & Outwoods,Dove
DE13 0AY,Yes,52.833748,-1.646847,423889,326306,SK238263,1/1/1980 12:00:00 AM,,64,117,45,Burton-On-Trent,3.1,Burton upon Trent,South Staffordshire Water,Severn Trent,East Staffordshire,Stretton,Horninglow and Stretton
DE13 0AZ,Yes,52.839195,-1.634541,424715,326916,SK247269,1/1/1980 12:00:00 AM,,70,69,28,Burton-On-Trent,3.7,Stretton (East Staffordshire),South Staffordshire Water,Severn Trent,East Staffordshire,Stretton,Horninglow and Stretton
DE13 0BA,Yes,52.836575,-1.630495,424989,326626,SK249266,1/1/1980 12:00:00 AM,,62,57,28,Burton-On-Trent,3.5,Stretton (East Staffordshire),South Staffordshire Water,Severn Trent,East Staffordshire,Stretton,Horninglow and Stretton
DE13 0BB,Yes,52.827330,-1.620749,425651,325601,SK256256,1/1/1993 12:00:00 AM,,48,3,1,Burton-On-Trent,2.8,Burton upon Trent,South Staffordshire Water,Severn Trent,East Staffordshire,Stretton,Burton Town
DE13 0BD,Yes,52.832718,-1.624501,425395,326199,SK253261,7/1/1995 12:00:00 AM,,54,12,6,Burton-On-Trent,3.2,Stretton (East Staffordshire),South Staffordshire Water,Severn Trent,East Staffordshire,Stretton,Horninglow and Stretton
