Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
BL0 0AA,Yes,53.647755,-2.312381,379448,416851,SD794168,1/1/1980 12:00:00 AM,,130,2,1,Entwistle,6.8,Ramsbottom,United Utilities,,Bury,Ramsbottom,
BL0 0AB,Yes,53.647989,-2.312474,379442,416877,SD794168,1/1/1980 12:00:00 AM,,130,12,7,Entwistle,6.8,Ramsbottom,United Utilities,,Bury,Ramsbottom,
BL0 0AD,Yes,53.649155,-2.313284,379389,417007,SD793170,7/1/2010 12:00:00 AM,,129,,,Entwistle,6.7,Ramsbottom,United Utilities,,Bury,Ramsbottom,
BL0 0AE,No,53.650251,-2.313003,379408,417129,SD794171,2/1/1990 12:00:00 AM,5/1/2022 12:00:00 AM,131,,,Entwistle,6.7,Ramsbottom,United Utilities,,Bury,Ramsbottom,
BL0 0AG,Yes,53.647331,-2.309670,379627,416803,SD796168,1/1/1980 12:00:00 AM,,147,34,15,Entwistle,7.0,Ramsbottom,United Utilities,,Bury,Ramsbottom,
BL0 0AH,Yes,53.649253,-2.312981,379409,417018,SD794170,1/1/1980 12:00:00 AM,,131,9,6,Entwistle,6.7,Ramsbottom,United Utilities,,Bury,Ramsbottom,
BL0 0AJ,Yes,53.647542,-2.303785,380016,416825,SD800168,12/1/1995 12:00:00 AM,,183,6,3,Entwistle,7.4,Ramsbottom,United Utilities,,Bury,Ramsbottom,
BL0 0AL,Yes,53.647652,-2.310064,379601,416839,SD796168,1/1/1980 12:00:00 AM,,144,46,25,Entwistle,6.9,Ramsbottom,United Utilities,,Bury,Ramsbottom,
BL0 0AN,Yes,53.644648,-2.308077,379731,416504,SD797165,1/1/1980 12:00:00 AM,,150,38,17,Entwistle,7.1,Ramsbottom,United Utilities,,Bury,Ramsbottom,
BL0 0AP,Yes,53.646854,-2.309302,379651,416750,SD796167,1/1/1980 12:00:00 AM,,149,,,Entwistle,7.0,Ramsbottom,United Utilities,,Bury,Ramsbottom,
BL0 0AQ,Yes,53.647080,-2.309426,379643,416775,SD796167,1/1/1980 12:00:00 AM,,148,35,14,Entwistle,7.0,Ramsbottom,United Utilities,,Bury,Ramsbottom,
BL0 0AR,Yes,53.646442,-2.309437,379642,416704,SD796167,1/1/1980 12:00:00 AM,,147,31,12,Entwistle,7.0,Ramsbottom,United Utilities,,Bury,Ramsbottom,
BL0 0AS,Yes,53.644735,-2.309076,379665,416514,SD796165,1/1/1980 12:00:00 AM,,144,40,14,Entwistle,7.1,Ramsbottom,United Utilities,,Bury,Ramsbottom,
BL0 0AT,Yes,53.646597,-2.308394,379711,416721,SD797167,1/1/1980 12:00:00 AM,,153,69,35,Entwistle,7.1,Ramsbottom,United Utilities,,Bury,Ramsbottom,
BL0 0AU,Yes,53.647316,-2.307823,379749,416801,SD797168,1/1/1980 12:00:00 AM,,155,48,21,Entwistle,7.1,Ramsbottom,United Utilities,,Bury,Ramsbottom,
BL0 0AW,Yes,53.644674,-2.307577,379764,416507,SD797165,1/1/1980 12:00:00 AM,,152,34,14,Entwistle,7.2,Ramsbottom,United Utilities,,Bury,Ramsbottom,
BL0 0AX,Yes,53.647450,-2.304723,379954,416815,SD799168,1/1/1980 12:00:00 AM,,173,29,15,Entwistle,7.3,Ramsbottom,United Utilities,,Bury,Ramsbottom,
BL0 0AY,Yes,53.647646,-2.305269,379918,416837,SD799168,1/1/1980 12:00:00 AM,,170,14,7,Entwistle,7.3,Ramsbottom,United Utilities,,Bury,Ramsbottom,
BL0 0AZ,Yes,53.647603,-2.308112,379730,416833,SD797168,1/1/1980 12:00:00 AM,,155,57,25,Entwistle,7.1,Ramsbottom,United Utilities,,Bury,Ramsbottom,
BL0 0BA,Yes,53.648670,-2.309635,379630,416952,SD796169,1/1/1980 12:00:00 AM,,149,67,27,Entwistle,7.0,Ramsbottom,United Utilities,,Bury,Ramsbottom,
BL0 0BB,Yes,53.650724,-2.310571,379569,417181,SD795171,1/1/1980 12:00:00 AM,,147,75,33,Entwistle,6.9,Ramsbottom,United Utilities,,Bury,Ramsbottom,
BL0 0BD,Yes,53.650021,-2.308510,379705,417102,SD797171,1/1/1980 12:00:00 AM,,156,113,55,Entwistle,7.0,Ramsbottom,United Utilities,,Bury,Ramsbottom,
BL0 0BE,Yes,53.650115,-2.307225,379790,417112,SD797171,1/1/1980 12:00:00 AM,,162,89,30,Entwistle,7.1,Ramsbottom,United Utilities,,Bury,Ramsbottom,
BL0 0BG,Yes,53.650038,-2.308994,379673,417104,SD796171,1/1/1980 12:00:00 AM,,155,173,69,Entwistle,7.0,Ramsbottom,United Utilities,,Bury,Ramsbottom,
BL0 0BH,Yes,53.648800,-2.307956,379741,416966,SD797169,1/1/1980 12:00:00 AM,,157,46,22,Entwistle,7.1,Ramsbottom,United Utilities,,Bury,Ramsbottom,
BL0 0BJ,Yes,53.647950,-2.309204,379658,416872,SD796168,1/1/1980 12:00:00 AM,,149,28,15,Entwistle,7.0,Ramsbottom,United Utilities,,Bury,Ramsbottom,
BL0 0BL,Yes,53.648276,-2.304986,379937,416907,SD799169,6/1/1981 12:00:00 AM,,173,62,30,Entwistle,7.3,Ramsbottom,United Utilities,,Bury,Ramsbottom,
BL0 0BN,Yes,53.648399,-2.309661,379628,416922,SD796169,2/1/2004 12:00:00 AM,,150,24,16,Entwistle,7.0,Ramsbottom,United Utilities,,Bury,Ramsbottom,
BL0 0BQ,Yes,53.651352,-2.308353,379716,417250,SD797172,1/1/1980 12:00:00 AM,,158,47,20,Entwistle,7.0,Ramsbottom,United Utilities,,Bury,Ramsbottom,
BL0 0BS,Yes,53.645881,-2.313470,379375,416643,SD793166,1/1/2019 12:00:00 AM,,128,,,Entwistle,6.8,Ramsbottom,,,Bury,Ramsbottom,
BL0 0BT,Yes,53.647085,-2.310393,379579,416776,SD795167,1/1/1980 12:00:00 AM,,142,11,8,Entwistle,6.9,Ramsbottom,United Utilities,,Bury,Ramsbottom,
BL0 0BU,No,53.647939,-2.310218,379591,416871,SD795168,12/1/2017 12:00:00 AM,2/1/2018 12:00:00 AM,143,,,Entwistle,6.9,Ramsbottom,,,Bury,Ramsbottom,
BL0 0BW,Yes,53.647642,-2.303393,380042,416836,SD800168,3/1/2021 12:00:00 AM,,170,,,Entwistle,7.4,Ramsbottom,,,Bury,Ramsbottom,
BL0 0BX,Yes,53.652202,-2.305604,379898,417344,SD798173,10/1/2022 12:00:00 AM,,170,,,Entwistle,7.2,Ramsbottom,,,Bury,Ramsbottom,
BL0 0BY,Yes,53.645466,-2.307008,379802,416595,SD798165,1/1/1980 12:00:00 AM,,155,46,18,Entwistle,7.2,Ramsbottom,United Utilities,,Bury,Ramsbottom,
BL0 0BZ,Yes,53.645554,-2.305270,379917,416604,SD799166,1/1/1980 12:00:00 AM,,166,45,19,Entwistle,7.3,Ramsbottom,United Utilities,,Bury,Ramsbottom,
BL0 0DA,Yes,53.644852,-2.305538,379899,416526,SD798165,1/1/1980 12:00:00 AM,,163,22,8,Entwistle,7.3,Ramsbottom,United Utilities,,Bury,Ramsbottom,
BL0 0DB,Yes,53.644663,-2.304763,379950,416505,SD799165,1/1/1980 12:00:00 AM,,168,13,6,Entwistle,7.3,Ramsbottom,United Utilities,,Bury,Ramsbottom,
BL0 0DD,Yes,53.646013,-2.301401,380173,416654,SD801166,1/1/1980 12:00:00 AM,,205,,,Entwistle,7.5,Ramsbottom,United Utilities,,Bury,Ramsbottom,
BL0 0DE,Yes,53.649187,-2.303600,380029,417008,SD800170,1/1/1980 12:00:00 AM,,189,65,29,Entwistle,7.3,Ramsbottom,United Utilities,,Bury,Ramsbottom,
BL0 0DF,Yes,53.649881,-2.303849,380013,417085,SD800170,1/1/1980 12:00:00 AM,,187,2,1,Entwistle,7.3,Ramsbottom,United Utilities,,Bury,Ramsbottom,
BL0 0DG,Yes,53.652414,-2.304200,379991,417367,SD799173,1/1/1980 12:00:00 AM,,179,92,33,Entwistle,7.3,Ramsbottom,United Utilities,,Bury,Ramsbottom,
BL0 0DH,Yes,53.646859,-2.303674,380023,416749,SD800167,1/1/1980 12:00:00 AM,,184,12,6,Entwistle,7.4,Ramsbottom,United Utilities,,Bury,Ramsbottom,
BL0 0DJ,No,53.647322,-2.302515,380100,416800,SD800167,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,196,,,Entwistle,7.4,Ramsbottom,,,Bury,Ramsbottom,
BL0 0DL,Yes,53.647993,-2.303957,380005,416875,SD800168,1/1/1980 12:00:00 AM,,182,,,Entwistle,7.3,Ramsbottom,United Utilities,,Bury,Ramsbottom,
BL0 0DN,Yes,53.653162,-2.303631,380029,417450,SD800174,1/1/1980 12:00:00 AM,,176,26,10,Entwistle,7.3,Ramsbottom,United Utilities,,Bury,Ramsbottom,
BL0 0DP,Yes,53.650049,-2.304197,379990,417104,SD799171,1/1/1980 12:00:00 AM,,183,34,14,Entwistle,7.3,Ramsbottom,United Utilities,,Bury,Ramsbottom,
BL0 0DQ,Yes,53.653977,-2.301080,380198,417540,SD801175,6/1/2001 12:00:00 AM,,172,,,Entwistle,7.5,Ramsbottom,United Utilities,,Bury,Ramsbottom,
BL0 0DR,Yes,53.651650,-2.304497,379971,417282,SD799172,1/1/1980 12:00:00 AM,,178,8,5,Entwistle,7.3,Ramsbottom,United Utilities,,Bury,Ramsbottom,
BL0 0DS,Yes,53.652422,-2.304609,379964,417368,SD799173,1/1/1980 12:00:00 AM,,176,24,10,Entwistle,7.3,Ramsbottom,United Utilities,,Bury,Ramsbottom,
BL0 0DT,No,53.645477,-2.320654,378900,416600,SD788165,1/1/1980 12:00:00 AM,6/1/1998 12:00:00 AM,157,,,Entwistle,6.3,Ramsbottom,,,Bury,Ramsbottom,
BL0 0DU,Yes,53.652519,-2.308816,379686,417380,SD796173,1/1/1980 12:00:00 AM,,156,3,1,Entwistle,7.0,,United Utilities,,Bury,Ramsbottom,
BL0 0DW,Yes,53.652442,-2.303094,380064,417370,SD800173,1/1/1980 12:00:00 AM,,187,13,4,Entwistle,7.4,Ramsbottom,United Utilities,,Bury,Ramsbottom,
BL0 0DX,Yes,53.653018,-2.303554,380034,417434,SD800174,1/1/1980 12:00:00 AM,,178,1,1,Entwistle,7.3,Ramsbottom,United Utilities,,Bury,Ramsbottom,
BL0 0DZ,Yes,53.653333,-2.302753,380087,417469,SD800174,1/1/1980 12:00:00 AM,,178,13,8,Entwistle,7.4,Ramsbottom,United Utilities,,Bury,Ramsbottom,
BL0 0EA,Yes,53.653074,-2.302949,380074,417440,SD800174,1/1/1980 12:00:00 AM,,180,10,5,Entwistle,7.4,Ramsbottom,United Utilities,,Bury,Ramsbottom,
BL0 0ED,Yes,53.654822,-2.303853,380015,417635,SD800176,1/1/1980 12:00:00 AM,,172,15,7,Entwistle,7.3,Ramsbottom,United Utilities,,Bury,Ramsbottom,
BL0 0EE,Yes,53.654924,-2.302749,380088,417646,SD800176,1/1/1980 12:00:00 AM,,173,16,9,Entwistle,7.4,Ramsbottom,United Utilities,,Bury,Ramsbottom,
BL0 0EF,Yes,53.655401,-2.303314,380051,417699,SD800176,1/1/1980 12:00:00 AM,,176,20,12,Entwistle,7.3,Ramsbottom,United Utilities,,Bury,Ramsbottom,
BL0 0EG,Yes,53.660182,-2.303318,380053,418231,SD800182,1/1/1980 12:00:00 AM,,184,28,12,Entwistle,7.3,Edenfield,United Utilities,,Bury,Ramsbottom,
BL0 0EH,Yes,53.655868,-2.303151,380062,417751,SD800177,1/1/1980 12:00:00 AM,,180,3,1,Entwistle,7.3,Ramsbottom,United Utilities,,Bury,Ramsbottom,
BL0 0EJ,Yes,53.655927,-2.304012,380005,417758,SD800177,1/1/1980 12:00:00 AM,,179,10,1,Entwistle,7.3,Ramsbottom,United Utilities,,Bury,Ramsbottom,
BL0 0EL,Yes,53.655240,-2.302935,380076,417681,SD800176,12/1/1999 12:00:00 AM,,175,4,1,Entwistle,7.4,Ramsbottom,United Utilities,,Bury,Ramsbottom,
BL0 0EP,Yes,53.657064,-2.303008,380072,417884,SD800178,1/1/1980 12:00:00 AM,,184,9,4,Entwistle,7.3,,United Utilities,,Bury,Ramsbottom,
BL0 0EQ,Yes,53.661595,-2.301950,380144,418388,SD801183,1/1/1980 12:00:00 AM,,184,8,2,Entwistle,7.4,Edenfield,United Utilities,,Bury,Ramsbottom,
BL0 0ER,Yes,53.658024,-2.303741,380024,417991,SD800179,1/1/1980 12:00:00 AM,,181,44,19,Entwistle,7.3,,United Utilities,,Bury,Ramsbottom,
