Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
BL0 9GL,Yes,53.562984,-2.329161,378295,407425,SD782074,2/1/2009 12:00:00 AM,,168,,,Kearsley (Manchester),3.7,Radcliffe,,,Bury,Radcliffe West,
BL3 1NP,Yes,53.563174,-2.357094,376445,407455,SD764074,6/1/1981 12:00:00 AM,,103,2,1,Kearsley (Manchester),2.4,Little Lever,United Utilities,,Bury,Radcliffe West,
BL8 2HE,Yes,53.588880,-2.342113,377451,410310,SD774103,1/1/1980 12:00:00 AM,,147,11,4,Hall-I'-Th'-Wood,4.8,Bury (Bury),United Utilities,,Bury,Radcliffe North & Ainsworth,
BL8 2HF,Yes,53.588000,-2.342259,377441,410212,SD774102,1/1/1980 12:00:00 AM,,144,42,17,Hall-I'-Th'-Wood,4.8,Bury (Bury),United Utilities,,Bury,Radcliffe North & Ainsworth,
BL8 2HH,Yes,53.586626,-2.342051,377454,410059,SD774100,1/1/1980 12:00:00 AM,,138,5,1,Hall-I'-Th'-Wood,4.8,,United Utilities,,Bury,Radcliffe North & Ainsworth,
BL8 2HJ,Yes,53.588155,-2.341807,377471,410229,SD774102,1/1/1980 12:00:00 AM,,144,14,5,Hall-I'-Th'-Wood,4.8,Bury (Bury),United Utilities,,Bury,Radcliffe North & Ainsworth,
BL9 8AA,Yes,53.564598,-2.274838,381894,407589,SD818075,1/1/1980 12:00:00 AM,,103,,,Clifton (Manchester),5.4,Bury (Bury),United Utilities,,Bury,Unsworth,
BL9 8AB,Yes,53.565928,-2.275027,381882,407737,SD818077,1/1/1980 12:00:00 AM,,107,41,18,Clifton (Manchester),5.5,Bury (Bury),United Utilities,,Bury,Unsworth,
BL9 8AD,Yes,53.565431,-2.276051,381814,407682,SD818076,1/1/1980 12:00:00 AM,,104,49,26,Clifton (Manchester),5.4,Bury (Bury),United Utilities,,Bury,Unsworth,
BL9 8AE,Yes,53.565569,-2.278739,381636,407698,SD816076,1/1/1980 12:00:00 AM,,97,15,8,Clifton (Manchester),5.3,Bury (Bury),United Utilities,,Bury,Unsworth,
BL9 8AF,Yes,53.566368,-2.278941,381623,407787,SD816077,1/1/1980 12:00:00 AM,,96,17,8,Clifton (Manchester),5.4,Bury (Bury),United Utilities,,Bury,Unsworth,
BL9 8AG,Yes,53.566316,-2.278110,381678,407781,SD816077,1/1/1980 12:00:00 AM,,99,22,9,Clifton (Manchester),5.4,Bury (Bury),United Utilities,,Bury,Unsworth,
BL9 8AH,Yes,53.566179,-2.274468,381919,407765,SD819077,1/1/1980 12:00:00 AM,,109,29,17,Clifton (Manchester),5.5,Bury (Bury),United Utilities,,Bury,Unsworth,
BL9 8AJ,Yes,53.566662,-2.275513,381850,407819,SD818078,1/1/1980 12:00:00 AM,,109,39,15,Clifton (Manchester),5.5,Bury (Bury),United Utilities,,Bury,Unsworth,
BL9 8AL,Yes,53.566275,-2.275843,381828,407776,SD818077,1/1/1980 12:00:00 AM,,107,27,11,Clifton (Manchester),5.5,Bury (Bury),United Utilities,,Bury,Unsworth,
BL9 8AN,Yes,53.567356,-2.275324,381863,407896,SD818078,1/1/1980 12:00:00 AM,,109,22,9,Clifton (Manchester),5.6,Bury (Bury),United Utilities,,Bury,Unsworth,
BL9 8AP,Yes,53.566099,-2.278152,381675,407757,SD816077,1/1/1980 12:00:00 AM,,100,97,38,Clifton (Manchester),5.4,Bury (Bury),United Utilities,,Bury,Unsworth,
BL9 8AQ,Yes,53.566579,-2.277387,381726,407810,SD817078,1/1/1980 12:00:00 AM,,102,28,10,Clifton (Manchester),5.5,Bury (Bury),United Utilities,,Bury,Unsworth,
BL9 8AR,Yes,53.567003,-2.276559,381781,407857,SD817078,1/1/1980 12:00:00 AM,,107,35,9,Clifton (Manchester),5.6,Bury (Bury),United Utilities,,Bury,Unsworth,
BL9 8AS,Yes,53.568651,-2.283078,381350,408042,SD813080,1/1/1980 12:00:00 AM,,100,42,22,Clifton (Manchester),5.5,Bury (Bury),United Utilities,,Bury,Unsworth,
