Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
CF14 0LB,Yes,51.561669,-3.152346,320216,185384,ST202853,1/1/2013 12:00:00 AM,,141,,,Lisvane and Thornhill,3.0,,Dwr Cymru Welsh Water,,Caerphilly,Machen and Rudry,
CF14 0LE,Yes,51.555887,-3.141449,320961,184729,ST209847,6/1/1999 12:00:00 AM,,131,5,2,Lisvane and Thornhill,3.3,,Dwr Cymru Welsh Water,,Caerphilly,Machen and Rudry,
CF15 7UP,Yes,51.575265,-3.252377,313308,187010,ST133870,6/1/1999 12:00:00 AM,,131,8,3,Aber,1.6,,Dwr Cymru Welsh Water,,Caerphilly,Penyrheol,
CF15 7UQ,Yes,51.577866,-3.252344,313315,187299,ST133872,6/1/1999 12:00:00 AM,,160,10,3,Aber,1.6,,Dwr Cymru Welsh Water,,Caerphilly,Penyrheol,
CF15 7UR,Yes,51.574857,-3.261053,312706,186975,ST127869,6/1/1999 12:00:00 AM,,186,9,4,Trefforest Estate,2.1,,Dwr Cymru Welsh Water,,Caerphilly,Penyrheol,
CF15 7US,Yes,51.574363,-3.261848,312650,186921,ST126869,6/1/1999 12:00:00 AM,,186,4,1,Trefforest Estate,2.1,,Dwr Cymru Welsh Water,,Caerphilly,Penyrheol,
CF15 7UT,Yes,51.575244,-3.260155,312769,187017,ST127870,6/1/1999 12:00:00 AM,,185,34,11,Aber,2.1,,Dwr Cymru Welsh Water,,Caerphilly,Penyrheol,
CF3 6AA,Yes,51.550035,-3.122601,322258,184058,ST222840,6/1/2001 12:00:00 AM,,73,106,44,Lisvane and Thornhill,4.4,,Dwr Cymru Welsh Water,,Caerphilly,Machen and Rudry,
CF3 6LP,Yes,51.558032,-3.118428,322561,184943,ST225849,6/1/1999 12:00:00 AM,,54,46,17,Lisvane and Thornhill,4.9,,Dwr Cymru Welsh Water,,Caerphilly,Machen and Rudry,
CF3 6XR,Yes,51.554270,-3.115999,322723,184522,ST227845,6/1/1999 12:00:00 AM,,29,13,6,Lisvane and Thornhill,4.9,,Dwr Cymru Welsh Water,,Caerphilly,Machen and Rudry,
CF3 6XX,Yes,51.567574,-3.097475,324029,185982,ST240859,6/1/1999 12:00:00 AM,,43,14,6,Rogerstone,3.8,,Dwr Cymru Welsh Water,,Caerphilly,Machen and Rudry,
CF3 9XP,No,51.557637,-3.119298,322500,184900,ST224848,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,53,,,Lisvane and Thornhill,4.8,,Dwr Cymru Welsh Water,,Caerphilly,Machen and Rudry,
CF3 9XQ,No,51.553606,-3.112968,322932,184445,ST229844,1/1/1980 12:00:00 AM,12/1/1997 12:00:00 AM,26,,,Lisvane and Thornhill,5.1,,,,Caerphilly,Machen and Rudry,
CF3 9XR,No,51.554069,-3.116325,322700,184500,ST227845,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,29,,,Lisvane and Thornhill,4.9,,,,Caerphilly,Machen and Rudry,
CF3 9XT,No,51.581868,-3.124223,322200,187600,ST221876,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,50,,,Risca and Pontymister,3.5,,Dwr Cymru Welsh Water,,Caerphilly,Machen and Rudry,
CF3 9XX,No,51.566831,-3.097882,324000,185900,ST239858,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,41,,,Rogerstone,3.9,,Dwr Cymru Welsh Water,,Caerphilly,Machen and Rudry,
CF3 9YH,No,51.554718,-3.142305,320900,184600,ST208846,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,131,,,Lisvane and Thornhill,3.2,,,,Caerphilly,Machen and Rudry,
CF37 4HP,Yes,51.640197,-3.309052,309510,194300,ST095943,1/1/1980 12:00:00 AM,,209,18,7,Abercynon,1.3,,Dwr Cymru Welsh Water,,Caerphilly,Nelson,
CF37 4HR,Yes,51.629158,-3.292509,310633,193052,ST106930,1/1/1980 12:00:00 AM,,206,14,6,Abercynon,2.9,,Dwr Cymru Welsh Water,,Caerphilly,Nelson,
CF4 7UG,No,51.569718,-3.258112,312900,186400,ST128863,8/1/1992 12:00:00 AM,6/1/1999 12:00:00 AM,149,,,Aber,2.0,,,,Caerphilly,Penyrheol,
CF4 7UN,No,51.566991,-3.260922,312700,186100,ST127861,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,139,,,Trefforest Estate,2.0,,,,Caerphilly,Penyrheol,
CF4 7UQ,No,51.576972,-3.252540,313300,187200,ST132872,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,152,,,Aber,1.6,,,,Caerphilly,Penyrheol,
CF4 7UR,No,51.575096,-3.259703,312800,187000,ST128869,8/1/1992 12:00:00 AM,6/1/1999 12:00:00 AM,180,,,Aber,2.1,,,,Caerphilly,Penyrheol,
CF4 7US,No,51.575096,-3.259703,312800,187000,ST128869,8/1/1992 12:00:00 AM,6/1/1999 12:00:00 AM,180,,,Aber,2.1,,,,Caerphilly,Penyrheol,
CF4 7UT,No,51.575096,-3.259703,312800,187000,ST128869,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,180,,,Aber,2.1,,,,Caerphilly,Penyrheol,
CF46 6AZ,Yes,51.649919,-3.282386,311374,195349,ST113953,12/1/2009 12:00:00 AM,,153,21,10,Ystrad Mynach,3.0,Nelson (Caerphilly),Dwr Cymru Welsh Water,,Caerphilly,Nelson,
CF46 6BF,Yes,51.662697,-3.277791,311717,196764,ST117967,12/1/2014 12:00:00 AM,,181,,,Quakers Yard,3.1,,Dwr Cymru Welsh Water,,Caerphilly,St Cattwg,
CF46 6BN,Yes,51.649060,-3.286513,311087,195258,ST110952,5/1/2002 12:00:00 AM,,153,37,13,Quakers Yard,2.8,Nelson (Caerphilly),Dwr Cymru Welsh Water,,Caerphilly,Nelson,
CF46 6BQ,Yes,51.653933,-3.287776,311009,195801,ST110958,10/1/2018 12:00:00 AM,,160,,,Quakers Yard,2.5,Nelson (Caerphilly),,,Caerphilly,Nelson,
CF46 6DR,Yes,51.657833,-3.290504,310828,196239,ST108962,1/1/1980 12:00:00 AM,,147,29,11,Quakers Yard,2.2,Nelson (Caerphilly),Dwr Cymru Welsh Water,,Caerphilly,Nelson,
CF46 6DS,Yes,51.656924,-3.289295,310910,196136,ST109961,1/1/1980 12:00:00 AM,,147,11,5,Quakers Yard,2.3,Nelson (Caerphilly),Dwr Cymru Welsh Water,,Caerphilly,Nelson,
CF46 6DT,Yes,51.656611,-3.289127,310921,196101,ST109961,1/1/1980 12:00:00 AM,,148,6,3,Quakers Yard,2.4,Nelson (Caerphilly),Dwr Cymru Welsh Water,,Caerphilly,Nelson,
CF46 6DU,Yes,51.656150,-3.288157,310987,196049,ST109960,1/1/1980 12:00:00 AM,,148,101,45,Quakers Yard,2.4,Nelson (Caerphilly),Dwr Cymru Welsh Water,,Caerphilly,Nelson,
CF46 6DY,Yes,51.654058,-3.285845,311143,195813,ST111958,1/1/1980 12:00:00 AM,,152,99,41,Quakers Yard,2.7,Nelson (Caerphilly),Dwr Cymru Welsh Water,,Caerphilly,Nelson,
CF46 6EA,Yes,51.654282,-3.286733,311082,195839,ST110958,1/1/1980 12:00:00 AM,,154,98,43,Quakers Yard,2.6,Nelson (Caerphilly),Dwr Cymru Welsh Water,,Caerphilly,Nelson,
CF46 6EB,Yes,51.653812,-3.284494,311236,195784,ST112957,1/1/1980 12:00:00 AM,,149,42,19,Quakers Yard,2.8,Nelson (Caerphilly),Dwr Cymru Welsh Water,,Caerphilly,Nelson,
CF46 6ED,Yes,51.653164,-3.283666,311292,195711,ST112957,1/1/1980 12:00:00 AM,,149,54,21,Quakers Yard,2.8,Nelson (Caerphilly),Dwr Cymru Welsh Water,,Caerphilly,Nelson,
CF46 6EH,Yes,51.654870,-3.284741,311221,195902,ST112959,1/1/1980 12:00:00 AM,,147,142,64,Quakers Yard,2.7,Nelson (Caerphilly),Dwr Cymru Welsh Water,,Caerphilly,Nelson,
CF46 6EL,Yes,51.654526,-3.284933,311207,195864,ST112958,1/1/1980 12:00:00 AM,,148,63,28,Quakers Yard,2.7,Nelson (Caerphilly),Dwr Cymru Welsh Water,,Caerphilly,Nelson,
CF46 6EN,Yes,51.655113,-3.286381,311108,195931,ST111959,1/1/1980 12:00:00 AM,,150,35,16,Quakers Yard,2.6,Nelson (Caerphilly),Dwr Cymru Welsh Water,,Caerphilly,Nelson,
CF46 6EP,Yes,51.657456,-3.283411,311318,196188,ST113961,1/1/1980 12:00:00 AM,,151,17,7,Quakers Yard,2.7,,Dwr Cymru Welsh Water,,Caerphilly,St Cattwg,
CF46 6ER,Yes,51.661859,-3.283317,311333,196678,ST113966,1/1/1980 12:00:00 AM,,172,3,2,Quakers Yard,2.7,Trelewis,Dwr Cymru Welsh Water,,Caerphilly,St Cattwg,
CF46 6ES,No,51.654035,-3.287941,310998,195813,ST109958,1/1/1980 12:00:00 AM,6/1/1998 12:00:00 AM,158,,,Quakers Yard,2.5,Nelson (Caerphilly),Dwr Cymru Welsh Water,,Caerphilly,Nelson,
CF46 6EU,Yes,51.651796,-3.284654,311221,195560,ST112955,1/1/1980 12:00:00 AM,,152,91,44,Quakers Yard,2.8,Nelson (Caerphilly),Dwr Cymru Welsh Water,,Caerphilly,Nelson,
CF46 6EW,Yes,51.655737,-3.286905,311073,196001,ST110960,1/1/1980 12:00:00 AM,,148,19,7,Quakers Yard,2.5,Nelson (Caerphilly),Dwr Cymru Welsh Water,,Caerphilly,Nelson,
CF46 6EX,Yes,51.656661,-3.287507,311033,196105,ST110961,6/1/1997 12:00:00 AM,,147,35,14,Quakers Yard,2.5,Nelson (Caerphilly),Dwr Cymru Welsh Water,,Caerphilly,Nelson,
CF46 6EY,No,51.651253,-3.284942,311200,195500,ST111954,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,152,,,Quakers Yard,2.8,Nelson (Caerphilly),,,Caerphilly,Nelson,
CF46 6HA,Yes,51.651264,-3.287197,311044,195504,ST110955,1/1/1980 12:00:00 AM,,156,65,27,Quakers Yard,2.7,Nelson (Caerphilly),Dwr Cymru Welsh Water,,Caerphilly,Nelson,
CF46 6HB,Yes,51.651298,-3.291462,310749,195513,ST107955,1/1/1980 12:00:00 AM,,161,106,51,Quakers Yard,2.4,Nelson (Caerphilly),Dwr Cymru Welsh Water,,Caerphilly,Nelson,
CF46 6HD,Yes,51.652633,-3.292772,310661,195663,ST106956,1/1/1980 12:00:00 AM,,161,17,7,Quakers Yard,2.3,Nelson (Caerphilly),Dwr Cymru Welsh Water,,Caerphilly,Nelson,
CF46 6HE,Yes,51.651439,-3.295008,310504,195533,ST105955,1/1/1980 12:00:00 AM,,157,9,5,Quakers Yard,2.2,Nelson (Caerphilly),Dwr Cymru Welsh Water,,Caerphilly,Nelson,
CF46 6HF,Yes,51.649650,-3.294162,310559,195333,ST105953,1/1/1980 12:00:00 AM,,154,112,49,Quakers Yard,2.3,Nelson (Caerphilly),Dwr Cymru Welsh Water,,Caerphilly,Nelson,
CF46 6HG,Yes,51.648484,-3.288547,310945,195196,ST109951,1/1/1980 12:00:00 AM,,148,85,32,Abercynon,2.7,Nelson (Caerphilly),Dwr Cymru Welsh Water,,Caerphilly,Nelson,
CF46 6HH,Yes,51.648129,-3.294350,310543,195164,ST105951,1/1/1980 12:00:00 AM,,143,6,3,Abercynon,2.3,Nelson (Caerphilly),Dwr Cymru Welsh Water,,Caerphilly,Nelson,
CF46 6HJ,Yes,51.650664,-3.285330,311172,195435,ST111954,9/1/1991 12:00:00 AM,,153,132,53,Quakers Yard,2.8,Nelson (Caerphilly),Dwr Cymru Welsh Water,,Caerphilly,Nelson,
CF46 6HL,Yes,51.650077,-3.291312,310757,195377,ST107953,1/1/1980 12:00:00 AM,,158,153,60,Quakers Yard,2.5,Nelson (Caerphilly),Dwr Cymru Welsh Water,,Caerphilly,Nelson,
CF46 6HN,Yes,51.649777,-3.290797,310792,195343,ST107953,1/1/1980 12:00:00 AM,,156,116,42,Quakers Yard,2.5,Nelson (Caerphilly),Dwr Cymru Welsh Water,,Caerphilly,Nelson,
CF46 6HP,Yes,51.650707,-3.290027,310847,195445,ST108954,1/1/1980 12:00:00 AM,,160,13,11,Quakers Yard,2.5,Nelson (Caerphilly),Dwr Cymru Welsh Water,,Caerphilly,Nelson,
CF46 6HQ,Yes,51.649113,-3.290663,310800,195269,ST107952,1/1/1993 12:00:00 AM,,151,129,48,Abercynon,2.6,Nelson (Caerphilly),Dwr Cymru Welsh Water,,Caerphilly,Nelson,
CF46 6HR,No,51.650663,-3.289536,310881,195440,ST108954,1/1/1980 12:00:00 AM,9/1/2022 12:00:00 AM,159,,,Quakers Yard,2.6,Nelson (Caerphilly),Dwr Cymru Welsh Water,,Caerphilly,Nelson,
CF46 6HS,Yes,51.654978,-3.290439,310827,195921,ST108959,1/1/1980 12:00:00 AM,,156,35,16,Quakers Yard,2.3,Nelson (Caerphilly),Dwr Cymru Welsh Water,,Caerphilly,Nelson,
CF46 6HT,Yes,51.654159,-3.289766,310872,195829,ST108958,6/1/1981 12:00:00 AM,,158,86,50,Quakers Yard,2.4,Nelson (Caerphilly),Dwr Cymru Welsh Water,,Caerphilly,Nelson,
CF46 6HU,Yes,51.654061,-3.291309,310765,195820,ST107958,3/1/1982 12:00:00 AM,,157,28,12,Quakers Yard,2.3,Nelson (Caerphilly),Dwr Cymru Welsh Water,,Caerphilly,Nelson,
CF46 6HW,Yes,51.650353,-3.291580,310739,195408,ST107954,1/1/1980 12:00:00 AM,,160,11,5,Quakers Yard,2.4,Nelson (Caerphilly),Dwr Cymru Welsh Water,,Caerphilly,Nelson,
CF46 6HX,Yes,51.648151,-3.286545,311083,195157,ST110951,6/1/2000 12:00:00 AM,,149,94,32,Abercynon,2.8,Nelson (Caerphilly),Dwr Cymru Welsh Water,,Caerphilly,Nelson,
