Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
IV1 1FA,No,57.504941,-4.257070,264860,848330,NH648483,1/1/1998 12:00:00 AM,7/1/1998 12:00:00 AM,31,,,Inverness,3.4,North Kessock,Scottish Water,,Highland,Black Isle,
IV1 1GT,No,57.531914,-4.220650,267140,851260,NH671512,12/1/1990 12:00:00 AM,12/1/1995 12:00:00 AM,93,,,Inverness,5.8,,Scottish Water,,Highland,Black Isle,
IV1 1JU,No,57.505228,-4.256086,264920,848360,NH649483,5/1/1986 12:00:00 AM,12/1/1998 12:00:00 AM,32,,,Inverness,3.4,North Kessock,Scottish Water,,Highland,Black Isle,
IV1 1WX,No,57.505964,-4.260138,264680,848450,NH646484,5/1/1994 12:00:00 AM,12/1/1998 12:00:00 AM,28,,,Inverness,3.6,North Kessock,Scottish Water,,Highland,Black Isle,
IV1 1WY,No,57.506204,-4.261823,264580,848480,NH645484,5/1/1994 12:00:00 AM,12/1/1998 12:00:00 AM,24,,,Inverness,3.7,North Kessock,Scottish Water,,Highland,Black Isle,
IV1 1WZ,No,57.501359,-4.246333,265490,847910,NH654479,2/1/1994 12:00:00 AM,2/1/1995 12:00:00 AM,12,,,Inverness,2.8,North Kessock,Scottish Water,,Highland,Black Isle,
IV1 1XA,No,57.504872,-4.260906,264630,848330,NH646483,1/1/1980 12:00:00 AM,12/1/1998 12:00:00 AM,21,,,Inverness,3.6,North Kessock,Scottish Water,,Highland,Black Isle,
IV1 1XB,No,57.508698,-4.302713,262140,848840,NH621488,1/1/1980 12:00:00 AM,12/1/1998 12:00:00 AM,73,,,Inverness,5.7,,Scottish Water,,Highland,Dingwall and Seaforth,
IV1 1XD,No,57.523903,-4.311521,261670,850550,NH616505,1/1/1980 12:00:00 AM,12/1/1998 12:00:00 AM,49,,,Inverness,7.2,,Scottish Water,,Highland,Black Isle,
IV1 1XE,No,57.523543,-4.276926,263740,850440,NH637504,1/1/1980 12:00:00 AM,12/1/1998 12:00:00 AM,50,,,Inverness,5.8,,Scottish Water,,Highland,Black Isle,
IV1 1XF,No,57.530275,-4.252289,265240,851140,NH652511,1/1/1980 12:00:00 AM,12/1/1998 12:00:00 AM,116,,,Inverness,5.9,,Scottish Water,,Highland,Black Isle,
