Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
BD19 6PJ,Yes,53.718063,-1.753393,416372,424656,SE163246,11/1/2002 12:00:00 AM,,156,3,1,Brighouse,2.8,,Yorkshire Water,,Calderdale,Hipperholme and Lightcliffe,
BD19 6PQ,Yes,53.719301,-1.752568,416426,424794,SE164247,1/1/1980 12:00:00 AM,,163,5,3,Brighouse,2.9,,Yorkshire Water,,Calderdale,Hipperholme and Lightcliffe,
BD19 6WA,No,53.718991,-1.754751,416282,424759,SE162247,5/1/2002 12:00:00 AM,9/1/2003 12:00:00 AM,158,,,Brighouse,2.8,,,,Calderdale,Hipperholme and Lightcliffe,
BD19 6WB,No,53.718991,-1.754751,416282,424759,SE162247,1/1/2003 12:00:00 AM,2/1/2004 12:00:00 AM,158,,,Brighouse,2.8,,,,Calderdale,Hipperholme and Lightcliffe,
BD19 6WD,No,53.718991,-1.754751,416282,424759,SE162247,2/1/2004 12:00:00 AM,7/1/2005 12:00:00 AM,158,,,Brighouse,2.8,,,,Calderdale,Hipperholme and Lightcliffe,
BD19 6YJ,No,53.718463,-1.755997,416200,424700,SE162246,12/1/1999 12:00:00 AM,10/1/2000 12:00:00 AM,155,,,Brighouse,2.7,,,,Calderdale,Hipperholme and Lightcliffe,
BD19 6YX,No,53.718463,-1.755997,416200,424700,SE162246,12/1/1994 12:00:00 AM,1/1/1995 12:00:00 AM,155,,,Brighouse,2.7,,,,Calderdale,Hipperholme and Lightcliffe,
BD19 6YY,No,53.718463,-1.755997,416200,424700,SE162246,5/1/1994 12:00:00 AM,12/1/1996 12:00:00 AM,155,,,Brighouse,2.7,,,,Calderdale,Hipperholme and Lightcliffe,
HD2 2DX,Yes,53.672353,-1.827769,411476,419556,SE114195,1/1/1980 12:00:00 AM,,222,4,3,Huddersfield,3.9,Huddersfield,Yorkshire Water,,Calderdale,Elland,
HD2 2DY,Yes,53.672619,-1.827466,411496,419586,SE114195,1/1/1980 12:00:00 AM,,222,7,4,Huddersfield,3.9,Huddersfield,Yorkshire Water,,Calderdale,Elland,
HD2 2EA,Yes,53.672225,-1.826149,411583,419542,SE115195,1/1/1980 12:00:00 AM,,224,44,12,Huddersfield,3.8,Huddersfield,Yorkshire Water,,Calderdale,Elland,
HD2 2EB,Yes,53.671779,-1.824699,411679,419493,SE116194,1/1/1980 12:00:00 AM,,225,62,30,Huddersfield,3.7,Huddersfield,Yorkshire Water,,Calderdale,Elland,
HD2 2ED,Yes,53.671074,-1.825730,411611,419414,SE116194,1/1/1980 12:00:00 AM,,217,16,5,Huddersfield,3.7,Huddersfield,Yorkshire Water,,Calderdale,Elland,
