Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
TR10 9AF,Yes,50.174213,-5.152113,175025,35221,SW750352,1/1/1980 12:00:00 AM,,164,7,3,Penryn (Cornwall),2.9,,South West Water,,Cornwall,"Constantine, Mabe & Mawnan",
TR10 9AG,Yes,50.170128,-5.158490,174550,34786,SW745347,1/1/1980 12:00:00 AM,,179,4,1,Penryn (Cornwall),3.3,,South West Water,,Cornwall,"Lanner, Stithians & Gwennap",
TR10 9AH,Yes,50.172080,-5.119582,177337,34886,SW773348,7/1/2010 12:00:00 AM,,84,,,Penryn (Cornwall),0.6,Penryn,South West Water,,Cornwall,"Constantine, Mabe & Mawnan",
TR10 9AJ,Yes,50.171937,-5.121162,177224,34875,SW772348,7/1/2010 12:00:00 AM,,94,,,Penryn (Cornwall),0.7,Penryn,South West Water,,Cornwall,"Constantine, Mabe & Mawnan",
TR10 9AQ,Yes,50.165474,-5.162553,174238,34281,SW742342,1/1/1980 12:00:00 AM,,182,1,1,Penryn (Cornwall),3.7,,South West Water,,Cornwall,"Lanner, Stithians & Gwennap",
TR10 9AW,Yes,50.176433,-5.129902,176621,35401,SW766354,1/1/1980 12:00:00 AM,,131,14,4,Penryn (Cornwall),1.4,,South West Water,,Cornwall,"Constantine, Mabe & Mawnan",
TR10 9BD,Yes,50.172895,-5.121400,177211,34982,SW772349,7/1/2010 12:00:00 AM,,89,92,22,Penryn (Cornwall),0.7,Penryn,South West Water,,Cornwall,"Constantine, Mabe & Mawnan",
TR10 9BP,Yes,50.140398,-5.146186,175289,31444,SW752314,1/1/1980 12:00:00 AM,,104,32,14,Penryn (Cornwall),4.2,,South West Water,,Cornwall,"Constantine, Mabe & Mawnan",
TR10 9BS,Yes,50.141245,-5.156327,174568,31569,SW745315,1/1/1980 12:00:00 AM,,135,8,3,Penryn (Cornwall),4.6,,South West Water,,Cornwall,"Constantine, Mabe & Mawnan",
TR10 9BT,Yes,50.140233,-5.163504,174051,31478,SW740314,1/1/1980 12:00:00 AM,,142,22,7,Penryn (Cornwall),5.0,,South West Water,,Cornwall,"Constantine, Mabe & Mawnan",
TR10 9BU,Yes,50.145088,-5.176053,173177,32056,SW731320,1/1/1980 12:00:00 AM,,157,9,2,Penryn (Cornwall),5.4,,South West Water,,Cornwall,"Constantine, Mabe & Mawnan",
TR10 9BX,Yes,50.150081,-5.157568,174521,32555,SW745325,1/1/1980 12:00:00 AM,,157,8,5,Penryn (Cornwall),4.0,,South West Water,,Cornwall,"Constantine, Mabe & Mawnan",
TR10 9BY,Yes,50.153728,-5.164067,174074,32980,SW740329,1/1/1980 12:00:00 AM,,173,64,21,Penryn (Cornwall),4.2,,South West Water,,Cornwall,"Constantine, Mabe & Mawnan",
TR10 9BZ,Yes,50.162024,-5.166309,173953,33909,SW739339,1/1/1980 12:00:00 AM,,183,,,Penryn (Cornwall),4.0,,South West Water,,Cornwall,"Constantine, Mabe & Mawnan",
TR10 9DA,Yes,50.156833,-5.161436,174277,33317,SW742333,1/1/1980 12:00:00 AM,,166,11,4,Penryn (Cornwall),3.9,,South West Water,,Cornwall,"Constantine, Mabe & Mawnan",
TR10 9DF,Yes,50.169410,-5.128526,176686,34616,SW766346,2/1/2009 12:00:00 AM,,118,19,10,Penryn (Cornwall),1.2,Mabe Burnthouse,South West Water,,Cornwall,"Constantine, Mabe & Mawnan",
TR10 9DH,Yes,50.171709,-5.143677,175615,34917,SW756349,1/1/1980 12:00:00 AM,,155,9,3,Penryn (Cornwall),2.3,,South West Water,,Cornwall,"Constantine, Mabe & Mawnan",
TR10 9DJ,Yes,50.160620,-5.153417,174867,33714,SW748337,1/1/1980 12:00:00 AM,,179,2,1,Penryn (Cornwall),3.2,,South West Water,,Cornwall,"Constantine, Mabe & Mawnan",
TR10 9DL,Yes,50.164324,-5.158864,174496,34142,SW744341,1/1/1980 12:00:00 AM,,177,29,12,Penryn (Cornwall),3.4,,South West Water,,Cornwall,"Lanner, Stithians & Gwennap",
TR10 9DN,Yes,50.163481,-5.161686,174290,34057,SW742340,1/1/1980 12:00:00 AM,,168,25,8,Penryn (Cornwall),3.7,,South West Water,,Cornwall,"Lanner, Stithians & Gwennap",
TR10 9DP,Yes,50.164501,-5.159982,174417,34165,SW744341,1/1/1980 12:00:00 AM,,179,25,8,Penryn (Cornwall),3.5,,South West Water,,Cornwall,"Lanner, Stithians & Gwennap",
TR10 9DR,Yes,50.164882,-5.161505,174310,34212,SW743342,1/1/1980 12:00:00 AM,,182,35,15,Penryn (Cornwall),3.6,,South West Water,,Cornwall,"Lanner, Stithians & Gwennap",
TR10 9DS,Yes,50.165323,-5.167396,173891,34279,SW738342,1/1/1980 12:00:00 AM,,182,14,7,Penryn (Cornwall),4.0,,South West Water,,Cornwall,"Lanner, Stithians & Gwennap",
