Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
CB1 0AA,Yes,52.192267,0.137208,546184,257044,TL461570,6/1/2024 12:00:00 AM,,11,,,Cambridge,0.2,Cambridge (Cambridge),Cambridge Water,Anglian Water,Cambridge,Coleridge,
CB1 0AB,Yes,52.192267,0.137208,546184,257044,TL461570,6/1/2024 12:00:00 AM,,11,,,Cambridge,0.2,Cambridge (Cambridge),Cambridge Water,Anglian Water,Cambridge,Coleridge,
CB1 0AD,No,52.192267,0.137208,546184,257044,TL461570,12/1/2020 12:00:00 AM,2/1/2021 12:00:00 AM,11,,,Cambridge,0.2,Cambridge (Cambridge),Cambridge Water,Anglian Water,Cambridge,Coleridge,Romsey
CB1 0AE,Yes,52.192267,0.137208,546184,257044,TL461570,6/1/2024 12:00:00 AM,,11,,,Cambridge,0.2,Cambridge (Cambridge),Cambridge Water,Anglian Water,Cambridge,Coleridge,
CB1 0AF,No,52.192267,0.137208,546184,257044,TL461570,6/1/2024 12:00:00 AM,7/1/2024 12:00:00 AM,11,,,Cambridge,0.2,Cambridge (Cambridge),Cambridge Water,Anglian Water,Cambridge,Coleridge,
CB1 0AG,Yes,52.192267,0.137208,546184,257044,TL461570,6/1/2024 12:00:00 AM,,11,,,Cambridge,0.2,Cambridge (Cambridge),Cambridge Water,Anglian Water,Cambridge,Coleridge,
CB1 0AH,Yes,52.192254,0.137179,546182,257043,TL461570,6/1/2005 12:00:00 AM,,17,,,Cambridge,0.2,Cambridge (Cambridge),Cambridge Water,Anglian Water,Cambridge,Coleridge,Romsey
CB1 0AJ,Yes,52.192267,0.137208,546184,257044,TL461570,7/1/2024 12:00:00 AM,,11,,,Cambridge,0.2,Cambridge (Cambridge),Cambridge Water,Anglian Water,Cambridge,Coleridge,Romsey
CB1 0AL,No,52.192267,0.137208,546184,257044,TL461570,3/1/2023 12:00:00 AM,7/1/2023 12:00:00 AM,11,,,Cambridge,0.2,Cambridge (Cambridge),,,Cambridge,Coleridge,Romsey
CB1 0AN,Yes,52.192254,0.137179,546182,257043,TL461570,7/1/2005 12:00:00 AM,,17,,,Cambridge,0.2,Cambridge (Cambridge),Cambridge Water,Anglian Water,Cambridge,Coleridge,Romsey
CB1 0AP,Yes,52.192267,0.137208,546184,257044,TL461570,7/1/2024 12:00:00 AM,,17,,,Cambridge,0.2,Cambridge (Cambridge),,,Cambridge,Coleridge,Romsey
CB1 0AQ,No,52.192267,0.137208,546184,257044,TL461570,10/1/2017 12:00:00 AM,5/1/2018 12:00:00 AM,11,,,Cambridge,0.2,Cambridge (Cambridge),Cambridge Water,Anglian Water,Cambridge,Coleridge,Romsey
CB1 0AR,No,52.192267,0.137208,546184,257044,TL461570,5/1/2023 12:00:00 AM,6/1/2024 12:00:00 AM,15,,,Cambridge,0.2,Cambridge (Cambridge),,,Cambridge,Coleridge,Romsey
CB1 0AS,No,52.192267,0.137208,546184,257044,TL461570,10/1/2017 12:00:00 AM,5/1/2018 12:00:00 AM,11,,,Cambridge,0.2,Cambridge (Cambridge),Cambridge Water,Anglian Water,Cambridge,Coleridge,Romsey
CB1 0AT,No,52.192267,0.137208,546184,257044,TL461570,11/1/2017 12:00:00 AM,5/1/2018 12:00:00 AM,11,,,Cambridge,0.2,Cambridge (Cambridge),,,Cambridge,Coleridge,Romsey
CB1 0AU,No,52.192267,0.137208,546184,257044,TL461570,1/1/2019 12:00:00 AM,12/1/2019 12:00:00 AM,10,,,Cambridge,0.2,Cambridge (Cambridge),,,Cambridge,Coleridge,Romsey
CB1 0AW,No,52.192267,0.137208,546184,257044,TL461570,5/1/2023 12:00:00 AM,9/1/2023 12:00:00 AM,11,,,Cambridge,0.2,Cambridge (Cambridge),,,Cambridge,Coleridge,Romsey
CB1 0AX,No,52.192267,0.137208,546184,257044,TL461570,12/1/2017 12:00:00 AM,7/1/2018 12:00:00 AM,11,,,Cambridge,0.2,Cambridge (Cambridge),,,Cambridge,Coleridge,Romsey
CB1 0AY,No,52.192267,0.137208,546184,257044,TL461570,12/1/2017 12:00:00 AM,7/1/2018 12:00:00 AM,11,,,Cambridge,0.2,Cambridge (Cambridge),,,Cambridge,Coleridge,Romsey
CB1 0AZ,No,52.192267,0.137208,546184,257044,TL461570,4/1/2020 12:00:00 AM,5/1/2020 12:00:00 AM,11,,,Cambridge,0.2,Cambridge (Cambridge),,,Cambridge,Coleridge,Romsey
CB1 0BA,No,52.192267,0.137208,546184,257044,TL461570,1/1/2018 12:00:00 AM,7/1/2018 12:00:00 AM,10,,,Cambridge,0.2,Cambridge (Cambridge),,,Cambridge,Coleridge,Romsey
CB1 0BB,No,52.192267,0.137208,546184,257044,TL461570,1/1/2018 12:00:00 AM,1/1/2024 12:00:00 AM,11,,,Cambridge,0.2,Cambridge (Cambridge),,,Cambridge,Coleridge,Romsey
CB1 0BD,No,52.192254,0.137179,546182,257043,TL461570,10/1/2005 12:00:00 AM,9/1/2018 12:00:00 AM,17,,,Cambridge,0.2,Cambridge (Cambridge),Cambridge Water,Anglian Water,Cambridge,Coleridge,Romsey
CB1 0BE,Yes,52.192267,0.137208,546184,257044,TL461570,1/1/2018 12:00:00 AM,,11,,,Cambridge,0.2,Cambridge (Cambridge),,,Cambridge,Coleridge,Romsey
