Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
CF1 1RH,No,51.512553,-3.221950,315300,180000,ST152800,1/1/1980 12:00:00 AM,12/1/1984 12:00:00 AM,33,,,Llandaf,0.6,Cardiff,,,Cardiff,Whitchurch and Tongwynlais,
CF14 0AA,Yes,51.535672,-3.161806,319514,182503,ST195825,12/1/2020 12:00:00 AM,,36,,,Llanishen,1.4,Cardiff,,,Cardiff,Lisvane and Thornhill,
CF14 0AB,Yes,51.535540,-3.159611,319666,182486,ST196824,11/1/2020 12:00:00 AM,,35,,,Llanishen,1.6,Cardiff,,,Cardiff,Lisvane and Thornhill,
CF14 0AD,Yes,51.545674,-3.166878,319180,183621,ST191836,4/1/2021 12:00:00 AM,,76,,,Lisvane and Thornhill,1.3,,,,Cardiff,Lisvane and Thornhill,
CF14 0AE,Yes,51.541334,-3.170256,318938,183142,ST189831,5/1/2020 12:00:00 AM,,84,,,Lisvane and Thornhill,1.1,Cardiff,,,Cardiff,Lisvane and Thornhill,
CF14 0AF,Yes,51.536326,-3.160208,319626,182574,ST196825,6/1/2021 12:00:00 AM,,36,,,Llanishen,1.6,Cardiff,,,Cardiff,Lisvane and Thornhill,
CF14 0AG,Yes,51.536857,-3.160178,319629,182633,ST196826,5/1/2022 12:00:00 AM,,39,,,Llanishen,1.6,Cardiff,,,Cardiff,Lisvane and Thornhill,
CF14 0AH,Yes,51.537047,-3.170017,318947,182665,ST189826,4/1/2021 12:00:00 AM,,102,,,Llanishen,1.0,Cardiff,,,Cardiff,Lisvane and Thornhill,
CF14 0AJ,Yes,51.538028,-3.163582,319395,182767,ST193827,2/1/2022 12:00:00 AM,,51,,,Llanishen,1.4,Cardiff,,,Cardiff,Lisvane and Thornhill,
CF14 0AL,Yes,51.538339,-3.163013,319435,182801,ST194828,1/1/2024 12:00:00 AM,,49,,,Llanishen,1.5,Cardiff,,,Cardiff,Lisvane and Thornhill,
CF14 0AN,Yes,51.538389,-3.165264,319279,182809,ST192828,11/1/2021 12:00:00 AM,,101,,,Llanishen,1.3,Cardiff,,,Cardiff,Lisvane and Thornhill,
CF14 0AS,Yes,51.537951,-3.161331,319551,182756,ST195827,1/1/2024 12:00:00 AM,,48,,,Llanishen,1.5,Cardiff,,,Cardiff,Lisvane and Thornhill,
CF14 0AT,Yes,51.545941,-3.188733,317665,183675,ST176836,5/1/2008 12:00:00 AM,,105,28,17,Lisvane and Thornhill,0.3,Cardiff,Dwr Cymru Welsh Water,,Cardiff,Lisvane and Thornhill,
CF14 0AU,Yes,51.537059,-3.172382,318783,182669,ST187826,11/1/2022 12:00:00 AM,,62,,,Llanishen,0.8,Cardiff,,,Cardiff,Lisvane and Thornhill,
CF14 0AW,Yes,51.532093,-3.159091,319696,182102,ST196821,4/1/2023 12:00:00 AM,,56,,,Llanishen,1.6,,,,Cardiff,Lisvane and Thornhill,
CF14 0AX,Yes,51.544195,-3.163711,319397,183453,ST193834,11/1/2023 12:00:00 AM,,60,,,Lisvane and Thornhill,1.5,Cardiff,,,Cardiff,Lisvane and Thornhill,
CF14 0AY,Yes,51.543626,-3.180977,318199,183409,ST181834,6/1/1999 12:00:00 AM,,98,26,10,Lisvane and Thornhill,0.3,Cardiff,Dwr Cymru Welsh Water,,Cardiff,Lisvane and Thornhill,
CF14 0AZ,No,51.536652,-3.177927,318398,182630,ST183826,6/1/1999 12:00:00 AM,12/1/1999 12:00:00 AM,71,,,Llanishen,0.5,Cardiff,,,Cardiff,Lisvane and Thornhill,
CF14 0BA,Yes,51.535167,-3.161937,319504,182447,ST195824,6/1/2023 12:00:00 AM,,36,,,Llanishen,1.4,Cardiff,,,Cardiff,Lisvane and Thornhill,
CF14 0BB,Yes,51.544609,-3.182627,318086,183520,ST180835,6/1/2023 12:00:00 AM,,98,,,Lisvane and Thornhill,0.2,Cardiff,,,Cardiff,Lisvane and Thornhill,
CF14 0BD,Yes,51.544607,-3.182617,318087,183520,ST180835,6/1/1999 12:00:00 AM,,99,32,11,Lisvane and Thornhill,0.2,Cardiff,Dwr Cymru Welsh Water,,Cardiff,Lisvane and Thornhill,
CF14 0BE,Yes,51.545351,-3.182839,318073,183603,ST180836,6/1/1999 12:00:00 AM,,98,98,39,Lisvane and Thornhill,0.2,Cardiff,Dwr Cymru Welsh Water,,Cardiff,Lisvane and Thornhill,
CF14 0BF,Yes,51.535659,-3.149406,320374,182488,ST203824,11/1/2023 12:00:00 AM,,61,,,Llanishen,2.3,Cardiff,,,Cardiff,Pontprennau and Old St Mellons,
CF14 0BG,Yes,51.534132,-3.177338,318434,182349,ST184823,5/1/2009 12:00:00 AM,,58,4,3,Llanishen,0.4,Cardiff,Dwr Cymru Welsh Water,,Cardiff,Llanishen,
CF14 0EP,Yes,51.545926,-3.182940,318067,183667,ST180836,6/1/1999 12:00:00 AM,,97,24,9,Lisvane and Thornhill,0.2,Cardiff,Dwr Cymru Welsh Water,,Cardiff,Lisvane and Thornhill,
CF14 0EQ,Yes,51.536254,-3.172741,318757,182580,ST187825,6/1/1999 12:00:00 AM,,60,15,5,Llanishen,0.7,Cardiff,Dwr Cymru Welsh Water,,Cardiff,Lisvane and Thornhill,
CF14 0ER,Yes,51.539164,-3.170364,318927,182901,ST189829,6/1/1999 12:00:00 AM,,73,16,8,Llanishen,1.1,Cardiff,Dwr Cymru Welsh Water,,Cardiff,Lisvane and Thornhill,
CF14 0ES,Yes,51.536417,-3.175383,318574,182601,ST185826,6/1/1999 12:00:00 AM,,66,17,7,Llanishen,0.6,Cardiff,Dwr Cymru Welsh Water,,Cardiff,Lisvane and Thornhill,
CF14 0ET,Yes,51.535534,-3.178201,318377,182506,ST183825,6/1/1999 12:00:00 AM,,62,27,9,Llanishen,0.4,Cardiff,Dwr Cymru Welsh Water,,Cardiff,Lisvane and Thornhill,
CF14 0EU,Yes,51.540368,-3.177691,318421,183043,ST184830,6/1/1999 12:00:00 AM,,90,20,8,Lisvane and Thornhill,0.7,Cardiff,Dwr Cymru Welsh Water,,Cardiff,Lisvane and Thornhill,
CF14 0EW,Yes,51.534313,-3.175300,318576,182367,ST185823,6/1/1999 12:00:00 AM,,56,26,9,Llanishen,0.5,Cardiff,Dwr Cymru Welsh Water,,Cardiff,Lisvane and Thornhill,
CF14 0EX,Yes,51.536754,-3.174147,318660,182637,ST186826,6/1/1999 12:00:00 AM,,66,11,5,Llanishen,0.7,Cardiff,Dwr Cymru Welsh Water,,Cardiff,Lisvane and Thornhill,
CF14 0EY,Yes,51.536489,-3.174462,318638,182608,ST186826,6/1/1999 12:00:00 AM,,64,12,6,Llanishen,0.7,Cardiff,Dwr Cymru Welsh Water,,Cardiff,Lisvane and Thornhill,
CF14 0EZ,Yes,51.535542,-3.175577,318559,182504,ST185825,6/1/1999 12:00:00 AM,,60,101,38,Llanishen,0.5,Cardiff,Dwr Cymru Welsh Water,,Cardiff,Lisvane and Thornhill,
CF14 0FJ,Yes,51.544360,-3.175876,318554,183485,ST185834,6/1/1999 12:00:00 AM,,99,33,12,Lisvane and Thornhill,0.7,Cardiff,Dwr Cymru Welsh Water,,Cardiff,Lisvane and Thornhill,
CF14 0FL,Yes,51.545230,-3.190435,317546,183598,ST175835,6/1/1999 12:00:00 AM,,112,141,48,Lisvane and Thornhill,0.3,Cardiff,Dwr Cymru Welsh Water,,Cardiff,Lisvane and Thornhill,
CF14 0FZ,No,51.536103,-3.177985,318393,182569,ST183825,4/1/1999 12:00:00 AM,9/1/2000 12:00:00 AM,66,,,Llanishen,0.5,Cardiff,,,Cardiff,Lisvane and Thornhill,
CF14 0GA,Yes,51.535573,-3.181475,318150,182514,ST181825,6/1/1999 12:00:00 AM,,72,61,24,Llanishen,0.3,Cardiff,Dwr Cymru Welsh Water,,Cardiff,Lisvane and Thornhill,
CF14 0GB,Yes,51.535910,-3.181902,318121,182552,ST181825,6/1/1999 12:00:00 AM,,74,28,10,Llanishen,0.4,Cardiff,Dwr Cymru Welsh Water,,Cardiff,Lisvane and Thornhill,
CF14 0GD,Yes,51.545521,-3.178488,318375,183617,ST183836,6/1/1999 12:00:00 AM,,105,70,23,Lisvane and Thornhill,0.5,Cardiff,Dwr Cymru Welsh Water,,Cardiff,Lisvane and Thornhill,
CF14 0GE,Yes,51.545866,-3.177300,318458,183654,ST184836,6/1/1999 12:00:00 AM,,104,43,15,Lisvane and Thornhill,0.6,Cardiff,Dwr Cymru Welsh Water,,Cardiff,Lisvane and Thornhill,
CF14 0GF,Yes,51.545965,-3.178182,318397,183666,ST183836,6/1/1999 12:00:00 AM,,105,30,10,Lisvane and Thornhill,0.5,Cardiff,Dwr Cymru Welsh Water,,Cardiff,Lisvane and Thornhill,
CF14 0GP,No,51.522153,-3.194273,317238,181036,ST172810,9/1/2010 12:00:00 AM,11/1/2012 12:00:00 AM,38,,,Ty Glas,0.2,Cardiff,,,Cardiff,Llanishen,
CF14 0GQ,No,51.536652,-3.177927,318398,182630,ST183826,6/1/1999 12:00:00 AM,12/1/1999 12:00:00 AM,71,,,Llanishen,0.5,Cardiff,,,Cardiff,Lisvane and Thornhill,
CF14 0GU,Yes,51.542061,-3.178451,318371,183232,ST183832,6/1/1999 12:00:00 AM,,93,5,2,Lisvane and Thornhill,0.6,Cardiff,Dwr Cymru Welsh Water,,Cardiff,Lisvane and Thornhill,
CF14 0HY,Yes,51.545317,-3.139108,321105,183551,ST211835,6/1/1999 12:00:00 AM,,76,4,1,Lisvane and Thornhill,3.2,,Dwr Cymru Welsh Water,,Cardiff,Pontprennau and Old St Mellons,
CF14 0JB,Yes,51.545817,-3.175885,318556,183647,ST185836,6/1/1999 12:00:00 AM,,102,21,7,Lisvane and Thornhill,0.7,Cardiff,Dwr Cymru Welsh Water,,Cardiff,Lisvane and Thornhill,
CF14 0JE,Yes,51.536493,-3.180470,318221,182615,ST182826,6/1/1999 12:00:00 AM,,71,6,3,Llanishen,0.4,Cardiff,Dwr Cymru Welsh Water,,Cardiff,Lisvane and Thornhill,
CF14 0LY,Yes,51.525614,-3.181197,318151,181406,ST181814,6/1/1999 12:00:00 AM,,49,39,17,Llanishen,0.8,Cardiff,Dwr Cymru Welsh Water,,Cardiff,Llanishen,
CF14 0NE,Yes,51.525770,-3.180731,318184,181423,ST181814,6/1/1999 12:00:00 AM,,49,98,43,Llanishen,0.8,Cardiff,Dwr Cymru Welsh Water,,Cardiff,Llanishen,
CF14 0NG,Yes,51.527039,-3.180773,318183,181564,ST181815,6/1/1999 12:00:00 AM,,49,3,2,Llanishen,0.6,Cardiff,Dwr Cymru Welsh Water,,Cardiff,Llanishen,
CF14 0NJ,Yes,51.527770,-3.183199,318016,181648,ST180816,6/1/1999 12:00:00 AM,,50,8,5,Llanishen,0.6,Cardiff,Dwr Cymru Welsh Water,,Cardiff,Llanishen,
CF14 0NN,Yes,51.527357,-3.178720,318326,181597,ST183815,6/1/1999 12:00:00 AM,,48,45,18,Llanishen,0.6,Cardiff,Dwr Cymru Welsh Water,,Cardiff,Llanishen,
CF14 0NP,Yes,51.527908,-3.180094,318232,181660,ST182816,6/1/1999 12:00:00 AM,,49,83,33,Llanishen,0.6,Cardiff,Dwr Cymru Welsh Water,,Cardiff,Llanishen,
CF14 0NQ,Yes,51.528567,-3.179780,318255,181733,ST182817,6/1/1999 12:00:00 AM,,50,45,18,Llanishen,0.5,Cardiff,Dwr Cymru Welsh Water,,Cardiff,Llanishen,
CF14 0NR,Yes,51.526200,-3.180007,318235,181470,ST182814,6/1/1999 12:00:00 AM,,48,47,18,Llanishen,0.7,Cardiff,Dwr Cymru Welsh Water,,Cardiff,Llanishen,
CF14 0NS,Yes,51.526451,-3.178341,318351,181496,ST183814,6/1/1999 12:00:00 AM,,48,30,11,Llanishen,0.7,Cardiff,Dwr Cymru Welsh Water,,Cardiff,Llanishen,
CF14 0NT,Yes,51.525460,-3.179521,318267,181387,ST182813,6/1/1999 12:00:00 AM,,47,46,17,Llanishen,0.8,Cardiff,Dwr Cymru Welsh Water,,Cardiff,Llanishen,
CF14 0PB,Yes,51.525016,-3.179717,318253,181338,ST182813,6/1/1999 12:00:00 AM,,46,29,23,Llanishen,0.9,Cardiff,Dwr Cymru Welsh Water,,Cardiff,Cyncoed,
CF14 0PE,Yes,51.539475,-3.165325,319277,182930,ST192829,6/1/1999 12:00:00 AM,,67,1,1,Llanishen,1.4,Cardiff,Dwr Cymru Welsh Water,,Cardiff,Lisvane and Thornhill,
CF14 0PF,Yes,51.536576,-3.148353,320449,182589,ST204825,6/1/1999 12:00:00 AM,,68,24,10,Llanishen,2.4,Cardiff,Dwr Cymru Welsh Water,,Cardiff,Pontprennau and Old St Mellons,
CF14 0PJ,Yes,51.542301,-3.138490,321143,183215,ST211832,6/1/1999 12:00:00 AM,,70,16,5,Llanishen,3.2,Cardiff,Dwr Cymru Welsh Water,,Cardiff,Pontprennau and Old St Mellons,
CF14 0PN,Yes,51.532144,-3.180031,318244,182131,ST182821,6/1/1999 12:00:00 AM,,65,11,3,Llanishen,0.2,Cardiff,Dwr Cymru Welsh Water,,Cardiff,Llanishen,
CF14 0PQ,Yes,51.534112,-3.159445,319675,182327,ST196823,4/1/2019 12:00:00 AM,,31,,,Llanishen,1.6,Cardiff,,,Cardiff,Lisvane and Thornhill,
CF14 0RA,Yes,51.532022,-3.180518,318210,182118,ST182821,6/1/1999 12:00:00 AM,,66,18,9,Llanishen,0.1,Cardiff,Dwr Cymru Welsh Water,,Cardiff,Llanishen,
CF14 0RB,Yes,51.530931,-3.179019,318312,181995,ST183819,6/1/1999 12:00:00 AM,,55,26,10,Llanishen,0.3,Cardiff,Dwr Cymru Welsh Water,,Cardiff,Llanishen,
CF14 0RD,Yes,51.530621,-3.179472,318280,181961,ST182819,6/1/1999 12:00:00 AM,,55,39,14,Llanishen,0.3,Cardiff,Dwr Cymru Welsh Water,,Cardiff,Llanishen,
CF14 0RE,Yes,51.530341,-3.180474,318210,181931,ST182819,6/1/1999 12:00:00 AM,,57,82,31,Llanishen,0.3,Cardiff,Dwr Cymru Welsh Water,,Cardiff,Llanishen,
