Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
CF1 1AA,No,51.469744,-3.187692,317600,175200,ST175752,1/1/1993 12:00:00 AM,6/1/1999 12:00:00 AM,8,,,Grangetown (Cardiff),0.3,Cardiff,,,Cardiff,Grangetown,
CF1 1AB,No,51.469744,-3.187692,317600,175200,ST175752,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,8,,,Grangetown (Cardiff),0.3,Cardiff,,,Cardiff,Grangetown,
CF1 1AD,No,51.477907,-3.180704,318100,176100,ST180761,1/1/1980 12:00:00 AM,12/1/1990 12:00:00 AM,16,,,Cardiff Central,0.2,Cardiff,,,Cardiff,Cathays,
CF1 1BU,No,51.469744,-3.187692,317600,175200,ST175752,2/1/1990 12:00:00 AM,6/1/1999 12:00:00 AM,8,,,Grangetown (Cardiff),0.3,Cardiff,,,Cardiff,Grangetown,
CF1 1DA,No,51.479690,-3.182190,318000,176300,ST179762,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,17,,,Cardiff Central,0.5,Cardiff,,,Cardiff,Cathays,
CF1 1DB,No,51.477907,-3.180704,318100,176100,ST180761,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,16,,,Cardiff Central,0.2,Cardiff,,,Cardiff,Cathays,
CF1 1DD,No,51.478806,-3.180727,318100,176200,ST181762,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,18,,,Cardiff Central,0.3,Cardiff,,,Cardiff,Cathays,
CF1 1DE,No,51.479690,-3.182190,318000,176300,ST179762,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,17,,,Cardiff Central,0.5,Cardiff,,,Cardiff,Cathays,
CF1 1DF,No,51.479690,-3.182190,318000,176300,ST179762,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,17,,,Cardiff Central,0.5,Cardiff,,,Cardiff,Cathays,
CF1 1DG,No,51.479690,-3.182190,318000,176300,ST179762,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,17,,,Cardiff Central,0.5,Cardiff,,,Cardiff,Cathays,
CF1 1DH,No,51.479676,-3.183630,317900,176300,ST178763,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,15,,,Cardiff Central,0.5,Cardiff,,,Cardiff,Cathays,
CF1 1DJ,No,51.479676,-3.183630,317900,176300,ST178763,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,15,,,Cardiff Central,0.5,Cardiff,,,Cardiff,Cathays,
CF1 1DL,No,51.479676,-3.183630,317900,176300,ST178763,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,15,,,Cardiff Central,0.5,Cardiff,,,Cardiff,Cathays,
CF1 1DN,No,51.479676,-3.183630,317900,176300,ST178763,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,15,,,Cardiff Central,0.5,Cardiff,,,Cardiff,Cathays,
CF1 1DP,No,51.479705,-3.180750,318100,176300,ST181763,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,16,,,Cardiff Central,0.4,Cardiff,,,Cardiff,Cathays,
CF1 1DU,No,51.479719,-3.179311,318200,176300,ST181762,7/1/1986 12:00:00 AM,6/1/1996 12:00:00 AM,18,,,Cardiff Central,0.4,Cardiff,,,Cardiff,Cathays,
CF1 1DW,No,51.477022,-3.179241,318200,176000,ST181759,10/1/1984 12:00:00 AM,6/1/1999 12:00:00 AM,14,,,Cardiff Central,0.1,Cardiff,,,Cardiff,Cathays,
CF1 1DX,No,51.478820,-3.179287,318200,176200,ST182761,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,17,,,Cardiff Central,0.3,Cardiff,,,Cardiff,Cathays,
CF1 1DY,No,51.479705,-3.180750,318100,176300,ST181763,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,16,,,Cardiff Central,0.4,Cardiff,,,Cardiff,Cathays,
CF1 1DZ,No,51.479705,-3.180750,318100,176300,ST181763,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,16,,,Cardiff Central,0.4,Cardiff,,,Cardiff,Cathays,
CF1 1EA,No,51.479690,-3.182190,318000,176300,ST179762,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,17,,,Cardiff Central,0.5,Cardiff,,,Cardiff,Cathays,
CF1 1EB,No,51.478806,-3.180727,318100,176200,ST181762,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,18,,,Cardiff Central,0.3,Cardiff,,,Cardiff,Cathays,
CF1 1ED,No,51.478820,-3.179287,318200,176200,ST182761,6/1/1981 12:00:00 AM,6/1/1999 12:00:00 AM,17,,,Cardiff Central,0.3,Cardiff,,,Cardiff,Cathays,
CF1 1EH,No,51.477921,-3.179264,318200,176100,ST182760,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,16,,,Cardiff Central,0.2,Cardiff,,,Cardiff,Cathays,
CF1 1EJ,No,51.479690,-3.182190,318000,176300,ST179762,4/1/1985 12:00:00 AM,6/1/1999 12:00:00 AM,17,,,Cardiff Central,0.5,Cardiff,,,Cardiff,Cathays,
CF1 1EL,No,51.476094,-3.182097,318000,175900,ST179758,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,12,,,Cardiff Central,0.2,Cardiff,,,Cardiff,Cathays,
CF1 1EN,No,51.477008,-3.180681,318100,176000,ST180760,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,13,,,Cardiff Central,0.1,Cardiff,,,Cardiff,Cathays,
CF1 1EP,No,51.477022,-3.179241,318200,176000,ST181759,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,14,,,Cardiff Central,0.1,Cardiff,Dwr Cymru Welsh Water,,Cardiff,Cathays,
CF1 1EQ,No,51.477022,-3.179241,318200,176000,ST181759,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,14,,,Cardiff Central,0.1,Cardiff,Dwr Cymru Welsh Water,,Cardiff,Cathays,
CF1 1ER,No,51.477008,-3.180681,318100,176000,ST180760,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,13,,,Cardiff Central,0.1,Cardiff,,,Cardiff,Cathays,
CF1 1ES,No,51.477008,-3.180681,318100,176000,ST180760,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,13,,,Cardiff Central,0.1,Cardiff,,,Cardiff,Cathays,
CF1 1EU,No,51.477008,-3.180681,318100,176000,ST180760,9/1/1991 12:00:00 AM,6/1/1996 12:00:00 AM,13,,,Cardiff Central,0.1,Cardiff,,,Cardiff,Cathays,
CF1 1EW,No,51.477022,-3.179241,318200,176000,ST181759,10/1/1985 12:00:00 AM,6/1/1999 12:00:00 AM,14,,,Cardiff Central,0.1,Cardiff,Dwr Cymru Welsh Water,,Cardiff,Cathays,
CF1 1EX,No,51.477022,-3.179241,318200,176000,ST181759,6/1/1981 12:00:00 AM,7/1/1997 12:00:00 AM,14,,,Cardiff Central,0.1,Cardiff,,,Cardiff,Cathays,
CF1 1EY,No,51.477037,-3.177801,318300,176000,ST183760,9/1/1991 12:00:00 AM,6/1/1999 12:00:00 AM,14,,,Cardiff Central,0.2,Cardiff,Dwr Cymru Welsh Water,,Cardiff,Cathays,
CF1 1EZ,No,51.477051,-3.176362,318400,176000,ST183759,7/1/1986 12:00:00 AM,6/1/1999 12:00:00 AM,14,,,Cardiff Central,0.2,Cardiff,,,Cardiff,Cathays,
CF1 1FA,No,51.476138,-3.177778,318300,175900,ST183759,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,13,,,Cardiff Central,0.1,Cardiff,,,Cardiff,Cathays,
CF1 1FB,No,51.477037,-3.177801,318300,176000,ST183760,9/1/1991 12:00:00 AM,12/1/1994 12:00:00 AM,14,,,Cardiff Central,0.2,Cardiff,,,Cardiff,Cathays,
CF1 1FD,No,51.477037,-3.177801,318300,176000,ST183760,1/1/1991 12:00:00 AM,12/1/1994 12:00:00 AM,14,,,Cardiff Central,0.2,Cardiff,,,Cardiff,Cathays,
CF1 1FE,No,51.477037,-3.177801,318300,176000,ST183760,10/1/1985 12:00:00 AM,6/1/1999 12:00:00 AM,14,,,Cardiff Central,0.2,Cardiff,,,Cardiff,Cathays,
CF1 1FF,No,51.477950,-3.176385,318400,176100,ST183760,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,15,,,Cardiff Central,0.3,Cardiff,,,Cardiff,Cathays,
CF1 1FG,No,51.477950,-3.176385,318400,176100,ST183760,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,15,,,Cardiff Central,0.3,Cardiff,,,Cardiff,Cathays,
CF1 1FH,No,51.477037,-3.177801,318300,176000,ST183760,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,14,,,Cardiff Central,0.2,Cardiff,,,Cardiff,Cathays,
CF1 1FJ,No,51.477037,-3.177801,318300,176000,ST183760,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,14,,,Cardiff Central,0.2,Cardiff,,,Cardiff,Cathays,
CF1 1FL,No,51.477051,-3.176362,318400,176000,ST183759,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,14,,,Cardiff Central,0.2,Cardiff,,,Cardiff,Cathays,
CF1 1FN,No,51.477950,-3.176385,318400,176100,ST183760,1/1/1980 12:00:00 AM,12/1/1990 12:00:00 AM,15,,,Cardiff Central,0.3,Cardiff,,,Cardiff,Cathays,
CF1 1GP,No,51.480506,-3.183305,317924,176392,ST179763,1/1/1991 12:00:00 AM,12/1/1997 12:00:00 AM,14,,,Cardiff Central,0.6,Cardiff,,,Cardiff,Cathays,
CF1 1GR,No,51.477950,-3.176385,318400,176100,ST183760,1/1/1995 12:00:00 AM,6/1/1999 12:00:00 AM,15,,,Cardiff Central,0.3,Cardiff,,,Cardiff,Cathays,
CF1 1HA,No,51.480506,-3.183291,317925,176392,ST179763,1/1/1983 12:00:00 AM,6/1/1999 12:00:00 AM,14,,,Cardiff Central,0.6,Cardiff,,,Cardiff,Cathays,
CF1 1HB,No,51.480506,-3.183291,317925,176392,ST179763,1/1/1983 12:00:00 AM,6/1/1999 12:00:00 AM,14,,,Cardiff Central,0.6,Cardiff,,,Cardiff,Cathays,
CF1 1HD,No,51.480506,-3.183291,317925,176392,ST179763,1/1/1983 12:00:00 AM,6/1/1999 12:00:00 AM,14,,,Cardiff Central,0.6,Cardiff,,,Cardiff,Cathays,
CF1 1HE,No,51.480506,-3.183291,317925,176392,ST179763,2/1/1990 12:00:00 AM,6/1/1999 12:00:00 AM,14,,,Cardiff Central,0.6,Cardiff,,,Cardiff,Cathays,
CF1 1HF,No,51.480506,-3.183291,317925,176392,ST179763,12/1/1997 12:00:00 AM,6/1/1999 12:00:00 AM,14,,,Cardiff Central,0.6,Cardiff,,,Cardiff,Cathays,
CF1 1HH,No,51.480506,-3.183291,317925,176392,ST179763,1/1/1983 12:00:00 AM,6/1/1999 12:00:00 AM,14,,,Cardiff Central,0.6,Cardiff,,,Cardiff,Cathays,
CF1 1HL,No,51.480506,-3.183291,317925,176392,ST179763,1/1/1995 12:00:00 AM,6/1/1999 12:00:00 AM,14,,,Cardiff Central,0.6,Cardiff,,,Cardiff,Cathays,
CF1 1HN,No,51.480506,-3.183291,317925,176392,ST179763,1/1/1995 12:00:00 AM,6/1/1999 12:00:00 AM,14,,,Cardiff Central,0.6,Cardiff,,,Cardiff,Cathays,
CF1 1JA,No,51.477892,-3.182143,318000,176100,ST180760,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,16,,,Cardiff Central,0.3,Cardiff,Dwr Cymru Welsh Water,,Cardiff,Cathays,
CF1 1JB,No,51.478806,-3.180727,318100,176200,ST181762,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,18,,,Cardiff Central,0.3,Cardiff,,,Cardiff,Cathays,
CF1 1JD,No,51.477921,-3.179264,318200,176100,ST182760,1/1/1980 12:00:00 AM,12/1/1983 12:00:00 AM,16,,,Cardiff Central,0.2,Cardiff,,,Cardiff,Cathays,
CF1 1JE,No,51.477921,-3.179264,318200,176100,ST182760,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,16,,,Cardiff Central,0.2,Cardiff,,,Cardiff,Cathays,
CF1 1JF,No,51.479676,-3.183630,317900,176300,ST178763,1/1/1980 12:00:00 AM,12/1/1988 12:00:00 AM,15,,,Cardiff Central,0.5,Cardiff,Dwr Cymru Welsh Water,,Cardiff,Cathays,
CF1 1JG,No,51.479422,-3.181117,318074,176269,ST180762,1/1/1980 12:00:00 AM,12/1/1997 12:00:00 AM,17,,,Cardiff Central,0.4,Cardiff,Dwr Cymru Welsh Water,,Cardiff,Cathays,
CF1 1JJ,No,51.477022,-3.179241,318200,176000,ST181759,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,14,,,Cardiff Central,0.1,Cardiff,,,Cardiff,Cathays,
CF1 1JL,No,51.479422,-3.181117,318074,176269,ST180762,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,17,,,Cardiff Central,0.4,Cardiff,,,Cardiff,Cathays,
CF1 1JN,No,51.477921,-3.179264,318200,176100,ST182760,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,16,,,Cardiff Central,0.2,Cardiff,,,Cardiff,Cathays,
CF1 1JP,No,51.477008,-3.180681,318100,176000,ST180760,1/1/1980 12:00:00 AM,12/1/1985 12:00:00 AM,13,,,Cardiff Central,0.1,Cardiff,,,Cardiff,Cathays,
CF1 1JR,No,51.477921,-3.179264,318200,176100,ST182760,10/1/1984 12:00:00 AM,12/1/1990 12:00:00 AM,16,,,Cardiff Central,0.2,Cardiff,,,Cardiff,Cathays,
CF1 1JS,No,51.478806,-3.180727,318100,176200,ST181762,1/1/1980 12:00:00 AM,12/1/1984 12:00:00 AM,18,,,Cardiff Central,0.3,Cardiff,,,Cardiff,Cathays,
CF1 1JT,No,51.479705,-3.180750,318100,176300,ST181763,1/1/1980 12:00:00 AM,7/1/1997 12:00:00 AM,16,,,Cardiff Central,0.4,Cardiff,,,Cardiff,Cathays,
CF1 1JU,No,51.480690,-3.172135,318700,176400,ST187763,1/1/1980 12:00:00 AM,12/1/1984 12:00:00 AM,18,,,Cardiff Queen Street,0.2,Cardiff,,,Cardiff,Cathays,
CF1 1JW,No,51.477950,-3.176385,318400,176100,ST183760,1/1/1980 12:00:00 AM,12/1/1983 12:00:00 AM,15,,,Cardiff Central,0.3,Cardiff,,,Cardiff,Cathays,
CF1 1JX,No,51.477921,-3.179264,318200,176100,ST182760,1/1/1980 12:00:00 AM,12/1/1994 12:00:00 AM,16,,,Cardiff Central,0.2,Cardiff,,,Cardiff,Cathays,
CF1 1JY,No,51.477921,-3.179264,318200,176100,ST182760,1/1/1980 12:00:00 AM,6/1/1997 12:00:00 AM,16,,,Cardiff Central,0.2,Cardiff,,,Cardiff,Cathays,
CF1 1JZ,No,51.477921,-3.179264,318200,176100,ST182760,1/1/1980 12:00:00 AM,7/1/1995 12:00:00 AM,16,,,Cardiff Central,0.2,Cardiff,,,Cardiff,Cathays,
CF1 1LB,No,51.483373,-3.173644,318600,176700,ST186767,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,17,,,Cardiff Queen Street,0.3,Cardiff,,,Cardiff,Cathays,
CF1 1LD,No,51.477921,-3.179264,318200,176100,ST182760,1/1/1980 12:00:00 AM,12/1/1991 12:00:00 AM,16,,,Cardiff Central,0.2,Cardiff,,,Cardiff,Cathays,
CF1 1LF,No,51.479705,-3.180750,318100,176300,ST181763,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,16,,,Cardiff Central,0.4,Cardiff,,,Cardiff,Cathays,
CF1 1LG,No,51.483373,-3.173644,318600,176700,ST186767,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,17,,,Cardiff Queen Street,0.3,Cardiff,,,Cardiff,Cathays,
CF1 1LH,No,51.479719,-3.179311,318200,176300,ST181762,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,18,,,Cardiff Central,0.4,Cardiff,,,Cardiff,Cathays,
CF1 1LJ,No,51.478835,-3.177848,318300,176200,ST182762,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,18,,,Cardiff Central,0.3,Cardiff,,,Cardiff,Cathays,
