Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
CA1 1AA,Yes,54.890559,-2.943791,339560,555499,NY395554,1/1/1991 12:00:00 AM,,20,,,Carlisle,0.7,Carlisle,United Utilities,,Cumberland,Denton Holme,Denton Holme
CA1 1AB,Yes,54.892405,-2.931767,340334,555694,NY403556,10/1/2014 12:00:00 AM,,28,,,Carlisle,0.2,Carlisle,United Utilities,,Cumberland,Castle,Castle
CA1 1AD,No,54.892455,-2.932298,340300,555700,NY402557,6/1/1997 12:00:00 AM,6/1/1999 12:00:00 AM,28,,,Carlisle,0.2,Carlisle,,,Cumberland,Castle,Castle
CA1 1AE,Yes,54.893698,-2.930658,340407,555837,NY404558,8/1/1992 12:00:00 AM,,26,26,21,Carlisle,0.4,Carlisle,United Utilities,,Cumberland,Castle,Castle
CA1 1AF,Yes,54.893917,-2.931381,340361,555862,NY403558,4/1/2010 12:00:00 AM,,27,9,6,Carlisle,0.4,Carlisle,United Utilities,,Cumberland,Castle,Castle
CA1 1AG,Yes,54.893045,-2.928791,340526,555763,NY405557,9/1/2021 12:00:00 AM,,25,,,Carlisle,0.4,Carlisle,,,Cumberland,Castle,Castle
CA1 1AZ,No,54.893365,-2.930760,340400,555800,NY403558,12/1/1999 12:00:00 AM,10/1/2000 12:00:00 AM,26,,,Carlisle,0.3,Carlisle,,,Cumberland,Castle,Castle
CA1 1BA,Yes,54.893532,-2.930093,340443,555818,NY404558,1/1/1980 12:00:00 AM,,25,3,2,Carlisle,0.4,Carlisle,United Utilities,,Cumberland,Castle,Castle
CA1 1BB,Yes,54.893894,-2.929743,340466,555858,NY404558,1/1/1980 12:00:00 AM,,25,22,12,Carlisle,0.4,Carlisle,United Utilities,,Cumberland,Castle,Castle
CA1 1BD,No,54.893250,-2.926937,340645,555784,NY406557,12/1/1994 12:00:00 AM,12/1/1999 12:00:00 AM,25,,,Carlisle,0.5,Carlisle,,,Cumberland,Castle,Castle
CA1 1BE,Yes,54.894814,-2.930434,340423,555961,NY404559,1/1/1980 12:00:00 AM,,25,51,24,Carlisle,0.5,Carlisle,United Utilities,,Cumberland,Castle,Castle
CA1 1BG,Yes,54.894791,-2.931089,340381,555959,NY403559,1/1/1980 12:00:00 AM,,25,4,2,Carlisle,0.5,Carlisle,United Utilities,,Cumberland,Castle,Castle
CA1 1BH,No,54.894252,-2.932339,340300,555900,NY403559,8/1/1992 12:00:00 AM,6/1/1997 12:00:00 AM,28,,,Carlisle,0.4,Carlisle,,,Cumberland,Castle,Castle
CA1 1BJ,Yes,54.894267,-2.931221,340372,555901,NY403559,1/1/1980 12:00:00 AM,,27,12,6,Carlisle,0.4,Carlisle,United Utilities,,Cumberland,Castle,Castle
CA1 1BN,No,54.894252,-2.932339,340300,555900,NY403559,4/1/1985 12:00:00 AM,12/1/1991 12:00:00 AM,28,,,Carlisle,0.4,Carlisle,,,Cumberland,Castle,Castle
CA1 1BP,Yes,54.894881,-2.931153,340377,555969,NY403559,1/1/1980 12:00:00 AM,,25,,,Carlisle,0.5,Carlisle,United Utilities,,Cumberland,Castle,Castle
CA1 1BQ,No,54.894252,-2.932339,340300,555900,NY403559,1/1/1980 12:00:00 AM,12/1/1995 12:00:00 AM,28,,,Carlisle,0.4,Carlisle,United Utilities,,Cumberland,Castle,Castle
CA1 1BU,No,54.893851,-2.932969,340259,555856,NY402558,1/1/1980 12:00:00 AM,1/1/2004 12:00:00 AM,28,,,Carlisle,0.4,Carlisle,,,Cumberland,Castle,Castle
CA1 1BX,No,54.893353,-2.932319,340300,555800,NY402557,1/1/1980 12:00:00 AM,7/1/1995 12:00:00 AM,28,,,Carlisle,0.3,Carlisle,,,Cumberland,Castle,Castle
CA1 1BZ,Yes,54.893896,-2.932724,340275,555861,NY402558,6/1/1997 12:00:00 AM,,28,,,Carlisle,0.4,Carlisle,United Utilities,,Cumberland,Castle,Castle
CA1 1DA,No,54.894252,-2.932339,340300,555900,NY403559,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,28,,,Carlisle,0.4,Carlisle,,,Cumberland,Castle,Castle
CA1 1DB,Yes,54.893866,-2.931960,340324,555857,NY403558,1/1/1980 12:00:00 AM,,28,,,Carlisle,0.4,Carlisle,United Utilities,,Cumberland,Castle,Castle
CA1 1DD,No,54.893796,-2.931970,340323,555849,NY403558,1/1/1980 12:00:00 AM,4/1/2007 12:00:00 AM,28,,,Carlisle,0.4,Carlisle,United Utilities,,Cumberland,Castle,Castle
CA1 1DE,Yes,54.893557,-2.928004,340577,555819,NY405558,1/1/1980 12:00:00 AM,,24,,,Carlisle,0.5,Carlisle,United Utilities,,Cumberland,Castle,Castle
CA1 1DF,No,54.893819,-2.931331,340364,555851,NY403558,1/1/1980 12:00:00 AM,4/1/2007 12:00:00 AM,27,,,Carlisle,0.4,Carlisle,United Utilities,,Cumberland,Castle,Castle
CA1 1DG,Yes,54.893714,-2.930647,340408,555839,NY404558,7/1/1990 12:00:00 AM,,26,,,Carlisle,0.4,Carlisle,United Utilities,,Cumberland,Castle,Castle
CA1 1DH,Yes,54.892886,-2.932230,340305,555748,NY403557,10/1/1985 12:00:00 AM,,28,1,1,Carlisle,0.3,Carlisle,United Utilities,,Cumberland,Castle,Castle
CA1 1DJ,Yes,54.893431,-2.931525,340351,555808,NY403558,1/1/1992 12:00:00 AM,,27,,,Carlisle,0.3,Carlisle,United Utilities,,Cumberland,Castle,Castle
CA1 1DL,No,54.892455,-2.932298,340300,555700,NY402557,5/1/1994 12:00:00 AM,12/1/1995 12:00:00 AM,28,,,Carlisle,0.2,Carlisle,,,Cumberland,Castle,Castle
CA1 1DN,Yes,54.892704,-2.931384,340359,555727,NY403557,1/1/1980 12:00:00 AM,,27,1,1,Carlisle,0.3,Carlisle,United Utilities,,Cumberland,Castle,Castle
CA1 1DP,Yes,54.893150,-2.931862,340329,555777,NY403557,1/1/1980 12:00:00 AM,,28,3,3,Carlisle,0.3,Carlisle,United Utilities,,Cumberland,Castle,Castle
CA1 1DQ,Yes,54.893190,-2.932209,340307,555782,NY403557,1/1/1980 12:00:00 AM,,28,2,1,Carlisle,0.3,Carlisle,United Utilities,,Cumberland,Castle,Castle
CA1 1DR,Yes,54.893055,-2.930176,340437,555765,NY404557,1/1/1980 12:00:00 AM,,25,6,3,Carlisle,0.3,Carlisle,United Utilities,,Cumberland,Castle,Castle
CA1 1DS,No,54.892466,-2.930739,340400,555700,NY403556,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,27,,,Carlisle,0.3,Carlisle,,,Cumberland,Castle,Castle
CA1 1DT,No,54.893377,-2.929201,340500,555800,NY404558,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,24,,,Carlisle,0.4,Carlisle,,,Cumberland,Castle,Castle
CA1 1DU,Yes,54.893341,-2.928892,340520,555796,NY405557,1/1/1980 12:00:00 AM,,24,,,Carlisle,0.4,Carlisle,United Utilities,,Cumberland,Castle,Castle
CA1 1DW,No,54.892455,-2.932298,340300,555700,NY402557,12/1/1994 12:00:00 AM,12/1/1995 12:00:00 AM,28,,,Carlisle,0.2,Carlisle,United Utilities,,Cumberland,Castle,Castle
CA1 1DX,No,54.893278,-2.929245,340497,555789,NY404557,1/1/1980 12:00:00 AM,12/1/1999 12:00:00 AM,24,,,Carlisle,0.4,Carlisle,United Utilities,,Cumberland,Castle,Castle
CA1 1DY,No,54.892478,-2.929180,340500,555700,NY405556,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,26,,,Carlisle,0.3,Carlisle,,,Cumberland,Castle,Castle
CA1 1DZ,Yes,54.893557,-2.928004,340577,555819,NY405558,1/1/1980 12:00:00 AM,,24,,,Carlisle,0.5,Carlisle,United Utilities,,Cumberland,Castle,Castle
CA1 1EA,Yes,54.894200,-2.927333,340621,555890,NY406558,1/1/1980 12:00:00 AM,,24,13,3,Carlisle,0.5,Carlisle,United Utilities,,Cumberland,Castle,Castle
CA1 1EB,Yes,54.893858,-2.928541,340543,555853,NY405558,1/1/1980 12:00:00 AM,,24,40,16,Carlisle,0.5,Carlisle,United Utilities,,Cumberland,Castle,Castle
CA1 1ED,No,54.893230,-2.929357,340490,555784,NY404557,1/1/1980 12:00:00 AM,4/1/2024 12:00:00 AM,24,,,Carlisle,0.4,Carlisle,United Utilities,,Cumberland,Castle,Castle
CA1 1EE,Yes,54.893303,-2.930388,340424,555793,NY404557,1/1/1980 12:00:00 AM,,26,2,1,Carlisle,0.3,Carlisle,United Utilities,,Cumberland,Castle,Castle
CA1 1EF,No,54.892455,-2.932298,340300,555700,NY402557,7/1/1995 12:00:00 AM,6/1/1996 12:00:00 AM,28,,,Carlisle,0.2,Carlisle,,,Cumberland,Castle,Castle
CA1 1EG,No,54.894263,-2.930780,340400,555900,NY404558,2/1/1990 12:00:00 AM,5/1/1994 12:00:00 AM,26,,,Carlisle,0.4,Carlisle,,,Cumberland,Castle,Castle
CA1 1EH,No,54.894977,-2.932637,340282,555981,NY402559,1/1/1980 12:00:00 AM,8/1/2004 12:00:00 AM,27,,,Carlisle,0.5,Carlisle,United Utilities,,Cumberland,Castle,Castle
CA1 1EJ,Yes,54.895033,-2.932357,340300,555987,NY403559,1/1/1980 12:00:00 AM,,26,2,1,Carlisle,0.5,Carlisle,United Utilities,,Cumberland,Castle,Castle
CA1 1EL,Yes,54.893641,-2.927632,340601,555828,NY406558,9/1/2006 12:00:00 AM,,24,13,6,Carlisle,0.5,Carlisle,United Utilities,,Cumberland,Castle,Castle
CA1 1EP,No,54.896096,-2.926145,340700,556100,NY406560,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,20,,,Carlisle,0.8,Carlisle,,,Cumberland,Castle,Castle
CA1 1ER,Yes,54.895353,-2.932493,340292,556023,NY402560,1/1/1980 12:00:00 AM,,26,1,1,Carlisle,0.5,Carlisle,United Utilities,,Cumberland,Castle,Castle
CA1 1ES,No,54.895347,-2.932489,340292,556022,NY402560,1/1/1980 12:00:00 AM,8/1/2018 12:00:00 AM,26,,,Carlisle,0.5,Carlisle,United Utilities,,Cumberland,Castle,Castle
CA1 1ET,No,54.895018,-2.931983,340324,555985,NY403559,1/1/1995 12:00:00 AM,12/1/1998 12:00:00 AM,26,,,Carlisle,0.5,Carlisle,,,Cumberland,Castle,Castle
CA1 1EU,No,54.892450,-2.929413,340485,555697,NY404556,1/1/1980 12:00:00 AM,9/1/2004 12:00:00 AM,26,,,Carlisle,0.3,Carlisle,,,Cumberland,Castle,Castle
CA1 1EW,No,54.895062,-2.932109,340316,555990,NY403559,7/1/1995 12:00:00 AM,1/1/2024 12:00:00 AM,26,,,Carlisle,0.5,Carlisle,United Utilities,,Cumberland,Castle,Castle
CA1 1EX,Yes,54.895614,-2.930422,340425,556050,NY404560,1/1/1980 12:00:00 AM,,23,11,0,Carlisle,0.6,Carlisle,United Utilities,,Cumberland,Castle,Castle
CA1 1EY,No,54.896084,-2.927704,340600,556100,NY405560,2/1/1990 12:00:00 AM,12/1/1991 12:00:00 AM,21,,,Carlisle,0.7,Carlisle,United Utilities,,Cumberland,Castle,Castle
CA1 1EZ,No,54.893250,-2.926937,340645,555784,NY406557,7/1/1986 12:00:00 AM,6/1/1999 12:00:00 AM,25,,,Carlisle,0.5,Carlisle,,,Cumberland,Castle,Castle
CA1 1GA,No,54.893250,-2.926937,340645,555784,NY406557,12/1/1995 12:00:00 AM,12/1/1999 12:00:00 AM,25,,,Carlisle,0.5,Carlisle,,,Cumberland,Castle,Castle
CA1 1GB,No,54.893170,-2.926935,340645,555775,NY406557,6/1/1996 12:00:00 AM,6/1/1998 12:00:00 AM,25,,,Carlisle,0.5,Carlisle,,,Cumberland,Castle,Castle
CA1 1GD,No,54.890462,-2.944755,339498,555489,NY394554,12/1/1996 12:00:00 AM,6/1/1997 12:00:00 AM,21,,,Carlisle,0.7,Carlisle,,,Cumberland,Denton Holme,Denton Holme
CA1 1GE,No,54.893170,-2.926935,340645,555775,NY406557,12/1/1996 12:00:00 AM,6/1/1998 12:00:00 AM,25,,,Carlisle,0.5,Carlisle,,,Cumberland,Castle,Castle
CA1 1GF,No,54.890462,-2.944755,339498,555489,NY394554,6/1/1998 12:00:00 AM,6/1/2004 12:00:00 AM,21,,,Carlisle,0.7,Carlisle,,,Cumberland,Denton Holme,Denton Holme
CA1 1GG,No,54.893250,-2.926937,340645,555784,NY406557,6/1/1999 12:00:00 AM,6/1/2000 12:00:00 AM,25,,,Carlisle,0.5,Carlisle,,,Cumberland,Castle,Castle
CA1 1GH,No,54.893250,-2.926937,340645,555784,NY406557,6/1/2000 12:00:00 AM,7/1/2000 12:00:00 AM,25,,,Carlisle,0.5,Carlisle,,,Cumberland,Castle,Castle
CA1 1GJ,No,54.895162,-2.930801,340400,556000,NY404559,6/1/2000 12:00:00 AM,7/1/2000 12:00:00 AM,24,,,Carlisle,0.5,Carlisle,,,Cumberland,Castle,Castle
CA1 1GL,No,54.890918,-2.943846,339557,555539,NY395555,12/1/2000 12:00:00 AM,9/1/2006 12:00:00 AM,19,,,Carlisle,0.7,Carlisle,,,Cumberland,Denton Holme,Denton Holme
CA1 1HA,No,54.894275,-2.929221,340500,555900,NY405558,2/1/1990 12:00:00 AM,12/1/1991 12:00:00 AM,25,,,Carlisle,0.5,Carlisle,,,Cumberland,Castle,Castle
CA1 1HB,Yes,54.894729,-2.929563,340479,555951,NY404559,1/1/1980 12:00:00 AM,,25,112,82,Carlisle,0.5,Carlisle,United Utilities,,Cumberland,Castle,Castle
CA1 1HD,No,54.894263,-2.930780,340400,555900,NY404558,1/1/1980 12:00:00 AM,12/1/1990 12:00:00 AM,26,,,Carlisle,0.4,Carlisle,,,Cumberland,Castle,Castle
CA1 1HE,Yes,54.894871,-2.927770,340594,555965,NY405559,1/1/1980 12:00:00 AM,,24,37,29,Carlisle,0.6,Carlisle,United Utilities,,Cumberland,Castle,Castle
CA1 1HF,Yes,54.895450,-2.927190,340632,556029,NY406560,1/1/1980 12:00:00 AM,,23,13,3,Carlisle,0.7,Carlisle,United Utilities,,Cumberland,Castle,Castle
CA1 1HG,Yes,54.890566,-2.943795,339560,555500,NY395554,4/1/1985 12:00:00 AM,,19,,,Carlisle,0.7,Carlisle,United Utilities,,Cumberland,Denton Holme,Denton Holme
CA1 1HH,Yes,54.894565,-2.928639,340538,555932,NY405559,1/1/1980 12:00:00 AM,,24,5,2,Carlisle,0.5,Carlisle,United Utilities,,Cumberland,Castle,Castle
CA1 1HJ,Yes,54.894557,-2.927638,340602,555930,NY406559,1/1/1980 12:00:00 AM,,24,22,9,Carlisle,0.6,Carlisle,United Utilities,,Cumberland,Castle,Castle
CA1 1HL,Yes,54.894849,-2.926728,340661,555962,NY406559,1/1/1980 12:00:00 AM,,24,49,17,Carlisle,0.6,Carlisle,United Utilities,,Cumberland,Castle,Castle
CA1 1HN,No,54.895186,-2.927683,340600,556000,NY406560,1/1/1980 12:00:00 AM,12/1/1995 12:00:00 AM,23,,,Carlisle,0.6,Carlisle,,,Cumberland,Castle,Castle
CA1 1HP,Yes,54.896137,-2.926645,340668,556105,NY406561,1/1/1980 12:00:00 AM,,20,13,1,Carlisle,0.7,Carlisle,United Utilities,,Cumberland,Castle,Castle
CA1 1HQ,Yes,54.894429,-2.929178,340503,555917,NY405559,1/1/1980 12:00:00 AM,,25,71,28,Carlisle,0.5,Carlisle,United Utilities,,Cumberland,Castle,Castle
CA1 1HR,Yes,54.895035,-2.926308,340688,555982,NY406559,1/1/1980 12:00:00 AM,,23,75,41,Carlisle,0.7,Carlisle,United Utilities,,Cumberland,Castle,Castle
CA1 1HS,Yes,54.895927,-2.929138,340508,556084,NY405560,1/1/1980 12:00:00 AM,,21,2,1,Carlisle,0.6,Carlisle,United Utilities,,Cumberland,Castle,Castle
CA1 1HT,Yes,54.896008,-2.930372,340429,556094,NY404560,1/1/1980 12:00:00 AM,,22,30,16,Carlisle,0.6,Carlisle,United Utilities,,Cumberland,Castle,Castle
