Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
CR0 3AQ,Yes,51.390429,-0.134389,529903,167361,TQ299673,1/1/1980 12:00:00 AM,,32,,,Beddington Lane,0.6,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 3AR,Yes,51.389588,-0.140299,529494,167257,TQ294672,1/1/1980 12:00:00 AM,,33,63,22,Beddington Lane,0.1,Sutton (Sutton),SES Water,,Sutton,Beddington,
CR0 3AS,Yes,51.389063,-0.138912,529592,167201,TQ295672,1/1/1980 12:00:00 AM,,31,84,30,Beddington Lane,0.2,Sutton (Sutton),SES Water,,Sutton,Beddington,
CR0 3AT,Yes,51.389192,-0.140257,529498,167213,TQ294672,1/1/1980 12:00:00 AM,,32,37,14,Beddington Lane,0.1,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 3AU,No,51.390007,-0.136085,529786,167311,TQ297673,6/1/1996 12:00:00 AM,6/1/1997 12:00:00 AM,33,,,Beddington Lane,0.4,Sutton (Sutton),,,Sutton,Beddington,
CR0 3DY,Yes,51.385713,-0.130744,530170,166843,TQ301668,3/1/2006 12:00:00 AM,,35,,,Therapia Lane,0.1,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 3GR,Yes,51.386894,-0.130348,530194,166975,TQ301669,12/1/1995 12:00:00 AM,,35,62,19,Therapia Lane,0.2,Sutton (Sutton),Thames Water,,Sutton,Beddington,
CR0 3GS,Yes,51.387192,-0.131011,530147,167007,TQ301670,12/1/1995 12:00:00 AM,,34,38,16,Therapia Lane,0.2,Sutton (Sutton),Thames Water,,Sutton,Beddington,
CR0 3GT,Yes,51.387469,-0.130295,530196,167039,TQ301670,12/1/1995 12:00:00 AM,,35,48,17,Therapia Lane,0.2,Sutton (Sutton),Thames Water,,Sutton,Beddington,
CR0 3YH,Yes,51.389193,-0.134681,529886,167223,TQ298672,12/1/1998 12:00:00 AM,,34,,,Beddington Lane,0.5,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4AL,Yes,51.369748,-0.132831,530070,165064,TQ300650,6/1/2000 12:00:00 AM,,44,13,6,Waddon,1.1,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4AQ,Yes,51.369917,-0.130468,530234,165087,TQ302650,1/1/1995 12:00:00 AM,,39,16,8,Waddon,0.9,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4FA,Yes,51.361890,-0.121659,530870,164210,TQ308642,9/1/2016 12:00:00 AM,,54,,,Waddon,0.7,Sutton (Sutton),,,Sutton,South Beddington & Roundshaw,
CR0 4FL,Yes,51.369944,-0.129346,530312,165092,TQ303650,7/1/2013 12:00:00 AM,,38,,,Waddon,0.9,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4FW,Yes,51.370310,-0.129159,530324,165133,TQ303651,7/1/2018 12:00:00 AM,,37,,,Waddon,0.9,Sutton (Sutton),,,Sutton,Beddington,
CR0 4FY,Yes,51.369445,-0.134122,529981,165028,TQ299650,6/1/2018 12:00:00 AM,,47,,,Waddon,1.2,Sutton (Sutton),,,Sutton,Beddington,
CR0 4GG,Yes,51.387400,-0.141296,529431,167012,TQ294670,2/1/2022 12:00:00 AM,,52,,,Beddington Lane,0.2,Sutton (Sutton),,,Sutton,Beddington,
CR0 4GN,Yes,51.384025,-0.136001,529809,166646,TQ298666,1/1/2021 12:00:00 AM,,64,,,Therapia Lane,0.5,Sutton (Sutton),,,Sutton,Beddington,
CR0 4NH,Yes,51.362451,-0.121851,530855,164272,TQ308642,1/1/1980 12:00:00 AM,,54,38,13,Waddon,0.6,Sutton (Sutton),SES Water,,Sutton,Beddington,
CR0 4NP,Yes,51.363782,-0.121305,530889,164421,TQ308644,1/1/1980 12:00:00 AM,,50,131,53,Waddon,0.5,Sutton (Sutton),Thames Water,,Sutton,Beddington,
CR0 4PD,Yes,51.367835,-0.123941,530694,164867,TQ306648,1/1/1980 12:00:00 AM,,46,8,3,Waddon,0.5,Sutton (Sutton),SES Water,,Sutton,Beddington,
CR0 4PE,Yes,51.367862,-0.125664,530574,164867,TQ305648,1/1/1980 12:00:00 AM,,44,30,7,Waddon,0.6,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4PF,Yes,51.367832,-0.127116,530473,164861,TQ304648,1/1/1980 12:00:00 AM,,43,35,13,Waddon,0.7,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4PG,Yes,51.367807,-0.130065,530268,164853,TQ302648,1/1/1980 12:00:00 AM,,42,42,17,Waddon,0.9,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4PH,Yes,51.368260,-0.133075,530057,164898,TQ300648,1/1/1980 12:00:00 AM,,46,33,16,Waddon,1.1,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4PJ,Yes,51.367935,-0.131881,530141,164864,TQ301648,1/1/1980 12:00:00 AM,,44,14,7,Waddon,1.0,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4PL,Yes,51.369239,-0.124013,530685,165023,TQ306650,1/1/1980 12:00:00 AM,,45,60,24,Waddon,0.5,Sutton (Sutton),SES Water,,Sutton,Beddington,
CR0 4PN,Yes,51.369257,-0.123437,530725,165026,TQ307650,1/1/1980 12:00:00 AM,,46,68,25,Waddon,0.5,Sutton (Sutton),SES Water,,Sutton,Beddington,
CR0 4PP,Yes,51.369127,-0.124879,530625,165009,TQ306650,1/1/1980 12:00:00 AM,,43,63,25,Waddon,0.6,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4PQ,Yes,51.369027,-0.125390,530590,164997,TQ305649,1/1/1980 12:00:00 AM,,43,67,25,Waddon,0.6,Sutton (Sutton),SES Water,,Sutton,Beddington,
CR0 4PR,Yes,51.368881,-0.126918,530484,164978,TQ304649,1/1/1980 12:00:00 AM,,41,55,20,Waddon,0.7,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4PS,Yes,51.369026,-0.126421,530518,164995,TQ305649,1/1/1980 12:00:00 AM,,41,57,19,Waddon,0.7,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4PT,Yes,51.369004,-0.127873,530417,164990,TQ304649,1/1/1980 12:00:00 AM,,40,67,21,Waddon,0.7,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4PU,Yes,51.368778,-0.128399,530381,164964,TQ303649,1/1/1980 12:00:00 AM,,40,59,21,Waddon,0.8,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4PW,Yes,51.368300,-0.129424,530311,164909,TQ303649,1/1/1980 12:00:00 AM,,41,29,15,Waddon,0.8,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4QE,Yes,51.367468,-0.124631,530647,164825,TQ306648,1/1/1980 12:00:00 AM,,46,27,10,Waddon,0.5,Sutton (Sutton),Thames Water,,Sutton,Beddington,
CR0 4QF,Yes,51.367456,-0.126097,530545,164821,TQ305648,1/1/1980 12:00:00 AM,,45,38,12,Waddon,0.6,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4QG,Yes,51.367442,-0.128037,530410,164816,TQ304648,1/1/1980 12:00:00 AM,,43,34,13,Waddon,0.7,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4QJ,Yes,51.367440,-0.130206,530259,164812,TQ302648,1/1/1980 12:00:00 AM,,43,42,16,Waddon,0.9,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4QN,Yes,51.366010,-0.125136,530616,164662,TQ306646,1/1/1980 12:00:00 AM,,46,69,38,Waddon,0.6,Sutton (Sutton),SES Water,,Sutton,Beddington,
CR0 4QP,Yes,51.366935,-0.126179,530541,164763,TQ305647,1/1/1980 12:00:00 AM,,45,64,24,Waddon,0.6,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4QQ,Yes,51.365317,-0.130163,530268,164576,TQ302645,1/1/1980 12:00:00 AM,,47,132,56,Waddon,0.9,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4QR,Yes,51.367296,-0.131868,530144,164793,TQ301647,1/1/1980 12:00:00 AM,,46,38,19,Waddon,1.0,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4QS,Yes,51.365740,-0.126799,530501,164629,TQ305646,1/1/1980 12:00:00 AM,,45,61,21,Waddon,0.7,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4QT,Yes,51.366124,-0.126065,530551,164673,TQ305646,1/1/1980 12:00:00 AM,,45,29,14,Waddon,0.6,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4QU,Yes,51.366930,-0.128072,530409,164759,TQ304647,1/1/1980 12:00:00 AM,,44,40,17,Waddon,0.7,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4QW,Yes,51.366887,-0.130473,530242,164750,TQ302647,1/1/1980 12:00:00 AM,,45,73,24,Waddon,0.9,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4QX,Yes,51.365415,-0.128364,530393,164590,TQ303645,10/1/1985 12:00:00 AM,,48,192,71,Waddon,0.8,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4QY,Yes,51.366564,-0.128805,530359,164717,TQ303647,1/1/1980 12:00:00 AM,,45,77,29,Waddon,0.8,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4QZ,Yes,51.366549,-0.131248,530189,164711,TQ301647,1/1/1980 12:00:00 AM,,46,28,12,Waddon,1.0,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4RU,Yes,51.360040,-0.124647,530667,163999,TQ306639,3/1/1988 12:00:00 AM,,57,,,Waddon,1.0,Sutton (Sutton),SES Water,,Sutton,South Beddington & Roundshaw,
CR0 4RW,Yes,51.357258,-0.124434,530690,163690,TQ306636,10/1/1985 12:00:00 AM,,62,7,2,Waddon,1.2,,SES Water,,Sutton,South Beddington & Roundshaw,
CR0 4SA,Yes,51.370394,-0.126541,530506,165147,TQ305651,3/1/1983 12:00:00 AM,,39,94,47,Waddon,0.7,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4SB,Yes,51.369958,-0.129058,530332,165094,TQ303650,1/1/1980 12:00:00 AM,,38,86,33,Waddon,0.9,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4SD,Yes,51.370664,-0.129888,530272,165171,TQ302651,1/1/1980 12:00:00 AM,,37,91,34,Waddon,0.9,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4SE,Yes,51.371388,-0.130735,530211,165250,TQ302652,1/1/1980 12:00:00 AM,,36,34,13,Waddon,1.0,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4SF,Yes,51.371350,-0.128930,530337,165249,TQ303652,1/1/1980 12:00:00 AM,,37,32,15,Waddon,0.9,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4SG,Yes,51.369469,-0.131115,530190,165036,TQ301650,1/1/1980 12:00:00 AM,,41,92,42,Waddon,1.0,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4SH,Yes,51.371376,-0.124356,530655,165260,TQ306652,1/1/1980 12:00:00 AM,,40,36,10,Waddon,0.7,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4SJ,Yes,51.369021,-0.130616,530226,164987,TQ302649,1/1/1980 12:00:00 AM,,41,66,28,Waddon,0.9,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4SL,Yes,51.371484,-0.123849,530690,165273,TQ306652,1/1/1980 12:00:00 AM,,40,28,13,Waddon,0.6,Sutton (Sutton),SES Water,,Sutton,Beddington,
CR0 4SN,Yes,51.370659,-0.131296,530174,165168,TQ301651,1/1/1980 12:00:00 AM,,36,32,15,Waddon,1.0,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4SP,Yes,51.370495,-0.129435,530304,165153,TQ303651,1/1/1980 12:00:00 AM,,37,15,6,Waddon,0.9,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4SQ,Yes,51.371636,-0.129978,530263,165279,TQ302652,1/1/1980 12:00:00 AM,,37,88,34,Waddon,1.0,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4SR,Yes,51.369589,-0.131857,530138,165048,TQ301650,1/1/1980 12:00:00 AM,,41,60,27,Waddon,1.0,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4SS,Yes,51.369015,-0.129682,530291,164988,TQ302649,1/1/1980 12:00:00 AM,,39,61,20,Waddon,0.9,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4ST,Yes,51.368784,-0.132123,530122,164958,TQ301649,1/1/1980 12:00:00 AM,,43,49,26,Waddon,1.0,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4SU,Yes,51.370053,-0.132743,530075,165098,TQ300650,1/1/1980 12:00:00 AM,,43,80,32,Waddon,1.1,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4SW,Yes,51.370957,-0.127448,530441,165208,TQ304652,1/1/1980 12:00:00 AM,,38,89,44,Waddon,0.8,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4SX,Yes,51.371295,-0.126055,530537,165248,TQ305652,1/1/1980 12:00:00 AM,,39,56,30,Waddon,0.7,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4SY,Yes,51.370730,-0.126164,530531,165185,TQ305651,1/1/1980 12:00:00 AM,,39,79,29,Waddon,0.7,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4SZ,Yes,51.371234,-0.125081,530605,165243,TQ306652,1/1/1980 12:00:00 AM,,40,73,34,Waddon,0.7,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4TA,Yes,51.371177,-0.131649,530148,165225,TQ301652,1/1/1980 12:00:00 AM,,36,29,11,Waddon,1.1,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4TB,Yes,51.373152,-0.130868,530197,165446,TQ301654,1/1/1980 12:00:00 AM,,36,3,1,Waddon Marsh,1.0,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4TD,Yes,51.383725,-0.138600,529629,166608,TQ296666,1/1/1980 12:00:00 AM,,32,,,Beddington Lane,0.7,Sutton (Sutton),SES Water,,Sutton,Beddington,
CR0 4TE,Yes,51.388025,-0.140391,529492,167083,TQ294670,1/1/1980 12:00:00 AM,,31,14,5,Beddington Lane,0.2,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4TF,Yes,51.388802,-0.141179,529435,167168,TQ294671,1/1/1980 12:00:00 AM,,31,13,5,Beddington Lane,0.1,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4TG,Yes,51.372033,-0.131729,530140,165320,TQ301653,1/1/1980 12:00:00 AM,,34,33,12,Waddon Marsh,1.1,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4TH,Yes,51.378340,-0.132510,530068,166020,TQ300660,1/1/1980 12:00:00 AM,,35,43,15,Ampere Way,0.8,Sutton (Sutton),SES Water,,Sutton,Beddington,
CR0 4TJ,Yes,51.373385,-0.131950,530121,165470,TQ301654,1/1/1980 12:00:00 AM,,34,14,5,Waddon Marsh,1.1,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4TL,No,51.376379,-0.133564,530000,165800,TQ299658,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,32,,,Ampere Way,1.0,Sutton (Sutton),,,Sutton,Beddington,
CR0 4TN,Yes,51.385508,-0.137619,529692,166808,TQ296668,1/1/1980 12:00:00 AM,,34,34,12,Beddington Lane,0.5,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4TP,Yes,51.388523,-0.140601,529476,167138,TQ294671,1/1/1980 12:00:00 AM,,31,16,6,Beddington Lane,0.1,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4TQ,Yes,51.386219,-0.134859,529882,166892,TQ298668,9/1/1991 12:00:00 AM,,33,,,Therapia Lane,0.4,Sutton (Sutton),SES Water,,Sutton,Beddington,
CR0 4TR,Yes,51.385516,-0.133048,530010,166817,TQ300668,8/1/1993 12:00:00 AM,,33,4,1,Therapia Lane,0.3,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4TS,Yes,51.388757,-0.142923,529314,167160,TQ293671,8/1/1993 12:00:00 AM,,33,,,Beddington Lane,0.1,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4TT,Yes,51.378431,-0.130894,530180,166033,TQ301660,1/1/1993 12:00:00 AM,,36,,,Ampere Way,0.7,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4TU,Yes,51.360694,-0.122193,530836,164076,TQ308640,2/1/1990 12:00:00 AM,,58,,,Waddon,0.8,Croydon,SES Water,Thames Water,Sutton,South Beddington & Roundshaw,
CR0 4TW,Yes,51.371080,-0.128941,530337,165219,TQ303652,2/1/1990 12:00:00 AM,,37,10,5,Waddon,0.9,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4TX,Yes,51.370775,-0.128982,530335,165185,TQ303651,2/1/1990 12:00:00 AM,,37,64,47,Waddon,0.9,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4TY,Yes,51.370763,-0.128221,530388,165185,TQ303651,7/1/1990 12:00:00 AM,,39,27,13,Waddon,0.8,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4TZ,No,51.370918,-0.129475,530300,165200,TQ303652,8/1/1993 12:00:00 AM,12/1/1996 12:00:00 AM,37,,,Waddon,0.9,Sutton (Sutton),,,Sutton,Beddington,
CR0 4UA,Yes,51.372691,-0.132377,530093,165392,TQ300653,1/1/1980 12:00:00 AM,,34,18,6,Waddon Marsh,1.1,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4UB,Yes,51.372146,-0.133190,530038,165330,TQ300653,1/1/1980 12:00:00 AM,,34,111,45,Waddon Marsh,1.2,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4UD,Yes,51.373467,-0.132561,530078,165478,TQ300654,1/1/1980 12:00:00 AM,,35,33,11,Waddon Marsh,1.1,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4UE,Yes,51.374289,-0.134453,529944,165566,TQ299655,1/1/1980 12:00:00 AM,,35,54,24,Ampere Way,1.2,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4UF,Yes,51.373493,-0.136468,529806,165474,TQ298654,1/1/1980 12:00:00 AM,,33,64,22,Hackbridge,1.3,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4UG,Yes,51.373831,-0.133409,530018,165517,TQ300655,1/1/1980 12:00:00 AM,,36,62,19,Waddon Marsh,1.1,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4UH,Yes,51.374217,-0.132789,530060,165561,TQ300655,1/1/1980 12:00:00 AM,,36,10,10,Waddon Marsh,1.1,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4UJ,Yes,51.373749,-0.135596,529866,165504,TQ298655,1/1/1980 12:00:00 AM,,33,68,23,Ampere Way,1.3,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4UL,Yes,51.373580,-0.134583,529937,165487,TQ299654,1/1/1980 12:00:00 AM,,36,90,28,Waddon Marsh,1.2,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4UN,Yes,51.374393,-0.132509,530079,165581,TQ300655,1/1/1980 12:00:00 AM,,35,98,35,Waddon Marsh,1.1,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
CR0 4UT,Yes,51.373746,-0.133685,529999,165507,TQ299655,4/1/2009 12:00:00 AM,,36,19,7,Waddon Marsh,1.2,Sutton (Sutton),SES Water,Thames Water,Sutton,Beddington,
