Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
SS12 9JG,Yes,51.589186,0.542848,576250,190878,TQ762908,1/1/1980 12:00:00 AM,,18,,,Wickford,3.3,North Benfleet,Essex & Suffolk Water,Anglian Water,Basildon,Pitsea South East,Basildon Pitsea
SS12 9JJ,Yes,51.588164,0.545577,576443,190771,TQ764907,1/1/1980 12:00:00 AM,,18,35,13,Wickford,3.5,North Benfleet,Essex & Suffolk Water,Anglian Water,Basildon,Pitsea South East,Basildon Pitsea
SS12 9JL,Yes,51.586814,0.544794,576394,190619,TQ763906,1/1/1980 12:00:00 AM,,19,14,5,Wickford,3.6,North Benfleet,Essex & Suffolk Water,Anglian Water,Basildon,Pitsea South East,Basildon Pitsea
SS12 9JN,Yes,51.588374,0.542339,576218,190787,TQ762907,1/1/1980 12:00:00 AM,,20,7,2,Wickford,3.4,North Benfleet,Essex & Suffolk Water,Anglian Water,Basildon,Pitsea South East,Basildon Pitsea
SS12 9JP,Yes,51.586544,0.537777,575909,190572,TQ759905,1/1/1980 12:00:00 AM,,14,63,0,Wickford,3.4,,Essex & Suffolk Water,Anglian Water,Basildon,Pitsea South East,Basildon Pitsea
SS12 9JQ,Yes,51.585252,0.556066,577181,190473,TQ771904,1/1/1980 12:00:00 AM,,23,13,4,Rayleigh,3.1,,Essex & Suffolk Water,Anglian Water,Basildon,Pitsea South East,Basildon Pitsea
SS12 9JR,Yes,51.583092,0.540616,576119,190195,TQ761901,1/1/1980 12:00:00 AM,,20,18,6,Pitsea,3.5,,Essex & Suffolk Water,Anglian Water,Basildon,Pitsea South East,Basildon Pitsea
SS12 9JS,Yes,51.583397,0.535045,575732,190216,TQ757902,1/1/1980 12:00:00 AM,,14,12,5,Pitsea,3.2,,Essex & Suffolk Water,Anglian Water,Basildon,Pitsea South East,Basildon Pitsea
SS12 9JT,Yes,51.581302,0.532908,575592,189977,TQ755899,12/1/1994 12:00:00 AM,,15,,,Pitsea,3.0,North Benfleet,Anglian Water,,Basildon,Pitsea South East,Basildon Pitsea
SS12 9JW,Yes,51.588008,0.538911,575982,190738,TQ759907,1/1/1980 12:00:00 AM,,15,18,6,Wickford,3.3,North Benfleet,Essex & Suffolk Water,Anglian Water,Basildon,Pitsea South East,Basildon Pitsea
SS12 9JX,Yes,51.584437,0.527886,575232,190314,TQ752903,1/1/1980 12:00:00 AM,,16,42,12,Pitsea,3.1,North Benfleet,Essex & Suffolk Water,Anglian Water,Basildon,Pitsea South East,Basildon Pitsea
SS12 9JY,Yes,51.585563,0.534474,575684,190455,TQ756904,1/1/1980 12:00:00 AM,,14,17,5,Pitsea,3.4,,Essex & Suffolk Water,Anglian Water,Basildon,Pitsea South East,Basildon Pitsea
SS12 9JZ,Yes,51.589061,0.535924,575771,190847,TQ757908,1/1/1980 12:00:00 AM,,13,3,1,Wickford,3.1,North Benfleet,Essex & Suffolk Water,Anglian Water,Basildon,Pitsea South East,Basildon Pitsea
SS12 9LA,Yes,51.589211,0.531689,575477,190854,TQ754908,1/1/1980 12:00:00 AM,,13,42,17,Wickford,3.0,Nevendon,Essex & Suffolk Water,Anglian Water,Basildon,Pitsea South East,Basildon Pitsea
SS12 9SL,Yes,51.584412,0.527581,575211,190310,TQ752903,8/1/2022 12:00:00 AM,,15,,,Pitsea,3.1,North Benfleet,,,Basildon,Pitsea South East,Basildon Pitsea
SS13 2DR,Yes,51.567279,0.523211,574974,188395,TQ749883,1/1/1980 12:00:00 AM,,36,47,22,Pitsea,1.4,Basildon,Essex & Suffolk Water,Anglian Water,Basildon,Pitsea South East,Basildon Pitsea
SS13 2DS,Yes,51.567216,0.523670,575006,188389,TQ750883,1/1/1980 12:00:00 AM,,36,48,21,Pitsea,1.4,Basildon,Essex & Suffolk Water,Anglian Water,Basildon,Pitsea South East,Basildon Pitsea
